Orthogroup	Syao	Syab
OG0000001	Syao.g_00314	Syab.g_01549
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syab.g_02553, Syab.g_02555
OG0000004	Syao.g_02374	Syab.g_00549, Syab.g_01193
OG0000004	Syao.g_01007	Syab.g_01911
OG0000005	Syao.g_01680	Syab.g_02289
OG0000005	Syao.g_01578	Syab.g_02232
OG0000005	Syao.g_01210	Syab.g_00981
OG0000006	Syao.g_00919	Syab.g_01849
OG0000007	Syao.g_00105	Syab.g_02117
OG0000007	Syao.g_01554	Syab.g_02256
OG0000008	Syao.g_01321	Syab.g_01168
OG0000009	Syao.g_02598	Syab.g_02498
OG0000010	Syao.g_02683	Syab.g_00696
OG0000011	Syao.g_01282	Syab.g_01491, Syab.g_01083
OG0000012	Syao.g_01193	Syab.g_01774, Syab.g_00953
OG0000013	Syao.g_01844	Syab.g_00482
OG0000013	Syao.g_01910	Syab.g_00487
OG0000014	Syao.g_02027	Syab.g_00249
OG0000015	Syao.g_02339	Syab.g_02889
OG0000016	Syao.g_01955	Syab.g_00014
OG0000017	Syao.g_01064	Syab.g_01945
OG0000017	Syao.g_00997	Syab.g_01953
OG0000018	Syao.g_00071	Syab.g_00742
OG0000019	Syao.g_02108	Syab.g_00344
OG0000022	Syao.g_01218	Syab.g_01825
OG0000023	Syao.g_01266	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000025	Syao.g_00436, Syao.g_00437	Syab.g_01705
OG0000026	Syao.g_02234	Syab.g_00036
OG0000027	Syao.g_00202	Syab.g_01782
OG0000028	Syao.g_02012	Syab.g_00234
OG0000030	Syao.g_02189	Syab.g_00096
OG0000030	Syao.g_02188	Syab.g_00095
OG0000031	Syao.g_02008	Syab.g_00160
OG0000032	Syao.g_00090	Syab.g_00724
OG0000032	Syao.g_01984, Syao.g_01983	Syab.g_00149
OG0000032	Syao.g_01135	Syab.g_00182
OG0000033	Syao.g_02507	Syab.g_02590
OG0000035	Syao.g_01486	Syab.g_00778, Syab.g_00776
OG0000036	Syao.g_00572	Syab.g_01108, Syab.g_01109, Syab.g_02412, Syab.g_01247
OG0000037	Syao.g_00374	Syab.g_02504
OG0000038	Syao.g_02440	Syab.g_02759
OG0000038	Syao.g_02442	Syab.g_02761
OG0000040	Syao.g_00711	Syab.g_02853
OG0000041	Syao.g_00509	Syab.g_01086, Syab.g_02804
OG0000042	Syao.g_00019, Syao.g_01941	Syab.g_01019, Syab.g_00099
OG0000045	Syao.g_00148	Syab.g_01787
OG0000046	Syao.g_01909	Syab.g_00488
OG0000047	Syao.g_01899	Syab.g_00876
OG0000048	Syao.g_02077	Syab.g_00308
OG0000051	Syao.g_01261	Syab.g_01073, Syab.g_02216
OG0000052	Syao.g_01085, Syao.g_02520	Syab.g_00214
OG0000053	Syao.g_00067	Syab.g_00746
OG0000058	Syao.g_01080	Syab.g_00227
OG0000059	Syao.g_01959	Syab.g_00397
OG0000061	Syao.g_00123	Syab.g_00171, Syab.g_00969
OG0000062	Syao.g_01576	Syab.g_02234
OG0000063	Syao.g_02230	Syab.g_00040
OG0000064	Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605	Syab.g_01783
OG0000064	Syao.g_01898	Syab.g_00824
OG0000065	Syao.g_02600	Syab.g_02500, Syab.g_01768
OG0000066	Syao.g_01422	Syab.g_02031
OG0000067	Syao.g_00756	Syab.g_01659
OG0000068	Syao.g_00868, Syao.g_00036	Syab.g_02087
OG0000070	Syao.g_00330	Syab.g_00614
OG0000071	Syao.g_01433	Syab.g_00915
OG0000072	Syao.g_02509	Syab.g_02593
OG0000073	Syao.g_00103	Syab.g_02119
OG0000075	Syao.g_02257	Syab.g_00202
OG0000076	Syao.g_01949, Syao.g_01251	Syab.g_00113
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Syab.g_00340
OG0000080	Syao.g_02269	Syab.g_00140
OG0000082	Syao.g_01035	Syab.g_01971
OG0000084	Syao.g_02606	Syab.g_00781
OG0000085	Syao.g_01569	Syab.g_02243
OG0000086	Syao.g_02653, Syao.g_01240	Syab.g_02468
OG0000087	Syao.g_02555	Syab.g_02551
OG0000088	Syao.g_02503	Syab.g_02586
OG0000089	Syao.g_01716	Syab.g_00551
OG0000090	Syao.g_01412	Syab.g_02041
OG0000091	Syao.g_00902	Syab.g_01866
OG0000092	Syao.g_00656	Syab.g_01242, Syab.g_00690
OG0000093	Syao.g_00739	Syab.g_01582
OG0000094	Syao.g_00458	Syab.g_01306
OG0000095	Syao.g_00331	Syab.g_01210
OG0000098	Syao.g_01374	Syab.g_01553
OG0000099	Syao.g_02019	Syab.g_00230
