Orthogroup	Syao	Syar
OG0000001	Syao.g_00314	Syar.g_00069
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syar.g_00070
OG0000004	Syao.g_02374	Syar.g_02051
OG0000004	Syao.g_01271, Syao.g_01007	Syar.g_02225
OG0000005	Syao.g_01680	Syar.g_02952
OG0000005	Syao.g_01578	Syar.g_02909
OG0000005	Syao.g_01210	Syar.g_01752
OG0000006	Syao.g_00919	Syar.g_02439
OG0000007	Syao.g_00105	Syar.g_01491
OG0000007	Syao.g_01554	Syar.g_02929
OG0000008	Syao.g_01321	Syar.g_02098
OG0000009	Syao.g_02598	Syar.g_03116
OG0000010	Syao.g_02683	Syar.g_01272
OG0000012	Syao.g_01045	Syar.g_00690
OG0000012	Syao.g_00201	Syar.g_02860
OG0000013	Syao.g_01844	Syar.g_02032, Syar.g_01103, Syar.g_01106
OG0000014	Syao.g_02027	Syar.g_00825
OG0000015	Syao.g_02339	Syar.g_00451, Syar.g_00180
OG0000016	Syao.g_01955	Syar.g_02859
OG0000017	Syao.g_01064	Syar.g_02180
OG0000017	Syao.g_00997	Syar.g_02188
OG0000018	Syao.g_00071	Syar.g_01409
OG0000019	Syao.g_02108	Syar.g_00163
OG0000022	Syao.g_01218	Syar.g_00835
OG0000025	Syao.g_00436, Syao.g_00437	Syar.g_01811
OG0000026	Syao.g_02234	Syar.g_00505
OG0000027	Syao.g_00202	Syar.g_02055
OG0000028	Syao.g_02012	Syar.g_00718
OG0000031	Syao.g_02008	Syar.g_00714
OG0000032	Syao.g_00090	Syar.g_01390
OG0000032	Syao.g_01984, Syao.g_01983	Syar.g_00543
OG0000033	Syao.g_02507	Syar.g_00105
OG0000038	Syao.g_02440	Syar.g_00334
OG0000038	Syao.g_02442	Syar.g_00336
OG0000040	Syao.g_00711	Syar.g_00858
OG0000041	Syao.g_00509	Syar.g_01370, Syar.g_02014
OG0000042	Syao.g_00019	Syar.g_00595, Syar.g_01970
OG0000045	Syao.g_01214, Syao.g_00148	Syar.g_02592
OG0000046	Syao.g_01845	Syar.g_01102, Syar.g_01105
OG0000048	Syao.g_02077	Syar.g_00213
OG0000051	Syao.g_01261	Syar.g_01597
OG0000052	Syao.g_01972	Syar.g_00281
OG0000052	Syao.g_01085, Syao.g_02520	Syar.g_02742, Syar.g_02751
OG0000053	Syao.g_00067	Syar.g_01413
OG0000054	Syao.g_00295	Syar.g_02265
OG0000055	Syao.g_00498	Syar.g_01386
OG0000057	Syao.g_00377	Syar.g_01941
OG0000058	Syao.g_01978	Syar.g_00648
OG0000059	Syao.g_01801	Syar.g_01024
OG0000061	Syao.g_00123	Syar.g_01539
OG0000062	Syao.g_01576	Syar.g_02911
OG0000063	Syao.g_02230	Syar.g_00509
OG0000064	Syao.g_01462, Syao.g_02605	Syar.g_03117
OG0000065	Syao.g_02600	Syar.g_03119
OG0000066	Syao.g_01422	Syar.g_02228
OG0000067	Syao.g_00756	Syar.g_02639
OG0000068	Syao.g_00868	Syar.g_02329
OG0000068	Syao.g_00036	Syar.g_01461
OG0000069	Syao.g_01265, Syao.g_01460, Syao.g_00313	Syar.g_01716
OG0000070	Syao.g_00330	Syar.g_02223
OG0000071	Syao.g_01433	Syar.g_02777
OG0000072	Syao.g_02509	Syar.g_00107
OG0000072	Syao.g_01749	Syar.g_01140
OG0000073	Syao.g_00103	Syar.g_01493
OG0000076	Syao.g_01949	Syar.g_00608
OG0000077	Syao.g_02629	Syar.g_03051
OG0000078	Syao.g_01709	Syar.g_03018
OG0000079	Syao.g_02105	Syar.g_00166
OG0000080	Syao.g_02269	Syar.g_00585
OG0000082	Syao.g_01035	Syar.g_02202
OG0000085	Syao.g_01569	Syar.g_02919
OG0000086	Syao.g_02653, Syao.g_01240	Syar.g_03085
OG0000087	Syao.g_02555	Syar.g_00068
OG0000088	Syao.g_02503	Syar.g_00101
OG0000089	Syao.g_01716	Syar.g_01162
OG0000090	Syao.g_01412	Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000092	Syao.g_00656	Syar.g_01960
OG0000093	Syao.g_00739	Syar.g_02623
OG0000094	Syao.g_00458	Syar.g_01789
OG0000095	Syao.g_00331	Syar.g_01932
OG0000097	Syao.g_00973	Syar.g_00364
OG0000098	Syao.g_01374	Syar.g_02343
OG0000099	Syao.g_02019	Syar.g_00715
OG0000100	Syao.g_00787	Syar.g_02477
OG0000101	Syao.g_01840	Syar.g_01073
OG0000102	Syao.g_01945	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Syao.g_02340	Syar.g_00452
