Orthogroup	Prbd	Prba
OG0000000	Prbd.g_01914	Prba.g_00243
OG0000000	Prbd.g_01568	Prba.g_00269
OG0000000	Prbd.g_00528	Prba.g_00003, Prba.g_00270
OG0000001	Prbd.g_01771	Prba.g_00203
OG0000001	Prbd.g_00566	Prba.g_01639
OG0000002	Prbd.g_01930	Prba.g_01081, Prba.g_01080
OG0000002	Prbd.g_01779	Prba.g_00211
OG0000004	Prbd.g_01835	Prba.g_01172
OG0000004	Prbd.g_01567	Prba.g_00268
OG0000005	Prbd.g_00031	Prba.g_01570
OG0000005	Prbd.g_00038	Prba.g_01563
OG0000005	Prbd.g_01855	Prba.g_01171
OG0000006	Prbd.g_01870	Prba.g_01157
OG0000006	Prbd.g_00053	Prba.g_01550
OG0000006	Prbd.g_00409	Prba.g_00734
OG0000007	Prbd.g_00297	Prba.g_01304
OG0000007	Prbd.g_01894	Prba.g_00901
OG0000007	Prbd.g_00854	Prba.g_00878
OG0000008	Prbd.g_00745	Prba.g_00964
OG0000008	Prbd.g_01525	Prba.g_00226
OG0000010	Prbd.g_00082	Prba.g_01519
OG0000010	Prbd.g_00990	Prba.g_00468
OG0000011	Prbd.g_00863	Prba.g_00869
OG0000011	Prbd.g_00052	Prba.g_01551
OG0000012	Prbd.g_00392	Prba.g_01213
OG0000012	Prbd.g_00864	Prba.g_00868
OG0000013	Prbd.g_01576	Prba.g_00276
OG0000013	Prbd.g_01139	Prba.g_01893
OG0000014	Prbd.g_00933	Prba.g_00522
OG0000015	Prbd.g_00909	Prba.g_00546
OG0000016	Prbd.g_00826	Prba.g_01538
OG0000017	Prbd.g_01832	Prba.g_01175
OG0000017	Prbd.g_00772	Prba.g_00991
OG0000018	Prbd.g_00646	Prba.g_01719
OG0000019	Prbd.g_00856	Prba.g_00876
OG0000020	Prbd.g_01768	Prba.g_00200
OG0000021	Prbd.g_01669	Prba.g_00693
OG0000022	Prbd.g_00998	Prba.g_00460
OG0000023	Prbd.g_01546	Prba.g_00245
OG0000023	Prbd.g_00874	Prba.g_00858
OG0000024	Prbd.g_01860	Prba.g_01164
OG0000025	Prbd.g_00045	Prba.g_01558
OG0000026	Prbd.g_01833	Prba.g_01174
OG0000027	Prbd.g_00572	Prba.g_01645
OG0000028	Prbd.g_01879	Prba.g_01150
OG0000029	Prbd.g_00083	Prba.g_01518
OG0000030	Prbd.g_00084	Prba.g_01517
OG0000031	Prbd.g_01328	Prba.g_00775
OG0000032	Prbd.g_01204	Prba.g_01826
OG0000033	Prbd.g_01601	Prba.g_00301
OG0000033	Prbd.g_00034	Prba.g_01567
OG0000034	Prbd.g_01689	Prba.g_00713
OG0000035	Prbd.g_01575	Prba.g_00275
OG0000036	Prbd.g_00406	Prba.g_00737
OG0000039	Prbd.g_01224	Prba.g_01806
OG0000040	Prbd.g_01859	Prba.g_01165
OG0000040	Prbd.g_00836	Prba.g_00900
OG0000041	Prbd.g_00621	Prba.g_01694
OG0000042	Prbd.g_01281	Prba.g_00821
OG0000043	Prbd.g_00379	Prba.g_01226
OG0000043	Prbd.g_00192	Prba.g_01409
OG0000045	Prbd.g_00658	Prba.g_01731
OG0000046	Prbd.g_00061	Prba.g_01543
OG0000047	Prbd.g_00468	Prba.g_00064
OG0000049	Prbd.g_01733	Prba.g_00153
OG0000050	Prbd.g_01074	Prba.g_00622
OG0000051	Prbd.g_00879	Prba.g_00854
OG0000052	Prbd.g_00833	Prba.g_01041
OG0000053	Prbd.g_00007	Prba.g_01594
OG0000054	Prbd.g_01532	Prba.g_00233
OG0000055	Prbd.g_01335	Prba.g_00768
OG0000056	Prbd.g_01206	Prba.g_01824
OG0000057	Prbd.g_01083	Prba.g_01945
OG0000058	Prbd.g_00868	Prba.g_00864
OG0000059	Prbd.g_00703	Prba.g_00922
OG0000060	Prbd.g_00020	Prba.g_01581
OG0000061	Prbd.g_00055	Prba.g_01548
OG0000062	Prbd.g_00124	Prba.g_01477
OG0000065	Prbd.g_01002	Prba.g_00456
OG0000066	Prbd.g_00767	Prba.g_00986
OG0000067	Prbd.g_00546	Prba.g_01619
OG0000068	Prbd.g_00036	Prba.g_01565
OG0000069	Prbd.g_00425	Prba.g_00099
OG0000069	Prbd.g_00284	Prba.g_01317
OG0000070	Prbd.g_00340	Prba.g_01264
OG0000071	Prbd.g_01895	Prba.g_01135
OG0000072	Prbd.g_01801	Prba.g_01192
OG0000074	Prbd.g_01737	Prba.g_00175
OG0000075	Prbd.g_01391	Prba.g_00429
OG0000076	Prbd.g_01730	Prba.g_00149
OG0000077	Prbd.g_01226	Prba.g_01804
OG0000078	Prbd.g_00917	Prba.g_00538
OG0000079	Prbd.g_00855	Prba.g_00877
OG0000080	Prbd.g_00575	Prba.g_01648
OG0000081	Prbd.g_00553	Prba.g_01626
OG0000082	Prbd.g_00109	Prba.g_01492
OG0000083	Prbd.g_00174	Prba.g_01427
OG0000084	Prbd.g_00264	Prba.g_01337
OG0000085	Prbd.g_00389	Prba.g_01216
OG0000086	Prbd.g_00427	Prba.g_00097
OG0000087	Prbd.g_01913	Prba.g_00242
OG0000088	Prbd.g_01889	Prba.g_01140
OG0000089	Prbd.g_01884	Prba.g_01145
OG0000089	Prbd.g_01547	Prba.g_00249
OG0000090	Prbd.g_01734	Prba.g_00155
OG0000091	Prbd.g_01681	Prba.g_00705
OG0000092	Prbd.g_01561	Prba.g_00261
OG0000093	Prbd.g_01439	Prba.g_00381
OG0000094	Prbd.g_01394	Prba.g_00426
OG0000095	Prbd.g_01361	Prba.g_01069
OG0000096	Prbd.g_01289	Prba.g_00813
OG0000097	Prbd.g_01272	Prba.g_00831
OG0000098	Prbd.g_01234	Prba.g_01796
OG0000099	Prbd.g_01214	Prba.g_01816
OG0000100	Prbd.g_01199	Prba.g_01833
OG0000101	Prbd.g_01188	Prba.g_01843
OG0000102	Prbd.g_01131	Prba.g_01901
OG0000103	Prbd.g_01122	Prba.g_01909
OG0000104	Prbd.g_01103	Prba.g_01927
OG0000105	Prbd.g_01070	Prba.g_00626
OG0000106	Prbd.g_01056	Prba.g_00640
OG0000107	Prbd.g_01048	Prba.g_00648
OG0000108	Prbd.g_01038	Prba.g_00658
OG0000109	Prbd.g_01000	Prba.g_00458
OG0000110	Prbd.g_00988	Prba.g_00470
OG0000111	Prbd.g_00965	Prba.g_00491
OG0000112	Prbd.g_00955	Prba.g_00501
OG0000113	Prbd.g_00942	Prba.g_00513
OG0000114	Prbd.g_00914	Prba.g_00541
OG0000115	Prbd.g_00768	Prba.g_00987
OG0000116	Prbd.g_00766	Prba.g_00985
OG0000117	Prbd.g_00762	Prba.g_00981
OG0000118	Prbd.g_00743	Prba.g_00962
OG0000119	Prbd.g_00710	Prba.g_00929
OG0000120	Prbd.g_00709	Prba.g_00928
OG0000121	Prbd.g_00699	Prba.g_01772
OG0000122	Prbd.g_00690	Prba.g_01763
OG0000123	Prbd.g_00659	Prba.g_01732
OG0000124	Prbd.g_00593	Prba.g_01666
OG0000125	Prbd.g_00592	Prba.g_01665
OG0000126	Prbd.g_00591	Prba.g_01664
OG0000127	Prbd.g_00558	Prba.g_01631
OG0000128	Prbd.g_00009	Prba.g_01592
OG0000129	Prbd.g_00029	Prba.g_01572
