Orthogroup	Prbd	Pras
OG0000000	Prbd.g_01914	Pras.g_00493
OG0000000	Prbd.g_01568	Pras.g_00470
OG0000000	Prbd.g_01569	Pras.g_00469
OG0000000	Prbd.g_00528	Pras.g_00117
OG0000001	Prbd.g_01771	Pras.g_00243
OG0000001	Prbd.g_00566	Pras.g_01554
OG0000002	Prbd.g_01930	Pras.g_00118, Pras.g_00120
OG0000002	Prbd.g_01779	Pras.g_00235
OG0000004	Prbd.g_01835	Pras.g_00182
OG0000004	Prbd.g_01567	Pras.g_00471
OG0000005	Prbd.g_00031	Pras.g_01631
OG0000005	Prbd.g_00038	Pras.g_01638
OG0000006	Prbd.g_01870	Pras.g_00163
OG0000006	Prbd.g_00053	Pras.g_01654
OG0000006	Prbd.g_00409	Pras.g_00004
OG0000007	Prbd.g_01894	Pras.g_00151
OG0000007	Prbd.g_00854	Pras.g_01237
OG0000008	Prbd.g_00745	Pras.g_01375
OG0000008	Prbd.g_01525	Pras.g_00550
OG0000010	Prbd.g_00082	Pras.g_01681
OG0000010	Prbd.g_00990	Pras.g_01101
OG0000011	Prbd.g_00863	Pras.g_01228
OG0000011	Prbd.g_00052	Pras.g_01653
OG0000012	Prbd.g_00392	Pras.g_01985
OG0000012	Prbd.g_00864	Pras.g_01227
OG0000013	Prbd.g_01576	Pras.g_00463
OG0000013	Prbd.g_01139	Pras.g_00956
OG0000014	Prbd.g_00933	Pras.g_01158
OG0000015	Prbd.g_00909	Pras.g_01182
OG0000016	Prbd.g_00826	Pras.g_00127
OG0000017	Prbd.g_01832	Pras.g_00185
OG0000017	Prbd.g_00772	Pras.g_01348
OG0000018	Prbd.g_00646	Pras.g_01474
OG0000019	Prbd.g_00856	Pras.g_01235
OG0000020	Prbd.g_01768	Pras.g_00246
OG0000021	Prbd.g_01669	Pras.g_00370
OG0000022	Prbd.g_00998	Pras.g_00148
OG0000023	Prbd.g_01546	Pras.g_00507
OG0000023	Prbd.g_00874	Pras.g_01218
OG0000024	Prbd.g_01860	Pras.g_00175
OG0000025	Prbd.g_00045	Pras.g_01645
OG0000026	Prbd.g_01833	Pras.g_00184
OG0000027	Prbd.g_00572	Pras.g_01548
OG0000029	Prbd.g_00083	Pras.g_01682
OG0000030	Prbd.g_00084	Pras.g_01683
OG0000031	Prbd.g_01328	Pras.g_00750
OG0000032	Prbd.g_01204	Pras.g_00875
OG0000033	Prbd.g_01601	Pras.g_00440
OG0000033	Prbd.g_00034	Pras.g_01634
OG0000034	Prbd.g_01689	Pras.g_00350
OG0000035	Prbd.g_01575	Pras.g_00464
OG0000036	Prbd.g_00406	Pras.g_00001
OG0000037	Prbd.g_01544	Pras.g_00508
