Orthogroup	Prbd	Prbl
OG0000000	Prbd.g_01568	Prbl.g_00116
OG0000000	Prbd.g_01569, Prbd.g_00528, Prbd.g_01836	Prbl.g_00118
OG0000001	Prbd.g_01771	Prbl.g_01582
OG0000001	Prbd.g_00566	Prbl.g_01092
OG0000002	Prbd.g_01930	Prbl.g_02599
OG0000002	Prbd.g_01779	Prbl.g_00121, Prbl.g_00725, Prbl.g_00808, Prbl.g_02598, Prbl.g_02578
OG0000004	Prbd.g_01835, Prbd.g_01567	Prbl.g_00117
OG0000005	Prbd.g_00038	Prbl.g_01685, Prbl.g_00679
OG0000008	Prbd.g_00745	Prbl.g_00531
OG0000008	Prbd.g_01525	Prbl.g_00394
OG0000010	Prbd.g_00082, Prbd.g_00990	Prbl.g_01509
OG0000011	Prbd.g_00863, Prbd.g_00052	Prbl.g_01163
OG0000012	Prbd.g_00439	Prbl.g_01465
OG0000013	Prbd.g_01576, Prbd.g_01139	Prbl.g_00155, Prbl.g_00554
OG0000015	Prbd.g_00909	Prbl.g_00719
OG0000016	Prbd.g_00065, Prbd.g_00826	Prbl.g_01566
OG0000018	Prbd.g_00646	Prbl.g_01763, Prbl.g_01755
OG0000020	Prbd.g_01768	Prbl.g_00007, Prbl.g_00046
OG0000022	Prbd.g_00998	Prbl.g_02601
OG0000023	Prbd.g_01546, Prbd.g_00874	Prbl.g_01768
OG0000024	Prbd.g_01860	Prbl.g_02617
OG0000025	Prbd.g_00045	Prbl.g_00040
OG0000027	Prbd.g_00572	Prbl.g_01854
OG0000031	Prbd.g_01328	Prbl.g_01236, Prbl.g_01121, Prbl.g_02184
OG0000032	Prbd.g_01204	Prbl.g_01981
OG0000034	Prbd.g_01689	Prbl.g_00242
OG0000037	Prbd.g_01544	Prbl.g_01677
OG0000040	Prbd.g_01859, Prbd.g_00836	Prbl.g_01822
OG0000041	Prbd.g_00621	Prbl.g_01618
OG0000045	Prbd.g_00658	Prbl.g_01783
OG0000046	Prbd.g_00061	Prbl.g_01072, Prbl.g_01310
OG0000047	Prbd.g_00468	Prbl.g_02084
OG0000049	Prbd.g_01733	Prbl.g_00890
OG0000050	Prbd.g_01074	Prbl.g_01838, Prbl.g_00281
OG0000051	Prbd.g_00879	Prbl.g_02355
OG0000053	Prbd.g_00007	Prbl.g_01839, Prbl.g_02567
OG0000054	Prbd.g_01532	Prbl.g_00405
OG0000055	Prbd.g_01335	Prbl.g_01285
OG0000056	Prbd.g_01206	Prbl.g_01977
OG0000057	Prbd.g_01083	Prbl.g_00290
OG0000058	Prbd.g_00868	Prbl.g_00411
OG0000059	Prbd.g_00703	Prbl.g_00752
OG0000061	Prbd.g_00055	Prbl.g_01943
OG0000062	Prbd.g_00124	Prbl.g_02310
OG0000066	Prbd.g_00767	Prbl.g_01340
OG0000067	Prbd.g_00546	Prbl.g_00025
OG0000070	Prbd.g_00340	Prbl.g_00927
OG0000071	Prbd.g_01895	Prbl.g_01384
OG0000072	Prbd.g_01801	Prbl.g_01722
OG0000074	Prbd.g_01737	Prbl.g_00892
OG0000075	Prbd.g_01391	Prbl.g_01126, Prbl.g_01000
OG0000076	Prbd.g_01730	Prbl.g_00889
OG0000077	Prbd.g_01226	Prbl.g_02109
OG0000078	Prbd.g_00917	Prbl.g_00897
OG0000079	Prbd.g_00855	Prbl.g_02190
OG0000080	Prbd.g_00575	Prbl.g_01395
OG0000081	Prbd.g_00553	Prbl.g_01859
OG0000082	Prbd.g_00109	Prbl.g_02328
OG0000084	Prbd.g_00264	Prbl.g_02478
OG0000085	Prbd.g_00389	Prbl.g_02128
OG0000086	Prbd.g_00427	Prbl.g_02204
OG0000090	Prbd.g_01734	Prbl.g_00893
OG0000091	Prbd.g_01681	Prbl.g_00226
OG0000092	Prbd.g_01561	Prbl.g_00462
OG0000093	Prbd.g_01439	Prbl.g_00952
OG0000094	Prbd.g_01394	Prbl.g_00996
OG0000095	Prbd.g_01361	Prbl.g_00857
OG0000096	Prbd.g_01289	Prbl.g_01991
OG0000098	Prbd.g_01234	Prbl.g_02118
OG0000099	Prbd.g_01214	Prbl.g_01968
OG0000101	Prbd.g_01188	Prbl.g_02273
OG0000102	Prbd.g_01131	Prbl.g_01331
OG0000103	Prbd.g_01122	Prbl.g_01316
OG0000104	Prbd.g_01103, Prbd.g_01104	Prbl.g_00810
OG0000105	Prbd.g_01070	Prbl.g_00277
OG0000106	Prbd.g_01056	Prbl.g_00069
OG0000107	Prbd.g_01048	Prbl.g_00088
OG0000108	Prbd.g_01038	Prbl.g_00098
OG0000109	Prbd.g_01000	Prbl.g_00193
OG0000110	Prbd.g_00988	Prbl.g_01506
OG0000111	Prbd.g_00965	Prbl.g_01461
OG0000113	Prbd.g_00942	Prbl.g_01432
OG0000114	Prbd.g_00914	Prbl.g_00877
OG0000115	Prbd.g_00768	Prbl.g_01341
OG0000116	Prbd.g_00766	Prbl.g_01339
OG0000117	Prbd.g_00762	Prbl.g_00511
