Orthogroup	Prbd	Praz
OG0000000	Prbd.g_01914	Praz.g_00894
OG0000000	Prbd.g_01568	Praz.g_00921
OG0000000	Prbd.g_00528	Praz.g_00922, Praz.g_00694
OG0000001	Prbd.g_01771	Praz.g_01146
OG0000001	Prbd.g_00566	Praz.g_01652
OG0000002	Prbd.g_01930	Praz.g_01939, Praz.g_01940
OG0000002	Prbd.g_01779	Praz.g_01154
OG0000004	Prbd.g_01835	Praz.g_01200
OG0000004	Prbd.g_01567	Praz.g_00920
OG0000005	Prbd.g_00031	Praz.g_01583
OG0000005	Prbd.g_00038	Praz.g_01576
OG0000005	Prbd.g_01855	Praz.g_01201
OG0000006	Prbd.g_01870	Praz.g_01215
OG0000006	Prbd.g_00053	Praz.g_01563
OG0000006	Prbd.g_00409	Praz.g_00045
OG0000007	Prbd.g_00297	Praz.g_01317
OG0000007	Prbd.g_01894	Praz.g_00767
OG0000007	Prbd.g_00854	Praz.g_00790
OG0000008	Prbd.g_00745	Praz.g_01831
OG0000008	Prbd.g_01525	Praz.g_00877
OG0000010	Prbd.g_00082	Praz.g_01532
OG0000010	Prbd.g_00990	Praz.g_00609
OG0000011	Prbd.g_00863	Praz.g_00799
OG0000011	Prbd.g_00052	Praz.g_01564
OG0000012	Prbd.g_00864	Praz.g_00800
OG0000013	Prbd.g_01576	Praz.g_00929
OG0000013	Prbd.g_01139	Praz.g_00465
OG0000014	Prbd.g_00933	Praz.g_00663
OG0000015	Prbd.g_00909	Praz.g_00687
OG0000016	Prbd.g_00826	Praz.g_01551
OG0000017	Prbd.g_01832	Praz.g_01197
OG0000017	Prbd.g_00772	Praz.g_01858
OG0000018	Prbd.g_00646	Praz.g_01732
OG0000019	Prbd.g_00856	Praz.g_00792
OG0000020	Prbd.g_01768	Praz.g_01143
OG0000021	Prbd.g_01669	Praz.g_01021
OG0000022	Prbd.g_00998	Praz.g_00601
OG0000023	Prbd.g_01546	Praz.g_00896
OG0000023	Prbd.g_00874	Praz.g_00810
OG0000024	Prbd.g_01860	Praz.g_01208
OG0000025	Prbd.g_00045	Praz.g_01571
OG0000026	Prbd.g_01833	Praz.g_01198
OG0000027	Prbd.g_00572	Praz.g_01658
