Orthogroup	Prbd	Prbn
OG0000000	Prbd.g_01914, Prbd.g_01568	Prbn.g_01662
OG0000000	Prbd.g_01569, Prbd.g_00528	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663
OG0000001	Prbd.g_01771	Prbn.g_01483, Prbn.g_01478
OG0000001	Prbd.g_00566	Prbn.g_01586, Prbn.g_00879, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154
OG0000002	Prbd.g_01930	Prbn.g_01923
OG0000002	Prbd.g_01779	Prbn.g_01213
OG0000004	Prbd.g_01835, Prbd.g_01567	Prbn.g_01151
OG0000005	Prbd.g_00038	Prbn.g_01110
OG0000006	Prbd.g_01870, Prbd.g_01840, Prbd.g_00053, Prbd.g_00409	Prbn.g_01049
OG0000008	Prbd.g_00745	Prbn.g_00617
OG0000008	Prbd.g_01525	Prbn.g_01745
OG0000010	Prbd.g_00082	Prbn.g_01165
OG0000010	Prbd.g_00990	Prbn.g_00015
OG0000011	Prbd.g_00863	Prbn.g_01836
OG0000011	Prbd.g_00052	Prbn.g_01676, Prbn.g_00126
OG0000012	Prbd.g_00392	Prbn.g_00038
OG0000012	Prbd.g_00439	Prbn.g_01097
OG0000013	Prbd.g_01576, Prbd.g_01139	Prbn.g_00887
OG0000016	Prbd.g_00065, Prbd.g_00826	Prbn.g_01684, Prbn.g_01730
OG0000017	Prbd.g_01832, Prbd.g_00772	Prbn.g_01664, Prbn.g_00139
OG0000018	Prbd.g_00646	Prbn.g_00517, Prbn.g_00510
OG0000019	Prbd.g_00856	Prbn.g_01706, Prbn.g_01673
OG0000020	Prbd.g_01768	Prbn.g_01135, Prbn.g_00885
OG0000022	Prbd.g_00998	Prbn.g_00308
OG0000023	Prbd.g_01546, Prbd.g_00874	Prbn.g_01560
OG0000024	Prbd.g_01860	Prbn.g_00138, Prbn.g_01143
OG0000025	Prbd.g_00045	Prbn.g_01353, Prbn.g_01589
OG0000029	Prbd.g_00083	Prbn.g_01140, Prbn.g_01719
OG0000030	Prbd.g_00084	Prbn.g_01727
OG0000031	Prbd.g_01328	Prbn.g_00988
OG0000034	Prbd.g_01689	Prbn.g_00212
OG0000035	Prbd.g_01575	Prbn.g_00659
OG0000036	Prbd.g_00406	Prbn.g_00875
OG0000041	Prbd.g_00621	Prbn.g_00492, Prbn.g_00867
OG0000043	Prbd.g_00192	Prbn.g_01042
OG0000045	Prbd.g_00658	Prbn.g_01734, Prbn.g_00530
OG0000046	Prbd.g_00061	Prbn.g_00891
OG0000047	Prbd.g_00468	Prbn.g_01189
OG0000049	Prbd.g_01733	Prbn.g_00172
OG0000050	Prbd.g_01074	Prbn.g_01247
OG0000051	Prbd.g_00879	Prbn.g_01030
OG0000053	Prbd.g_00007	Prbn.g_01554
OG0000054	Prbd.g_01532	Prbn.g_00144, Prbn.g_01737
OG0000055	Prbd.g_01335	Prbn.g_00996
OG0000056	Prbd.g_01206	Prbn.g_00750
OG0000057	Prbd.g_01083	Prbn.g_01256
OG0000058	Prbd.g_00868	Prbn.g_00829
OG0000059	Prbd.g_00703	Prbn.g_00577, Prbn.g_01657
OG0000062	Prbd.g_00124	Prbn.g_01523
OG0000065	Prbd.g_01002, Prbd.g_01537	Prbn.g_00313
OG0000066	Prbd.g_00767	Prbn.g_00639
OG0000067	Prbd.g_00546	Prbn.g_01562
OG0000070	Prbd.g_00340	Prbn.g_01471
OG0000071	Prbd.g_01895	Prbn.g_00389
OG0000072	Prbd.g_01801	Prbn.g_01084
OG0000073	Prbd.g_01784	Prbn.g_00141
OG0000074	Prbd.g_01737	Prbn.g_00170
OG0000075	Prbd.g_01391	Prbn.g_01881
OG0000077	Prbd.g_01226	Prbn.g_00002, Prbn.g_00003
OG0000078	Prbd.g_00917	Prbn.g_00088
OG0000079	Prbd.g_00855	Prbn.g_01102
OG0000080	Prbd.g_00575	Prbn.g_00845
