Orthogroup	Prbj	Syaf
OG0000001	Prbj.g_01549, Prbj.g_02662	Syaf.g_00845
OG0000004	Prbj.g_00754	Syaf.g_01455
OG0000004	Prbj.g_01777	Syaf.g_02351, Syaf.g_02794
OG0000005	Prbj.g_00883	Syaf.g_01057
OG0000006	Prbj.g_02699	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778
OG0000007	Prbj.g_01610	Syaf.g_02702
OG0000007	Prbj.g_00857	Syaf.g_01033
OG0000008	Prbj.g_00929	Syaf.g_01479
OG0000008	Prbj.g_00928	Syaf.g_01480
OG0000009	Prbj.g_01300, Prbj.g_00618	Syaf.g_00905
OG0000010	Prbj.g_00129	Syaf.g_02499
OG0000011	Prbj.g_00897	Syaf.g_01532
OG0000013	Prbj.g_00359	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061
OG0000014	Prbj.g_01442	Syaf.g_00280
OG0000015	Prbj.g_02502	Syaf.g_02120, Syaf.g_02121
OG0000017	Prbj.g_01769	Syaf.g_02561
OG0000017	Prbj.g_01761	Syaf.g_02554
OG0000018	Prbj.g_00641	Syaf.g_02451
OG0000019	Prbj.g_00025, Prbj.g_01349	Syaf.g_00193
OG0000020	Prbj.g_00214, Prbj.g_02701	Syaf.g_02187
OG0000021	Prbj.g_01121, Prbj.g_01774	Syaf.g_02773
OG0000022	Prbj.g_00050	Syaf.g_02256
OG0000023	Prbj.g_02392	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Prbj.g_00773	Syaf.g_01484
OG0000025	Prbj.g_02475	Syaf.g_01385
OG0000026	Prbj.g_01204	Syaf.g_00461
OG0000028	Prbj.g_01457	Syaf.g_00297
OG0000029	Prbj.g_00378	Syaf.g_01761
OG0000030	Prbj.g_01288	Syaf.g_00406
OG0000030	Prbj.g_01287	Syaf.g_00407
OG0000031	Prbj.g_01522, Prbj.g_01527	Syaf.g_00314
OG0000032	Prbj.g_00659	Syaf.g_02471
OG0000033	Prbj.g_00518	Syaf.g_00807
OG0000034	Prbj.g_01740	Syaf.g_01241, Syaf.g_00837
OG0000035	Prbj.g_01056	Syaf.g_02412
