Orthogroup	Prbj	Syaj
OG0000001	Prbj.g_01549, Prbj.g_02662	Syaj.g_01950
OG0000002	Prbj.g_02517, Prbj.g_00030	Syaj.g_02667
OG0000004	Prbj.g_00754	Syaj.g_00441
OG0000004	Prbj.g_01777	Syaj.g_01314, Syaj.g_02853
OG0000005	Prbj.g_00883	Syaj.g_01698
OG0000006	Prbj.g_02699	Syaj.g_02635
OG0000007	Prbj.g_01610	Syaj.g_00091
OG0000007	Prbj.g_00857	Syaj.g_01721
OG0000008	Prbj.g_00929	Syaj.g_00496
OG0000008	Prbj.g_00928	Syaj.g_00497
OG0000009	Prbj.g_01300, Prbj.g_00618	Syaj.g_01885
OG0000010	Prbj.g_00129	Syaj.g_01445
OG0000011	Prbj.g_00897	Syaj.g_01133
OG0000012	Prbj.g_02552	Syaj.g_01306
OG0000013	Prbj.g_00359	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769
OG0000014	Prbj.g_01442	Syaj.g_02522
OG0000015	Prbj.g_02502	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659
OG0000017	Prbj.g_01769	Syaj.g_00248
OG0000017	Prbj.g_01761	Syaj.g_00255
OG0000018	Prbj.g_00641	Syaj.g_01413
OG0000019	Prbj.g_01349	Syaj.g_02613
OG0000021	Prbj.g_01121, Prbj.g_01774	Syaj.g_00042
OG0000022	Prbj.g_00050	Syaj.g_01220
OG0000023	Prbj.g_02392	Syaj.g_00829, Syaj.g_01791
OG0000024	Prbj.g_00773	Syaj.g_00500
OG0000025	Prbj.g_02475	Syaj.g_00383
OG0000026	Prbj.g_01204	Syaj.g_02298
OG0000028	Prbj.g_01457	Syaj.g_02506
OG0000029	Prbj.g_00378	Syaj.g_01229
OG0000030	Prbj.g_01288	Syaj.g_02396
OG0000030	Prbj.g_01287	Syaj.g_02395
OG0000031	Prbj.g_01522, Prbj.g_01527	Syaj.g_02501
OG0000032	Prbj.g_00659	Syaj.g_01432
OG0000033	Prbj.g_00518	Syaj.g_01990
OG0000034	Prbj.g_01740	Syaj.g_01959
OG0000035	Prbj.g_01056	Syaj.g_01378
OG0000037	Prbj.g_00624	Syaj.g_01891, Syaj.g_02902
OG0000038	Prbj.g_01959	Syaj.g_02115
OG0000039	Prbj.g_00278	Syaj.g_00275
OG0000041	Prbj.g_00450	Syaj.g_01602, Syaj.g_00418
OG0000042	Prbj.g_01808, Prbj.g_00001	Syaj.g_02399
OG0000044	Prbj.g_01330, Prbj.g_00194, Prbj.g_02695, Prbj.g_00726	Syaj.g_01344
OG0000045	Prbj.g_00563	Syaj.g_00132
OG0000046	Prbj.g_00358	Syaj.g_02775, Syaj.g_02781, Syaj.g_02768
OG0000047	Prbj.g_00666, Prbj.g_02509	Syaj.g_02799
OG0000048	Prbj.g_01393	Syaj.g_02578
OG0000051	Prbj.g_02362	Syaj.g_00017
OG0000052	Prbj.g_01487	Syaj.g_02476
OG0000053	Prbj.g_00638	Syaj.g_01409
OG0000054	Prbj.g_01758	Syaj.g_01341
OG0000056	Prbj.g_02533	Syaj.g_00985, Syaj.g_02864
OG0000057	Prbj.g_00758	Syaj.g_00438
OG0000058	Prbj.g_01467	Syaj.g_02495
OG0000059	Prbj.g_01029	Syaj.g_02686
OG0000060	Prbj.g_01633	Syaj.g_00067
OG0000061	Prbj.g_00971	Syaj.g_00302
OG0000062	Prbj.g_00881	Syaj.g_01700
OG0000063	Prbj.g_01208	Syaj.g_02302
OG0000066	Prbj.g_02141	Syaj.g_00157
OG0000067	Prbj.g_02412	Syaj.g_01023
OG0000068	Prbj.g_01639	Syaj.g_00059
OG0000070	Prbj.g_00118	Syaj.g_01529
OG0000071	Prbj.g_01728	Syaj.g_01511
OG0000072	Prbj.g_00516	Syaj.g_01992
OG0000073	Prbj.g_01608	Syaj.g_00093
OG0000075	Prbj.g_01502	Syaj.g_02457
OG0000076	Prbj.g_01598	Syaj.g_02417
OG0000077	Prbj.g_01900	Syaj.g_01831
OG0000078	Prbj.g_02614	Syaj.g_02880
OG0000082	Prbj.g_01789	Syaj.g_00229
OG0000084	Prbj.g_01052	Syaj.g_01375
OG0000085	Prbj.g_00869	Syaj.g_01707
OG0000086	Prbj.g_00589	Syaj.g_01848
OG0000087	Prbj.g_01547	Syaj.g_01945
OG0000088	Prbj.g_00521, Prbj.g_00912	Syaj.g_01986
OG0000089	Prbj.g_00064	Syaj.g_02829, Syaj.g_01915
OG0000090	Prbj.g_02127	Syaj.g_00144
OG0000091	Prbj.g_02581	Syaj.g_01275
OG0000093	Prbj.g_02388	Syaj.g_01042
OG0000094	Prbj.g_01985	Syaj.g_00804
OG0000095	Prbj.g_01838	Syaj.g_00427
OG0000097	Prbj.g_02152	Syaj.g_00589
OG0000098	Prbj.g_00669	Syaj.g_02671
OG0000099	Prbj.g_01464	Syaj.g_02503
OG0000100	Prbj.g_00185, Prbj.g_02442	Syaj.g_00987
OG0000101	Prbj.g_00981	Syaj.g_02738
OG0000102	Prbj.g_01819	Syaj.g_02411
OG0000103	Prbj.g_02055	Syaj.g_02243
OG0000104	Prbj.g_02069	Syaj.g_02258
OG0000105	Prbj.g_01397	Syaj.g_02573
OG0000106	Prbj.g_00875	Syaj.g_01130
OG0000107	Prbj.g_02659	Syaj.g_02637
OG0000108	Prbj.g_01630	Syaj.g_00072
OG0000109	Prbj.g_01614	Syaj.g_00087
OG0000110	Prbj.g_01801	Syaj.g_00215
OG0000111	Prbj.g_00759	Syaj.g_00437
OG0000112	Prbj.g_02276	Syaj.g_00907
OG0000113	Prbj.g_02437	Syaj.g_00992
OG0000114	Prbj.g_02340	Syaj.g_00741
OG0000115	Prbj.g_00634	Syaj.g_01402
OG0000116	Prbj.g_00956	Syaj.g_00289
OG0000117	Prbj.g_01915	Syaj.g_00637
OG0000118	Prbj.g_01742	Syaj.g_00267
OG0000119	Prbj.g_00740, Prbj.g_00778	Syaj.g_00317
OG0000120	Prbj.g_01465	Syaj.g_02502
OG0000121	Prbj.g_01064, Prbj.g_01058	Syaj.g_01383
OG0000122	Prbj.g_02627	Syaj.g_01250
OG0000123	Prbj.g_00406	Syaj.g_02745
OG0000124	Prbj.g_01281	Syaj.g_02388
OG0000125	Prbj.g_01963	Syaj.g_02117
OG0000126	Prbj.g_02067	Syaj.g_02256
OG0000127	Prbj.g_02148, Prbj.g_00896	Syaj.g_00538
OG0000128	Prbj.g_02085	Syaj.g_02274
OG0000129	Prbj.g_01951	Syaj.g_02106
OG0000130	Prbj.g_00564	Syaj.g_01818
OG0000131	Prbj.g_00543	Syaj.g_01964
OG0000132	Prbj.g_00523	Syaj.g_01984
OG0000133	Prbj.g_01460	Syaj.g_00902
OG0000134	Prbj.g_00067	Syaj.g_02832
OG0000135	Prbj.g_02004	Syaj.g_02167
OG0000136	Prbj.g_00105	Syaj.g_01550
OG0000137	Prbj.g_00128	Syaj.g_01444
OG0000138	Prbj.g_01613	Syaj.g_00088
OG0000139	Prbj.g_02133	Syaj.g_00150
OG0000140	Prbj.g_02139	Syaj.g_00153
OG0000141	Prbj.g_01757	Syaj.g_01340
OG0000142	Prbj.g_02573	Syaj.g_01283
OG0000143	Prbj.g_02577	Syaj.g_01279
OG0000144	Prbj.g_00793	Syaj.g_01151
OG0000145	Prbj.g_01607	Syaj.g_00094
OG0000146	Prbj.g_02277	Syaj.g_00908
OG0000147	Prbj.g_02278	Syaj.g_00909
OG0000148	Prbj.g_02431	Syaj.g_01003
OG0000149	Prbj.g_02488	Syaj.g_00369
OG0000150	Prbj.g_02511	Syaj.g_01339, Syaj.g_00154
OG0000151	Prbj.g_02361	Syaj.g_01074
OG0000152	Prbj.g_02268	Syaj.g_00898
OG0000153	Prbj.g_02241	Syaj.g_00842
OG0000154	Prbj.g_02213	Syaj.g_00814
OG0000155	Prbj.g_00312	Syaj.g_00338
OG0000156	Prbj.g_00163	Syaj.g_00282
OG0000157	Prbj.g_00162	Syaj.g_00281
OG0000158	Prbj.g_01514	Syaj.g_02445
OG0000160	Prbj.g_01057	Syaj.g_01382
OG0000161	Prbj.g_01071	Syaj.g_01389
OG0000162	Prbj.g_01077	Syaj.g_01395
OG0000163	Prbj.g_01688	Syaj.g_01639
OG0000164	Prbj.g_00476	Syaj.g_01758
OG0000165	Prbj.g_00467	Syaj.g_01582
OG0000166	Prbj.g_01019	Syaj.g_02698
OG0000167	Prbj.g_01500	Syaj.g_02460
OG0000168	Prbj.g_01515	Syaj.g_02444
OG0000169	Prbj.g_01581	Syaj.g_02431, Syaj.g_02429
OG0000170	Prbj.g_01593	Syaj.g_02422
OG0000171	Prbj.g_01282	Syaj.g_02389
OG0000172	Prbj.g_01248	Syaj.g_02365
OG0000173	Prbj.g_01227	Syaj.g_02321
OG0000174	Prbj.g_02006	Syaj.g_02169
OG0000175	Prbj.g_02044	Syaj.g_02229
OG0000176	Prbj.g_02077	Syaj.g_02266
OG0000177	Prbj.g_02078	Syaj.g_02267
OG0000178	Prbj.g_02079	Syaj.g_02268
OG0000179	Prbj.g_01188	Syaj.g_02283
OG0000180	Prbj.g_01189	Syaj.g_02284
OG0000181	Prbj.g_01190	Syaj.g_02285
OG0000182	Prbj.g_01191	Syaj.g_02286
OG0000183	Prbj.g_01195	Syaj.g_02290
OG0000184	Prbj.g_01943	Syaj.g_02098
OG0000186	Prbj.g_00558	Syaj.g_01812
OG0000187	Prbj.g_00560	Syaj.g_01814
OG0000188	Prbj.g_00581	Syaj.g_01837
OG0000189	Prbj.g_00607	Syaj.g_01874
OG0000190	Prbj.g_00609	Syaj.g_01876
OG0000191	Prbj.g_01557	Syaj.g_01910
OG0000192	Prbj.g_01566	Syaj.g_01919
OG0000193	Prbj.g_00542	Syaj.g_01965
OG0000194	Prbj.g_00539	Syaj.g_01968
OG0000195	Prbj.g_00537	Syaj.g_01971
OG0000196	Prbj.g_00526	Syaj.g_01981
OG0000197	Prbj.g_00525	Syaj.g_01982
OG0000198	Prbj.g_00524	Syaj.g_01983
OG0000199	Prbj.g_00517	Syaj.g_01991
OG0000200	Prbj.g_01138	Syaj.g_02008
OG0000201	Prbj.g_01157	Syaj.g_02024
OG0000202	Prbj.g_01158	Syaj.g_02025
OG0000203	Prbj.g_01159	Syaj.g_02026
OG0000204	Prbj.g_01160	Syaj.g_02027
OG0000205	Prbj.g_01167	Syaj.g_02035
OG0000206	Prbj.g_00288	Syaj.g_02043
OG0000207	Prbj.g_00234	Syaj.g_02045
OG0000208	Prbj.g_00235	Syaj.g_02046
OG0000209	Prbj.g_00262	Syaj.g_02070
OG0000210	Prbj.g_00263	Syaj.g_02071
OG0000211	Prbj.g_00177	Syaj.g_02856
OG0000212	Prbj.g_02615	Syaj.g_02881
OG0000213	Prbj.g_01362	Syaj.g_02601
OG0000214	Prbj.g_01389	Syaj.g_02582
OG0000215	Prbj.g_01419	Syaj.g_02551
OG0000216	Prbj.g_01422	Syaj.g_02547
OG0000217	Prbj.g_01426	Syaj.g_02543
OG0000218	Prbj.g_01430	Syaj.g_02541
OG0000219	Prbj.g_01431	Syaj.g_02540
OG0000220	Prbj.g_01432	Syaj.g_02539
OG0000221	Prbj.g_01437	Syaj.g_02530
OG0000222	Prbj.g_01446	Syaj.g_02516
OG0000223	Prbj.g_01469	Syaj.g_02494
OG0000224	Prbj.g_01480	Syaj.g_02487
OG0000225	Prbj.g_00323	Syaj.g_02821
OG0000226	Prbj.g_00319	Syaj.g_02825
OG0000227	Prbj.g_00317	Syaj.g_02827
OG0000228	Prbj.g_00063	Syaj.g_02828
OG0000229	Prbj.g_00100	Syaj.g_01555
OG0000230	Prbj.g_00102	Syaj.g_01553
OG0000231	Prbj.g_00117	Syaj.g_01541
OG0000232	Prbj.g_01888	Syaj.g_01497
OG0000233	Prbj.g_00148	Syaj.g_01481
OG0000234	Prbj.g_00127	Syaj.g_01442
OG0000235	Prbj.g_01631	Syaj.g_00071
OG0000236	Prbj.g_01615	Syaj.g_00086
OG0000237	Prbj.g_02094	Syaj.g_00103
OG0000238	Prbj.g_02098	Syaj.g_00108
OG0000239	Prbj.g_02114	Syaj.g_00125
OG0000240	Prbj.g_02115	Syaj.g_00126
OG0000241	Prbj.g_01116	Syaj.g_01291
OG0000242	Prbj.g_02125	Syaj.g_00142
OG0000243	Prbj.g_02668	Syaj.g_00164
OG0000244	Prbj.g_01859	Syaj.g_00180
OG0000245	Prbj.g_01862	Syaj.g_00182
