Orthogroup	Prbj	Prbh
OG0000000	Prbj.g_00166, Prbj.g_00165	Prbh.g_01853
OG0000000	Prbj.g_00164	Prbh.g_01903
OG0000001	Prbj.g_00672, Prbj.g_00169, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690	Prbh.g_00001
OG0000002	Prbj.g_02517	Prbh.g_01016, Prbh.g_01022
OG0000002	Prbj.g_00030	Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000004	Prbj.g_00754	Prbh.g_00933
OG0000004	Prbj.g_01777	Prbh.g_00548
OG0000005	Prbj.g_00883	Prbh.g_00182
OG0000006	Prbj.g_02699	Prbh.g_00538
OG0000007	Prbj.g_01610	Prbh.g_00334
OG0000007	Prbj.g_00857	Prbh.g_01782
OG0000008	Prbj.g_00929	Prbh.g_01406
OG0000008	Prbj.g_00928	Prbh.g_01405
OG0000010	Prbj.g_00129	Prbh.g_00848, Prbh.g_01143
OG0000012	Prbj.g_02552	Prbh.g_01460
OG0000013	Prbj.g_00359	Prbh.g_00452
OG0000014	Prbj.g_01442	Prbh.g_00472
OG0000015	Prbj.g_02502	Prbh.g_00840, Prbh.g_01869
OG0000017	Prbj.g_01769	Prbh.g_00232
OG0000017	Prbj.g_01761	Prbh.g_00225
OG0000018	Prbj.g_00641	Prbh.g_01305
OG0000019	Prbj.g_00025, Prbj.g_01349	Prbh.g_00530, Prbh.g_01307
OG0000020	Prbj.g_00214, Prbj.g_02701	Prbh.g_01898
OG0000021	Prbj.g_01121	Prbh.g_00203
OG0000021	Prbj.g_01774	Prbh.g_00938
OG0000022	Prbj.g_01572	Prbh.g_00190
OG0000023	Prbj.g_02392	Prbh.g_00833
OG0000024	Prbj.g_00773	Prbh.g_01147, Prbh.g_00909
OG0000025	Prbj.g_02475	Prbh.g_00988
OG0000026	Prbj.g_01204	Prbh.g_00749
OG0000028	Prbj.g_01457	Prbh.g_00459
OG0000029	Prbj.g_00378	Prbh.g_01885
OG0000030	Prbj.g_01288, Prbj.g_01287	Prbh.g_01570
OG0000031	Prbj.g_01522, Prbj.g_01527	Prbh.g_00064
OG0000032	Prbj.g_00659	Prbh.g_00138
OG0000033	Prbj.g_00518	Prbh.g_00613
OG0000034	Prbj.g_01740	Prbh.g_01383
OG0000035	Prbj.g_01056	Prbh.g_00096, Prbh.g_00099
OG0000037	Prbj.g_00624	Prbh.g_00674
OG0000038	Prbj.g_01959, Prbj.g_01961	Prbh.g_01530
OG0000039	Prbj.g_00429, Prbj.g_00278	Prbh.g_00921
OG0000041	Prbj.g_00450	Prbh.g_01734
OG0000042	Prbj.g_01808, Prbj.g_00001	Prbh.g_01573
OG0000044	Prbj.g_01330, Prbj.g_00194, Prbj.g_02695, Prbj.g_00726	Prbh.g_01794
OG0000045	Prbj.g_00563	Prbh.g_01327
OG0000046	Prbj.g_00358	Prbh.g_00451
OG0000047	Prbj.g_02509	Prbh.g_00408
OG0000048	Prbj.g_01393	Prbh.g_00508
OG0000052	Prbj.g_01487	Prbh.g_00727
OG0000053	Prbj.g_00638	Prbh.g_00120, Prbh.g_01834
OG0000054	Prbj.g_01758	Prbh.g_00223
OG0000057	Prbj.g_00758	Prbh.g_00936
OG0000059	Prbj.g_01029	Prbh.g_01695
OG0000061	Prbj.g_00971	Prbh.g_01283
OG0000062	Prbj.g_00881	Prbh.g_00184
OG0000063	Prbj.g_01208	Prbh.g_01401
OG0000065	Prbj.g_00620	Prbh.g_00676
OG0000066	Prbj.g_02141	Prbh.g_01856
OG0000067	Prbj.g_02412	Prbh.g_00953
OG0000068	Prbj.g_01639	Prbh.g_00009
OG0000070	Prbj.g_00118	Prbh.g_00382
OG0000071	Prbj.g_01728	Prbh.g_01373
OG0000072	Prbj.g_00516	Prbh.g_00611
OG0000073	Prbj.g_01608	Prbh.g_00330
OG0000075	Prbj.g_01502	Prbh.g_01607
OG0000076	Prbj.g_01598	Prbh.g_01581
OG0000077	Prbj.g_01900, Prbj.g_00576	Prbh.g_00704
OG0000078	Prbj.g_02614	Prbh.g_00540
OG0000079	Prbj.g_01353	Prbh.g_00527
OG0000081	Prbj.g_00799, Prbj.g_00765	Prbh.g_00298
OG0000082	Prbj.g_01789	Prbh.g_01855
OG0000084	Prbj.g_01052	Prbh.g_00093
OG0000085	Prbj.g_00869	Prbh.g_01408
OG0000086	Prbj.g_00589	Prbh.g_00695
OG0000087	Prbj.g_01547	Prbh.g_00642
OG0000088	Prbj.g_00521, Prbj.g_00912	Prbh.g_00616
OG0000089	Prbj.g_00064	Prbh.g_00415
OG0000090	Prbj.g_02127	Prbh.g_00296
OG0000091	Prbj.g_02581	Prbh.g_01211
OG0000093	Prbj.g_02388	Prbh.g_01181
OG0000094	Prbj.g_01985	Prbh.g_01130
OG0000095	Prbj.g_01838	Prbh.g_01031
OG0000097	Prbj.g_02152	Prbh.g_01236
OG0000098	Prbj.g_00669	Prbh.g_01935
OG0000099	Prbj.g_01464	Prbh.g_00032
OG0000100	Prbj.g_00185, Prbj.g_02442	Prbh.g_00179
OG0000101	Prbj.g_00415, Prbj.g_00981	Prbh.g_01644
OG0000102	Prbj.g_01819	Prbh.g_01576
OG0000103	Prbj.g_02055	Prbh.g_01489
OG0000104	Prbj.g_02069	Prbh.g_01480
OG0000105	Prbj.g_01397	Prbh.g_00505
OG0000106	Prbj.g_00875	Prbh.g_00821
OG0000107	Prbj.g_02659	Prbh.g_01718
OG0000108	Prbj.g_01630	Prbh.g_00351
OG0000109	Prbj.g_01614	Prbh.g_00337
OG0000110	Prbj.g_01801	Prbh.g_00254
OG0000111	Prbj.g_00759	Prbh.g_00937
OG0000112	Prbj.g_02276	Prbh.g_01078
OG0000113	Prbj.g_02437	Prbh.g_00976
OG0000114	Prbj.g_02340	Prbh.g_00878
OG0000115	Prbj.g_00634	Prbh.g_01344
OG0000116	Prbj.g_00956	Prbh.g_01294
OG0000117	Prbj.g_01915	Prbh.g_01255
OG0000118	Prbj.g_01742	Prbh.g_01385
OG0000119	Prbj.g_00740	Prbh.g_01333
OG0000119	Prbj.g_00778	Prbh.g_00194
OG0000120	Prbj.g_01465	Prbh.g_00031
OG0000121	Prbj.g_01064, Prbj.g_01058	Prbh.g_00101
OG0000122	Prbj.g_02627	Prbh.g_00143
OG0000123	Prbj.g_00406	Prbh.g_01637
OG0000124	Prbj.g_01281	Prbh.g_01564
OG0000125	Prbj.g_01963	Prbh.g_01528
OG0000126	Prbj.g_02067	Prbh.g_01481
OG0000127	Prbj.g_02148, Prbj.g_00896, Prbj.g_00210	Prbh.g_01938
OG0000128	Prbj.g_02085	Prbh.g_01953
OG0000129	Prbj.g_01951	Prbh.g_00738
OG0000130	Prbj.g_00564	Prbh.g_00713
OG0000131	Prbj.g_00543	Prbh.g_00637
OG0000132	Prbj.g_00523	Prbh.g_00618
OG0000133	Prbj.g_01460	Prbh.g_00457
OG0000134	Prbj.g_00067	Prbh.g_00413
OG0000135	Prbj.g_02004	Prbh.g_01825
OG0000136	Prbj.g_00105	Prbh.g_00391
OG0000137	Prbj.g_00128	Prbh.g_00356
OG0000138	Prbj.g_01613	Prbh.g_00336
OG0000139	Prbj.g_02133	Prbh.g_00292
OG0000140	Prbj.g_02139	Prbh.g_00291
OG0000141	Prbj.g_01757	Prbh.g_00222
OG0000142	Prbj.g_02573	Prbh.g_01218
OG0000143	Prbj.g_02577	Prbh.g_01215
OG0000144	Prbj.g_00793	Prbh.g_01201
OG0000145	Prbj.g_01607	Prbh.g_01880
OG0000146	Prbj.g_02277	Prbh.g_01077
OG0000147	Prbj.g_02278	Prbh.g_01076
OG0000148	Prbj.g_02431	Prbh.g_00970
OG0000149	Prbj.g_02488	Prbh.g_01002
OG0000150	Prbj.g_02511	Prbh.g_01012
OG0000151	Prbj.g_02361	Prbh.g_00888
OG0000152	Prbj.g_02268	Prbh.g_01086
OG0000153	Prbj.g_02241	Prbh.g_01104
OG0000154	Prbj.g_02213	Prbh.g_01121
OG0000155	Prbj.g_00312	Prbh.g_01261
OG0000156	Prbj.g_00163	Prbh.g_01362
OG0000157	Prbj.g_00162	Prbh.g_01363
OG0000158	Prbj.g_01514	Prbh.g_01599
OG0000160	Prbj.g_01057	Prbh.g_00100
OG0000161	Prbj.g_01071	Prbh.g_01288, Prbh.g_00106
OG0000162	Prbj.g_01077	Prbh.g_00112
OG0000163	Prbj.g_01688	Prbh.g_00151
OG0000164	Prbj.g_00476	Prbh.g_01758
OG0000165	Prbj.g_00467	Prbh.g_01750
OG0000166	Prbj.g_01019	Prbh.g_01681
OG0000167	Prbj.g_01500	Prbh.g_01609
OG0000168	Prbj.g_01515	Prbh.g_01598
OG0000169	Prbj.g_01581	Prbh.g_01588
OG0000170	Prbj.g_01593	Prbh.g_01585
OG0000171	Prbj.g_01282	Prbh.g_01565
OG0000172	Prbj.g_01248	Prbh.g_01558
OG0000173	Prbj.g_01227	Prbh.g_01543
OG0000174	Prbj.g_02006	Prbh.g_01512
OG0000175	Prbj.g_02044	Prbh.g_01500
OG0000176	Prbj.g_02077	Prbh.g_01472
OG0000177	Prbj.g_02078	Prbh.g_01471
OG0000178	Prbj.g_02079	Prbh.g_01470
OG0000179	Prbj.g_01188	Prbh.g_00764
OG0000180	Prbj.g_01189	Prbh.g_00763
OG0000181	Prbj.g_01190	Prbh.g_00762
OG0000182	Prbj.g_01191	Prbh.g_00761
OG0000183	Prbj.g_01195	Prbh.g_00757
OG0000184	Prbj.g_01943	Prbh.g_00734
OG0000185	Prbj.g_01921	Prbh.g_00731
OG0000186	Prbj.g_00558	Prbh.g_00719
OG0000187	Prbj.g_00560	Prbh.g_00718
OG0000188	Prbj.g_00581	Prbh.g_00701
OG0000189	Prbj.g_00607	Prbh.g_00687
OG0000190	Prbj.g_00609	Prbh.g_00686
OG0000191	Prbj.g_01557	Prbh.g_00664
OG0000192	Prbj.g_01566	Prbh.g_00659
OG0000193	Prbj.g_00542	Prbh.g_00636
OG0000194	Prbj.g_00539	Prbh.g_00633
OG0000195	Prbj.g_00537	Prbh.g_00631
OG0000196	Prbj.g_00526	Prbh.g_00621
OG0000197	Prbj.g_00525	Prbh.g_00620
OG0000198	Prbj.g_00524	Prbh.g_00619
OG0000199	Prbj.g_00517	Prbh.g_00612
OG0000200	Prbj.g_01138	Prbh.g_00599
OG0000201	Prbj.g_01157	Prbh.g_00590
OG0000202	Prbj.g_01158	Prbh.g_00589
OG0000203	Prbj.g_01159	Prbh.g_00588
OG0000204	Prbj.g_01160	Prbh.g_00587
OG0000205	Prbj.g_01167	Prbh.g_00580
OG0000206	Prbj.g_00288	Prbh.g_00575
OG0000207	Prbj.g_00234	Prbh.g_00573
OG0000208	Prbj.g_00235	Prbh.g_00572
OG0000209	Prbj.g_00262	Prbh.g_00563
OG0000210	Prbj.g_00263	Prbh.g_00562
OG0000211	Prbj.g_00177	Prbh.g_00547
OG0000212	Prbj.g_02615	Prbh.g_00539
OG0000213	Prbj.g_01362	Prbh.g_00521
OG0000214	Prbj.g_01389	Prbh.g_00512
OG0000215	Prbj.g_01419	Prbh.g_00485
OG0000216	Prbj.g_01422	Prbh.g_00484
OG0000217	Prbj.g_01426	Prbh.g_00481
OG0000218	Prbj.g_01430	Prbh.g_00479
OG0000219	Prbj.g_01431	Prbh.g_00478
