Orthogroup	Prbj	Syao
OG0000001	Prbj.g_01549, Prbj.g_02662	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Prbj.g_00754	Syao.g_02374
OG0000004	Prbj.g_01777	Syao.g_01271, Syao.g_01007
OG0000005	Prbj.g_00883	Syao.g_01578
OG0000006	Prbj.g_02699	Syao.g_00919, Syao.g_01518
OG0000007	Prbj.g_01610	Syao.g_00105
OG0000007	Prbj.g_00857	Syao.g_01554
OG0000008	Prbj.g_00928	Syao.g_01321
OG0000009	Prbj.g_01300, Prbj.g_00618	Syao.g_02598
OG0000010	Prbj.g_00129	Syao.g_02683
OG0000013	Prbj.g_00359	Syao.g_01910, Syao.g_01222, Syao.g_01844
OG0000014	Prbj.g_01442	Syao.g_02027
OG0000015	Prbj.g_02502	Syao.g_02339, Syao.g_00302
OG0000017	Prbj.g_01761	Syao.g_01064
OG0000018	Prbj.g_00641	Syao.g_00071
OG0000019	Prbj.g_01349	Syao.g_02108
OG0000021	Prbj.g_01121, Prbj.g_01774	Syao.g_01002
OG0000022	Prbj.g_00050	Syao.g_01218
OG0000023	Prbj.g_02392	Syao.g_01266
OG0000025	Prbj.g_02475	Syao.g_00436, Syao.g_00437
OG0000026	Prbj.g_01204	Syao.g_02234
OG0000028	Prbj.g_01457	Syao.g_02012
OG0000030	Prbj.g_01288	Syao.g_02189
OG0000030	Prbj.g_01287	Syao.g_02188
OG0000031	Prbj.g_01522, Prbj.g_01527	Syao.g_02008
OG0000032	Prbj.g_00659	Syao.g_00090
OG0000032	Prbj.g_01468	Syao.g_01984, Syao.g_01983
OG0000033	Prbj.g_00518	Syao.g_02507
OG0000035	Prbj.g_01056	Syao.g_01483, Syao.g_01486
OG0000036	Prbj.g_01099	Syao.g_00727, Syao.g_00580, Syao.g_01142, Syao.g_00725, Syao.g_02193, Syao.g_00726, Syao.g_00572
OG0000037	Prbj.g_00624	Syao.g_00374
OG0000038	Prbj.g_01959	Syao.g_02440
OG0000038	Prbj.g_01961	Syao.g_02442
OG0000039	Prbj.g_00429, Prbj.g_00278	Syao.g_00704
OG0000041	Prbj.g_00450	Syao.g_00509, Syao.g_01637
OG0000042	Prbj.g_01808, Prbj.g_00001	Syao.g_00019, Syao.g_01941
OG0000045	Prbj.g_00563	Syao.g_01214
OG0000046	Prbj.g_00358	Syao.g_01909, Syao.g_01845
OG0000047	Prbj.g_02509	Syao.g_01899
OG0000048	Prbj.g_01393	Syao.g_02077
OG0000051	Prbj.g_02362	Syao.g_01261
OG0000052	Prbj.g_01487	Syao.g_02520, Syao.g_01972
OG0000053	Prbj.g_00638	Syao.g_00067
OG0000054	Prbj.g_01758	Syao.g_00295, Syao.g_00625
OG0000057	Prbj.g_00758	Syao.g_00377
OG0000058	Prbj.g_01467	Syao.g_01978
OG0000059	Prbj.g_01521	Syao.g_01959
OG0000059	Prbj.g_01029	Syao.g_01801
OG0000061	Prbj.g_00971	Syao.g_00123
OG0000062	Prbj.g_00881	Syao.g_01576
OG0000063	Prbj.g_01208	Syao.g_02230
OG0000065	Prbj.g_00620	Syao.g_02600
OG0000066	Prbj.g_02141	Syao.g_01422
