Orthogroup	Prbj	Prah
OG0000000	Prbj.g_00166	Prah.g_01346
OG0000000	Prbj.g_00165	Prah.g_01347
OG0000000	Prbj.g_00164	Prah.g_01348
OG0000001	Prbj.g_00672	Prah.g_00324
OG0000001	Prbj.g_00169	Prah.g_01343
OG0000001	Prbj.g_01549, Prbj.g_02662	Prah.g_02270
OG0000001	Prbj.g_02690	Prah.g_00896
OG0000002	Prbj.g_02517	Prah.g_00562
OG0000002	Prbj.g_00030	Prah.g_01226
OG0000003	Prbj.g_01574	Prah.g_00169
OG0000003	Prbj.g_02693, Prbj.g_02694	Prah.g_02446
OG0000003	Prbj.g_00096	Prah.g_00226
OG0000003	Prbj.g_00058	Prah.g_00272, Prah.g_02434
OG0000003	Prbj.g_00079	Prah.g_02451, Prah.g_02432
OG0000003	Prbj.g_01356	Prah.g_00936, Prah.g_01869
OG0000003	Prbj.g_01916, Prbj.g_01831	Prah.g_01005, Prah.g_01056
OG0000004	Prbj.g_00754	Prah.g_01022
OG0000004	Prbj.g_01777	Prah.g_01413
OG0000005	Prbj.g_00883	Prah.g_01652
OG0000006	Prbj.g_02699	Prah.g_00475, Prah.g_01767
OG0000007	Prbj.g_01610	Prah.g_01546
OG0000007	Prbj.g_00857	Prah.g_01676
OG0000008	Prbj.g_00929	Prah.g_00970
OG0000008	Prbj.g_00928	Prah.g_00969
OG0000009	Prbj.g_01300	Prah.g_00432
OG0000009	Prbj.g_00618	Prah.g_01895
OG0000010	Prbj.g_00129	Prah.g_00311
OG0000011	Prbj.g_00897	Prah.g_01084
OG0000012	Prbj.g_02552	Prah.g_00524
OG0000013	Prbj.g_00359	Prah.g_01956
OG0000014	Prbj.g_01442	Prah.g_02171
OG0000015	Prbj.g_02502	Prah.g_01155, Prah.g_00576
OG0000017	Prbj.g_01761	Prah.g_01397
OG0000018	Prbj.g_00641	Prah.g_00378
OG0000019	Prbj.g_01349	Prah.g_02086
OG0000020	Prbj.g_00214, Prbj.g_02701	Prah.g_01100
OG0000021	Prbj.g_01121	Prah.g_01108, Prah.g_01112, Prah.g_01117
OG0000021	Prbj.g_01774	Prah.g_01410
OG0000022	Prbj.g_00050	Prah.g_01209
OG0000022	Prbj.g_01572	Prah.g_00170
OG0000023	Prbj.g_02392	Prah.g_00688
OG0000024	Prbj.g_00773	Prah.g_01043
OG0000025	Prbj.g_02475	Prah.g_00604
OG0000026	Prbj.g_01204	Prah.g_00038
OG0000028	Prbj.g_01457	Prah.g_02184
OG0000029	Prbj.g_00378	Prah.g_01972
OG0000030	Prbj.g_01288	Prah.g_00132
OG0000030	Prbj.g_01287	Prah.g_00131
OG0000031	Prbj.g_01522, Prbj.g_01527	Prah.g_02248
OG0000032	Prbj.g_00659	Prah.g_00358
OG0000032	Prbj.g_01468	Prah.g_02196
OG0000033	Prbj.g_00518	Prah.g_02307
OG0000034	Prbj.g_01740	Prah.g_01376
OG0000035	Prbj.g_01056	Prah.g_00408
OG0000036	Prbj.g_01382, Prbj.g_01105	Prah.g_01133
OG0000036	Prbj.g_01106, Prbj.g_02087, Prbj.g_00412, Prbj.g_02670, Prbj.g_00504, Prbj.g_02686, Prbj.g_01098, Prbj.g_01134	Prah.g_01478
OG0000036	Prbj.g_01675	Prah.g_00393, Prah.g_01061, Prah.g_01606
OG0000037	Prbj.g_00624	Prah.g_01901
OG0000038	Prbj.g_01959	Prah.g_02494
OG0000038	Prbj.g_01961	Prah.g_02496
OG0000039	Prbj.g_00429	Prah.g_01758
OG0000039	Prbj.g_00278	Prah.g_02382
OG0000041	Prbj.g_00450	Prah.g_01737
OG0000042	Prbj.g_01808	Prah.g_00135
OG0000042	Prbj.g_00001	Prah.g_01256
OG0000044	Prbj.g_01330	Prah.g_00994, Prah.g_00343
OG0000045	Prbj.g_00563	Prah.g_01837
OG0000046	Prbj.g_00358	Prah.g_01955
OG0000047	Prbj.g_00666	Prah.g_00353
OG0000047	Prbj.g_02509	Prah.g_00321, Prah.g_00322
OG0000048	Prbj.g_01393	Prah.g_02122
OG0000051	Prbj.g_00705	Prah.g_01166
OG0000051	Prbj.g_02362	Prah.g_00717
OG0000052	Prbj.g_01487	Prah.g_02219
OG0000053	Prbj.g_00638	Prah.g_00381
OG0000054	Prbj.g_01758	Prah.g_01394
OG0000056	Prbj.g_02533	Prah.g_00543
OG0000056	Prbj.g_00371	Prah.g_01968
OG0000057	Prbj.g_00758	Prah.g_01027
OG0000058	Prbj.g_01467	Prah.g_02195
OG0000059	Prbj.g_01029	Prah.g_02043
OG0000060	Prbj.g_01633	Prah.g_01569
OG0000061	Prbj.g_00971	Prah.g_01322
OG0000062	Prbj.g_00881	Prah.g_01654
OG0000063	Prbj.g_01208	Prah.g_00042
OG0000065	Prbj.g_00620	Prah.g_01897
OG0000066	Prbj.g_02141	Prah.g_01485
OG0000067	Prbj.g_02412	Prah.g_00667
OG0000068	Prbj.g_01639	Prah.g_01576
OG0000070	Prbj.g_00118	Prah.g_00252
OG0000071	Prbj.g_01728	Prah.g_01364
OG0000072	Prbj.g_00516	Prah.g_02309
OG0000073	Prbj.g_01608	Prah.g_01544
OG0000075	Prbj.g_01502	Prah.g_02232
OG0000076	Prbj.g_01598	Prah.g_00150
OG0000077	Prbj.g_00576	Prah.g_01850
OG0000078	Prbj.g_02614	Prah.g_01773
OG0000079	Prbj.g_01353	Prah.g_02090
OG0000081	Prbj.g_00765	Prah.g_01035
OG0000082	Prbj.g_01789	Prah.g_01427
OG0000084	Prbj.g_01052	Prah.g_00412
OG0000085	Prbj.g_00869	Prah.g_01666
OG0000086	Prbj.g_00589	Prah.g_01866
OG0000087	Prbj.g_01547	Prah.g_02268
OG0000088	Prbj.g_00521	Prah.g_02304
OG0000088	Prbj.g_00912	Prah.g_00957
OG0000089	Prbj.g_00064	Prah.g_00205
OG0000090	Prbj.g_02127	Prah.g_01501
OG0000091	Prbj.g_02581	Prah.g_00493
OG0000093	Prbj.g_02388	Prah.g_00692
OG0000094	Prbj.g_01985	Prah.g_02518
OG0000095	Prbj.g_01838	Prah.g_00915
OG0000097	Prbj.g_02152	Prah.g_01272
OG0000098	Prbj.g_00669	Prah.g_00327
OG0000099	Prbj.g_01464	Prah.g_02191
OG0000100	Prbj.g_00185	Prah.g_01791
OG0000100	Prbj.g_02442	Prah.g_00636
OG0000101	Prbj.g_00981	Prah.g_01995
OG0000102	Prbj.g_01819	Prah.g_00144
OG0000103	Prbj.g_02055	Prah.g_02586
OG0000104	Prbj.g_02069	Prah.g_02600
OG0000105	Prbj.g_01397	Prah.g_02126
