Orthogroup	Praa	Syad
OG0000001	Praa.g_01351	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611
OG0000002	Praa.g_01359, Praa.g_00678	Syad.g_00619
OG0000004	Praa.g_00695	Syad.g_01304
OG0000004	Praa.g_00232	Syad.g_02184, Syad.g_00810
OG0000005	Praa.g_01648	Syad.g_02639
OG0000005	Praa.g_01553	Syad.g_02596
OG0000006	Praa.g_00241, Praa.g_01245	Syad.g_02130, Syad.g_00588, Syad.g_00829
OG0000007	Praa.g_00497	Syad.g_00923
OG0000007	Praa.g_01635	Syad.g_02623
OG0000009	Praa.g_01264, Praa.g_01589	Syad.g_01952, Syad.g_00868
OG0000009	Praa.g_00105	Syad.g_02799
OG0000010	Praa.g_01047	Syad.g_02354
OG0000011	Praa.g_01288	Syad.g_02006
OG0000012	Praa.g_00623	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008
OG0000013	Praa.g_00327	Syad.g_00729, Syad.g_00737, Syad.g_00724
OG0000014	Praa.g_00306	Syad.g_00480
OG0000014	Praa.g_01409	Syad.g_00297, Syad.g_00260
OG0000015	Praa.g_00765	Syad.g_00142, Syad.g_01600, Syad.g_01601
OG0000016	Praa.g_00013	Syad.g_00176
OG0000017	Praa.g_00598	Syad.g_01084, Syad.g_01091
OG0000018	Praa.g_01141	Syad.g_02306
OG0000019	Praa.g_00249, Praa.g_00782	Syad.g_00569
OG0000020	Praa.g_01107	Syad.g_00845
OG0000021	Praa.g_01623, Praa.g_00364	Syad.g_01835, Syad.g_00874
OG0000022	Praa.g_01124	Syad.g_02090
OG0000023	Praa.g_00359	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Praa.g_00747, Praa.g_00675	Syad.g_01374
OG0000025	Praa.g_00331, Praa.g_00839	Syad.g_01241
OG0000026	Praa.g_00031, Praa.g_01054	Syad.g_00198
OG0000027	Praa.g_00470, Praa.g_01301	Syad.g_01257
OG0000028	Praa.g_01248, Praa.g_00320	Syad.g_00463
OG0000029	Praa.g_00754, Praa.g_00374	Syad.g_02099
OG0000030	Praa.g_01842	Syad.g_00328, Syad.g_00327
OG0000033	Praa.g_01437	Syad.g_02903
OG0000034	Praa.g_01328	Syad.g_02420, Syad.g_02872
OG0000035	Praa.g_01476	Syad.g_02275
OG0000037	Praa.g_00109	Syad.g_02805
OG0000038	Praa.g_01883	Syad.g_03038
OG0000039	Praa.g_00686	Syad.g_01249, Syad.g_01111
OG0000040	Praa.g_01140	Syad.g_00104
OG0000041	Praa.g_01683	Syad.g_02498, Syad.g_01281
OG0000042	Praa.g_01839	Syad.g_00333
OG0000047	Praa.g_00330	Syad.g_00754
OG0000048	Praa.g_00373	Syad.g_00534
OG0000050	Praa.g_01075	Syad.g_02478
OG0000051	Praa.g_01291	Syad.g_00842
OG0000053	Praa.g_01496	Syad.g_02302
