Orthogroup	Praa	Syah
OG0000001	Praa.g_01351	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710
OG0000002	Praa.g_01359, Praa.g_00678	Syah.g_01829
OG0000004	Praa.g_00695	Syah.g_02017
OG0000004	Praa.g_00232	Syah.g_01967, Syah.g_00901
OG0000005	Praa.g_01648	Syah.g_02403
OG0000005	Praa.g_01553	Syah.g_02363
OG0000006	Praa.g_00241, Praa.g_01245	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Praa.g_00497	Syah.g_01016
OG0000007	Praa.g_01635	Syah.g_02384
OG0000008	Praa.g_01241	Syah.g_01994
OG0000009	Praa.g_01264, Praa.g_01589	Syah.g_02457
OG0000009	Praa.g_00105	Syah.g_01910, Syah.g_02535
OG0000010	Praa.g_01047	Syah.g_01220
OG0000011	Praa.g_01626	Syah.g_01991
OG0000012	Praa.g_00623	Syah.g_01960, Syah.g_02169, Syah.g_01340
OG0000013	Praa.g_00327	Syah.g_00822, Syah.g_00831, Syah.g_00817
OG0000014	Praa.g_00306	Syah.g_00127
OG0000014	Praa.g_01409	Syah.g_00223, Syah.g_00323
OG0000015	Praa.g_00765	Syah.g_01511, Syah.g_01510
OG0000016	Praa.g_00013	Syah.g_00359
OG0000017	Praa.g_00598	Syah.g_01152, Syah.g_01159
OG0000018	Praa.g_01141	Syah.g_01264
OG0000019	Praa.g_00249, Praa.g_00782	Syah.g_00669
OG0000022	Praa.g_01124	Syah.g_01881
OG0000023	Praa.g_00359	Syah.g_01330, Syah.g_02167, Syah.g_00930
OG0000024	Praa.g_00747, Praa.g_00675	Syah.g_01990
OG0000025	Praa.g_00331, Praa.g_00839	Syah.g_02082
OG0000026	Praa.g_00031, Praa.g_01054	Syah.g_00340
OG0000027	Praa.g_00470, Praa.g_01301	Syah.g_01541
OG0000028	Praa.g_01248, Praa.g_00320	Syah.g_00141
OG0000029	Praa.g_00754, Praa.g_00374	Syah.g_01292
OG0000030	Praa.g_01842	Syah.g_00264, Syah.g_00265
OG0000033	Praa.g_01437	Syah.g_00078
OG0000034	Praa.g_01328	Syah.g_00048, Syah.g_02213
OG0000035	Praa.g_01476	Syah.g_01293
OG0000037	Praa.g_00109	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Praa.g_01883	Syah.g_00508, Syah.g_00506
OG0000039	Praa.g_00686	Syah.g_02074
OG0000040	Praa.g_01618	Syah.g_01908
OG0000040	Praa.g_01140	Syah.g_00431
OG0000041	Praa.g_01683	Syah.g_02271, Syah.g_02039
OG0000042	Praa.g_01839	Syah.g_00261
OG0000043	Praa.g_01259	Syah.g_02119
OG0000045	Praa.g_00370	Syah.g_01872
OG0000047	Praa.g_00330	Syah.g_00847
OG0000048	Praa.g_00373	Syah.g_00637
OG0000050	Praa.g_01075	Syah.g_00941
OG0000051	Praa.g_01291	Syah.g_02473
OG0000053	Praa.g_01496	Syah.g_01267
OG0000054	Praa.g_00606	Syah.g_01982, Syah.g_01862
OG0000055	Praa.g_00783	Syah.g_01878, Syah.g_02071
OG0000057	Praa.g_00698	Syah.g_02020
OG0000058	Praa.g_01425	Syah.g_00152
OG0000059	Praa.g_01723	Syah.g_00737
OG0000061	Praa.g_01415	Syah.g_00215
OG0000061	Praa.g_01159	Syah.g_02158
OG0000062	Praa.g_01555	Syah.g_02365
OG0000063	Praa.g_00033	Syah.g_00337
OG0000065	Praa.g_00107	Syah.g_02537, Syah.g_02443
OG0000066	Praa.g_00539	Syah.g_01073
OG0000067	Praa.g_00803	Syah.g_01779
OG0000068	Praa.g_01366	Syah.g_00986
OG0000069	Praa.g_01590	Syah.g_01715
OG0000070	Praa.g_00449	Syah.g_02217
OG0000071	Praa.g_01318	Syah.g_01863, Syah.g_02199
OG0000072	Praa.g_00171	Syah.g_00080
OG0000073	Praa.g_00499	Syah.g_01018
OG0000074	Praa.g_00682	Syah.g_00951
OG0000075	Praa.g_01808	Syah.g_00186
OG0000076	Praa.g_01832	Syah.g_00250
OG0000077	Praa.g_00078	Syah.g_02494
OG0000078	Praa.g_00239	Syah.g_00912
OG0000079	Praa.g_00252	Syah.g_00665
OG0000080	Praa.g_01392, Praa.g_01390	Syah.g_00290
OG0000081	Praa.g_00531	Syah.g_00922, Syah.g_02471
OG0000082	Praa.g_00585	Syah.g_01136
OG0000084	Praa.g_01472	Syah.g_02105, Syah.g_01296
OG0000085	Praa.g_01628	Syah.g_02372
OG0000086	Praa.g_00088	Syah.g_02511
OG0000087	Praa.g_00139	Syah.g_00038
OG0000088	Praa.g_00166	Syah.g_00074
OG0000089	Praa.g_00355	Syah.g_00888
OG0000090	Praa.g_00533	Syah.g_01064
OG0000091	Praa.g_00642	Syah.g_01927
OG0000093	Praa.g_00932	Syah.g_01794
OG0000094	Praa.g_01020	Syah.g_01692
OG0000095	Praa.g_01039	Syah.g_02030
OG0000097	Praa.g_01200	Syah.g_01400
OG0000098	Praa.g_01348	Syah.g_00723
OG0000099	Praa.g_01394	Syah.g_00144
OG0000100	Praa.g_01551	Syah.g_01747
OG0000101	Praa.g_01775	Syah.g_00785
OG0000102	Praa.g_01837	Syah.g_00255
OG0000103	Praa.g_01916	Syah.g_00391
OG0000104	Praa.g_01924	Syah.g_00377
OG0000105	Praa.g_00274	Syah.g_00632
OG0000106	Praa.g_00369	Syah.g_01544
OG0000107	Praa.g_00383	Syah.g_00688
OG0000108	Praa.g_00480	Syah.g_00997
OG0000109	Praa.g_00494	Syah.g_01012
OG0000110	Praa.g_00575	Syah.g_01124
OG0000111	Praa.g_00699	Syah.g_02021
OG0000112	Praa.g_00766	Syah.g_01613
OG0000113	Praa.g_00826	Syah.g_01752
OG0000114	Praa.g_00907	Syah.g_01529
OG0000115	Praa.g_01101	Syah.g_01269
OG0000116	Praa.g_01150	Syah.g_02175
OG0000117	Praa.g_01255	Syah.g_01425
OG0000118	Praa.g_01330	Syah.g_01173
OG0000120	Praa.g_01387	Syah.g_00145
OG0000121	Praa.g_01478	Syah.g_01287
OG0000122	Praa.g_01516	Syah.g_01900
OG0000123	Praa.g_01782	Syah.g_00793
OG0000124	Praa.g_01848	Syah.g_00272
OG0000125	Praa.g_01885	Syah.g_00504
OG0000126	Praa.g_01923	Syah.g_00379
OG0000128	Praa.g_00011	Syah.g_00361
OG0000129	Praa.g_00044	Syah.g_00516
OG0000130	Praa.g_00069	Syah.g_02483
OG0000131	Praa.g_00145	Syah.g_00052
OG0000132	Praa.g_00164	Syah.g_00072
OG0000133	Praa.g_00322	Syah.g_01618
OG0000134	Praa.g_00356	Syah.g_00891
OG0000135	Praa.g_00381	Syah.g_00465
OG0000136	Praa.g_00440	Syah.g_02227
OG0000137	Praa.g_00475	Syah.g_01221
OG0000138	Praa.g_00495	Syah.g_01013
OG0000139	Praa.g_00537	Syah.g_01070
OG0000140	Praa.g_00538	Syah.g_01071
OG0000141	Praa.g_00607	Syah.g_01981
OG0000142	Praa.g_00635	Syah.g_01935
OG0000143	Praa.g_00639	Syah.g_01931
OG0000144	Praa.g_00652	Syah.g_01824
OG0000145	Praa.g_00764	Syah.g_01019
OG0000146	Praa.g_00767	Syah.g_01612
OG0000147	Praa.g_00768	Syah.g_01611
OG0000148	Praa.g_00820	Syah.g_01758
OG0000149	Praa.g_00851	Syah.g_02096
OG0000150	Praa.g_00859	Syah.g_01980
OG0000151	Praa.g_00917	Syah.g_01820
OG0000152	Praa.g_00964	Syah.g_01622
OG0000153	Praa.g_00983	Syah.g_01656
OG0000154	Praa.g_01013	Syah.g_01682
OG0000155	Praa.g_01179	Syah.g_02123
OG0000156	Praa.g_01307	Syah.g_02185
OG0000157	Praa.g_01308	Syah.g_02186
OG0000158	Praa.g_01395	Syah.g_00204
OG0000160	Praa.g_01477	Syah.g_01289
OG0000161	Praa.g_01483	Syah.g_01282
OG0000162	Praa.g_01489	Syah.g_01276
OG0000163	Praa.g_01523	Syah.g_02315
OG0000164	Praa.g_01659	Syah.g_02423
OG0000165	Praa.g_01667	Syah.g_02251
OG0000166	Praa.g_01739	Syah.g_00747
OG0000167	Praa.g_01806	Syah.g_00183
OG0000168	Praa.g_01816	Syah.g_00205
OG0000169	Praa.g_01826	Syah.g_00237
OG0000170	Praa.g_01828	Syah.g_00245
OG0000171	Praa.g_01847	Syah.g_00271
OG0000172	Praa.g_01856	Syah.g_00293
OG0000173	Praa.g_01871	Syah.g_00313
OG0000174	Praa.g_01898	Syah.g_00461
OG0000175	Praa.g_01908	Syah.g_00402
OG0000176	Praa.g_00004	Syah.g_00369
OG0000177	Praa.g_00005	Syah.g_00368
OG0000178	Praa.g_00006	Syah.g_00367
OG0000179	Praa.g_00016	Syah.g_00355
OG0000180	Praa.g_00017	Syah.g_00354
OG0000181	Praa.g_00018	Syah.g_00353
OG0000182	Praa.g_00019	Syah.g_00352
OG0000183	Praa.g_00023	Syah.g_00348
OG0000184	Praa.g_00046	Syah.g_00525
OG0000185	Praa.g_00049	Syah.g_00528
