Orthogroup	Praa	Syak
OG0000001	Praa.g_01351	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579
OG0000004	Praa.g_00695	Syak.g_01219, Syak.g_00720
OG0000004	Praa.g_00232	Syak.g_00003, Syak.g_02297
OG0000005	Praa.g_01648	Syak.g_02401
OG0000005	Praa.g_01553	Syak.g_00885, Syak.g_02436
OG0000006	Praa.g_00241, Praa.g_01245	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Praa.g_00497	Syak.g_02595
OG0000007	Praa.g_01635	Syak.g_02416
OG0000008	Praa.g_01241	Syak.g_00267
OG0000009	Praa.g_00105	Syak.g_02194
OG0000010	Praa.g_01047	Syak.g_01119
OG0000011	Praa.g_01626	Syak.g_00960
OG0000012	Praa.g_00623	Syak.g_00010
OG0000013	Praa.g_00327	Syak.g_01270, Syak.g_01275
OG0000014	Praa.g_00306	Syak.g_01505
OG0000014	Praa.g_01409	Syak.g_01582
OG0000015	Praa.g_00765	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000016	Praa.g_00013	Syak.g_01780
OG0000017	Praa.g_00598	Syak.g_02730, Syak.g_02738
OG0000018	Praa.g_01141	Syak.g_01072
OG0000019	Praa.g_00249, Praa.g_00782	Syak.g_01413
OG0000021	Praa.g_01623, Praa.g_00364	Syak.g_00566
OG0000022	Praa.g_01124	Syak.g_00088
OG0000023	Praa.g_00359	Syak.g_00316, Syak.g_00223
OG0000025	Praa.g_00331, Praa.g_00839	Syak.g_00610
OG0000026	Praa.g_00031, Praa.g_01054	Syak.g_01757
OG0000027	Praa.g_00470, Praa.g_01301	Syak.g_00127
OG0000028	Praa.g_01248, Praa.g_00320	Syak.g_01522
OG0000029	Praa.g_00754, Praa.g_00374	Syak.g_00169, Syak.g_00178
OG0000030	Praa.g_01842	Syak.g_01684, Syak.g_01685
OG0000033	Praa.g_01437, Praa.g_00169	Syak.g_02101
OG0000034	Praa.g_01328	Syak.g_00950, Syak.g_02133
OG0000035	Praa.g_01476	Syak.g_01041, Syak.g_01040
OG0000037	Praa.g_00109	Syak.g_02188
OG0000038	Praa.g_01883	Syak.g_01938, Syak.g_01936
OG0000039	Praa.g_00686	Syak.g_00772, Syak.g_01918
OG0000040	Praa.g_01140	Syak.g_01852
OG0000041	Praa.g_01683	Syak.g_02354, Syak.g_00752
OG0000042	Praa.g_01839	Syak.g_00843, Syak.g_01681
OG0000043	Praa.g_01259, Praa.g_00876	Syak.g_00335
OG0000045	Praa.g_00370	Syak.g_00228
OG0000047	Praa.g_00330	Syak.g_01147
OG0000048	Praa.g_00373	Syak.g_01446
OG0000053	Praa.g_01496	Syak.g_01068
OG0000054	Praa.g_00606	Syak.g_02744, Syak.g_02321
OG0000055	Praa.g_00783	Syak.g_00766
OG0000057	Praa.g_00698	Syak.g_00724, Syak.g_01676
OG0000058	Praa.g_01425	Syak.g_01530
OG0000059	Praa.g_01723	Syak.g_01355
OG0000061	Praa.g_01159	Syak.g_00898
OG0000062	Praa.g_01555	Syak.g_02434
OG0000063	Praa.g_00033	Syak.g_01752
OG0000065	Praa.g_00107	Syak.g_02192, Syak.g_00282
OG0000066	Praa.g_00539	Syak.g_02653
OG0000067	Praa.g_00803	Syak.g_00434
OG0000068	Praa.g_01366	Syak.g_02565
OG0000070	Praa.g_00449	Syak.g_01174
OG0000071	Praa.g_01318	Syak.g_02322, Syak.g_00936
OG0000072	Praa.g_00171	Syak.g_02099
OG0000073	Praa.g_00499	Syak.g_02597
OG0000075	Praa.g_01808	Syak.g_01564
OG0000076	Praa.g_01832	Syak.g_01650
OG0000077	Praa.g_00078	Syak.g_02243
OG0000078	Praa.g_00239	Syak.g_02310
OG0000079	Praa.g_00252	Syak.g_01417
OG0000080	Praa.g_01392, Praa.g_01390	Syak.g_01612
OG0000081	Praa.g_00531	Syak.g_00115
OG0000082	Praa.g_00585	Syak.g_02711
OG0000084	Praa.g_01472	Syak.g_01036
OG0000085	Praa.g_01628	Syak.g_02427
OG0000086	Praa.g_00088	Syak.g_02219
OG0000087	Praa.g_00139	Syak.g_02141
OG0000088	Praa.g_00166	Syak.g_02106
OG0000089	Praa.g_00355	Syak.g_01215
OG0000090	Praa.g_00533	Syak.g_02640
OG0000091	Praa.g_00642	Syak.g_00043
OG0000093	Praa.g_00932	Syak.g_00416
OG0000094	Praa.g_01020	Syak.g_00656
OG0000095	Praa.g_01039	Syak.g_00736
OG0000097	Praa.g_01200	Syak.g_00816
OG0000098	Praa.g_01348	Syak.g_00345, Syak.g_02651
OG0000099	Praa.g_01394	Syak.g_01527
OG0000100	Praa.g_01551	Syak.g_00622
OG0000101	Praa.g_01775	Syak.g_01305
OG0000102	Praa.g_01837	Syak.g_01661
OG0000103	Praa.g_01916	Syak.g_01812
OG0000104	Praa.g_01924	Syak.g_01799
OG0000105	Praa.g_00274	Syak.g_01451
OG0000106	Praa.g_00369	Syak.g_00096
OG0000107	Praa.g_00383	Syak.g_01392
OG0000108	Praa.g_00480	Syak.g_02574
OG0000109	Praa.g_00494	Syak.g_01061, Syak.g_02590
OG0000110	Praa.g_00575	Syak.g_02698
OG0000111	Praa.g_00699	Syak.g_00725
OG0000112	Praa.g_00766	Syak.g_00512
OG0000113	Praa.g_00826	Syak.g_00461
OG0000114	Praa.g_00907	Syak.g_00373, Syak.g_00065
OG0000115	Praa.g_01101	Syak.g_01066
OG0000116	Praa.g_01150	Syak.g_00911
OG0000117	Praa.g_01255	Syak.g_00846
OG0000118	Praa.g_01330	Syak.g_00954
OG0000119	Praa.g_01362	Syak.g_00917
OG0000120	Praa.g_01387	Syak.g_01526
OG0000121	Praa.g_01478	Syak.g_01044
OG0000122	Praa.g_01516	Syak.g_00081
OG0000123	Praa.g_01782	Syak.g_01299
OG0000124	Praa.g_01848	Syak.g_01692
OG0000125	Praa.g_01885	Syak.g_01934
OG0000126	Praa.g_01923	Syak.g_01801
OG0000128	Praa.g_00011	Syak.g_01782
OG0000129	Praa.g_00044	Syak.g_01947
OG0000130	Praa.g_00069	Syak.g_02255
OG0000131	Praa.g_00145	Syak.g_02128
OG0000132	Praa.g_00164	Syak.g_02108
OG0000133	Praa.g_00322	Syak.g_00507
OG0000134	Praa.g_00356	Syak.g_01212
OG0000135	Praa.g_00381	Syak.g_01897
OG0000136	Praa.g_00440	Syak.g_01186
OG0000137	Praa.g_00475	Syak.g_01118
OG0000138	Praa.g_00495	Syak.g_01062, Syak.g_02591
OG0000139	Praa.g_00537	Syak.g_02646
OG0000140	Praa.g_00538	Syak.g_02650
OG0000141	Praa.g_00607	Syak.g_02746
OG0000142	Praa.g_00635	Syak.g_00035
OG0000143	Praa.g_00639	Syak.g_00039
OG0000144	Praa.g_00652	Syak.g_00260
OG0000145	Praa.g_00764	Syak.g_02598
OG0000146	Praa.g_00767	Syak.g_00514
OG0000147	Praa.g_00768	Syak.g_00515
OG0000148	Praa.g_00820	Syak.g_00455
OG0000149	Praa.g_00851	Syak.g_00596
OG0000150	Praa.g_00859	Syak.g_02747
OG0000151	Praa.g_00917	Syak.g_00387
OG0000152	Praa.g_00964	Syak.g_00503
OG0000153	Praa.g_00983	Syak.g_00470
OG0000154	Praa.g_01013	Syak.g_00645
OG0000155	Praa.g_01179	Syak.g_00855
OG0000156	Praa.g_01307	Syak.g_00919
OG0000157	Praa.g_01308	Syak.g_00920
OG0000158	Praa.g_01395	Syak.g_01624
OG0000160	Praa.g_01477	Syak.g_01043
OG0000161	Praa.g_01483	Syak.g_01050
OG0000162	Praa.g_01489	Syak.g_01058
OG0000163	Praa.g_01523	Syak.g_02478
OG0000164	Praa.g_01659	Syak.g_02384
OG0000165	Praa.g_01667	Syak.g_02374
OG0000166	Praa.g_01739	Syak.g_01345
OG0000167	Praa.g_01806	Syak.g_01561
OG0000168	Praa.g_01816	Syak.g_01625
OG0000169	Praa.g_01826	Syak.g_01637
OG0000170	Praa.g_01828	Syak.g_01644
OG0000171	Praa.g_01847	Syak.g_01691
OG0000172	Praa.g_01856	Syak.g_01713
OG0000173	Praa.g_01871	Syak.g_01733
OG0000174	Praa.g_01898	Syak.g_01895
OG0000175	Praa.g_01908	Syak.g_01827
OG0000176	Praa.g_00004	Syak.g_01790
OG0000177	Praa.g_00005	Syak.g_01789
OG0000178	Praa.g_00006	Syak.g_01788
OG0000179	Praa.g_00016	Syak.g_01773
OG0000180	Praa.g_00017	Syak.g_01772
OG0000181	Praa.g_00018	Syak.g_01771
OG0000182	Praa.g_00019	Syak.g_01770
OG0000183	Praa.g_00023	Syak.g_01766
OG0000184	Praa.g_00046	Syak.g_01955
OG0000185	Praa.g_00049	Syak.g_01971
OG0000186	Praa.g_00064	Syak.g_02258
OG0000187	Praa.g_00065	Syak.g_02257
OG0000188	Praa.g_00082	Syak.g_02235
OG0000189	Praa.g_00096	Syak.g_02203
OG0000190	Praa.g_00097	Syak.g_01575
OG0000191	Praa.g_00117	Syak.g_02171
OG0000192	Praa.g_00121	Syak.g_02165
OG0000193	Praa.g_00146	Syak.g_02127
OG0000194	Praa.g_00149	Syak.g_02124
OG0000195	Praa.g_00151	Syak.g_02122
OG0000196	Praa.g_00161	Syak.g_02111
OG0000197	Praa.g_00162	Syak.g_02110
OG0000198	Praa.g_00163	Syak.g_02109
OG0000199	Praa.g_00170	Syak.g_02100
OG0000200	Praa.g_00184	Syak.g_02083
OG0000201	Praa.g_00192	Syak.g_02068
OG0000202	Praa.g_00193	Syak.g_02067
OG0000203	Praa.g_00194	Syak.g_02066
OG0000204	Praa.g_00195	Syak.g_02065
OG0000205	Praa.g_00202	Syak.g_02058
OG0000206	Praa.g_00207	Syak.g_02038
OG0000207	Praa.g_00209	Syak.g_02025
OG0000208	Praa.g_00210	Syak.g_02024
OG0000209	Praa.g_00219	Syak.g_01995
OG0000210	Praa.g_00220	Syak.g_01994
OG0000211	Praa.g_00233	Syak.g_02017, Syak.g_02300
OG0000212	Praa.g_00240	Syak.g_02311
OG0000213	Praa.g_00257	Syak.g_01425
OG0000214	Praa.g_00267	Syak.g_01442
OG0000215	Praa.g_00292	Syak.g_01474
OG0000216	Praa.g_00294	Syak.g_01478
OG0000217	Praa.g_00297	Syak.g_01482
OG0000218	Praa.g_00299	Syak.g_01484
OG0000219	Praa.g_00300	Syak.g_01485
OG0000220	Praa.g_00301	Syak.g_01486
