Orthogroup	Praa	Prau
OG0000000	Praa.g_01300	Prau.g_01352
OG0000000	Praa.g_01235	Prau.g_01665
OG0000000	Praa.g_01598	Prau.g_01648
OG0000000	Praa.g_01597	Prau.g_01266, Prau.g_01647
OG0000000	Praa.g_01298	Prau.g_01350
OG0000000	Praa.g_01599	Prau.g_01650
OG0000001	Praa.g_01351	Prau.g_01394
OG0000001	Praa.g_01220, Praa.g_01222	Prau.g_01267, Prau.g_01269
OG0000002	Praa.g_01359	Prau.g_01402
OG0000002	Praa.g_00678	Prau.g_00718
OG0000004	Praa.g_00695	Prau.g_00735
OG0000004	Praa.g_00232	Prau.g_00233
OG0000005	Praa.g_01648	Prau.g_01745
OG0000005	Praa.g_01553	Prau.g_01607
OG0000006	Praa.g_00241	Prau.g_01316
OG0000006	Praa.g_01245	Prau.g_01316
OG0000007	Praa.g_00497	Prau.g_00538
OG0000007	Praa.g_01635	Prau.g_01732
OG0000008	Praa.g_01241	Prau.g_00781
OG0000008	Praa.g_00672	Prau.g_00712
OG0000009	Praa.g_01264	Prau.g_01324
OG0000009	Praa.g_01589	Prau.g_01641
OG0000009	Praa.g_00105	Prau.g_00106
OG0000010	Praa.g_00474	Prau.g_00515
OG0000010	Praa.g_01047	Prau.g_01096
OG0000011	Praa.g_01288	Prau.g_00441
OG0000011	Praa.g_01626	Prau.g_01307, Prau.g_01335
OG0000012	Praa.g_00623	Prau.g_00663
OG0000013	Praa.g_00327	Prau.g_00329
OG0000014	Praa.g_00306	Prau.g_00308
OG0000014	Praa.g_01409	Prau.g_01470
OG0000016	Praa.g_00013	Prau.g_00013
OG0000017	Praa.g_00598	Prau.g_00636
OG0000018	Praa.g_00831	Prau.g_00881
OG0000018	Praa.g_01141	Prau.g_01188
OG0000019	Praa.g_00249	Prau.g_00251
OG0000019	Praa.g_00782	Prau.g_00834
OG0000020	Praa.g_01107	Prau.g_01153
OG0000021	Praa.g_01623	Prau.g_01680
OG0000021	Praa.g_00364	Prau.g_00367
OG0000022	Praa.g_01124	Prau.g_01170
OG0000022	Praa.g_00763	Prau.g_00814
OG0000023	Praa.g_00359	Prau.g_00362
OG0000024	Praa.g_00747	Prau.g_00796
OG0000024	Praa.g_00675	Prau.g_00715
OG0000025	Praa.g_00331	Prau.g_00333
OG0000025	Praa.g_00839	Prau.g_00888
OG0000026	Praa.g_00031	Prau.g_00030
OG0000026	Praa.g_01054	Prau.g_01103
OG0000027	Praa.g_01301	Prau.g_01353
OG0000028	Praa.g_01248	Prau.g_01338
OG0000028	Praa.g_00320	Prau.g_00322
OG0000029	Praa.g_00754	Prau.g_00804
OG0000029	Praa.g_00374	Prau.g_00378
OG0000030	Praa.g_01842	Prau.g_01935
