Orthogroup	Praa	Pral
OG0000000	Praa.g_01300	Pral.g_01331
OG0000000	Praa.g_01235, Praa.g_01598, Praa.g_01244	Pral.g_00037
OG0000000	Praa.g_01597	Pral.g_00038, Pral.g_01333
OG0000001	Praa.g_01351	Pral.g_01236
OG0000001	Praa.g_01220, Praa.g_01222	Pral.g_01296
OG0000002	Praa.g_01359	Pral.g_01549, Pral.g_01554
OG0000002	Praa.g_00678	Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764
OG0000004	Praa.g_00695	Pral.g_01743
OG0000004	Praa.g_00232	Pral.g_00809
OG0000005	Praa.g_01553	Pral.g_01075
OG0000006	Praa.g_00241, Praa.g_01245	Pral.g_00797
OG0000007	Praa.g_00497	Pral.g_00593
OG0000007	Praa.g_01635	Pral.g_00107
OG0000008	Praa.g_01241	Pral.g_00020
OG0000009	Praa.g_01264	Pral.g_01065, Pral.g_01163
OG0000010	Praa.g_00474	Pral.g_00618
OG0000010	Praa.g_01047	Pral.g_01832, Pral.g_01848
OG0000011	Praa.g_01626	Pral.g_00064
OG0000012	Praa.g_00623	Pral.g_00015
OG0000013	Praa.g_00327	Pral.g_00712
OG0000014	Praa.g_00306	Pral.g_00732
OG0000014	Praa.g_01409	Pral.g_00637, Pral.g_01261
OG0000015	Praa.g_00765	Pral.g_01813
OG0000017	Praa.g_00598	Pral.g_00491, Pral.g_00484
OG0000018	Praa.g_00831	Pral.g_01516
OG0000018	Praa.g_01141	Pral.g_01346
OG0000019	Praa.g_00249	Pral.g_00790
OG0000019	Praa.g_00782	Pral.g_01344
OG0000020	Praa.g_01107	Pral.g_01038
OG0000021	Praa.g_01623, Praa.g_00364	Pral.g_01667, Pral.g_01738
OG0000022	Praa.g_00763	Pral.g_00044
OG0000023	Praa.g_00359	Pral.g_01687
OG0000024	Praa.g_00747	Pral.g_01895
OG0000025	Praa.g_00331	Pral.g_01523
OG0000026	Praa.g_00031, Praa.g_01054	Pral.g_01012
OG0000027	Praa.g_00470, Praa.g_01301	Pral.g_01036, Pral.g_00039
OG0000028	Praa.g_01248	Pral.g_00053
OG0000028	Praa.g_00320	Pral.g_00719
OG0000029	Praa.g_00754	Pral.g_01890
OG0000030	Praa.g_01842	Pral.g_00316
OG0000034	Praa.g_01328	Pral.g_01271
OG0000035	Praa.g_01476	Pral.g_01161, Pral.g_01165
OG0000037	Praa.g_00109	Pral.g_00938
OG0000038	Praa.g_01883	Pral.g_00356
OG0000039	Praa.g_00686	Pral.g_01755
OG0000041	Praa.g_01683	Pral.g_00155
OG0000042	Praa.g_01839	Pral.g_00313
OG0000043	Praa.g_01259, Praa.g_00876	Pral.g_01347
OG0000048	Praa.g_00373	Pral.g_00768
OG0000053	Praa.g_01496	Pral.g_01139, Pral.g_00066
OG0000054	Praa.g_00606	Pral.g_00482
OG0000055	Praa.g_00783	Pral.g_01670, Pral.g_00082
