Orthogroup	Prbl	Prag
OG0000000	Prbl.g_00116	Prag.g_00721, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000000	Prbl.g_00118	Prag.g_00722, Prag.g_01650, Prag.g_01607, Prag.g_01213, Prag.g_01626
OG0000001	Prbl.g_01582	Prag.g_01382
OG0000001	Prbl.g_01092	Prag.g_00656
OG0000002	Prbl.g_02599	Prag.g_01651, Prag.g_00764, Prag.g_01215, Prag.g_01216
OG0000002	Prbl.g_00121, Prbl.g_00725, Prbl.g_00808, Prbl.g_02598, Prbl.g_02578	Prag.g_01374
OG0000004	Prbl.g_00117	Prag.g_01333, Prag.g_01610, Prag.g_01649
OG0000005	Prbl.g_01685, Prbl.g_00679	Prag.g_00734
OG0000008	Prbl.g_00531	Prag.g_00476
OG0000008	Prbl.g_00394	Prag.g_01669
OG0000010	Prbl.g_01509	Prag.g_00786, Prag.g_00242
OG0000011	Prbl.g_01163	Prag.g_00748
OG0000013	Prbl.g_00155, Prbl.g_00554	Prag.g_01600, Prag.g_00098
OG0000015	Prbl.g_00719	Prag.g_00321
OG0000016	Prbl.g_01566	Prag.g_00765
OG0000018	Prbl.g_01763, Prbl.g_01755	Prag.g_00576
OG0000020	Prbl.g_00007, Prbl.g_00046	Prag.g_01385
OG0000022	Prbl.g_02601	Prag.g_01231, Prag.g_00234
OG0000023	Prbl.g_01768	Prag.g_01633, Prag.g_00359
OG0000024	Prbl.g_02617	Prag.g_01325
OG0000025	Prbl.g_00040	Prag.g_00740
OG0000027	Prbl.g_01854	Prag.g_00650, Prag.g_01656
OG0000028	Prbl.g_01855	Prag.g_01655
OG0000031	Prbl.g_01236, Prbl.g_01121, Prbl.g_02184	Prag.g_01868
OG0000032	Prbl.g_01981	Prag.g_00033
OG0000034	Prbl.g_00242	Prag.g_01488, Prag.g_01490
OG0000037	Prbl.g_01677	Prag.g_01329, Prag.g_01645
OG0000040	Prbl.g_01822	Prag.g_01326
OG0000041	Prbl.g_01618	Prag.g_00601
OG0000045	Prbl.g_01783	Prag.g_00563
OG0000046	Prbl.g_01072, Prbl.g_01310	Prag.g_00757
OG0000047	Prbl.g_02084	Prag.g_01153
OG0000049	Prbl.g_00890	Prag.g_01428
OG0000050	Prbl.g_01838, Prbl.g_00281	Prag.g_00159
OG0000051	Prbl.g_02355	Prag.g_00354
OG0000053	Prbl.g_01839, Prbl.g_02567	Prag.g_00692
OG0000054	Prbl.g_00405	Prag.g_01662
OG0000055	Prbl.g_01285	Prag.g_01861
OG0000056	Prbl.g_01977	Prag.g_00031
OG0000057	Prbl.g_00290	Prag.g_00150
OG0000058	Prbl.g_00411	Prag.g_00364
OG0000059	Prbl.g_00752	Prag.g_00518
OG0000061	Prbl.g_01943	Prag.g_00751
OG0000062	Prbl.g_02310	Prag.g_00828
OG0000063	Prbl.g_00138	Prag.g_01108
OG0000066	Prbl.g_01340	Prag.g_00454
OG0000067	Prbl.g_00025	Prag.g_00676
OG0000070	Prbl.g_00927	Prag.g_01036
OG0000071	Prbl.g_01384	Prag.g_01298
OG0000072	Prbl.g_01722	Prag.g_01355
OG0000074	Prbl.g_00892	Prag.g_01423
OG0000075	Prbl.g_01126, Prbl.g_01000	Prag.g_01804
OG0000076	Prbl.g_00889	Prag.g_01416
OG0000077	Prbl.g_02109	Prag.g_00011
OG0000078	Prbl.g_00897	Prag.g_00313
OG0000079	Prbl.g_02190	Prag.g_00375
OG0000080	Prbl.g_01395	Prag.g_00647
OG0000081	Prbl.g_01859	Prag.g_00669
OG0000082	Prbl.g_02328	Prag.g_00813
OG0000084	Prbl.g_02478	Prag.g_00964
OG0000085	Prbl.g_02128	Prag.g_01085
OG0000086	Prbl.g_02204	Prag.g_01120
OG0000090	Prbl.g_00893	Prag.g_01424
OG0000091	Prbl.g_00226	Prag.g_01498
OG0000092	Prbl.g_00462	Prag.g_01617
OG0000093	Prbl.g_00952	Prag.g_01755
OG0000094	Prbl.g_00996	Prag.g_01801
OG0000095	Prbl.g_00857	Prag.g_01834
OG0000096	Prbl.g_01991	Prag.g_01905
OG0000098	Prbl.g_02118	Prag.g_00003
OG0000099	Prbl.g_01968	Prag.g_00023
OG0000101	Prbl.g_02273	Prag.g_00049
OG0000102	Prbl.g_01331	Prag.g_00106
OG0000103	Prbl.g_01316	Prag.g_00114
OG0000104	Prbl.g_00810	Prag.g_00132
OG0000105	Prbl.g_00277	Prag.g_00163
OG0000106	Prbl.g_00069	Prag.g_00177
OG0000107	Prbl.g_00088	Prag.g_00185
OG0000108	Prbl.g_00098	Prag.g_00195
OG0000109	Prbl.g_00193	Prag.g_00232
OG0000110	Prbl.g_01506	Prag.g_00244
OG0000111	Prbl.g_01461	Prag.g_00265
OG0000112	Prbl.g_01448	Prag.g_00275
OG0000113	Prbl.g_01432	Prag.g_00288
OG0000114	Prbl.g_00877	Prag.g_00316
OG0000115	Prbl.g_01341	Prag.g_00453
OG0000116	Prbl.g_01339	Prag.g_00455
OG0000117	Prbl.g_00511	Prag.g_00459
OG0000118	Prbl.g_00533	Prag.g_00478
OG0000119	Prbl.g_00768	Prag.g_00511
OG0000120	Prbl.g_00766	Prag.g_00512
OG0000121	Prbl.g_02647	Prag.g_00522
OG0000122	Prbl.g_01886	Prag.g_00531
OG0000123	Prbl.g_01784	Prag.g_00562
OG0000124	Prbl.g_01043	Prag.g_00629
