Orthogroup	Prbl	Prba
OG0000000	Prbl.g_00116	Prba.g_00269
OG0000000	Prbl.g_00118	Prba.g_00003, Prba.g_00270
OG0000001	Prbl.g_01582	Prba.g_00203
OG0000001	Prbl.g_01092	Prba.g_01639
OG0000002	Prbl.g_02599	Prba.g_01081, Prba.g_01080
OG0000002	Prbl.g_00121, Prbl.g_00725, Prbl.g_00808, Prbl.g_02598, Prbl.g_02578	Prba.g_00211
OG0000004	Prbl.g_00117	Prba.g_01172, Prba.g_00268
OG0000005	Prbl.g_01685, Prbl.g_00679	Prba.g_01563
OG0000008	Prbl.g_00531	Prba.g_00964
OG0000008	Prbl.g_00394	Prba.g_00226
OG0000009	Prbl.g_01020, Prbl.g_02634, Prbl.g_01013, Prbl.g_02600, Prbl.g_01599	Prba.g_01120
OG0000010	Prbl.g_01509	Prba.g_01519, Prba.g_00468
OG0000011	Prbl.g_01163	Prba.g_00869, Prba.g_01551
OG0000013	Prbl.g_00155, Prbl.g_00554	Prba.g_00276, Prba.g_01893
OG0000015	Prbl.g_01574	Prba.g_00913
OG0000015	Prbl.g_00719	Prba.g_00546
OG0000016	Prbl.g_01566	Prba.g_01538
OG0000018	Prbl.g_01763, Prbl.g_01755	Prba.g_01719
OG0000020	Prbl.g_00007, Prbl.g_00046	Prba.g_00200
OG0000022	Prbl.g_02601	Prba.g_00460
OG0000023	Prbl.g_01768	Prba.g_00245, Prba.g_00858
OG0000024	Prbl.g_02617	Prba.g_01164
OG0000025	Prbl.g_00040	Prba.g_01558
OG0000027	Prbl.g_01854	Prba.g_01645
OG0000028	Prbl.g_01855	Prba.g_01131
OG0000031	Prbl.g_01236, Prbl.g_01121, Prbl.g_02184	Prba.g_00775
OG0000032	Prbl.g_01981	Prba.g_01826
OG0000034	Prbl.g_00242	Prba.g_00713
OG0000037	Prbl.g_01677	Prba.g_01168
OG0000038	Prbl.g_00835, Prbl.g_00830	Prba.g_00173
OG0000040	Prbl.g_01822	Prba.g_01165, Prba.g_00900
OG0000041	Prbl.g_01618	Prba.g_01694
OG0000045	Prbl.g_01783	Prba.g_01731
OG0000046	Prbl.g_01072, Prbl.g_01310	Prba.g_01543
OG0000047	Prbl.g_02084	Prba.g_00064
OG0000049	Prbl.g_00890	Prba.g_00153
OG0000050	Prbl.g_01838, Prbl.g_00281	Prba.g_00622
OG0000051	Prbl.g_02355	Prba.g_00854
OG0000053	Prbl.g_01839, Prbl.g_02567	Prba.g_01594
OG0000054	Prbl.g_00405	Prba.g_00233
OG0000055	Prbl.g_01285	Prba.g_00768
OG0000056	Prbl.g_01977	Prba.g_01824
OG0000057	Prbl.g_00290	Prba.g_01945
OG0000058	Prbl.g_00411	Prba.g_00864
OG0000059	Prbl.g_00752	Prba.g_00922
OG0000061	Prbl.g_01943	Prba.g_01548
OG0000062	Prbl.g_02310	Prba.g_01477
OG0000063	Prbl.g_00138	Prba.g_00727
OG0000066	Prbl.g_01340	Prba.g_00986
OG0000067	Prbl.g_00025	Prba.g_01619
OG0000070	Prbl.g_00927	Prba.g_01264
OG0000071	Prbl.g_01384	Prba.g_01135
OG0000072	Prbl.g_01722	Prba.g_01192
OG0000074	Prbl.g_00892	Prba.g_00175
OG0000075	Prbl.g_01126, Prbl.g_01000	Prba.g_00429
OG0000076	Prbl.g_00712, Prbl.g_00889	Prba.g_00149
OG0000077	Prbl.g_02109	Prba.g_01804
OG0000078	Prbl.g_00897	Prba.g_00538
OG0000079	Prbl.g_02190	Prba.g_00877
OG0000080	Prbl.g_01395	Prba.g_01648
OG0000081	Prbl.g_01859	Prba.g_01626
OG0000082	Prbl.g_02328	Prba.g_01492
OG0000084	Prbl.g_02478	Prba.g_01337
OG0000085	Prbl.g_02128	Prba.g_01216
OG0000086	Prbl.g_02204	Prba.g_00097
OG0000090	Prbl.g_00893	Prba.g_00155
OG0000091	Prbl.g_00226	Prba.g_00705
OG0000092	Prbl.g_00462	Prba.g_00261
OG0000093	Prbl.g_00952	Prba.g_00381
OG0000094	Prbl.g_00996	Prba.g_00426
OG0000095	Prbl.g_00857	Prba.g_01069
OG0000096	Prbl.g_01991	Prba.g_00813
OG0000098	Prbl.g_02118	Prba.g_01796
OG0000099	Prbl.g_01968	Prba.g_01816
OG0000101	Prbl.g_02273	Prba.g_01843
OG0000102	Prbl.g_01331	Prba.g_01901
OG0000103	Prbl.g_01316	Prba.g_01909
OG0000104	Prbl.g_00810	Prba.g_01927
OG0000105	Prbl.g_00277	Prba.g_00626
OG0000106	Prbl.g_00069	Prba.g_00640
OG0000107	Prbl.g_00088	Prba.g_00648
OG0000108	Prbl.g_00098	Prba.g_00658
OG0000109	Prbl.g_00193	Prba.g_00458
OG0000110	Prbl.g_01506	Prba.g_00470
OG0000111	Prbl.g_01461	Prba.g_00491
