Orthogroup	Prbl	Prbb
OG0000000	Prbl.g_00116	Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Prbl.g_00118	Prbb.g_01145, Prbb.g_01352, Prbb.g_01123, Prbb.g_01403, Prbb.g_01787, Prbb.g_00103, Prbb.g_01313
OG0000001	Prbl.g_01582	Prbb.g_00844
OG0000001	Prbl.g_01092	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544
OG0000002	Prbl.g_02599	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157
OG0000002	Prbl.g_00121, Prbl.g_00725, Prbl.g_00808, Prbl.g_02598, Prbl.g_02578	Prbb.g_01611
OG0000003	Prbl.g_01335	Prbb.g_01629
OG0000004	Prbl.g_00117	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792
OG0000005	Prbl.g_01685, Prbl.g_00679	Prbb.g_00425, Prbb.g_00748
OG0000008	Prbl.g_00531	Prbb.g_00501
OG0000008	Prbl.g_00394	Prbb.g_01823
OG0000009	Prbl.g_01171	Prbb.g_00078
OG0000010	Prbl.g_01509	Prbb.g_00757, Prbb.g_00761
OG0000011	Prbl.g_01163	Prbb.g_01800
OG0000012	Prbl.g_01465	Prbb.g_00325
OG0000014	Prbl.g_01416	Prbb.g_00357
OG0000015	Prbl.g_01574	Prbb.g_00421
OG0000015	Prbl.g_00719	Prbb.g_00386
OG0000016	Prbl.g_01566	Prbb.g_01158
OG0000018	Prbl.g_01763	Prbb.g_00598
OG0000020	Prbl.g_00007, Prbl.g_00046	Prbb.g_01632
OG0000021	Prbl.g_00691	Prbb.g_01705
OG0000022	Prbl.g_02601	Prbb.g_01328, Prbb.g_01560, Prbb.g_00299
OG0000023	Prbl.g_01768	Prbb.g_00099
OG0000024	Prbl.g_02617	Prbb.g_01207
OG0000025	Prbl.g_00040	Prbb.g_01175, Prbb.g_00680
OG0000027	Prbl.g_01854	Prbb.g_01885
OG0000028	Prbl.g_01855	Prbb.g_01884
OG0000031	Prbl.g_01236, Prbl.g_01121, Prbl.g_02184	Prbb.g_02069
OG0000032	Prbl.g_01981	Prbb.g_01921
OG0000034	Prbl.g_00242	Prbb.g_01686
OG0000037	Prbl.g_01677	Prbb.g_01383, Prbb.g_01391
OG0000040	Prbl.g_01822	Prbb.g_01229, Prbb.g_01368
OG0000041	Prbl.g_01618	Prbb.g_01111
OG0000042	Prbl.g_02231	Prbb.g_02131
OG0000045	Prbl.g_01783	Prbb.g_01882
OG0000046	Prbl.g_01072, Prbl.g_01310	Prbb.g_01231
OG0000047	Prbl.g_02084	Prbb.g_01517
OG0000048	Prbl.g_00870	Prbb.g_00112
OG0000049	Prbl.g_00890	Prbb.g_00851
OG0000050	Prbl.g_01838, Prbl.g_00281	Prbb.g_00223
OG0000051	Prbl.g_02355	Prbb.g_01373, Prbb.g_01411
OG0000053	Prbl.g_01839, Prbl.g_02567	Prbb.g_00713
OG0000054	Prbl.g_00405	Prbb.g_01816
OG0000055	Prbl.g_01285	Prbb.g_02061
OG0000056	Prbl.g_01977	Prbb.g_00032
OG0000057	Prbl.g_00290	Prbb.g_00214
OG0000058	Prbl.g_00411	Prbb.g_01197, Prbb.g_01329
OG0000059	Prbl.g_00752	Prbb.g_00542
OG0000060	Prbl.g_02553	Prbb.g_00726
OG0000061	Prbl.g_01943	Prbb.g_00053
OG0000062	Prbl.g_02310	Prbb.g_00807, Prbb.g_01218
OG0000063	Prbl.g_00138	Prbb.g_00054
OG0000066	Prbl.g_01340	Prbb.g_00478
OG0000067	Prbl.g_00025	Prbb.g_01359, Prbb.g_00706
OG0000070	Prbl.g_00927	Prbb.g_01070
OG0000071	Prbl.g_01384	Prbb.g_01399
OG0000072	Prbl.g_01722	Prbb.g_01586
OG0000074	Prbl.g_00892	Prbb.g_00678
OG0000075	Prbl.g_01126, Prbl.g_01000	Prbb.g_02001
OG0000076	Prbl.g_00712	Prbb.g_01723
OG0000077	Prbl.g_02109	Prbb.g_00012
OG0000078	Prbl.g_00897	Prbb.g_00373
OG0000079	Prbl.g_02190	Prbb.g_01326
OG0000080	Prbl.g_01395	Prbb.g_00673
OG0000081	Prbl.g_01859	Prbb.g_00697, Prbb.g_00698
OG0000082	Prbl.g_02328	Prbb.g_00790
OG0000084	Prbl.g_02478	Prbb.g_00991
OG0000085	Prbl.g_02128	Prbb.g_01238
OG0000086	Prbl.g_02204	Prbb.g_01887
OG0000090	Prbl.g_00893	Prbb.g_00388
OG0000091	Prbl.g_00226	Prbb.g_01694
OG0000092	Prbl.g_00462	Prbb.g_01208
OG0000093	Prbl.g_00952	Prbb.g_01946
OG0000094	Prbl.g_00996	Prbb.g_01997
OG0000095	Prbl.g_00857	Prbb.g_02034
OG0000096	Prbl.g_01991	Prbb.g_02123
OG0000097	Prbl.g_02195	Prbb.g_02143
OG0000098	Prbl.g_02118	Prbb.g_00003
OG0000099	Prbl.g_01968	Prbb.g_00024
OG0000101	Prbl.g_02273	Prbb.g_00064
OG0000102	Prbl.g_01331	Prbb.g_00170
OG0000103	Prbl.g_01316	Prbb.g_00179
OG0000104	Prbl.g_00810	Prbb.g_00196
OG0000105	Prbl.g_00277	Prbb.g_00227
OG0000106	Prbl.g_00069	Prbb.g_00240
OG0000107	Prbl.g_00088	Prbb.g_00249
OG0000108	Prbl.g_00098	Prbb.g_00259
OG0000109	Prbl.g_00193	Prbb.g_00041, Prbb.g_00297
OG0000110	Prbl.g_01506	Prbb.g_00307
OG0000111	Prbl.g_01461	Prbb.g_00327
OG0000112	Prbl.g_01448	Prbb.g_00336
OG0000113	Prbl.g_01432	Prbb.g_00348
OG0000114	Prbl.g_00877	Prbb.g_00376
OG0000115	Prbl.g_01341	Prbb.g_00477
OG0000116	Prbl.g_01339	Prbb.g_00479
OG0000117	Prbl.g_00511	Prbb.g_00484, Prbb.g_00485
OG0000118	Prbl.g_00533	Prbb.g_00503
OG0000119	Prbl.g_00768	Prbb.g_00535
OG0000120	Prbl.g_00766	Prbb.g_00536
OG0000121	Prbl.g_02647	Prbb.g_00546
OG0000122	Prbl.g_01886	Prbb.g_00556
