Orthogroup	Prbl	Prbh
OG0000000	Prbl.g_00116	Prbh.g_01903
OG0000000	Prbl.g_00118	Prbh.g_01858, Prbh.g_01902
OG0000001	Prbl.g_01582	Prbh.g_01016, Prbh.g_01022
OG0000001	Prbl.g_01092	Prbh.g_00912, Prbh.g_00199, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317
OG0000002	Prbl.g_02599	Prbh.g_00863
OG0000002	Prbl.g_00121, Prbl.g_00725, Prbl.g_00808, Prbl.g_02598, Prbl.g_02578	Prbh.g_00001
OG0000004	Prbl.g_00117	Prbh.g_01901, Prbh.g_01319
OG0000005	Prbl.g_01685, Prbl.g_00679	Prbh.g_01350
OG0000008	Prbl.g_00531	Prbh.g_00334
OG0000008	Prbl.g_00394	Prbh.g_01782
OG0000009	Prbl.g_01020, Prbl.g_02634, Prbl.g_01013, Prbl.g_02600, Prbl.g_01599	Prbh.g_01418
OG0000010	Prbl.g_01509	Prbh.g_01307, Prbh.g_00530
OG0000011	Prbl.g_01163	Prbh.g_01691, Prbh.g_01885
OG0000013	Prbl.g_00155, Prbl.g_00554	Prbh.g_00377, Prbh.g_00193
OG0000014	Prbl.g_01416	Prbh.g_00472
OG0000015	Prbl.g_01574	Prbh.g_00408
OG0000016	Prbl.g_01566	Prbh.g_00840
OG0000018	Prbl.g_01763	Prbh.g_00232
OG0000018	Prbl.g_01755	Prbh.g_00225
OG0000020	Prbl.g_00007	Prbh.g_01333
OG0000020	Prbl.g_00046	Prbh.g_00194
OG0000021	Prbl.g_00691	Prbh.g_00120, Prbh.g_01834
OG0000022	Prbl.g_02601	Prbh.g_00538
OG0000023	Prbl.g_01768	Prbh.g_00938
OG0000024	Prbl.g_02617	Prbh.g_00773
OG0000025	Prbl.g_00040	Prbh.g_01147, Prbh.g_00909
OG0000027	Prbl.g_01854	Prbh.g_01405
OG0000028	Prbl.g_01855	Prbh.g_01406
OG0000031	Prbl.g_01236, Prbl.g_01121, Prbl.g_02184	Prbh.g_01573
OG0000032	Prbl.g_01981	Prbh.g_01401
OG0000034	Prbl.g_00242	Prbh.g_00096, Prbh.g_00099
OG0000036	Prbl.g_01076	Prbh.g_01819
OG0000038	Prbl.g_00835, Prbl.g_00830	Prbh.g_00064
OG0000041	Prbl.g_01618	Prbh.g_01460
OG0000042	Prbl.g_02231	Prbh.g_01528
OG0000045	Prbl.g_01783	Prbh.g_01855
OG0000046	Prbl.g_01072	Prbh.g_00190
OG0000047	Prbl.g_02084	Prbh.g_01283
OG0000048	Prbl.g_00870	Prbh.g_00727
OG0000049	Prbl.g_00890	Prbh.g_00030
OG0000050	Prbl.g_01838, Prbl.g_00281	Prbh.g_00616
OG0000051	Prbl.g_02355	Prbh.g_00833
OG0000053	Prbl.g_01839, Prbl.g_02567	Prbh.g_00945
OG0000054	Prbl.g_00405	Prbh.g_01408
OG0000055	Prbl.g_01285	Prbh.g_01581
OG0000056	Prbl.g_01977	Prbh.g_00749
OG0000057	Prbl.g_00290	Prbh.g_00625
OG0000058	Prbl.g_00411	Prbh.g_00821
OG0000060	Prbl.g_02553	Prbh.g_01160
OG0000061	Prbl.g_01943	Prbh.g_01897
OG0000062	Prbl.g_02310	Prbh.g_00976
OG0000063	Prbl.g_00138	Prbh.g_01334
OG0000066	Prbl.g_01340	Prbh.g_00356
OG0000067	Prbl.g_00025	Prbh.g_00936
OG0000070	Prbl.g_00927	Prbh.g_01031
OG0000071	Prbl.g_01384	Prbh.g_01255
OG0000072	Prbl.g_01722	Prbh.g_01373
OG0000074	Prbl.g_00892	Prbh.g_00031
OG0000075	Prbl.g_01126, Prbl.g_01000	Prbh.g_01644
OG0000076	Prbl.g_00712	Prbh.g_00138
OG0000077	Prbl.g_02109	Prbh.g_01953
OG0000078	Prbl.g_00897	Prbh.g_00457
OG0000079	Prbl.g_02190	Prbh.g_01825
OG0000080	Prbl.g_01395	Prbh.g_01182
OG0000081	Prbl.g_01859	Prbh.g_00926
OG0000082	Prbl.g_02328	Prbh.g_00960
OG0000084	Prbl.g_02478	Prbh.g_01086
OG0000085	Prbl.g_02128	Prbh.g_01328
OG0000086	Prbl.g_02204	Prbh.g_01868
OG0000090	Prbl.g_00893	Prbh.g_00032
OG0000091	Prbl.g_00226	Prbh.g_00107
OG0000092	Prbl.g_00462	Prbh.g_01860
OG0000093	Prbl.g_00952	Prbh.g_01695
OG0000094	Prbl.g_00996	Prbh.g_01648
OG0000095	Prbl.g_00857	Prbh.g_01609
OG0000096	Prbl.g_01991	Prbh.g_01536
OG0000097	Prbl.g_02195	Prbh.g_01516
OG0000098	Prbl.g_02118	Prbh.g_01473
OG0000099	Prbl.g_01968	Prbh.g_00757
OG0000101	Prbl.g_02273	Prbh.g_00731
OG0000102	Prbl.g_01331	Prbh.g_00668
OG0000103	Prbl.g_01316	Prbh.g_00659
OG0000104	Prbl.g_00810	Prbh.g_00642
OG0000105	Prbl.g_00277	Prbh.g_00612
OG0000106	Prbl.g_00069	Prbh.g_00599
OG0000107	Prbl.g_00088	Prbh.g_00590
OG0000108	Prbl.g_00098	Prbh.g_00580
OG0000109	Prbl.g_00193	Prbh.g_00540
OG0000110	Prbl.g_01506	Prbh.g_00528
OG0000111	Prbl.g_01461	Prbh.g_00505
OG0000112	Prbl.g_01448	Prbh.g_00494
OG0000113	Prbl.g_01432	Prbh.g_00481
OG0000114	Prbl.g_00877	Prbh.g_00454
OG0000115	Prbl.g_01341	Prbh.g_00357
OG0000116	Prbl.g_01339	Prbh.g_00355
OG0000117	Prbl.g_00511	Prbh.g_00351
OG0000118	Prbl.g_00533	Prbh.g_00330
OG0000119	Prbl.g_00768	Prbh.g_00297
OG0000120	Prbl.g_00766	Prbh.g_00296
OG0000121	Prbl.g_02647	Prbh.g_00287
OG0000122	Prbl.g_01886	Prbh.g_00278
OG0000123	Prbl.g_01784	Prbh.g_00245
OG0000124	Prbl.g_01043	Prbh.g_01202
OG0000125	Prbl.g_01042	Prbh.g_01201
