Orthogroup	Prar	Prae
OG0000000	Prar.g_00918	Prae.g_01361
OG0000000	Prar.g_01508	Prae.g_00652
OG0000001	Prar.g_01204	Prae.g_01222
OG0000001	Prar.g_01204	Prae.g_01579
OG0000001	Prar.g_00730	Prae.g_01300
OG0000002	Prar.g_00926	Prae.g_01353
OG0000002	Prar.g_01202	Prae.g_01223, Prae.g_01224
OG0000003	Prar.g_00973	Prae.g_01308
OG0000004	Prar.g_01623	Prae.g_00735
OG0000004	Prar.g_01630	Prae.g_00742
OG0000005	Prar.g_00729	Prae.g_01580
OG0000006	Prar.g_01328	Prae.g_00471
OG0000006	Prar.g_01143	Prae.g_01623
OG0000007	Prar.g_01502	Prae.g_00646
OG0000008	Prar.g_00445	Prae.g_00383
OG0000008	Prar.g_01002	Prae.g_01264
OG0000009	Prar.g_01663	Prae.g_00786
OG0000009	Prar.g_00078	Prae.g_00252
OG0000010	Prar.g_01313	Prae.g_01110
OG0000010	Prar.g_00991	Prae.g_01283
OG0000011	Prar.g_00257	Prae.g_00331
OG0000012	Prar.g_01428	Prae.g_00572
OG0000013	Prar.g_01179	Prae.g_01235, Prae.g_00769
OG0000014	Prar.g_00520	Prae.g_00444, Prae.g_01311
OG0000015	Prar.g_00443	Prae.g_00381
OG0000016	Prar.g_00915	Prae.g_01364
OG0000017	Prar.g_00827	Prae.g_01479
OG0000018	Prar.g_00086	Prae.g_00244
OG0000019	Prar.g_00425	Prae.g_00364, Prae.g_01600
OG0000020	Prar.g_00435	Prae.g_00374
OG0000021	Prar.g_01665	Prae.g_00788
OG0000022	Prar.g_00971	Prae.g_01310
OG0000023	Prar.g_00737	Prae.g_01572, Prae.g_01270
OG0000024	Prar.g_00281	Prae.g_00307, Prae.g_01401
OG0000025	Prar.g_01940	Prae.g_01077
OG0000026	Prar.g_00004	Prae.g_00033
OG0000027	Prar.g_01626	Prae.g_00738
OG0000027	Prar.g_00761	Prae.g_01546
OG0000028	Prar.g_00339	Prae.g_01459
OG0000029	Prar.g_00736, Prar.g_01170	Prae.g_01573
OG0000030	Prar.g_00593	Prae.g_00040, Prae.g_00039
OG0000032	Prar.g_00879	Prae.g_01391, Prae.g_01402
OG0000033	Prar.g_00025	Prae.g_00013
OG0000035	Prar.g_01761	Prae.g_00894
OG0000036	Prar.g_01414	Prae.g_00559
OG0000037	Prar.g_01453	Prae.g_00597
OG0000038	Prar.g_01649	Prae.g_00764
OG0000039	Prar.g_00161	Prae.g_00169
OG0000040	Prar.g_00420	Prae.g_00359
OG0000041	Prar.g_00476	Prae.g_00402
OG0000042	Prar.g_01599	Prae.g_00711
OG0000043	Prar.g_01668	Prae.g_00791
OG0000044	Prar.g_01263	Prae.g_01163, Prae.g_01422
OG0000045	Prar.g_00870	Prae.g_01417
OG0000045	Prar.g_00362	Prae.g_01406
OG0000046	Prar.g_01150	Prae.g_01616
OG0000047	Prar.g_00653	Prae.g_01815
OG0000048	Prar.g_00660	Prae.g_01822
OG0000050	Prar.g_00007	Prae.g_00031
OG0000051	Prar.g_00170	Prae.g_00160
OG0000052	Prar.g_00431	Prae.g_00370
OG0000053	Prar.g_01369	Prae.g_00514
OG0000054	Prar.g_01644	Prae.g_00758
OG0000055	Prar.g_01706	Prae.g_00828
OG0000056	Prar.g_01307	Prae.g_01322
OG0000057	Prar.g_00090	Prae.g_00240
OG0000058	Prar.g_00525	Prae.g_00449
OG0000059	Prar.g_01528	Prae.g_00672
OG0000060	Prar.g_01628	Prae.g_00740
OG0000061	Prar.g_01298	Prae.g_01128, Prae.g_00984
OG0000062	Prar.g_01296	Prae.g_01130
OG0000063	Prar.g_01003	Prae.g_01263
OG0000064	Prar.g_00997	Prae.g_01272
OG0000065	Prar.g_00955	Prae.g_01329
OG0000066	Prar.g_00880	Prae.g_01389
