Orthogroup	Prar	Prav
OG0000000	Prar.g_00918	Prav.g_01466
OG0000000	Prar.g_01508	Prav.g_01276
OG0000001	Prar.g_01204	Prav.g_01694
OG0000001	Prar.g_01204	Prav.g_01821
OG0000001	Prar.g_00730	Prav.g_01715, Prav.g_01730, Prav.g_01738
OG0000002	Prar.g_00926	Prav.g_01458
OG0000002	Prar.g_01203	Prav.g_01734
OG0000003	Prar.g_00973	Prav.g_01019, Prav.g_01413
OG0000004	Prar.g_01623	Prav.g_00330
OG0000004	Prar.g_01630	Prav.g_00338
OG0000005	Prar.g_00713	Prav.g_00973
OG0000005	Prar.g_00729	Prav.g_01695
OG0000006	Prar.g_01328	Prav.g_01095
OG0000006	Prar.g_01143	Prav.g_01761
OG0000007	Prar.g_01185	Prav.g_01749
OG0000007	Prar.g_01502	Prav.g_01270
OG0000008	Prar.g_00445	Prav.g_01000
OG0000008	Prar.g_01002	Prav.g_01016
OG0000009	Prar.g_01663	Prav.g_00375
OG0000009	Prar.g_00078	Prav.g_01896
OG0000010	Prar.g_01006	Prav.g_01732
OG0000010	Prar.g_00991	Prav.g_01400
OG0000011	Prar.g_00257	Prav.g_01976
OG0000012	Prar.g_01428	Prav.g_01194
OG0000013	Prar.g_01179	Prav.g_00961, Prav.g_00363
OG0000014	Prar.g_00520	Prav.g_01068, Prav.g_01416
OG0000015	Prar.g_00443	Prav.g_00998
OG0000016	Prar.g_00915	Prav.g_01469
OG0000017	Prar.g_00827	Prav.g_01598
OG0000018	Prar.g_00086	Prav.g_02001
OG0000019	Prar.g_00425	Prav.g_00984
OG0000020	Prar.g_00435	Prav.g_00993
OG0000021	Prar.g_01665	Prav.g_00377
OG0000022	Prar.g_00971	Prav.g_01736, Prav.g_01415
OG0000023	Prar.g_00737	Prav.g_01688
OG0000024	Prar.g_00281	Prav.g_01952
OG0000025	Prar.g_01940	Prav.g_01013, Prav.g_00247
OG0000026	Prar.g_00005, Prar.g_00004	Prav.g_00101
OG0000027	Prar.g_01626	Prav.g_00333
OG0000027	Prar.g_00761	Prav.g_01309
OG0000028	Prar.g_00339	Prav.g_01578
OG0000029	Prar.g_00736	Prav.g_01689
OG0000029	Prar.g_01170	Prav.g_01881
OG0000033	Prar.g_00025	Prav.g_00081, Prav.g_01385
OG0000035	Prar.g_01761	Prav.g_01877
OG0000035	Prar.g_01943	Prav.g_00251
OG0000036	Prar.g_01414	Prav.g_01182
OG0000037	Prar.g_01453	Prav.g_01221
OG0000038	Prar.g_01649	Prav.g_00360
OG0000039	Prar.g_00161	Prav.g_00872
OG0000040	Prar.g_00420	Prav.g_00979
OG0000041	Prar.g_00476	Prav.g_01022
OG0000042	Prar.g_01599	Prav.g_00306
OG0000043	Prar.g_01668	Prav.g_00381
OG0000044	Prar.g_01263	Prav.g_00065
OG0000045	Prar.g_00870	Prav.g_01512
OG0000046	Prar.g_01150	Prav.g_01754
OG0000047	Prar.g_00653	Prav.g_00689
OG0000048	Prar.g_00660	Prav.g_00696
OG0000050	Prar.g_00007	Prav.g_00099, Prav.g_01324
OG0000051	Prar.g_00170	Prav.g_00881
OG0000052	Prar.g_00431	Prav.g_00989
OG0000053	Prar.g_01369	Prav.g_01137
OG0000054	Prar.g_01644	Prav.g_00354, Prav.g_01325
OG0000055	Prar.g_01706	Prav.g_00419
OG0000056	Prar.g_01307	Prav.g_00021, Prav.g_01388
OG0000057	Prar.g_00090	Prav.g_00801
OG0000058	Prar.g_00525	Prav.g_01073
OG0000059	Prar.g_01528	Prav.g_01296
OG0000060	Prar.g_01628	Prav.g_00335
OG0000061	Prar.g_01298	Prav.g_00031, Prav.g_00576
OG0000062	Prar.g_01296	Prav.g_00033
OG0000063	Prar.g_01003	Prav.g_01390
OG0000064	Prar.g_00997	Prav.g_01396, Prav.g_01729
OG0000065	Prar.g_00955	Prav.g_01438
OG0000066	Prar.g_00880	Prav.g_01513
OG0000067	Prar.g_00988	Prav.g_01334, Prav.g_01014
OG0000068	Prar.g_01027	Prav.g_00632
OG0000069	Prar.g_00886	Prav.g_01499
OG0000070	Prar.g_00932	Prav.g_01421
OG0000071	Prar.g_00027	Prav.g_00079
OG0000072	Prar.g_00265	Prav.g_01968
OG0000073	Prar.g_01499	Prav.g_01267
OG0000074	Prar.g_01521	Prav.g_01289
OG0000075	Prar.g_01691	Prav.g_00404
OG0000076	Prar.g_01904	Prav.g_00933
OG0000078	Prar.g_00872	Prav.g_01514
OG0000079	Prar.g_00769	Prav.g_01656, Prav.g_01551
