HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
N32.HOG0000000	OG0000000	n1	Praa.g_01359				Prae.g_01361																			Prax.g_01870						Prbd.g_01771										
N32.HOG0000001	OG0000000	n47	Praa.g_00678				Prae.g_00652																			Prax.g_00964						Prbd.g_00566										
N32.HOG0000002	OG0000001	n18																								Prax.g_01609						Prbd.g_00528										
N32.HOG0000003	OG0000001	n42					Prae.g_01579																			Prax.g_00259																
N32.HOG0000004	OG0000001	n47	Praa.g_01297				Prae.g_01300																			Prax.g_01920						Prbd.g_01836										
N32.HOG0000005	OG0000001	n121																														Prbd.g_01569										
N32.HOG0000006	OG0000002	n1	Praa.g_01351				Prae.g_01353																			Prax.g_01878						Prbd.g_01779										
N32.HOG0000007	OG0000002	n77					Prae.g_01223, Prae.g_01224																																			
N32.HOG0000008	OG0000002	n96	Praa.g_01222, Praa.g_01220																																							
N32.HOG0000009	OG0000002	n99					Prae.g_01236																			Prax.g_00522																
N32.HOG0000010	OG0000003	n40	Praa.g_01298				Prae.g_01308																			Prax.g_01919						Prbd.g_01835										
N32.HOG0000011	OG0000003	n60	Praa.g_01599				Prae.g_01581																			Prax.g_01606						Prbd.g_01567										
N32.HOG0000012	OG0000003	n78	Praa.g_00413																							Prax.g_00494																
N32.HOG0000013	OG0000004	n1	Praa.g_00735				Prae.g_00735																			Prax.g_00444						Prbd.g_00031										
N32.HOG0000014	OG0000004	n23	Praa.g_00742				Prae.g_00742																			Prax.g_00437						Prbd.g_00038										
N32.HOG0000015	OG0000004	n76	Praa.g_01294				Prae.g_01297																			Prax.g_01924						Prbd.g_01855										
N32.HOG0000016	OG0000005	n42	Praa.g_01598				Prae.g_01580																			Prax.g_01608						Prbd.g_01568										
N32.HOG0000017	OG0000005	n64	Praa.g_01244																							Prax.g_00496																
N32.HOG0000018	OG0000005	n76	Praa.g_01235																													Prbd.g_01914										
N32.HOG0000019	OG0000006	n1	Praa.g_00497				Prae.g_00471																			Prax.g_00704						Prbd.g_00745										
N32.HOG0000020	OG0000006	n40	Praa.g_01635				Prae.g_01623																			Prax.g_01559						Prbd.g_01525										
N32.HOG0000021	OG0000007	n11	Praa.g_01241																																							
N32.HOG0000022	OG0000007	n38	Praa.g_00672				Prae.g_00646																			Prax.g_00970						Prbd.g_00572										
N32.HOG0000023	OG0000008	n8	Praa.g_00382				Prae.g_00383																			Prax.g_00791						Prbd.g_00854										
N32.HOG0000024	OG0000008	n39	Praa.g_00997				Prae.g_00997																			Prax.g_01162						Prbd.g_00297										
N32.HOG0000025	OG0000008	n51																								Prax.g_01960																
N32.HOG0000026	OG0000008	n56	Praa.g_01256				Prae.g_01264																			Prax.g_01958						Prbd.g_01894										
N32.HOG0000027	OG0000009	n6	Praa.g_00782				Prae.g_00786																			Prax.g_00393						Prbd.g_00082										
N32.HOG0000028	OG0000009	n40	Praa.g_00249				Prae.g_00252																			Prax.g_00926						Prbd.g_00990										
N32.HOG0000029	OG0000010	n18																								Prax.g_00500						Prbd.g_01840										
N32.HOG0000030	OG0000010	n28	Praa.g_01110				Prae.g_01110																			Prax.g_00141						Prbd.g_00409										
N32.HOG0000031	OG0000010	n46	Praa.g_01280				Prae.g_01283																			Prax.g_01936						Prbd.g_01870										
N32.HOG0000032	OG0000011	n30	Praa.g_00330				Prae.g_00331																			Prax.g_00843						Prbd.g_00909										
N32.HOG0000033	OG0000012	n0	Praa.g_00598				Prae.g_00572																			Prax.g_00057						Prbd.g_00646										
N32.HOG0000034	OG0000013	n4	Praa.g_00765				Prae.g_00769																									Prbd.g_00065										
N32.HOG0000035	OG0000013	n9					Prae.g_01235																			Prax.g_00523						Prbd.g_00826										
N32.HOG0000036	OG0000014	n26	Praa.g_01301				Prae.g_01311																			Prax.g_01916						Prbd.g_01832										
N32.HOG0000037	OG0000014	n41	Praa.g_00470				Prae.g_00444																									Prbd.g_00772										
