HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
N24.HOG0000000	OG0000000	n8											Prak.g_00908		Pram.g_00873			Prap.g_00720															Prbe.g_01285	Prbf.g_01182	Prbg.g_01222	Prbh.g_01016						Prbn.g_01483
N24.HOG0000001	OG0000000	n21											Prak.g_00913		Pram.g_00879			Prap.g_00715															Prbe.g_01290	Prbf.g_01177	Prbg.g_01227	Prbh.g_01022						Prbn.g_01478
N24.HOG0000002	OG0000000	n74											Prak.g_00805		Pram.g_00768			Prap.g_00823															Prbe.g_00452	Prbf.g_01285	Prbg.g_01119	Prbh.g_00912						Prbn.g_01586
N24.HOG0000003	OG0000000	n88											Prak.g_01494		Pram.g_01278			Prap.g_00224															Prbe.g_00208	Prbf.g_00260	Prbg.g_00694	Prbh.g_00199						Prbn.g_00879
N24.HOG0000004	OG0000000	n103											Prak.g_01202		Pram.g_01170			Prap.g_00486															Prbe.g_01579	Prbf.g_00888	Prbg.g_01516	Prbh.g_01313						Prbn.g_01159
N24.HOG0000005	OG0000000	n121											Prak.g_01323		Pram.g_01471			Prap.g_01946															Prbe.g_00379	Prbf.g_00089	Prbg.g_00523	Prbh.g_00006						Prbn.g_01234
N24.HOG0000006	OG0000000	n130											Prak.g_01200		Pram.g_01168			Prap.g_00484															Prbe.g_01577	Prbf.g_00890	Prbg.g_01514	Prbh.g_01311						Prbn.g_01161
N24.HOG0000007	OG0000000	n139											Prak.g_01207		Pram.g_01174			Prap.g_00491															Prbe.g_01584	Prbf.g_00883	Prbg.g_01521	Prbh.g_01317						Prbn.g_01154
N24.HOG0000008	OG0000001	n77											Prak.g_01578					Prap.g_01846															Prbe.g_01052	Prbf.g_00760	Prbg.g_01583							Prbn.g_01678
N24.HOG0000009	OG0000001	n85													Pram.g_01556																					Prbh.g_01858						
N24.HOG0000010	OG0000001	n101											Prak.g_01209																				Prbe.g_01120	Prbf.g_00881								Prbn.g_01663
N24.HOG0000011	OG0000001	n108											Prak.g_01563																													
N24.HOG0000012	OG0000001	n109																																								Prbn.g_01152
N24.HOG0000013	OG0000001	n111													Pram.g_01512																		Prbe.g_01586	Prbf.g_00775	Prbg.g_01523, Prbg.g_01568	Prbh.g_01902						
N24.HOG0000014	OG0000001	n120																Prap.g_01861																								
N24.HOG0000015	OG0000002	n1											Prak.g_01302		Pram.g_01953, Pram.g_01954			Prap.g_01925															Prbe.g_00400	Prbf.g_00068	Prbg.g_00502							Prbn.g_01213
N24.HOG0000016	OG0000002	n118											Prak.g_00755		Pram.g_00719			Prap.g_00653															Prbe.g_00112	Prbf.g_00831	Prbg.g_01069	Prbh.g_00001, Prbh.g_00863						Prbn.g_01923
N24.HOG0000017	OG0000003	n28													Pram.g_01513																					Prbh.g_01901						
N24.HOG0000018	OG0000003	n30											Prak.g_01210		Pram.g_01176			Prap.g_00494															Prbe.g_01587	Prbf.g_00880	Prbg.g_01524	Prbh.g_01319						Prbn.g_01151
N24.HOG0000019	OG0000004	n23											Prak.g_01251		Pram.g_01207			Prap.g_00535															Prbe.g_01628	Prbf.g_00052	Prbg.g_00451	Prbh.g_01350						Prbn.g_01110
N24.HOG0000020	OG0000005	n1											Prak.g_01562		Pram.g_01511			Prap.g_01862															Prbe.g_01119	Prbf.g_00776	Prbg.g_01567	Prbh.g_01903						Prbn.g_01662
N24.HOG0000021	OG0000006	n1											Prak.g_00458		Pram.g_00433			Prap.g_01270															Prbe.g_00636	Prbf.g_01780	Prbg.g_00216	Prbh.g_00334						Prbn.g_00617
N24.HOG0000022	OG0000006	n40											Prak.g_01645		Pram.g_01632			Prap.g_01779															Prbe.g_00985	Prbf.g_00693	Prbg.g_01650	Prbh.g_01782						Prbn.g_01745
N24.HOG0000023	OG0000007	n11											Prak.g_01544		Pram.g_01263			Prap.g_01888															Prbe.g_00036	Prbf.g_00793	Prbg.g_00744	Prbh.g_01406						Prbn.g_01645
