HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
N35.HOG0000000	OG0000000	n1																								Prax.g_01870						Prbd.g_01771										
N35.HOG0000001	OG0000000	n47																								Prax.g_00964						Prbd.g_00566										
N35.HOG0000002	OG0000001	n18																								Prax.g_01609						Prbd.g_00528										
N35.HOG0000003	OG0000001	n42																								Prax.g_00259																
N35.HOG0000004	OG0000001	n47																								Prax.g_01920						Prbd.g_01836										
N35.HOG0000005	OG0000001	n121																														Prbd.g_01569										
N35.HOG0000006	OG0000002	n1																								Prax.g_01878						Prbd.g_01779										
N35.HOG0000007	OG0000002	n99																								Prax.g_00522																
N35.HOG0000008	OG0000003	n40																								Prax.g_01919						Prbd.g_01835										
N35.HOG0000009	OG0000003	n60																								Prax.g_01606						Prbd.g_01567										
N35.HOG0000010	OG0000003	n78																								Prax.g_00494																
N35.HOG0000011	OG0000004	n1																								Prax.g_00444						Prbd.g_00031										
N35.HOG0000012	OG0000004	n23																								Prax.g_00437						Prbd.g_00038										
N35.HOG0000013	OG0000004	n76																								Prax.g_01924						Prbd.g_01855										
N35.HOG0000014	OG0000005	n42																								Prax.g_01608						Prbd.g_01568										
N35.HOG0000015	OG0000005	n64																								Prax.g_00496																
N35.HOG0000016	OG0000005	n76																														Prbd.g_01914										
N35.HOG0000017	OG0000006	n1																								Prax.g_00704						Prbd.g_00745										
N35.HOG0000018	OG0000006	n40																								Prax.g_01559						Prbd.g_01525										
N35.HOG0000019	OG0000007	n38																								Prax.g_00970						Prbd.g_00572										
N35.HOG0000020	OG0000008	n8																								Prax.g_00791						Prbd.g_00854										
N35.HOG0000021	OG0000008	n39																								Prax.g_01162						Prbd.g_00297										
N35.HOG0000022	OG0000008	n51																								Prax.g_01960																
N35.HOG0000023	OG0000008	n56																								Prax.g_01958						Prbd.g_01894										
N35.HOG0000024	OG0000009	n6																								Prax.g_00393						Prbd.g_00082										
N35.HOG0000025	OG0000009	n40																								Prax.g_00926						Prbd.g_00990										
N35.HOG0000026	OG0000010	n18																								Prax.g_00500						Prbd.g_01840										
N35.HOG0000027	OG0000010	n28																								Prax.g_00141						Prbd.g_00409										
