HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
N10.HOG0000000	OG0000000	n47		Prab.g_00683												Pran.g_01500																										
N10.HOG0000001	OG0000001	n16														Pran.g_00001																										
N10.HOG0000002	OG0000001	n18														Pran.g_00602																										
N10.HOG0000003	OG0000001	n38		Prab.g_01278																																						
N10.HOG0000004	OG0000001	n47		Prab.g_01606												Pran.g_00593																										
N10.HOG0000005	OG0000001	n121		Prab.g_01620, Prab.g_00918												Pran.g_00579																										
N10.HOG0000006	OG0000002	n96		Prab.g_01279, Prab.g_01281																																						
N10.HOG0000007	OG0000002	n99		Prab.g_00788												Pran.g_01395																										
N10.HOG0000008	OG0000003	n40		Prab.g_01308												Pran.g_00894																										
N10.HOG0000009	OG0000003	n78		Prab.g_00917, Prab.g_01619												Pran.g_00580																										
N10.HOG0000010	OG0000004	n1		Prab.g_00921												Pran.g_00576																										
N10.HOG0000011	OG0000004	n23		Prab.g_00747												Pran.g_01436																										
N10.HOG0000012	OG0000004	n76		Prab.g_01307												Pran.g_00895																										
N10.HOG0000013	OG0000005	n42		Prab.g_01598												Pran.g_00601																										
N10.HOG0000014	OG0000005	n68		Prab.g_01630												Pran.g_00931																										
N10.HOG0000015	OG0000005	n69		Prab.g_00760												Pran.g_01423																										
N10.HOG0000016	OG0000006	n1		Prab.g_00501												Pran.g_01681																										
N10.HOG0000017	OG0000006	n40		Prab.g_01669												Pran.g_00970																										
N10.HOG0000018	OG0000007	n38		Prab.g_00677												Pran.g_01506																										
N10.HOG0000019	OG0000008	n8		Prab.g_00372												Pran.g_01811																										
N10.HOG0000020	OG0000008	n28		Prab.g_01613												Pran.g_00586																										
N10.HOG0000021	OG0000008	n48		Prab.g_00971												Pran.g_00526																										
N10.HOG0000022	OG0000009	n6		Prab.g_00820												Pran.g_01363																										
N10.HOG0000023	OG0000009	n40		Prab.g_00239												Pran.g_01943																										
N10.HOG0000024	OG0000010	n18		Prab.g_01596												Pran.g_00603																										
N10.HOG0000025	OG0000010	n28		Prab.g_01165												Pran.g_00114																										
N10.HOG0000026	OG0000011	n30		Prab.g_00318												Pran.g_01864																										
N10.HOG0000027	OG0000012	n0		Prab.g_00602												Pran.g_01580																										
N10.HOG0000028	OG0000013	n0		Prab.g_00789												Pran.g_01394																										
N10.HOG0000029	OG0000014	n0		Prab.g_01616, Prab.g_00914												Pran.g_00583																										
N10.HOG0000030	OG0000015	n0		Prab.g_00370												Pran.g_01813																										
N10.HOG0000031	OG0000016	n0		Prab.g_01356												Pran.g_00845																										
N10.HOG0000032	OG0000017	n0		Prab.g_01486												Pran.g_00713																										
N10.HOG0000033	OG0000018	n0		Prab.g_00231												Pran.g_01951																										
N10.HOG0000034	OG0000019	n0		Prab.g_00354												Pran.g_01829																										
N10.HOG0000035	OG0000020	n3		Prab.g_00411												Pran.g_01772																										
N10.HOG0000036	OG0000020	n23		Prab.g_00363												Pran.g_01820																										
N10.HOG0000037	OG0000021	n0		Prab.g_00822												Pran.g_01361																										
N10.HOG0000038	OG0000022	n0		Prab.g_01617, Prab.g_00915												Pran.g_00582																										
N10.HOG0000039	OG0000023	n28		Prab.g_01584												Pran.g_00615																										
N10.HOG0000040	OG0000024	n0		Prab.g_00294												Pran.g_01888																										
N10.HOG0000041	OG0000025	n4		Prab.g_01130												Pran.g_00149																										
N10.HOG0000042	OG0000025	n31		Prab.g_01635												Pran.g_00936																										
N10.HOG0000043	OG0000025	n32		Prab.g_00394												Pran.g_01789																										
N10.HOG0000044	OG0000026	n6		Prab.g_00033												Pran.g_00391																										
N10.HOG0000045	OG0000027	n1		Prab.g_00719												Pran.g_01464																										
N10.HOG0000046	OG0000028	n1		Prab.g_01466												Pran.g_00733																										
N10.HOG0000047	OG0000029	n0		Prab.g_01585												Pran.g_00614																										
N10.HOG0000048	OG0000030	n43		Prab.g_01280												Pran.g_01952																										
N10.HOG0000049	OG0000031	n13		Prab.g_01643												Pran.g_00944																										
N10.HOG0000050	OG0000031	n32		Prab.g_01304												Pran.g_00898																										
N10.HOG0000051	OG0000032	n8		Prab.g_01446												Pran.g_00753																										
N10.HOG0000052	OG0000033	n1		Prab.g_01579												Pran.g_00620																										
N10.HOG0000053	OG0000033	n21		Prab.g_00013																																						
N10.HOG0000054	OG0000034	n36		Prab.g_01423												Pran.g_00777																										
N10.HOG0000055	OG0000035	n3		Prab.g_01134												Pran.g_00145																										
N10.HOG0000056	OG0000035	n18		Prab.g_01082												Pran.g_00415																										
N10.HOG0000057	OG0000036	n0		Prab.g_00589												Pran.g_01593																										
N10.HOG0000058	OG0000037	n0		Prab.g_00627												Pran.g_01555																										
N10.HOG0000059	OG0000038	n0		Prab.g_00782												Pran.g_01401																										
N10.HOG0000060	OG0000039	n5		Prab.g_00157												Pran.g_00266																										
N10.HOG0000061	OG0000040	n0		Prab.g_00348												Pran.g_01834																										
N10.HOG0000062	OG0000041	n4		Prab.g_00425												Pran.g_01758																										
N10.HOG0000063	OG0000041	n7		Prab.g_00405												Pran.g_01778																										
N10.HOG0000064	OG0000042	n0		Prab.g_00723												Pran.g_01460																										
N10.HOG0000065	OG0000043	n0		Prab.g_00825												Pran.g_01358																										
N10.HOG0000066	OG0000044	n0		Prab.g_01219												Pran.g_00060																										
N10.HOG0000067	OG0000045	n19		Prab.g_01393												Pran.g_00807																										
N10.HOG0000068	OG0000046	n0		Prab.g_01662												Pran.g_00963																										
N10.HOG0000069	OG0000047	n0		Prab.g_01857												Pran.g_01160																										
N10.HOG0000070	OG0000048	n0		Prab.g_01864												Pran.g_01167																										
N10.HOG0000071	OG0000050	n2		Prab.g_00031												Pran.g_00393																										
N10.HOG0000072	OG0000050	n22		Prab.g_01629												Pran.g_00930																										
N10.HOG0000073	OG0000051	n35		Prab.g_00148												Pran.g_00275																										
N10.HOG0000074	OG0000052	n0		Prab.g_00359												Pran.g_01824																										
N10.HOG0000075	OG0000053	n0		Prab.g_00543												Pran.g_01639																										
N10.HOG0000076	OG0000054	n7		Prab.g_00775												Pran.g_01408																										
N10.HOG0000077	OG0000054	n26		Prab.g_00803												Pran.g_01379																										
N10.HOG0000078	OG0000055	n0		Prab.g_00862												Pran.g_01321																										
N10.HOG0000079	OG0000056	n11		Prab.g_01171												Pran.g_00108																										
N10.HOG0000080	OG0000056	n29		Prab.g_01634												Pran.g_00935																										
N10.HOG0000081	OG0000057	n0		Prab.g_00228												Pran.g_00195																										
N10.HOG0000082	OG0000058	n0		Prab.g_00479												Pran.g_01703																										
N10.HOG0000083	OG0000059	n0		Prab.g_00703												Pran.g_01480																										
N10.HOG0000084	OG0000060	n4		Prab.g_01297												Pran.g_00905																										
N10.HOG0000085	OG0000061	n5		Prab.g_01184												Pran.g_00095																										
N10.HOG0000086	OG0000061	n25		Prab.g_00990												Pran.g_00507																										
N10.HOG0000087	OG0000062	n0		Prab.g_01186												Pran.g_00093																										
N10.HOG0000088	OG0000063	n0		Prab.g_00717												Pran.g_01466																										
N10.HOG0000089	OG0000064	n3		Prab.g_00400												Pran.g_01783																										
N10.HOG0000090	OG0000064	n11		Prab.g_00978												Pran.g_00519																										
N10.HOG0000091	OG0000064	n28		Prab.g_00720												Pran.g_01463																										
N10.HOG0000092	OG0000064	n40		Prab.g_01627												Pran.g_00928																										
N10.HOG0000093	OG0000065	n21		Prab.g_01637												Pran.g_00938																										
N10.HOG0000094	OG0000065	n22		Prab.g_01326												Pran.g_00876																										
N10.HOG0000095	OG0000066	n0		Prab.g_01447												Pran.g_00752																										
N10.HOG0000096	OG0000067	n18		Prab.g_00799												Pran.g_01384																										
N10.HOG0000097	OG0000068	n0		Prab.g_01802												Pran.g_01105																										
N10.HOG0000098	OG0000071	n0		Prab.g_00011												Pran.g_01268																										
N10.HOG0000099	OG0000072	n0		Prab.g_00310												Pran.g_01872																										
N10.HOG0000100	OG0000073	n16		Prab.g_00674												Pran.g_01509																										
N10.HOG0000101	OG0000074	n0		Prab.g_00696												Pran.g_01487																										
N10.HOG0000102	OG0000075	n24		Prab.g_00847												Pran.g_01336																										
N10.HOG0000103	OG0000076	n22		Prab.g_00929												Pran.g_00568																										
N10.HOG0000104	OG0000076	n23		Prab.g_01299												Pran.g_00903																										
N10.HOG0000105	OG0000078	n0		Prab.g_01394												Pran.g_00806																										
N10.HOG0000106	OG0000079	n0		Prab.g_01544												Pran.g_00655																										
N10.HOG0000107	OG0000080	n4		Prab.g_01290												Pran.g_00912																										
N10.HOG0000108	OG0000080	n5		Prab.g_00922												Pran.g_00575																										
N10.HOG0000109	OG0000081	n0		Prab.g_01832												Pran.g_01135																										
N10.HOG0000110	OG0000082	n0		Prab.g_01920												Pran.g_01222																										
N10.HOG0000111	OG0000083	n0		Prab.g_00003												Pran.g_01260																										
N10.HOG0000112	OG0000084	n0		Prab.g_00006												Pran.g_01263																										
N10.HOG0000113	OG0000085	n0		Prab.g_00023												Pran.g_00401																										
N10.HOG0000114	OG0000086	n10		Prab.g_00038												Pran.g_00386																										
N10.HOG0000115	OG0000087	n0		Prab.g_00048												Pran.g_00376																										
N10.HOG0000116	OG0000088	n0		Prab.g_00104												Pran.g_00320																										
N10.HOG0000117	OG0000089	n0		Prab.g_00112												Pran.g_00312																										
N10.HOG0000118	OG0000090	n0		Prab.g_00129												Pran.g_00295																										
N10.HOG0000119	OG0000091	n0		Prab.g_00160												Pran.g_00263																										
N10.HOG0000120	OG0000092	n0		Prab.g_00161												Pran.g_00262																										
N10.HOG0000121	OG0000093	n0		Prab.g_00175												Pran.g_00248																										
N10.HOG0000122	OG0000094	n0		Prab.g_00193												Pran.g_00230																										
N10.HOG0000123	OG0000095	n0		Prab.g_00198												Pran.g_00225																										
N10.HOG0000124	OG0000096	n0		Prab.g_00241												Pran.g_01941																										
N10.HOG0000125	OG0000097	n0		Prab.g_00262												Pran.g_01920																										
N10.HOG0000126	OG0000098	n23		Prab.g_00272												Pran.g_01910																										
N10.HOG0000127	OG0000099	n0		Prab.g_00282												Pran.g_01900																										
N10.HOG0000128	OG0000100	n0		Prab.g_00285												Pran.g_01897																										
N10.HOG0000129	OG0000101	n0		Prab.g_00344												Pran.g_01838																										
N10.HOG0000130	OG0000102	n0		Prab.g_00371												Pran.g_01812																										
N10.HOG0000131	OG0000103	n0		Prab.g_00480												Pran.g_01702																										
N10.HOG0000132	OG0000104	n0		Prab.g_00484												Pran.g_01698																										
N10.HOG0000133	OG0000105	n0		Prab.g_00503												Pran.g_01679																										
N10.HOG0000134	OG0000106	n0		Prab.g_00536												Pran.g_01646																										
N10.HOG0000135	OG0000107	n0		Prab.g_00537												Pran.g_01645																										
N10.HOG0000136	OG0000108	n0		Prab.g_00547												Pran.g_01635																										
N10.HOG0000137	OG0000109	n0		Prab.g_00556												Pran.g_01626																										
N10.HOG0000138	OG0000110	n0		Prab.g_00573												Pran.g_01609																										
N10.HOG0000139	OG0000111	n0		Prab.g_00656												Pran.g_01527																										
N10.HOG0000140	OG0000112	n0		Prab.g_00657												Pran.g_01526																										
N10.HOG0000141	OG0000113	n0		Prab.g_00745												Pran.g_01438																										
N10.HOG0000142	OG0000114	n0		Prab.g_00838												Pran.g_01345																										
N10.HOG0000143	OG0000115	n0		Prab.g_01010												Pran.g_00487																										
N10.HOG0000144	OG0000116	n0		Prab.g_01006												Pran.g_00491																										
N10.HOG0000145	OG0000117	n0		Prab.g_00932												Pran.g_00565																										
N10.HOG0000146	OG0000118	n0		Prab.g_01144												Pran.g_00135																										
N10.HOG0000147	OG0000119	n0		Prab.g_01189												Pran.g_00090																										
N10.HOG0000148	OG0000120	n0		Prab.g_01225												Pran.g_00054																										
N10.HOG0000149	OG0000121	n0		Prab.g_01244												Pran.g_00035																										
