Orthogroup	Prbi	Syao
OG0000001	Prbi.g_01424	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Prbi.g_00698	Syao.g_02374
OG0000004	Prbi.g_00256	Syao.g_01271, Syao.g_01007
OG0000005	Prbi.g_01800	Syao.g_01680
OG0000005	Prbi.g_01666	Syao.g_01578
OG0000006	Prbi.g_00265	Syao.g_00919, Syao.g_01518
OG0000007	Prbi.g_00500	Syao.g_00105
OG0000007	Prbi.g_01787	Syao.g_01554
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Syao.g_01321
OG0000009	Prbi.g_00112	Syao.g_02598
OG0000010	Prbi.g_01094	Syao.g_02683
OG0000012	Prbi.g_00625	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201
OG0000013	Prbi.g_00351	Syao.g_01910, Syao.g_01222, Syao.g_01844
OG0000014	Prbi.g_00330	Syao.g_02027
OG0000014	Prbi.g_01502	Syao.g_01136
OG0000015	Prbi.g_00810, Prbi.g_01304	Syao.g_02339, Syao.g_00302
OG0000016	Prbi.g_00013	Syao.g_01955
OG0000017	Prbi.g_00600	Syao.g_00997, Syao.g_01064
OG0000018	Prbi.g_01188	Syao.g_00071
OG0000019	Prbi.g_00273, Prbi.g_00827	Syao.g_02108
OG0000021	Prbi.g_01742, Prbi.g_00389	Syao.g_01002
OG0000022	Prbi.g_01170	Syao.g_01218
OG0000023	Prbi.g_00384	Syao.g_01266
OG0000025	Prbi.g_00355, Prbi.g_00882	Syao.g_00436, Syao.g_00437
OG0000026	Prbi.g_00031, Prbi.g_01101	Syao.g_02234
OG0000027	Prbi.g_00472, Prbi.g_01374	Syao.g_01286, Syao.g_00202
OG0000028	Prbi.g_01319, Prbi.g_01768, Prbi.g_00344	Syao.g_02012
OG0000030	Prbi.g_02004	Syao.g_02189, Syao.g_02188
OG0000031	Prbi.g_01467	Syao.g_01083
