Orthogroup	Prbi	Syag
OG0000001	Prbi.g_01424	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520
OG0000004	Prbi.g_00698	Syag.g_00988
OG0000004	Prbi.g_00256	Syag.g_00370, Syag.g_01790
OG0000005	Prbi.g_01800	Syag.g_01708
OG0000005	Prbi.g_01666	Syag.g_01667
OG0000006	Prbi.g_00265	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prbi.g_00500	Syag.g_01507
OG0000007	Prbi.g_01787	Syag.g_01687
OG0000008	Prbi.g_01764	Syag.g_00496
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Syag.g_01017
OG0000009	Prbi.g_01338, Prbi.g_01701	Syag.g_00220, Syag.g_00231
OG0000009	Prbi.g_00112	Syag.g_01883
OG0000010	Prbi.g_01094	Syag.g_01355
OG0000012	Prbi.g_00625	Syag.g_00377, Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000013	Prbi.g_00351	Syag.g_02811, Syag.g_02820, Syag.g_02806
OG0000014	Prbi.g_00330	Syag.g_02559
OG0000014	Prbi.g_01475	Syag.g_02487
OG0000015	Prbi.g_00810, Prbi.g_01304	Syag.g_02252, Syag.g_00596
OG0000016	Prbi.g_00013	Syag.g_02286
OG0000017	Prbi.g_00600	Syag.g_00336, Syag.g_00344
OG0000018	Prbi.g_01188	Syag.g_01387
OG0000019	Prbi.g_00273, Prbi.g_00827	Syag.g_02663
OG0000020	Prbi.g_01153	Syag.g_00085
OG0000021	Prbi.g_01742, Prbi.g_00389	Syag.g_00229
OG0000022	Prbi.g_01170	Syag.g_00458
OG0000023	Prbi.g_00384	Syag.g_00261, Syag.g_00234
OG0000024	Prbi.g_00788, Prbi.g_00678	Syag.g_00455
OG0000025	Prbi.g_00355, Prbi.g_00882	Syag.g_00718
OG0000026	Prbi.g_00031, Prbi.g_01101	Syag.g_02309
OG0000027	Prbi.g_00472, Prbi.g_01374	Syag.g_00950, Syag.g_00165
OG0000028	Prbi.g_01319, Prbi.g_01768, Prbi.g_00344	Syag.g_02540
OG0000029	Prbi.g_00796, Prbi.g_00399	Syag.g_00195
OG0000030	Prbi.g_02004	Syag.g_02375, Syag.g_02374
OG0000032	Prbi.g_01497	Syag.g_02480
OG0000034	Prbi.g_01401	Syag.g_01225, Syag.g_01947
OG0000035	Prbi.g_01589, Prbi.g_01591	Syag.g_01420, Syag.g_01421
OG0000037	Prbi.g_00116	Syag.g_00173
OG0000038	Prbi.g_02057	Syag.g_02130, Syag.g_02132
OG0000039	Prbi.g_00689	Syag.g_01325, Syag.g_02155
OG0000040	Prbi.g_01187	Syag.g_02215
OG0000041	Prbi.g_01833	Syag.g_01750, Syag.g_00962
OG0000042	Prbi.g_02001	Syag.g_01094, Syag.g_02378
OG0000043	Prbi.g_01334	Syag.g_00564
OG0000044	Prbi.g_01744, Prbi.g_01760	Syag.g_00945
OG0000045	Prbi.g_00395	Syag.g_00223
OG0000047	Prbi.g_00354	Syag.g_00768
OG0000048	Prbi.g_00398	Syag.g_02611
OG0000051	Prbi.g_01364	Syag.g_01026
OG0000052	Prbi.g_01478	Syag.g_02491
OG0000053	Prbi.g_01611	Syag.g_01391
OG0000054	Prbi.g_00608	Syag.g_00350
OG0000055	Prbi.g_00828	Syag.g_01799, Syag.g_00946
OG0000057	Prbi.g_00702	Syag.g_00985
OG0000059	Prbi.g_01873	Syag.g_02721
OG0000061	Prbi.g_01207	Syag.g_01141
OG0000062	Prbi.g_01668	Syag.g_01669
OG0000063	Prbi.g_00033	Syag.g_02313
OG0000065	Prbi.g_00114	Syag.g_01885, Syag.g_00182
OG0000066	Prbi.g_00542	Syag.g_01443
OG0000067	Prbi.g_00847	Syag.g_00667
OG0000068	Prbi.g_01439	Syag.g_01537
OG0000070	Prbi.g_00451	Syag.g_00049
OG0000071	Prbi.g_01391	Syag.g_01192
OG0000072	Prbi.g_00195	Syag.g_01980, Syag.g_02859
OG0000073	Prbi.g_00502	Syag.g_01505
OG0000075	Prbi.g_01970	Syag.g_02434
OG0000076	Prbi.g_01994	Syag.g_02393
OG0000077	Prbi.g_00085	Syag.g_01831
OG0000078	Prbi.g_00263	Syag.g_01778
OG0000079	Prbi.g_00276	Syag.g_02659, Syag.g_02652
