Orthogroup	Prbi	Syam
OG0000001	Prbi.g_01424	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929
OG0000002	Prbi.g_01432, Prbi.g_00681	Syam.g_00931
OG0000004	Prbi.g_00698	Syam.g_00787
OG0000004	Prbi.g_00256	Syam.g_01499, Syam.g_00501
OG0000005	Prbi.g_01800	Syam.g_02004
OG0000005	Prbi.g_01666	Syam.g_01970
OG0000006	Prbi.g_00265	Syam.g_01446, Syam.g_00286, Syam.g_00518
OG0000007	Prbi.g_00500	Syam.g_00602
OG0000007	Prbi.g_01787	Syam.g_01990
OG0000008	Prbi.g_01764	Syam.g_00810
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Syam.g_00811
OG0000009	Prbi.g_00112	Syam.g_02119
OG0000010	Prbi.g_01094	Syam.g_01669
OG0000012	Prbi.g_00625	Syam.g_01492, Syam.g_00794, Syam.g_00994
OG0000013	Prbi.g_00351	Syam.g_00409, Syam.g_00421, Syam.g_00404
OG0000014	Prbi.g_00330	Syam.g_00191
OG0000015	Prbi.g_00810, Prbi.g_01304	Syam.g_01218, Syam.g_01362
OG0000016	Prbi.g_00013	Syam.g_00014
OG0000017	Prbi.g_00600	Syam.g_01715, Syam.g_01708
OG0000018	Prbi.g_01188	Syam.g_01640
OG0000019	Prbi.g_00273, Prbi.g_00827	Syam.g_00274
OG0000021	Prbi.g_01742, Prbi.g_00389	Syam.g_00523
OG0000022	Prbi.g_01170	Syam.g_01418
OG0000023	Prbi.g_00384	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Prbi.g_00788, Prbi.g_00678	Syam.g_00815
OG0000025	Prbi.g_00355, Prbi.g_00882	Syam.g_00740
OG0000026	Prbi.g_00031, Prbi.g_01101	Syam.g_00035
OG0000027	Prbi.g_00472, Prbi.g_01374	Syam.g_01442, Syam.g_00989
OG0000028	Prbi.g_01319, Prbi.g_01768, Prbi.g_00344	Syam.g_00176
OG0000029	Prbi.g_00796, Prbi.g_00399	Syam.g_01390, Syam.g_01055
OG0000030	Prbi.g_02004	Syam.g_00104, Syam.g_00103
OG0000031	Prbi.g_01467	Syam.g_00086
OG0000032	Prbi.g_01497	Syam.g_00079
OG0000034	Prbi.g_01401	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Prbi.g_01589, Prbi.g_01591	Syam.g_01612
OG0000037	Prbi.g_00116	Syam.g_02125
OG0000038	Prbi.g_02057	Syam.g_02317
OG0000039	Prbi.g_00689	Syam.g_00749
OG0000040	Prbi.g_01187	Syam.g_02390
OG0000041	Prbi.g_01833	Syam.g_01899, Syam.g_00765
OG0000042	Prbi.g_02001	Syam.g_00107
OG0000044	Prbi.g_01744, Prbi.g_01760	Syam.g_02052, Syam.g_01562
OG0000045	Prbi.g_00395	Syam.g_02028
OG0000047	Prbi.g_00354	Syam.g_00434
OG0000048	Prbi.g_00398	Syam.g_00243
OG0000052	Prbi.g_01478	Syam.g_00161
