Orthogroup	Prbi	Syal
OG0000000	Prbi.g_01373	Syal.g_01111, Syal.g_01832
OG0000001	Prbi.g_01424	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184
OG0000004	Prbi.g_00698	Syal.g_01809
OG0000004	Prbi.g_00256	Syal.g_02718, Syal.g_00691
OG0000005	Prbi.g_01800	Syal.g_00606
OG0000005	Prbi.g_01666	Syal.g_00565
OG0000006	Prbi.g_00265	Syal.g_02611, Syal.g_00674
OG0000007	Prbi.g_00500	Syal.g_02918
OG0000007	Prbi.g_01787	Syal.g_00587
OG0000008	Prbi.g_01764	Syal.g_02512
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Syal.g_01783
OG0000009	Prbi.g_01338, Prbi.g_01701	Syal.g_02089
OG0000009	Prbi.g_00112	Syal.g_00818
OG0000010	Prbi.g_01094	Syal.g_00464
OG0000012	Prbi.g_00625	Syal.g_02535, Syal.g_01639
OG0000013	Prbi.g_00351	Syal.g_00315, Syal.g_00322, Syal.g_00310
OG0000014	Prbi.g_00330	Syal.g_01305
OG0000014	Prbi.g_01502	Syal.g_01393
OG0000015	Prbi.g_00810, Prbi.g_01304	Syal.g_02210, Syal.g_01183
OG0000016	Prbi.g_00013	Syal.g_00111
OG0000017	Prbi.g_00600	Syal.g_02752, Syal.g_02745
OG0000018	Prbi.g_01188	Syal.g_00410
OG0000019	Prbi.g_00273, Prbi.g_00827	Syal.g_01209
OG0000022	Prbi.g_01170	Syal.g_02587
OG0000023	Prbi.g_00384	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prbi.g_00788, Prbi.g_00678	Syal.g_02597
OG0000025	Prbi.g_00355, Prbi.g_00882	Syal.g_02459
OG0000026	Prbi.g_01101	Syal.g_00132
OG0000027	Prbi.g_00472, Prbi.g_01374	Syal.g_02543
OG0000028	Prbi.g_01319, Prbi.g_01768, Prbi.g_00344	Syal.g_01319
OG0000029	Prbi.g_00796, Prbi.g_00399	Syal.g_03014
OG0000030	Prbi.g_02004	Syal.g_01511, Syal.g_01512
OG0000032	Prbi.g_01497	Syal.g_00183
OG0000034	Prbi.g_01401	Syal.g_00881, Syal.g_01586
OG0000035	Prbi.g_01589, Prbi.g_01591	Syal.g_00370, Syal.g_00020
OG0000037	Prbi.g_00116	Syal.g_00601, Syal.g_00824
OG0000038	Prbi.g_02057	Syal.g_01071, Syal.g_01073
OG0000039	Prbi.g_00689	Syal.g_01097
OG0000040	Prbi.g_01738	Syal.g_01187
OG0000040	Prbi.g_01187	Syal.g_01149
OG0000041	Prbi.g_01833	Syal.g_00649
OG0000042	Prbi.g_02001	Syal.g_01705, Syal.g_01508
OG0000043	Prbi.g_01334	Syal.g_01110
OG0000044	Prbi.g_01744, Prbi.g_01760	Syal.g_01853, Syal.g_01847
OG0000047	Prbi.g_00354	Syal.g_01568
OG0000048	Prbi.g_00398	Syal.g_01250
OG0000050	Prbi.g_01122	Syal.g_01549
OG0000051	Prbi.g_01364	Syal.g_01550
OG0000052	Prbi.g_01478	Syal.g_01396
OG0000053	Prbi.g_01611	Syal.g_00406
OG0000054	Prbi.g_00608	Syal.g_02739, Syal.g_02098
OG0000055	Prbi.g_00828	Syal.g_01845
OG0000056	Prbi.g_01276	Syal.g_02054
OG0000057	Prbi.g_00702	Syal.g_01812
OG0000059	Prbi.g_01717	Syal.g_01332
OG0000059	Prbi.g_01873	Syal.g_00225
OG0000061	Prbi.g_01207	Syal.g_01653
OG0000062	Prbi.g_01482	Syal.g_02113
OG0000062	Prbi.g_01668	Syal.g_00567
OG0000063	Prbi.g_00033	Syal.g_00136
OG0000065	Prbi.g_00114	Syal.g_00820, Syal.g_02528
OG0000066	Prbi.g_00542	Syal.g_02828
OG0000067	Prbi.g_00847	Syal.g_02414
OG0000068	Prbi.g_01439	Syal.g_02888
OG0000070	Prbi.g_00451	Syal.g_00509
OG0000071	Prbi.g_01391	Syal.g_02099, Syal.g_01601
OG0000072	Prbi.g_00195	Syal.g_00914
OG0000073	Prbi.g_00502	Syal.g_02920
OG0000075	Prbi.g_01970	Syal.g_01350
OG0000076	Prbi.g_01994	Syal.g_01459
OG0000077	Prbi.g_00085	Syal.g_00763, Syal.g_00506
OG0000078	Prbi.g_00263	Syal.g_00680
OG0000079	Prbi.g_00276	Syal.g_01213
OG0000081	Prbi.g_00534	Syal.g_02555
OG0000082	Prbi.g_00587	Syal.g_02769
OG0000084	Prbi.g_01585	Syal.g_01896, Syal.g_00023
OG0000085	Prbi.g_01780	Syal.g_00575
OG0000086	Prbi.g_00095	Syal.g_00784
