Orthogroup	Prbi	Prah
OG0000000	Prbi.g_01373	Prah.g_01346, Prah.g_01347
OG0000000	Prbi.g_01709	Prah.g_01348
OG0000000	Prbi.g_01370	Prah.g_01154, Prah.g_01152
OG0000001	Prbi.g_01424	Prah.g_00324, Prah.g_01343, Prah.g_01159, Prah.g_02270, Prah.g_00896
OG0000002	Prbi.g_01432	Prah.g_00562
OG0000002	Prbi.g_00681	Prah.g_01226
OG0000004	Prbi.g_00698	Prah.g_01022
OG0000004	Prbi.g_00256	Prah.g_01413
OG0000005	Prbi.g_01666	Prah.g_01652
OG0000006	Prbi.g_00265	Prah.g_00475, Prah.g_01767
OG0000007	Prbi.g_00500	Prah.g_01546
OG0000007	Prbi.g_01787	Prah.g_01676
OG0000008	Prbi.g_01764	Prah.g_00970
OG0000008	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539	Prah.g_00969
OG0000009	Prbi.g_00112	Prah.g_00432, Prah.g_01895
OG0000010	Prbi.g_01094	Prah.g_00311
OG0000011	Prbi.g_01361	Prah.g_01084
OG0000012	Prbi.g_00625	Prah.g_00524
OG0000013	Prbi.g_00351	Prah.g_01956
OG0000014	Prbi.g_00330	Prah.g_02171
OG0000014	Prbi.g_01508	Prah.g_00101
OG0000015	Prbi.g_00810, Prbi.g_01304	Prah.g_01155, Prah.g_00576
OG0000016	Prbi.g_00013	Prah.g_00015
OG0000017	Prbi.g_00600	Prah.g_01405, Prah.g_01397
OG0000018	Prbi.g_01188	Prah.g_00378
OG0000019	Prbi.g_00273, Prbi.g_00827	Prah.g_02086
OG0000021	Prbi.g_01742, Prbi.g_00389	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410
OG0000022	Prbi.g_01170	Prah.g_01209
OG0000022	Prbi.g_00805	Prah.g_00170
OG0000023	Prbi.g_00384	Prah.g_00688
OG0000024	Prbi.g_00788, Prbi.g_00678	Prah.g_01043
OG0000025	Prbi.g_00355, Prbi.g_00882	Prah.g_00604
OG0000026	Prbi.g_00031, Prbi.g_01101	Prah.g_00038
OG0000028	Prbi.g_00344	Prah.g_02184
OG0000029	Prbi.g_00796	Prah.g_01972
OG0000030	Prbi.g_02004	Prah.g_00132, Prah.g_00131
OG0000031	Prbi.g_01467	Prah.g_00091
OG0000032	Prbi.g_01497	Prah.g_02196
OG0000034	Prbi.g_01401	Prah.g_01376
OG0000035	Prbi.g_01589, Prbi.g_01591	Prah.g_00408
OG0000037	Prbi.g_00116	Prah.g_01901
OG0000038	Prbi.g_02057	Prah.g_02494, Prah.g_02496
OG0000039	Prbi.g_00689	Prah.g_01758, Prah.g_02382
OG0000041	Prbi.g_01833	Prah.g_01737
OG0000042	Prbi.g_02001	Prah.g_00135, Prah.g_01256
OG0000043	Prbi.g_01334	Prah.g_01190
OG0000044	Prbi.g_01744, Prbi.g_01760	Prah.g_00994, Prah.g_00343
OG0000047	Prbi.g_00354	Prah.g_00353
OG0000048	Prbi.g_00398	Prah.g_02122
OG0000050	Prbi.g_01122	Prah.g_01120
OG0000053	Prbi.g_01611	Prah.g_00381
OG0000054	Prbi.g_00608	Prah.g_01394
OG0000055	Prbi.g_00828	Prah.g_00942
OG0000056	Prbi.g_01276	Prah.g_00341
OG0000057	Prbi.g_00702	Prah.g_01027
OG0000059	Prbi.g_01873	Prah.g_02043
OG0000061	Prbi.g_01207	Prah.g_01322
OG0000062	Prbi.g_01668	Prah.g_01654
OG0000063	Prbi.g_00033	Prah.g_00042
OG0000065	Prbi.g_00114	Prah.g_01897
OG0000066	Prbi.g_00542	Prah.g_01485
OG0000067	Prbi.g_00847	Prah.g_00667, Prah.g_01826
OG0000068	Prbi.g_01439	Prah.g_01576
OG0000070	Prbi.g_00451	Prah.g_00252
OG0000071	Prbi.g_01391	Prah.g_01364
OG0000072	Prbi.g_00195	Prah.g_02309
OG0000073	Prbi.g_00502	Prah.g_01544
OG0000075	Prbi.g_01970	Prah.g_02232
OG0000076	Prbi.g_01994	Prah.g_00150
OG0000077	Prbi.g_00085	Prah.g_01850
OG0000078	Prbi.g_00263	Prah.g_01773
OG0000079	Prbi.g_00276	Prah.g_02090, Prah.g_01868
OG0000081	Prbi.g_00534	Prah.g_01035
OG0000082	Prbi.g_00587	Prah.g_01427
OG0000084	Prbi.g_01585	Prah.g_00412
OG0000085	Prbi.g_01780	Prah.g_01666
OG0000086	Prbi.g_00095	Prah.g_01866
OG0000087	Prbi.g_00147	Prah.g_02268
OG0000088	Prbi.g_00190	Prah.g_02304, Prah.g_00957
OG0000089	Prbi.g_00380	Prah.g_00205
OG0000090	Prbi.g_00536	Prah.g_01501
OG0000091	Prbi.g_00645	Prah.g_00493
OG0000093	Prbi.g_00977	Prah.g_00692
OG0000094	Prbi.g_01067	Prah.g_02518
OG0000095	Prbi.g_01086	Prah.g_00915
OG0000097	Prbi.g_01248	Prah.g_01272
OG0000098	Prbi.g_01421	Prah.g_00327
OG0000099	Prbi.g_01462	Prah.g_02191
OG0000100	Prbi.g_01664	Prah.g_01791, Prah.g_00636
OG0000101	Prbi.g_01938	Prah.g_01995
OG0000102	Prbi.g_01999	Prah.g_00144
OG0000103	Prbi.g_02091	Prah.g_02586
OG0000104	Prbi.g_02099	Prah.g_02600
OG0000105	Prbi.g_00298	Prah.g_02126
OG0000106	Prbi.g_00394	Prah.g_01660
OG0000107	Prbi.g_00409	Prah.g_02072
OG0000108	Prbi.g_00483	Prah.g_01566
OG0000109	Prbi.g_00497	Prah.g_01550
OG0000110	Prbi.g_00577	Prah.g_01439
