Orthogroup	Syaq	Prai
OG0000001	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115, Syaq.g_01434, Syaq.g_02178, Syaq.g_02413	Prai.g_01235, Prai.g_01356
OG0000004	Syaq.g_02603	Prai.g_00724
OG0000004	Syaq.g_02042, Syaq.g_01567	Prai.g_00243
OG0000005	Syaq.g_01658	Prai.g_01651
OG0000005	Syaq.g_01692	Prai.g_01538
OG0000006	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Prai.g_00252, Prai.g_00254
OG0000007	Syaq.g_01793	Prai.g_00527
OG0000007	Syaq.g_01673	Prai.g_01638
OG0000008	Syaq.g_02162, Syaq.g_02575	Prai.g_00701
OG0000009	Syaq.g_01489	Prai.g_00105
OG0000010	Syaq.g_00443	Prai.g_01292, Prai.g_01067
OG0000012	Syaq.g_02059, Syaq.g_00077	Prai.g_00652
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Prai.g_00340
OG0000014	Syaq.g_00862	Prai.g_00319
OG0000015	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255	Prai.g_01243
OG0000016	Syaq.g_01136	Prai.g_00013
OG0000017	Syaq.g_01992, Syaq.g_01999	Prai.g_00626
OG0000018	Syaq.g_00401	Prai.g_01153
OG0000019	Syaq.g_00717	Prai.g_00262, Prai.g_00867
OG0000022	Syaq.g_02126	Prai.g_01139
OG0000023	Syaq.g_02540	Prai.g_00373
OG0000025	Syaq.g_02381	Prai.g_00344, Prai.g_00812
OG0000026	Syaq.g_01114	Prai.g_00031, Prai.g_01074
OG0000028	Syaq.g_00878	Prai.g_01297, Prai.g_00333
OG0000030	Syaq.g_01047, Syaq.g_01048	Prai.g_01848
OG0000034	Syaq.g_00312, Syaq.g_01431	Prai.g_01345
OG0000035	Syaq.g_00372, Syaq.g_00371	Prai.g_01463
OG0000037	Syaq.g_01483	Prai.g_00109
OG0000038	Syaq.g_01260, Syaq.g_01258	Prai.g_01890
OG0000039	Syaq.g_01601, Syaq.g_01241	Prai.g_00715
OG0000041	Syaq.g_02688, Syaq.g_01612	Prai.g_01684
OG0000042	Syaq.g_00200, Syaq.g_01044	Prai.g_01845
OG0000045	Syaq.g_02047	Prai.g_00384, Prai.g_01274
OG0000048	Syaq.g_00749	Prai.g_00387
OG0000052	Syaq.g_00935	Prai.g_00154
OG0000053	Syaq.g_00397	Prai.g_01483
OG0000054	Syaq.g_02005	Prai.g_00634
OG0000055	Syaq.g_02700	Prai.g_00866
OG0000057	Syaq.g_02541, Syaq.g_02605	Prai.g_00727
OG0000059	Syaq.g_00657	Prai.g_01725
OG0000061	Syaq.g_00249	Prai.g_01171
OG0000062	Syaq.g_01690	Prai.g_01540
OG0000063	Syaq.g_01110	Prai.g_00033, Prai.g_01261
OG0000065	Syaq.g_01487, Syaq.g_01908	Prai.g_00107
OG0000066	Syaq.g_01851	Prai.g_00567
OG0000067	Syaq.g_02340, Syaq.g_02560	Prai.g_00848
OG0000068	Syaq.g_01763	Prai.g_01370
