Orthogroup	Syaq	Pray
OG0000001	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115, Syaq.g_01434, Syaq.g_02178, Syaq.g_02413	Pray.g_01844
OG0000004	Syaq.g_02603	Pray.g_01068
OG0000004	Syaq.g_02042, Syaq.g_01567	Pray.g_00713
OG0000005	Syaq.g_01658	Pray.g_01546
OG0000005	Syaq.g_01692	Pray.g_01646
OG0000006	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Pray.g_00722
OG0000007	Syaq.g_01793	Pray.g_00988, Pray.g_00987
OG0000007	Syaq.g_01673	Pray.g_01559
OG0000008	Syaq.g_02162	Pray.g_01931
OG0000009	Syaq.g_01489	Pray.g_00184
OG0000010	Syaq.g_00443	Pray.g_00592
OG0000011	Syaq.g_01038	Pray.g_01930
OG0000012	Syaq.g_02059, Syaq.g_00077	Pray.g_01140
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Pray.g_00805
OG0000014	Syaq.g_00862	Pray.g_00784
OG0000015	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255	Pray.g_00309
OG0000016	Syaq.g_01136	Pray.g_01475
OG0000017	Syaq.g_01992, Syaq.g_01999	Pray.g_01165
OG0000018	Syaq.g_00401	Pray.g_00083
OG0000019	Syaq.g_00717	Pray.g_00730, Pray.g_00328
OG0000022	Syaq.g_02126	Pray.g_00101
OG0000023	Syaq.g_02540	Pray.g_00838
OG0000025	Syaq.g_02381	Pray.g_00809, Pray.g_00383
OG0000026	Syaq.g_01114	Pray.g_01493, Pray.g_00599
OG0000028	Syaq.g_00878	Pray.g_01935, Pray.g_00798
OG0000030	Syaq.g_01047, Syaq.g_01048	Pray.g_01374
OG0000031	Syaq.g_01009	Pray.g_01806
OG0000032	Syaq.g_00909	Pray.g_01782
OG0000034	Syaq.g_00312, Syaq.g_01431	Pray.g_01860
OG0000035	Syaq.g_00372, Syaq.g_00371	Pray.g_01722
OG0000037	Syaq.g_01483	Pray.g_00180
OG0000038	Syaq.g_01260, Syaq.g_01258	Pray.g_01415
OG0000039	Syaq.g_01601, Syaq.g_01241	Pray.g_01077
OG0000042	Syaq.g_00200, Syaq.g_01044	Pray.g_01371
OG0000044	Syaq.g_00107, Syaq.g_02701	Pray.g_00002
OG0000045	Syaq.g_02047	Pray.g_00849
OG0000048	Syaq.g_00749	Pray.g_00852
OG0000052	Syaq.g_00935	Pray.g_01793
OG0000053	Syaq.g_00397	Pray.g_01702
OG0000054	Syaq.g_02005	Pray.g_01157
OG0000055	Syaq.g_02700	Pray.g_00329
OG0000057	Syaq.g_02541, Syaq.g_02605	Pray.g_01065
OG0000058	Syaq.g_00944	Pray.g_01786
OG0000059	Syaq.g_00657	Pray.g_01258
OG0000061	Syaq.g_00249	Pray.g_00064
OG0000062	Syaq.g_01690	Pray.g_01644
OG0000063	Syaq.g_01110	Pray.g_01495
OG0000065	Syaq.g_01487, Syaq.g_01908	Pray.g_00182
OG0000066	Syaq.g_01851	Pray.g_01222
OG0000067	Syaq.g_02340, Syaq.g_02560	Pray.g_00348
OG0000068	Syaq.g_01763	Pray.g_01829
OG0000070	Syaq.g_00484	Pray.g_00940
OG0000071	Syaq.g_00297	Pray.g_01870
OG0000072	Syaq.g_01397	Pray.g_00652
OG0000073	Syaq.g_01795	Pray.g_00990
OG0000075	Syaq.g_00986	Pray.g_01339
OG0000076	Syaq.g_01028	Pray.g_01364
OG0000077	Syaq.g_01547	Pray.g_00211
OG0000078	Syaq.g_01585	Pray.g_00720
OG0000079	Syaq.g_00721	Pray.g_00733
OG0000081	Syaq.g_01893	Pray.g_01022
OG0000082	Syaq.g_01975	Pray.g_01177
OG0000084	Syaq.g_00367	Pray.g_01726
OG0000085	Syaq.g_01683	Pray.g_01566
OG0000086	Syaq.g_01525	Pray.g_00201
OG0000087	Syaq.g_01438	Pray.g_00150
OG0000088	Syaq.g_01402	Pray.g_00647
OG0000089	Syaq.g_00529	Pray.g_00834
OG0000090	Syaq.g_01838	Pray.g_01024, Pray.g_01228
OG0000091	Syaq.g_02090	Pray.g_01121
OG0000093	Syaq.g_02323	Pray.g_00479
OG0000094	Syaq.g_00056, Syaq.g_02554	Pray.g_00565
OG0000095	Syaq.g_02679	Pray.g_00584
OG0000097	Syaq.g_00167	Pray.g_00022
OG0000098	Syaq.g_02221, Syaq.g_01849	Pray.g_01847
OG0000099	Syaq.g_00882	Pray.g_01788
OG0000100	Syaq.g_02371	Pray.g_01648
OG0000101	Syaq.g_00607	Pray.g_01306
OG0000102	Syaq.g_01033	Pray.g_01369
OG0000103	Syaq.g_01170	Pray.g_01449
OG0000104	Syaq.g_01154	Pray.g_01457
OG0000105	Syaq.g_00754	Pray.g_00753
OG0000106	Syaq.g_01863	Pray.g_00848
OG0000107	Syaq.g_00694	Pray.g_00864
OG0000108	Syaq.g_01772	Pray.g_00970
OG0000109	Syaq.g_01788	Pray.g_00984
OG0000110	Syaq.g_01962	Pray.g_01187
OG0000111	Syaq.g_02606	Pray.g_01064
OG0000112	Syaq.g_02476	Pray.g_00313
OG0000114	Syaq.g_02269	Pray.g_00452
OG0000115	Syaq.g_00395	Pray.g_00126
OG0000116	Syaq.g_00263	Pray.g_00074
OG0000117	Syaq.g_00203	Pray.g_01927
OG0000118	Syaq.g_00325, Syaq.g_00316	Pray.g_01858
OG0000120	Syaq.g_00883	Pray.g_01808
OG0000121	Syaq.g_00375	Pray.g_01720
OG0000122	Syaq.g_02118	Pray.g_01682
OG0000123	Syaq.g_00599	Pray.g_01313
OG0000124	Syaq.g_01055	Pray.g_01380
OG0000125	Syaq.g_01256	Pray.g_01417
OG0000126	Syaq.g_01156	Pray.g_01456
OG0000128	Syaq.g_01138	Pray.g_01473
OG0000129	Syaq.g_01269	Pray.g_00239
OG0000130	Syaq.g_01559	Pray.g_00220
OG0000131	Syaq.g_01427, Syaq.g_01424	Pray.g_00144
OG0000132	Syaq.g_01036, Syaq.g_01404	Pray.g_00645
OG0000133	Syaq.g_02481	Pray.g_00800
OG0000134	Syaq.g_00526	Pray.g_00835
OG0000135	Syaq.g_01227	Pray.g_00861
OG0000136	Syaq.g_00496	Pray.g_00931
OG0000137	Syaq.g_00442	Pray.g_00965
OG0000138	Syaq.g_01789	Pray.g_00985
OG0000139	Syaq.g_01844	Pray.g_01224
OG0000140	Syaq.g_01848	Pray.g_01223
OG0000141	Syaq.g_02010	Pray.g_01156
OG0000142	Syaq.g_02082	Pray.g_01128
OG0000143	Syaq.g_02086	Pray.g_01124
OG0000144	Syaq.g_02152	Pray.g_01111
OG0000145	Syaq.g_01796	Pray.g_00306
OG0000146	Syaq.g_02475	Pray.g_00314
OG0000147	Syaq.g_02474	Pray.g_00315
OG0000148	Syaq.g_02359	Pray.g_00364
OG0000149	Syaq.g_02395	Pray.g_00395
OG0000150	Syaq.g_02011	Pray.g_00403
OG0000151	Syaq.g_02283	Pray.g_00462
OG0000152	Syaq.g_02485	Pray.g_00511
OG0000153	Syaq.g_02518	Pray.g_00530
OG0000154	Syaq.g_00066	Pray.g_00558
OG0000155	Syaq.g_00212	Pray.g_00043
OG0000156	Syaq.g_00281	Pray.g_01881
OG0000157	Syaq.g_00282	Pray.g_01880
OG0000158	Syaq.g_01003	Pray.g_01787
OG0000159	Syaq.g_00918, Syaq.g_00941	Pray.g_01785
OG0000160	Syaq.g_00374	Pray.g_01721
OG0000161	Syaq.g_00382	Pray.g_01715
OG0000162	Syaq.g_00389	Pray.g_01709
OG0000163	Syaq.g_02373, Syaq.g_01730	Pray.g_01675
OG0000164	Syaq.g_01642	Pray.g_01535
OG0000165	Syaq.g_01630	Pray.g_01528
OG0000166	Syaq.g_00647	Pray.g_01270
OG0000167	Syaq.g_00983	Pray.g_01337
OG0000168	Syaq.g_01004	Pray.g_01347
OG0000169	Syaq.g_01016	Pray.g_01357
OG0000170	Syaq.g_01023	Pray.g_01359
OG0000171	Syaq.g_01052	Pray.g_01379
OG0000172	Syaq.g_01074	Pray.g_01388
OG0000173	Syaq.g_01092	Pray.g_01403
OG0000174	Syaq.g_01224	Pray.g_01431
OG0000175	Syaq.g_01183	Pray.g_01441
OG0000176	Syaq.g_01146	Pray.g_01465, Pray.g_01466
OG0000177	Syaq.g_01145	Pray.g_01467
OG0000178	Syaq.g_01144	Pray.g_01468
OG0000179	Syaq.g_01129	Pray.g_01478
OG0000180	Syaq.g_01128	Pray.g_01479
OG0000181	Syaq.g_01127	Pray.g_01480
OG0000182	Syaq.g_01126	Pray.g_01481
OG0000183	Syaq.g_01122	Pray.g_01485
OG0000184	Syaq.g_01277	Pray.g_00237
OG0000185	Syaq.g_01290	Pray.g_00234
OG0000186	Syaq.g_01563	Pray.g_00225
OG0000187	Syaq.g_01561	Pray.g_00224
OG0000188	Syaq.g_01539	Pray.g_00207
OG0000189	Syaq.g_01499, Syaq.g_00122	Pray.g_00193
OG0000190	Syaq.g_01497	Pray.g_00192
OG0000191	Syaq.g_01467	Pray.g_00172
OG0000192	Syaq.g_01462	Pray.g_00168
OG0000193	Syaq.g_01423	Pray.g_00143
OG0000194	Syaq.g_01420	Pray.g_00140
OG0000195	Syaq.g_01418	Pray.g_00138
OG0000196	Syaq.g_01407	Pray.g_00642
OG0000197	Syaq.g_01406	Pray.g_00643
OG0000198	Syaq.g_01405	Pray.g_00644
OG0000199	Syaq.g_01398	Pray.g_00651
OG0000200	Syaq.g_01382	Pray.g_00665
OG0000201	Syaq.g_01365	Pray.g_00673
OG0000202	Syaq.g_01364	Pray.g_00674
OG0000203	Syaq.g_01363	Pray.g_00675
OG0000204	Syaq.g_01362	Pray.g_00676
OG0000205	Syaq.g_01355	Pray.g_00683
OG0000206	Syaq.g_01345	Pray.g_00688
OG0000207	Syaq.g_01338	Pray.g_00690
OG0000208	Syaq.g_01337	Pray.g_00691
OG0000209	Syaq.g_01310	Pray.g_00700
OG0000210	Syaq.g_01309	Pray.g_00701
OG0000211	Syaq.g_01570	Pray.g_00714
OG0000212	Syaq.g_01586	Pray.g_00721
OG0000213	Syaq.g_00729	Pray.g_00738
OG0000214	Syaq.g_00745	Pray.g_00747
OG0000215	Syaq.g_00777	Pray.g_00771
OG0000216	Syaq.g_00781	Pray.g_00772
OG0000217	Syaq.g_00844	Pray.g_00775
OG0000218	Syaq.g_00846	Pray.g_00777
OG0000219	Syaq.g_00847	Pray.g_00778
OG0000220	Syaq.g_00848	Pray.g_00779
OG0000221	Syaq.g_00856	Pray.g_00780
OG0000222	Syaq.g_00868	Pray.g_00788
OG0000223	Syaq.g_00946	Pray.g_00801
OG0000224	Syaq.g_00950	Pray.g_00803
OG0000225	Syaq.g_00543	Pray.g_00824
OG0000226	Syaq.g_00536	Pray.g_00828
OG0000227	Syaq.g_00534	Pray.g_00830
OG0000228	Syaq.g_00531	Pray.g_00833
OG0000229	Syaq.g_00501	Pray.g_00926
OG0000230	Syaq.g_00499	Pray.g_00928
OG0000231	Syaq.g_00485	Pray.g_00939
OG0000232	Syaq.g_00472	Pray.g_00948
OG0000233	Syaq.g_00464	Pray.g_00953
OG0000234	Syaq.g_00440	Pray.g_00966
OG0000235	Syaq.g_01771	Pray.g_00969
OG0000236	Syaq.g_01787	Pray.g_00983
OG0000237	Syaq.g_01805	Pray.g_00997
OG0000238	Syaq.g_01810	Pray.g_01003
OG0000239	Syaq.g_01826	Pray.g_01016
OG0000240	Syaq.g_01827	Pray.g_01017
OG0000241	Syaq.g_02074	Pray.g_01021
OG0000242	Syaq.g_01836	Pray.g_01023
OG0000243	Syaq.g_01922	Pray.g_01218
OG0000244	Syaq.g_01928	Pray.g_01215
OG0000245	Syaq.g_01930	Pray.g_01213
OG0000246	Syaq.g_01934	Pray.g_01209
OG0000247	Syaq.g_01945	Pray.g_01199
