Orthogroup	Syaq	Syap
OG0000001	Syaq.g_01434	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000003	Syaq.g_01566	Syap.g_00679
OG0000004	Syaq.g_01567	Syap.g_01987
OG0000005	Syaq.g_01658	Syap.g_01773
OG0000005	Syaq.g_01692	Syap.g_01218
OG0000006	Syaq.g_02108	Syap.g_02770
OG0000007	Syaq.g_01793	Syap.g_00275
OG0000007	Syaq.g_01673	Syap.g_00621
OG0000009	Syaq.g_01489	Syap.g_02081
OG0000010	Syaq.g_00443	Syap.g_02757
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Syaq.g_00862	Syap.g_01675
OG0000015	Syaq.g_00121, Syaq.g_01171	Syap.g_02606
OG0000016	Syaq.g_01136	Syap.g_00071
OG0000018	Syaq.g_00401	Syap.g_02010
OG0000019	Syaq.g_00717	Syap.g_01586
OG0000025	Syaq.g_02381	Syap.g_01846
OG0000028	Syaq.g_00878	Syap.g_01658
OG0000030	Syaq.g_01047	Syap.g_00787
OG0000030	Syaq.g_01048	Syap.g_00788
OG0000031	Syaq.g_01009	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000033	Syaq.g_01399	Syap.g_01198
OG0000034	Syaq.g_00312, Syaq.g_01431	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Syaq.g_00371	Syap.g_02125, Syap.g_02465
OG0000037	Syaq.g_01483	Syap.g_02492
OG0000038	Syaq.g_01258	Syap.g_00139
OG0000039	Syaq.g_01601, Syaq.g_01241	Syap.g_01749, Syap.g_01748
OG0000041	Syaq.g_01612	Syap.g_01510
OG0000042	Syaq.g_00200, Syaq.g_01044	Syap.g_01891, Syap.g_01120
OG0000044	Syaq.g_00107	Syap.g_00378
OG0000045	Syaq.g_02047	Syap.g_02525
OG0000046	Syaq.g_00570, Syaq.g_00573	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Syaq.g_00749	Syap.g_02340
OG0000053	Syaq.g_00397	Syap.g_02006
OG0000054	Syaq.g_02005	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Syaq.g_02541, Syaq.g_02605	Syap.g_01569
OG0000058	Syaq.g_00944	Syap.g_02074
OG0000059	Syaq.g_00657	Syap.g_01918
OG0000060	Syaq.g_00201	Syap.g_00795
OG0000061	Syaq.g_00249	Syap.g_00228
OG0000062	Syaq.g_01690	Syap.g_01220
OG0000063	Syaq.g_01110	Syap.g_01796
OG0000066	Syaq.g_01851	Syap.g_01972
OG0000068	Syaq.g_01763	Syap.g_00108, Syap.g_00144
OG0000070	Syaq.g_00484	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000073	Syaq.g_01795	Syap.g_00273
OG0000075	Syaq.g_00986	Syap.g_01064, Syap.g_00664
OG0000076	Syaq.g_01028	Syap.g_01111
OG0000077	Syaq.g_01547	Syap.g_00416
OG0000078	Syaq.g_01585	Syap.g_01149
OG0000079	Syaq.g_00721	Syap.g_01589
OG0000085	Syaq.g_01683	Syap.g_00611
OG0000087	Syaq.g_01438	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Syaq.g_01402	Syap.g_01202
OG0000089	Syaq.g_00529	Syap.g_00115, Syap.g_02042
OG0000090	Syaq.g_01838	Syap.g_01451
OG0000091	Syaq.g_02090	Syap.g_01861
OG0000094	Syaq.g_00056	Syap.g_02781
OG0000095	Syaq.g_02679	Syap.g_01556
OG0000098	Syaq.g_02221, Syaq.g_01849	Syap.g_01975
OG0000099	Syaq.g_00882	Syap.g_01385
OG0000102	Syaq.g_01033	Syap.g_01116
OG0000103	Syaq.g_01170	Syap.g_02607, Syap.g_02608
OG0000104	Syaq.g_01154	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Syaq.g_00754	Syap.g_01369, Syap.g_01368
OG0000107	Syaq.g_00694	Syap.g_02496
OG0000108	Syaq.g_01772	Syap.g_02256, Syap.g_00733, Syap.g_02255
OG0000109	Syaq.g_01788	Syap.g_00279, Syap.g_02237
OG0000110	Syaq.g_01962	Syap.g_01313
OG0000111	Syaq.g_02606	Syap.g_01566, Syap.g_01568
OG0000112	Syaq.g_02476	Syap.g_02023
OG0000114	Syaq.g_02269	Syap.g_01255
OG0000115	Syaq.g_00395	Syap.g_02004
OG0000116	Syaq.g_00263	Syap.g_00241
OG0000117	Syaq.g_00203	Syap.g_01889
OG0000118	Syaq.g_00325, Syaq.g_00316	Syap.g_02286
OG0000120	Syaq.g_00883	Syap.g_02075
OG0000121	Syaq.g_00375	Syap.g_02471
OG0000123	Syaq.g_00599	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Syaq.g_01055	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Syaq.g_01256	Syap.g_01046, Syap.g_01047
OG0000126	Syaq.g_01156	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000128	Syaq.g_01138	Syap.g_00069
OG0000129	Syaq.g_01269	Syap.g_00130, Syap.g_00129
OG0000130	Syaq.g_01559	Syap.g_01688, Syap.g_01689
OG0000131	Syaq.g_01427, Syaq.g_01424	Syap.g_02189
OG0000132	Syaq.g_01404	Syap.g_01205
OG0000133	Syaq.g_02481	Syap.g_02017
OG0000134	Syaq.g_00526	Syap.g_02047
OG0000135	Syaq.g_01227	Syap.g_02090
OG0000136	Syaq.g_00496	Syap.g_00089
OG0000137	Syaq.g_00442	Syap.g_02756
OG0000138	Syaq.g_01789	Syap.g_00278
OG0000139	Syaq.g_01844	Syap.g_00410
OG0000140	Syaq.g_01848	Syap.g_01976
OG0000141	Syaq.g_02010	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Syaq.g_02082	Syap.g_00895, Syap.g_00894
OG0000143	Syaq.g_02086	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Syaq.g_02152	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Syaq.g_01796	Syap.g_01860, Syap.g_01859
OG0000146	Syaq.g_02475	Syap.g_02024
OG0000147	Syaq.g_02474	Syap.g_02025
OG0000148	Syaq.g_02359	Syap.g_02720
OG0000149	Syaq.g_02395	Syap.g_00824
OG0000150	Syaq.g_02011	Syap.g_01540
OG0000151	Syaq.g_02283	Syap.g_00142
OG0000152	Syaq.g_02485	Syap.g_02012
OG0000153	Syaq.g_02518	Syap.g_02682
OG0000154	Syaq.g_00066	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Syaq.g_00212	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Syaq.g_00281	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Syaq.g_00282	Syap.g_00249, Syap.g_00286
OG0000158	Syaq.g_01003	Syap.g_01075
OG0000159	Syaq.g_00918	Syap.g_00700
OG0000160	Syaq.g_00374	Syap.g_02470, Syap.g_02469
OG0000161	Syaq.g_00382	Syap.g_02476
OG0000162	Syaq.g_00389	Syap.g_02531
OG0000164	Syaq.g_01642	Syap.g_01391, Syap.g_01392
OG0000165	Syaq.g_01630	Syap.g_01381, Syap.g_01382
OG0000166	Syaq.g_00647	Syap.g_00512, Syap.g_01238
OG0000167	Syaq.g_00983	Syap.g_02080
OG0000168	Syaq.g_01004	Syap.g_01076
OG0000169	Syaq.g_01016	Syap.g_01049, Syap.g_01093
OG0000170	Syaq.g_01023	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Syaq.g_01052	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Syaq.g_01074	Syap.g_01143, Syap.g_00635
OG0000173	Syaq.g_01092	Syap.g_00982, Syap.g_00983
OG0000174	Syaq.g_01224	Syap.g_02092
OG0000175	Syaq.g_01183	Syap.g_02654
OG0000176	Syaq.g_01146	Syap.g_00059
OG0000177	Syaq.g_01145	Syap.g_00061, Syap.g_00060
OG0000178	Syaq.g_01144	Syap.g_00062
OG0000179	Syaq.g_01129	Syap.g_00077, Syap.g_02638
OG0000180	Syaq.g_01128	Syap.g_00078, Syap.g_02640
OG0000181	Syaq.g_01127	Syap.g_00079, Syap.g_02641
OG0000182	Syaq.g_01126	Syap.g_00080, Syap.g_02642
OG0000183	Syaq.g_01122	Syap.g_00084
OG0000184	Syaq.g_01277	Syap.g_01337
OG0000185	Syaq.g_01290	Syap.g_01322
OG0000186	Syaq.g_01563	Syap.g_01684
OG0000187	Syaq.g_01561	Syap.g_01686
OG0000188	Syaq.g_01539	Syap.g_02547
OG0000191	Syaq.g_01467	Syap.g_02233
OG0000192	Syaq.g_01462	Syap.g_02224
OG0000193	Syaq.g_01423	Syap.g_02187, Syap.g_02188
OG0000194	Syaq.g_01420	Syap.g_02183
OG0000195	Syaq.g_01418	Syap.g_02180
OG0000196	Syaq.g_01407	Syap.g_01208, Syap.g_02167
OG0000197	Syaq.g_01406	Syap.g_01207, Syap.g_02166
OG0000198	Syaq.g_01405	Syap.g_01206
OG0000199	Syaq.g_01398	Syap.g_01197
OG0000200	Syaq.g_01382	Syap.g_01181
OG0000201	Syaq.g_01365	Syap.g_02265
OG0000202	Syaq.g_01364	Syap.g_02264
OG0000203	Syaq.g_01363	Syap.g_01601
OG0000204	Syaq.g_01362	Syap.g_01602
OG0000205	Syaq.g_01355	Syap.g_01616
OG0000206	Syaq.g_01345	Syap.g_01628
OG0000207	Syaq.g_01338	Syap.g_01426, Syap.g_00424
OG0000208	Syaq.g_01337	Syap.g_00426, Syap.g_01425
OG0000209	Syaq.g_01310	Syap.g_01906
OG0000210	Syaq.g_01309	Syap.g_01905
OG0000211	Syaq.g_01570	Syap.g_01160
OG0000212	Syaq.g_01586	Syap.g_02664
OG0000213	Syaq.g_00729	Syap.g_00107, Syap.g_01599
OG0000214	Syaq.g_00745	Syap.g_02344, Syap.g_02345
