Orthogroup	Syaq	Syan
OG0000001	Syaq.g_01434	Syan.g_02266
OG0000001	Syaq.g_02413	Syan.g_01149
OG0000003	Syaq.g_01566	Syan.g_00157
OG0000003	Syaq.g_00887	Syan.g_00032
OG0000004	Syaq.g_02603	Syan.g_00183
OG0000004	Syaq.g_02042	Syan.g_00989
OG0000005	Syaq.g_01658	Syan.g_01423
OG0000005	Syaq.g_01692	Syan.g_01378
OG0000005	Syaq.g_00236	Syan.g_00449
OG0000006	Syaq.g_02108	Syan.g_00791
OG0000006	Syaq.g_02558	Syan.g_00057, Syan.g_00936
OG0000006	Syaq.g_00696, Syaq.g_01590	Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Syaq.g_01793	Syan.g_02743
OG0000007	Syaq.g_01673	Syan.g_01400
OG0000008	Syaq.g_02162	Syan.g_00640, Syan.g_02532
OG0000008	Syaq.g_02575	Syan.g_00641, Syan.g_02531
OG0000009	Syaq.g_01489	Syan.g_02972
OG0000010	Syaq.g_00443	Syan.g_02847
OG0000012	Syaq.g_00077	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Syaq.g_00862	Syan.g_01987
OG0000015	Syaq.g_00121, Syaq.g_01171	Syan.g_01691
OG0000016	Syaq.g_01136	Syan.g_01766
OG0000016	Syaq.g_00169	Syan.g_02598
OG0000017	Syaq.g_01999	Syan.g_01013
OG0000018	Syaq.g_00401	Syan.g_02816
OG0000019	Syaq.g_00717	Syan.g_02088
OG0000022	Syaq.g_02126	Syan.g_00089
OG0000023	Syaq.g_02540	Syan.g_00404
OG0000025	Syaq.g_02381	Syan.g_00374
OG0000026	Syaq.g_01114	Syan.g_01743
OG0000028	Syaq.g_00878	Syan.g_01971
OG0000030	Syaq.g_01047	Syan.g_01884
OG0000030	Syaq.g_01048	Syan.g_01883
OG0000031	Syaq.g_01009	Syan.g_01967
OG0000032	Syaq.g_00421	Syan.g_02835
OG0000032	Syaq.g_00909	Syan.g_01088, Syan.g_01091, Syan.g_01101
OG0000033	Syaq.g_01399	Syan.g_03036
OG0000034	Syaq.g_00312, Syaq.g_01431	Syan.g_01227, Syan.g_03003
OG0000035	Syaq.g_00371	Syan.g_01279, Syan.g_01276
OG0000037	Syaq.g_01483	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Syaq.g_01260	Syan.g_01569
OG0000038	Syaq.g_01258	Syan.g_01571
OG0000039	Syaq.g_01601, Syaq.g_01241	Syan.g_00535
OG0000042	Syaq.g_00200, Syaq.g_01044	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Syaq.g_00107	Syan.g_00431, Syan.g_00435
OG0000044	Syaq.g_02701	Syan.g_01065
OG0000045	Syaq.g_02047	Syan.g_00151, Syan.g_00086
OG0000046	Syaq.g_00570, Syaq.g_00573	Syan.g_02157, Syan.g_02160
OG0000048	Syaq.g_00749	Syan.g_02036
OG0000052	Syaq.g_00969	Syan.g_01954, Syan.g_01953
OG0000053	Syaq.g_00397	Syan.g_02812
OG0000054	Syaq.g_02005	Syan.g_02503, Syan.g_00231, Syan.g_00506
OG0000057	Syaq.g_02541	Syan.g_00643, Syan.g_02514
OG0000058	Syaq.g_00944	Syan.g_01964
OG0000059	Syaq.g_00657	Syan.g_02255
OG0000060	Syaq.g_00456, Syaq.g_01770	Syan.g_02856
OG0000060	Syaq.g_00201	Syan.g_00277
OG0000061	Syaq.g_00249	Syan.g_02696
OG0000062	Syaq.g_01690	Syan.g_01380
OG0000063	Syaq.g_01110	Syan.g_01739
OG0000064	Syaq.g_02138	Syan.g_02518
OG0000065	Syaq.g_01487	Syan.g_02974
OG0000066	Syaq.g_01851	Syan.g_01156
OG0000068	Syaq.g_01763	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000070	Syaq.g_00484	Syan.g_00289
OG0000071	Syaq.g_00297	Syan.g_01213
OG0000072	Syaq.g_01397	Syan.g_03038
OG0000073	Syaq.g_01795	Syan.g_02741
OG0000075	Syaq.g_00986	Syan.g_00981, Syan.g_01937
OG0000076	Syaq.g_01028	Syan.g_01896
OG0000077	Syaq.g_01547	Syan.g_02919, Syan.g_02579
OG0000078	Syaq.g_01585	Syan.g_01509, Syan.g_01510, Syan.g_02437
OG0000079	Syaq.g_00721	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Syaq.g_01975	Syan.g_00952
OG0000084	Syaq.g_00367	Syan.g_01283
OG0000085	Syaq.g_01683	Syan.g_01387
OG0000086	Syaq.g_01525	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Syaq.g_01438	Syan.g_02268
OG0000088	Syaq.g_01402	Syan.g_03031
OG0000089	Syaq.g_00529	Syan.g_02316
OG0000090	Syaq.g_01838	Syan.g_01166
OG0000091	Syaq.g_02090	Syan.g_00235, Syan.g_00808
OG0000093	Syaq.g_02323	Syan.g_00708
OG0000094	Syaq.g_00056	Syan.g_00353
OG0000094	Syaq.g_02554	Syan.g_00065
OG0000095	Syaq.g_02679	Syan.g_00290
OG0000098	Syaq.g_02221, Syaq.g_01849	Syan.g_00043
OG0000099	Syaq.g_00882	Syan.g_01968
OG0000100	Syaq.g_02371	Syan.g_00658
OG0000102	Syaq.g_01033	Syan.g_01891
OG0000103	Syaq.g_01170	Syan.g_01692
OG0000104	Syaq.g_01154	Syan.g_01792
OG0000105	Syaq.g_00754	Syan.g_02031
OG0000106	Syaq.g_01863	Syan.g_00076
OG0000107	Syaq.g_00694	Syan.g_02106
OG0000108	Syaq.g_01772	Syan.g_02764
OG0000109	Syaq.g_01788	Syan.g_02748
OG0000110	Syaq.g_01962	Syan.g_00171, Syan.g_00882
OG0000111	Syaq.g_02606	Syan.g_00187
OG0000112	Syaq.g_02476	Syan.g_00556, Syan.g_00252
OG0000114	Syaq.g_02269	Syan.g_00741
OG0000115	Syaq.g_00395	Syan.g_02810
OG0000116	Syaq.g_00263	Syan.g_02710, Syan.g_00460
OG0000117	Syaq.g_00203	Syan.g_02644
OG0000118	Syaq.g_00325	Syan.g_01241
OG0000118	Syaq.g_00316	Syan.g_01237
OG0000120	Syaq.g_00883	Syan.g_01966
OG0000121	Syaq.g_00375	Syan.g_01273
OG0000123	Syaq.g_00599	Syan.g_02190
OG0000124	Syaq.g_01055	Syan.g_01873
OG0000125	Syaq.g_01256	Syan.g_01573
OG0000126	Syaq.g_01156	Syan.g_01705
OG0000128	Syaq.g_01138	Syan.g_01768
OG0000129	Syaq.g_01269	Syan.g_01563
OG0000130	Syaq.g_01559	Syan.g_02906, Syan.g_02907
OG0000131	Syaq.g_01427, Syaq.g_01424	Syan.g_03008
OG0000132	Syaq.g_01404	Syan.g_03029
OG0000133	Syaq.g_02481	Syan.g_00561
OG0000134	Syaq.g_00526	Syan.g_02319
OG0000135	Syaq.g_01227	Syan.g_01616
OG0000136	Syaq.g_00496	Syan.g_01342
OG0000137	Syaq.g_00442	Syan.g_02846
OG0000138	Syaq.g_01789	Syan.g_02747
OG0000139	Syaq.g_01844	Syan.g_01160
OG0000140	Syaq.g_01848	Syan.g_00042
OG0000141	Syaq.g_02010	Syan.g_01032
OG0000142	Syaq.g_02082	Syan.g_00816
OG0000143	Syaq.g_02086	Syan.g_00812
OG0000144	Syaq.g_02152	Syan.g_00782
OG0000145	Syaq.g_01796	Syan.g_02740
OG0000146	Syaq.g_02475	Syan.g_00555, Syan.g_00253
OG0000147	Syaq.g_02474	Syan.g_00254, Syan.g_00554
OG0000148	Syaq.g_02359	Syan.g_00670
OG0000149	Syaq.g_02395	Syan.g_00393
OG0000150	Syaq.g_02011	Syan.g_01031
OG0000151	Syaq.g_02283	Syan.g_00731
OG0000152	Syaq.g_02485	Syan.g_00565
OG0000153	Syaq.g_02518	Syan.g_00601
OG0000154	Syaq.g_00066	Syan.g_00363
OG0000155	Syaq.g_00212	Syan.g_02654
OG0000156	Syaq.g_00281	Syan.g_02717
OG0000157	Syaq.g_00282	Syan.g_02718
OG0000158	Syaq.g_01003	Syan.g_01078, Syan.g_01926
OG0000159	Syaq.g_00918, Syaq.g_00941	Syan.g_01120
OG0000160	Syaq.g_00374	Syan.g_01274
OG0000161	Syaq.g_00382	Syan.g_01268
OG0000162	Syaq.g_00389	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Syaq.g_02373, Syaq.g_01730	Syan.g_02405
OG0000164	Syaq.g_01642	Syan.g_01440
OG0000165	Syaq.g_01630	Syan.g_01448
OG0000166	Syaq.g_00647	Syan.g_02239
OG0000167	Syaq.g_00983	Syan.g_01941
OG0000168	Syaq.g_01004	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Syaq.g_01016	Syan.g_01912
OG0000170	Syaq.g_01023	Syan.g_01901
OG0000171	Syaq.g_01052	Syan.g_01875
OG0000172	Syaq.g_01074	Syan.g_01810
OG0000173	Syaq.g_01092	Syan.g_01720
OG0000174	Syaq.g_01224	Syan.g_01619
OG0000175	Syaq.g_01183	Syan.g_01678, Syan.g_00258
OG0000176	Syaq.g_01146	Syan.g_01801
OG0000177	Syaq.g_01145	Syan.g_01775
OG0000178	Syaq.g_01144	Syan.g_01774
OG0000179	Syaq.g_01129	Syan.g_01759
OG0000180	Syaq.g_01128	Syan.g_01758
OG0000181	Syaq.g_01127	Syan.g_01757
OG0000182	Syaq.g_01126	Syan.g_01756
OG0000183	Syaq.g_01122	Syan.g_01752
OG0000184	Syaq.g_01277	Syan.g_01549
OG0000185	Syaq.g_01290	Syan.g_01540
OG0000186	Syaq.g_01563	Syan.g_02902
OG0000187	Syaq.g_01561	Syan.g_02904
OG0000188	Syaq.g_01539	Syan.g_02926
OG0000189	Syaq.g_00122	Syan.g_02966
OG0000190	Syaq.g_01497	Syan.g_00971
OG0000191	Syaq.g_01467	Syan.g_02300
OG0000192	Syaq.g_01462	Syan.g_02294
OG0000193	Syaq.g_01423	Syan.g_03009
OG0000194	Syaq.g_01420	Syan.g_03012
OG0000195	Syaq.g_01418	Syan.g_03014
OG0000196	Syaq.g_01407	Syan.g_03026
OG0000197	Syaq.g_01406	Syan.g_03027
OG0000198	Syaq.g_01405	Syan.g_03028
OG0000199	Syaq.g_01398	Syan.g_03037
OG0000200	Syaq.g_01382	Syan.g_03055
OG0000201	Syaq.g_01365	Syan.g_03074
OG0000202	Syaq.g_01364	Syan.g_03075
OG0000203	Syaq.g_01363	Syan.g_03076
OG0000204	Syaq.g_01362	Syan.g_03077
OG0000205	Syaq.g_01355	Syan.g_03087
OG0000206	Syaq.g_01345	Syan.g_03095
OG0000207	Syaq.g_01338	Syan.g_03100
OG0000208	Syaq.g_01337	Syan.g_03101
OG0000209	Syaq.g_01310	Syan.g_01521
OG0000210	Syaq.g_01309	Syan.g_01522
OG0000211	Syaq.g_01570	Syan.g_02416
OG0000212	Syaq.g_01586	Syan.g_01508, Syan.g_02438
OG0000213	Syaq.g_00729	Syan.g_02059
OG0000214	Syaq.g_00745	Syan.g_02040
OG0000215	Syaq.g_00777	Syan.g_02010
OG0000216	Syaq.g_00781	Syan.g_02006
OG0000217	Syaq.g_00844	Syan.g_02001
OG0000218	Syaq.g_00846	Syan.g_01999
OG0000219	Syaq.g_00847	Syan.g_01998
OG0000220	Syaq.g_00848	Syan.g_01997
