Orthogroup	Syaq	Prab
OG0000004	Syaq.g_02603	Prab.g_00700
OG0000004	Syaq.g_02042, Syaq.g_01567	Prab.g_00223
OG0000005	Syaq.g_01658	Prab.g_01682
OG0000005	Syaq.g_01692	Prab.g_01542
OG0000006	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Prab.g_00231
OG0000007	Syaq.g_01793	Prab.g_00501
OG0000007	Syaq.g_01673	Prab.g_01669
OG0000009	Syaq.g_01489	Prab.g_00096
OG0000010	Syaq.g_00443	Prab.g_01104
OG0000011	Syaq.g_01038	Prab.g_00799
OG0000012	Syaq.g_02059, Syaq.g_00077	Prab.g_00627
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Prab.g_00315
OG0000014	Syaq.g_00862	Prab.g_00294
OG0000014	Syaq.g_00907, Syaq.g_00933	Prab.g_01444, Prab.g_01445
OG0000015	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255	Prab.g_00789
OG0000016	Syaq.g_01136	Prab.g_00013
OG0000017	Syaq.g_01992, Syaq.g_01999	Prab.g_00602
OG0000018	Syaq.g_00401	Prab.g_01201
OG0000019	Syaq.g_00717	Prab.g_00239, Prab.g_00820
OG0000022	Syaq.g_02126	Prab.g_01182
OG0000023	Syaq.g_02540	Prab.g_00348
OG0000025	Syaq.g_02381	Prab.g_00319, Prab.g_00874
OG0000026	Syaq.g_01114	Prab.g_01629, Prab.g_00031, Prab.g_01111
OG0000028	Syaq.g_00878	Prab.g_00308
OG0000030	Syaq.g_01047, Syaq.g_01048	Prab.g_01867
OG0000031	Syaq.g_01009	Prab.g_01446
OG0000033	Syaq.g_01399	Prab.g_01400
OG0000034	Syaq.g_00312, Syaq.g_01431	Prab.g_01336
OG0000035	Syaq.g_00372, Syaq.g_00371	Prab.g_01466
OG0000037	Syaq.g_01483	Prab.g_00100
OG0000038	Syaq.g_01260, Syaq.g_01258	Prab.g_01908
OG0000039	Syaq.g_01601, Syaq.g_01241	Prab.g_00691
OG0000041	Syaq.g_02688, Syaq.g_01612	Prab.g_01715
OG0000042	Syaq.g_00200, Syaq.g_01044	Prab.g_01864
OG0000044	Syaq.g_00107, Syaq.g_02701	Prab.g_01648
OG0000045	Syaq.g_02047	Prab.g_00360
OG0000048	Syaq.g_00749	Prab.g_00411, Prab.g_00363
OG0000052	Syaq.g_00935	Prab.g_01423
OG0000053	Syaq.g_00397	Prab.g_01486
OG0000054	Syaq.g_02005	Prab.g_00610
OG0000055	Syaq.g_02700	Prab.g_00821
OG0000057	Syaq.g_02541, Syaq.g_02605	Prab.g_00703
OG0000059	Syaq.g_00657	Prab.g_01754
OG0000060	Syaq.g_00456, Syaq.g_01770, Syaq.g_00201	Prab.g_00784
OG0000061	Syaq.g_00249	Prab.g_01219
OG0000062	Syaq.g_01690	Prab.g_01544
OG0000063	Syaq.g_01110	Prab.g_00033
OG0000065	Syaq.g_01487, Syaq.g_01908	Prab.g_00098
OG0000066	Syaq.g_01851	Prab.g_00543
OG0000067	Syaq.g_02340, Syaq.g_02560	Prab.g_00840
OG0000068	Syaq.g_01763	Prab.g_01360
OG0000070	Syaq.g_00484	Prab.g_00456
OG0000071	Syaq.g_00297	Prab.g_01637, Prab.g_01326
OG0000072	Syaq.g_01397	Prab.g_00162
OG0000073	Syaq.g_01795	Prab.g_00503
OG0000075	Syaq.g_00986	Prab.g_01834
OG0000076	Syaq.g_01028	Prab.g_01857
OG0000077	Syaq.g_01547	Prab.g_00070
OG0000078	Syaq.g_01585	Prab.g_00229
OG0000079	Syaq.g_00721	Prab.g_00242
OG0000081	Syaq.g_01893	Prab.g_00535
OG0000082	Syaq.g_01975	Prab.g_00589
OG0000084	Syaq.g_00367	Prab.g_01462
OG0000085	Syaq.g_01683	Prab.g_01662
OG0000086	Syaq.g_01525	Prab.g_00080
OG0000087	Syaq.g_01438	Prab.g_00129
OG0000088	Syaq.g_01402	Prab.g_00157
OG0000089	Syaq.g_00529	Prab.g_00343
OG0000090	Syaq.g_01838	Prab.g_00537
OG0000091	Syaq.g_02090	Prab.g_00647
OG0000093	Syaq.g_02323	Prab.g_01042
OG0000094	Syaq.g_00056, Syaq.g_02554	Prab.g_00948
OG0000095	Syaq.g_02679	Prab.g_01299
OG0000097	Syaq.g_00167	Prab.g_01260
OG0000098	Syaq.g_02221, Syaq.g_01849	Prab.g_01346
OG0000099	Syaq.g_00882	Prab.g_01394
OG0000100	Syaq.g_02371	Prab.g_01540
OG0000101	Syaq.g_00607	Prab.g_01802
OG0000102	Syaq.g_01033	Prab.g_01862
OG0000103	Syaq.g_01170	Prab.g_01942
OG0000104	Syaq.g_01154	Prab.g_01951
OG0000105	Syaq.g_00754	Prab.g_00262
OG0000106	Syaq.g_01863	Prab.g_00359
OG0000107	Syaq.g_00694	Prab.g_00375
OG0000108	Syaq.g_01772	Prab.g_00484
OG0000109	Syaq.g_01788	Prab.g_00498
OG0000110	Syaq.g_01962	Prab.g_00579
OG0000111	Syaq.g_02606	Prab.g_00704
OG0000112	Syaq.g_02476	Prab.g_00804
OG0000114	Syaq.g_02269	Prab.g_01068
OG0000115	Syaq.g_00395	Prab.g_01156
OG0000116	Syaq.g_00263	Prab.g_01209
OG0000117	Syaq.g_00203	Prab.g_00717
OG0000118	Syaq.g_00325, Syaq.g_00316	Prab.g_01338
OG0000120	Syaq.g_00883	Prab.g_01447
OG0000121	Syaq.g_00375	Prab.g_01468
OG0000122	Syaq.g_02118	Prab.g_01506
OG0000123	Syaq.g_00599	Prab.g_01809
OG0000124	Syaq.g_01055	Prab.g_01873
OG0000125	Syaq.g_01256	Prab.g_01910
OG0000126	Syaq.g_01156	Prab.g_01950
OG0000128	Syaq.g_01138	Prab.g_00011
OG0000129	Syaq.g_01269	Prab.g_00043
OG0000130	Syaq.g_01559	Prab.g_00061
OG0000131	Syaq.g_01427, Syaq.g_01424	Prab.g_00136
OG0000132	Syaq.g_01036, Syaq.g_01404	Prab.g_00155
OG0000133	Syaq.g_02481	Prab.g_00310
OG0000134	Syaq.g_00526	Prab.g_00344
OG0000135	Syaq.g_01227	Prab.g_00371
OG0000136	Syaq.g_00496	Prab.g_00444
OG0000137	Syaq.g_00442	Prab.g_00479
OG0000138	Syaq.g_01789	Prab.g_00499
OG0000139	Syaq.g_01844	Prab.g_00541
OG0000140	Syaq.g_01848	Prab.g_00542
OG0000141	Syaq.g_02010	Prab.g_00611
