Orthogroup	Syaq	Syaa
OG0000001	Syaq.g_01436	Syaa.g_02435
OG0000001	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436
OG0000001	Syaq.g_02178, Syaq.g_02413	Syaa.g_02329
OG0000004	Syaq.g_02603	Syaa.g_00892
OG0000004	Syaq.g_02042	Syaa.g_01667
OG0000004	Syaq.g_01567	Syaa.g_02116
OG0000005	Syaq.g_01658	Syaa.g_00534
OG0000005	Syaq.g_01692	Syaa.g_00573
OG0000005	Syaq.g_00236	Syaa.g_01449
OG0000006	Syaq.g_02108	Syaa.g_01611
OG0000006	Syaq.g_00696, Syaq.g_01590	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Syaq.g_01793	Syaa.g_02032
OG0000007	Syaq.g_01673	Syaa.g_00551
OG0000008	Syaq.g_02162	Syaa.g_00918
OG0000008	Syaq.g_02575	Syaa.g_00919
OG0000009	Syaq.g_01489	Syaa.g_02378
OG0000010	Syaq.g_00443	Syaa.g_01843
OG0000011	Syaq.g_01038	Syaa.g_00921
OG0000012	Syaq.g_02059	Syaa.g_01660
OG0000012	Syaq.g_00077	Syaa.g_02304
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217
OG0000014	Syaq.g_00862	Syaa.g_00222
OG0000015	Syaq.g_00121, Syaq.g_01171	Syaa.g_02739
OG0000015	Syaq.g_02255	Syaa.g_01079, Syaa.g_01989
OG0000016	Syaq.g_01136	Syaa.g_00014
OG0000016	Syaq.g_00169	Syaa.g_00981
OG0000017	Syaq.g_01992	Syaa.g_01890
OG0000017	Syaq.g_01999	Syaa.g_01883
OG0000018	Syaq.g_00401	Syaa.g_01801
OG0000019	Syaq.g_00717	Syaa.g_00307
OG0000022	Syaq.g_02126	Syaa.g_01571
OG0000023	Syaq.g_02540	Syaa.g_01529, Syaa.g_01216
OG0000025	Syaq.g_02381	Syaa.g_00839
OG0000026	Syaq.g_01114	Syaa.g_00038
OG0000028	Syaq.g_00878	Syaa.g_00205
OG0000030	Syaq.g_01047	Syaa.g_00099
OG0000030	Syaq.g_01048	Syaa.g_00098
OG0000031	Syaq.g_01009	Syaa.g_00200
OG0000032	Syaq.g_00421	Syaa.g_01818
OG0000033	Syaq.g_01399	Syaa.g_02478
OG0000034	Syaq.g_00312, Syaq.g_01431	Syaa.g_00722, Syaa.g_02444
OG0000035	Syaq.g_00372, Syaq.g_00371	Syaa.g_01773
OG0000037	Syaq.g_01483	Syaa.g_02384
OG0000038	Syaq.g_01260	Syaa.g_02596
OG0000041	Syaq.g_02688	Syaa.g_00869
OG0000042	Syaq.g_00200, Syaq.g_01044	Syaa.g_00103
OG0000043	Syaq.g_01920	Syaa.g_01437
OG0000044	Syaq.g_00107	Syaa.g_00363
OG0000044	Syaq.g_02701	Syaa.g_00851
OG0000045	Syaq.g_02047	Syaa.g_01560, Syaa.g_01518
OG0000046	Syaq.g_00570, Syaq.g_00573	Syaa.g_02218
OG0000048	Syaq.g_00749	Syaa.g_00275
OG0000052	Syaq.g_00935	Syaa.g_00461
OG0000052	Syaq.g_00969	Syaa.g_00174
OG0000053	Syaq.g_00397	Syaa.g_01797
OG0000054	Syaq.g_02005	Syaa.g_01691, Syaa.g_01502
OG0000055	Syaq.g_02700	Syaa.g_00852
OG0000057	Syaq.g_02541	Syaa.g_01466
