Orthogroup	Syaq	Prah
OG0000001	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115	Prah.g_01159
OG0000001	Syaq.g_01434	Prah.g_02270
OG0000003	Syaq.g_01566, Syaq.g_00887	Prah.g_02448
OG0000004	Syaq.g_02603	Prah.g_01022
OG0000004	Syaq.g_02042, Syaq.g_01567	Prah.g_01413
OG0000005	Syaq.g_01692	Prah.g_01652
OG0000006	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Prah.g_00475, Prah.g_01767
OG0000007	Syaq.g_01793	Prah.g_01546
OG0000007	Syaq.g_01673	Prah.g_01676
OG0000008	Syaq.g_02162	Prah.g_00970
OG0000008	Syaq.g_02575	Prah.g_00969
OG0000009	Syaq.g_01489	Prah.g_00432, Prah.g_01895
OG0000010	Syaq.g_00443	Prah.g_00311
OG0000012	Syaq.g_02059	Prah.g_00524
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Prah.g_01956
OG0000014	Syaq.g_00862	Prah.g_02171
OG0000014	Syaq.g_00933	Prah.g_00101
OG0000015	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255	Prah.g_01155, Prah.g_00576
OG0000016	Syaq.g_01136	Prah.g_00015
OG0000016	Syaq.g_00169	Prah.g_01270
OG0000017	Syaq.g_01999	Prah.g_01397
OG0000018	Syaq.g_00401	Prah.g_00378
OG0000019	Syaq.g_00717	Prah.g_02086
OG0000022	Syaq.g_02126	Prah.g_01209
OG0000023	Syaq.g_02540	Prah.g_00688
OG0000025	Syaq.g_02381	Prah.g_00604
OG0000026	Syaq.g_01114	Prah.g_00038
OG0000028	Syaq.g_00878	Prah.g_02184
OG0000030	Syaq.g_01047	Prah.g_00132
OG0000030	Syaq.g_01048	Prah.g_00131
OG0000031	Syaq.g_01009	Prah.g_02248
OG0000032	Syaq.g_00421	Prah.g_00358
OG0000033	Syaq.g_01399	Prah.g_02307
OG0000034	Syaq.g_00312, Syaq.g_01431	Prah.g_01376
OG0000035	Syaq.g_00371	Prah.g_00408
OG0000037	Syaq.g_01483	Prah.g_01901
OG0000038	Syaq.g_01260	Prah.g_02494
OG0000038	Syaq.g_01258	Prah.g_02496
OG0000039	Syaq.g_01601	Prah.g_01758
OG0000039	Syaq.g_01241	Prah.g_02382
OG0000041	Syaq.g_02688	Prah.g_01737
OG0000042	Syaq.g_00200, Syaq.g_01044	Prah.g_00135, Prah.g_01256
OG0000044	Syaq.g_00107	Prah.g_00994, Prah.g_00343
OG0000045	Syaq.g_02047	Prah.g_01837
OG0000046	Syaq.g_00570, Syaq.g_00573	Prah.g_01955
OG0000048	Syaq.g_00749	Prah.g_02122
OG0000052	Syaq.g_00969	Prah.g_02219
OG0000053	Syaq.g_00397	Prah.g_00381
OG0000054	Syaq.g_02005	Prah.g_01394
OG0000055	Syaq.g_02700	Prah.g_00942
OG0000057	Syaq.g_02541, Syaq.g_02605	Prah.g_01027
OG0000058	Syaq.g_00944	Prah.g_02195
OG0000059	Syaq.g_00657	Prah.g_02043
