Orthogroup	Syaq	Prad
OG0000001	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115, Syaq.g_01434, Syaq.g_02178, Syaq.g_02413	Prad.g_00609
OG0000004	Syaq.g_02603	Prad.g_01269
OG0000004	Syaq.g_02042, Syaq.g_01567	Prad.g_01759
OG0000005	Syaq.g_01658	Prad.g_00928
OG0000005	Syaq.g_01692	Prad.g_00438
OG0000006	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Prad.g_01750
OG0000007	Syaq.g_01793	Prad.g_00132
OG0000007	Syaq.g_01673	Prad.g_00941
OG0000009	Syaq.g_01489	Prad.g_01888
OG0000010	Syaq.g_00443	Prad.g_01304, Prad.g_01011
OG0000011	Syaq.g_01038	Prad.g_01212
OG0000012	Syaq.g_02059, Syaq.g_00077	Prad.g_01412
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Prad.g_01664
OG0000014	Syaq.g_00862	Prad.g_01685
OG0000015	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255	Prad.g_01108
OG0000016	Syaq.g_01136	Prad.g_01973
OG0000017	Syaq.g_01992, Syaq.g_01999	Prad.g_01387
OG0000018	Syaq.g_00401	Prad.g_01515
OG0000019	Syaq.g_00717	Prad.g_01742, Prad.g_01125
OG0000022	Syaq.g_02126	Prad.g_01993
OG0000023	Syaq.g_02540	Prad.g_00751
OG0000025	Syaq.g_02381	Prad.g_01660, Prad.g_01181
OG0000026	Syaq.g_01114	Prad.g_01955, Prad.g_01004
OG0000028	Syaq.g_00878	Prad.g_01204, Prad.g_01671
OG0000032	Syaq.g_00421	Prad.g_00572
OG0000034	Syaq.g_00312, Syaq.g_01431	Prad.g_00618
OG0000035	Syaq.g_00372, Syaq.g_00371	Prad.g_00515
OG0000037	Syaq.g_01483	Prad.g_01884
OG0000038	Syaq.g_01260, Syaq.g_01258	Prad.g_01582
OG0000039	Syaq.g_01601, Syaq.g_01241	Prad.g_01260
OG0000041	Syaq.g_02688, Syaq.g_01612	Prad.g_00894
OG0000042	Syaq.g_00200, Syaq.g_01044	Prad.g_01624
OG0000044	Syaq.g_00107, Syaq.g_02701	Prad.g_01213
OG0000045	Syaq.g_02047	Prad.g_00738
OG0000048	Syaq.g_00749	Prad.g_00735
OG0000052	Syaq.g_00969	Prad.g_00571
OG0000053	Syaq.g_00397	Prad.g_00494
OG0000054	Syaq.g_02005	Prad.g_01395
OG0000055	Syaq.g_02700	Prad.g_01126
OG0000057	Syaq.g_02541, Syaq.g_02605	Prad.g_01272
OG0000058	Syaq.g_00944	Prad.g_00565
OG0000059	Syaq.g_00657	Prad.g_00855
OG0000061	Syaq.g_00249	Prad.g_01496
OG0000062	Syaq.g_01690	Prad.g_00436
OG0000063	Syaq.g_01110	Prad.g_01953, Prad.g_00081
OG0000065	Syaq.g_01487, Syaq.g_01908	Prad.g_01886
OG0000066	Syaq.g_01851	Prad.g_00090
OG0000067	Syaq.g_02340, Syaq.g_02560	Prad.g_01146
OG0000068	Syaq.g_01763	Prad.g_00594
OG0000070	Syaq.g_00484	Prad.g_00057
OG0000071	Syaq.g_00297	Prad.g_00628
OG0000072	Syaq.g_01397	Prad.g_01820
OG0000073	Syaq.g_01795	Prad.g_00130
OG0000075	Syaq.g_00986	Prad.g_00775
OG0000076	Syaq.g_01028	Prad.g_01631
OG0000077	Syaq.g_01547	Prad.g_01915
OG0000078	Syaq.g_01585	Prad.g_01752
OG0000079	Syaq.g_00721	Prad.g_01739
OG0000081	Syaq.g_01893	Prad.g_00098
OG0000082	Syaq.g_01975	Prad.g_01374
OG0000084	Syaq.g_00367	Prad.g_00519
OG0000085	Syaq.g_01683	Prad.g_00948
OG0000086	Syaq.g_01525	Prad.g_01905
OG0000087	Syaq.g_01438	Prad.g_01854
OG0000088	Syaq.g_01402	Prad.g_01825
OG0000089	Syaq.g_00529	Prad.g_00755
OG0000090	Syaq.g_01838	Prad.g_00096
OG0000091	Syaq.g_02090	Prad.g_01431
OG0000093	Syaq.g_02323	Prad.g_00218
OG0000094	Syaq.g_00056, Syaq.g_02554	Prad.g_01038
OG0000095	Syaq.g_02679	Prad.g_01018
