Orthogroup	Syaq	Syak
OG0000001	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115	Syak.g_02139
OG0000001	Syaq.g_01434	Syak.g_02138
OG0000001	Syaq.g_02178	Syak.g_00275
OG0000001	Syaq.g_02413	Syak.g_00579
OG0000004	Syaq.g_02603	Syak.g_01219, Syak.g_00720
OG0000004	Syaq.g_02042	Syak.g_00003
OG0000004	Syaq.g_01567	Syak.g_02297
OG0000005	Syaq.g_01658	Syak.g_02401
OG0000005	Syaq.g_01692	Syak.g_02436
OG0000006	Syaq.g_02108	Syak.g_00057
OG0000006	Syaq.g_00696, Syaq.g_01590	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Syaq.g_01793	Syak.g_02595
OG0000007	Syaq.g_01673	Syak.g_02416
OG0000008	Syaq.g_02162	Syak.g_00267
OG0000008	Syaq.g_02575	Syak.g_00692
OG0000009	Syaq.g_01489	Syak.g_02194
OG0000010	Syaq.g_00443	Syak.g_01119
OG0000011	Syaq.g_01038	Syak.g_02294, Syak.g_00960
OG0000012	Syaq.g_02059	Syak.g_00010
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Syak.g_01270, Syak.g_01275
OG0000014	Syaq.g_00862	Syak.g_01505
OG0000015	Syaq.g_00121, Syaq.g_01171	Syak.g_01813
OG0000015	Syaq.g_02255	Syak.g_00358
OG0000016	Syaq.g_01136	Syak.g_01780
OG0000016	Syaq.g_00169	Syak.g_00818
OG0000017	Syaq.g_01992	Syak.g_02730
OG0000017	Syaq.g_01999	Syak.g_02738
OG0000018	Syaq.g_00401	Syak.g_01072
OG0000019	Syaq.g_00717	Syak.g_01413
OG0000022	Syaq.g_02126	Syak.g_00088
OG0000023	Syaq.g_02540	Syak.g_00316, Syak.g_00223
OG0000025	Syaq.g_02381	Syak.g_00610
OG0000026	Syaq.g_01114	Syak.g_01757
OG0000028	Syaq.g_00878	Syak.g_01522
OG0000030	Syaq.g_01047	Syak.g_01684
OG0000030	Syaq.g_01048	Syak.g_01685
OG0000031	Syaq.g_01009	Syak.g_01630
OG0000032	Syaq.g_00421	Syak.g_01092
OG0000033	Syaq.g_01399	Syak.g_02101
OG0000034	Syaq.g_00312, Syaq.g_01431	Syak.g_00950, Syak.g_02133
OG0000035	Syaq.g_00372	Syak.g_01041
OG0000035	Syaq.g_00371	Syak.g_01040
OG0000037	Syaq.g_01483	Syak.g_02188
OG0000038	Syaq.g_01260	Syak.g_01938
OG0000038	Syaq.g_01258	Syak.g_01936
OG0000039	Syaq.g_01241	Syak.g_01918
OG0000042	Syaq.g_00200, Syaq.g_01044	Syak.g_00843, Syak.g_01681
OG0000043	Syaq.g_01920	Syak.g_00335
OG0000044	Syaq.g_02701	Syak.g_00767
OG0000045	Syaq.g_02047	Syak.g_00228, Syak.g_00317
OG0000046	Syaq.g_00570, Syaq.g_00573	Syak.g_01276
OG0000048	Syaq.g_00749	Syak.g_01446
OG0000052	Syaq.g_00969	Syak.g_01549
OG0000053	Syaq.g_00397	Syak.g_01068
OG0000054	Syaq.g_02005	Syak.g_02744, Syak.g_02321
OG0000055	Syaq.g_02700	Syak.g_00766
OG0000057	Syaq.g_02541	Syak.g_01676
OG0000058	Syaq.g_00944	Syak.g_01530
OG0000059	Syaq.g_00657	Syak.g_01355
OG0000060	Syaq.g_00456	Syak.g_01138
OG0000060	Syaq.g_01770	Syak.g_02572
OG0000060	Syaq.g_00201	Syak.g_00844
OG0000061	Syaq.g_00249	Syak.g_00898
OG0000062	Syaq.g_01690	Syak.g_02434
OG0000063	Syaq.g_01110	Syak.g_01752
OG0000064	Syaq.g_02138	Syak.g_00254
OG0000065	Syaq.g_01487	Syak.g_02192
OG0000065	Syaq.g_01908	Syak.g_00282
OG0000066	Syaq.g_01851	Syak.g_02653
OG0000067	Syaq.g_02340	Syak.g_00434
OG0000068	Syaq.g_01763	Syak.g_02565
OG0000070	Syaq.g_00484	Syak.g_01174
OG0000071	Syaq.g_00297	Syak.g_00936
OG0000072	Syaq.g_01397	Syak.g_02099
OG0000073	Syaq.g_01795	Syak.g_02597
OG0000075	Syaq.g_00986	Syak.g_01564
OG0000076	Syaq.g_01028	Syak.g_01650
OG0000077	Syaq.g_01547	Syak.g_02243
OG0000078	Syaq.g_01585	Syak.g_02310
OG0000079	Syaq.g_00721	Syak.g_01417
OG0000081	Syaq.g_01893	Syak.g_00115
OG0000082	Syaq.g_01975	Syak.g_02711
OG0000084	Syaq.g_00367	Syak.g_01036
OG0000085	Syaq.g_01683	Syak.g_02427
OG0000086	Syaq.g_01525	Syak.g_02219
OG0000087	Syaq.g_01438	Syak.g_02141
OG0000088	Syaq.g_01402	Syak.g_02106
OG0000089	Syaq.g_00529	Syak.g_01215
OG0000090	Syaq.g_01838	Syak.g_02640
OG0000091	Syaq.g_02090	Syak.g_00043
OG0000093	Syaq.g_02323	Syak.g_00416
OG0000094	Syaq.g_00056	Syak.g_00656
OG0000095	Syaq.g_02679	Syak.g_00736
OG0000097	Syaq.g_00167	Syak.g_00816
OG0000098	Syaq.g_01849	Syak.g_02651
OG0000099	Syaq.g_00882	Syak.g_01527
OG0000100	Syaq.g_02371	Syak.g_00622
OG0000101	Syaq.g_00607	Syak.g_01305
OG0000102	Syaq.g_01033	Syak.g_01661
OG0000103	Syaq.g_01170	Syak.g_01812
OG0000104	Syaq.g_01154	Syak.g_01799
OG0000105	Syaq.g_00754	Syak.g_01451
OG0000106	Syaq.g_01863	Syak.g_00096
OG0000107	Syaq.g_00694	Syak.g_01392
OG0000108	Syaq.g_01772	Syak.g_02574
OG0000109	Syaq.g_01788	Syak.g_02590
OG0000110	Syaq.g_01962	Syak.g_02698
OG0000111	Syaq.g_02606	Syak.g_00725
OG0000112	Syaq.g_02476	Syak.g_00512
OG0000114	Syaq.g_02269	Syak.g_00373, Syak.g_00065
OG0000115	Syaq.g_00395	Syak.g_01066
OG0000116	Syaq.g_00263	Syak.g_00911
OG0000117	Syaq.g_00203	Syak.g_00846
OG0000118	Syaq.g_00325, Syaq.g_00316	Syak.g_00954
OG0000120	Syaq.g_00883	Syak.g_01526
OG0000121	Syaq.g_00375	Syak.g_01044
OG0000122	Syaq.g_02118	Syak.g_00081
OG0000123	Syaq.g_00599	Syak.g_01299
OG0000124	Syaq.g_01055	Syak.g_01692
OG0000125	Syaq.g_01256	Syak.g_01934
OG0000126	Syaq.g_01156	Syak.g_01801
OG0000128	Syaq.g_01138	Syak.g_01782
OG0000129	Syaq.g_01269	Syak.g_01947
OG0000130	Syaq.g_01559	Syak.g_02255
OG0000131	Syaq.g_01427, Syaq.g_01424	Syak.g_02128
OG0000132	Syaq.g_01404	Syak.g_02108
OG0000133	Syaq.g_02481	Syak.g_00507
OG0000134	Syaq.g_00526	Syak.g_01212
OG0000135	Syaq.g_01227	Syak.g_01897
OG0000136	Syaq.g_00496	Syak.g_01186
OG0000137	Syaq.g_00442	Syak.g_01118
OG0000138	Syaq.g_01789	Syak.g_02591
OG0000139	Syaq.g_01844	Syak.g_02646
OG0000140	Syaq.g_01848	Syak.g_02650
OG0000141	Syaq.g_02010	Syak.g_02746
OG0000142	Syaq.g_02082	Syak.g_00035
OG0000143	Syaq.g_02086	Syak.g_00039
OG0000144	Syaq.g_02152	Syak.g_00260
OG0000145	Syaq.g_01796	Syak.g_02598
OG0000146	Syaq.g_02475	Syak.g_00514
OG0000147	Syaq.g_02474	Syak.g_00515
OG0000148	Syaq.g_02359	Syak.g_00455
OG0000149	Syaq.g_02395	Syak.g_00596
OG0000150	Syaq.g_02011	Syak.g_02747
OG0000151	Syaq.g_02283	Syak.g_00387
OG0000152	Syaq.g_02485	Syak.g_00503
OG0000153	Syaq.g_02518	Syak.g_00470
OG0000154	Syaq.g_00066	Syak.g_00645
OG0000155	Syaq.g_00212	Syak.g_00855
OG0000156	Syaq.g_00281	Syak.g_00919
OG0000157	Syaq.g_00282	Syak.g_00920
OG0000158	Syaq.g_01003	Syak.g_01624
OG0000160	Syaq.g_00374	Syak.g_01043
OG0000161	Syaq.g_00382	Syak.g_01050
OG0000162	Syaq.g_00389	Syak.g_01058
OG0000163	Syaq.g_01730	Syak.g_02478
OG0000164	Syaq.g_01642	Syak.g_02384
OG0000165	Syaq.g_01630	Syak.g_02374
OG0000166	Syaq.g_00647	Syak.g_01345
OG0000167	Syaq.g_00983	Syak.g_01561
OG0000168	Syaq.g_01004	Syak.g_01625
OG0000169	Syaq.g_01016	Syak.g_01637
OG0000170	Syaq.g_01023	Syak.g_01644
OG0000171	Syaq.g_01052	Syak.g_01691
OG0000172	Syaq.g_01074	Syak.g_01713
OG0000173	Syaq.g_01092	Syak.g_01733
OG0000174	Syaq.g_01224	Syak.g_01895
OG0000175	Syaq.g_01183	Syak.g_01827
OG0000176	Syaq.g_01146	Syak.g_01790
OG0000177	Syaq.g_01145	Syak.g_01789
OG0000178	Syaq.g_01144	Syak.g_01788
OG0000179	Syaq.g_01129	Syak.g_01773
OG0000180	Syaq.g_01128	Syak.g_01772
OG0000181	Syaq.g_01127	Syak.g_01771
OG0000182	Syaq.g_01126	Syak.g_01770
OG0000183	Syaq.g_01122	Syak.g_01766
OG0000184	Syaq.g_01277	Syak.g_01955
OG0000185	Syaq.g_01290	Syak.g_01971
OG0000186	Syaq.g_01563	Syak.g_02258
OG0000187	Syaq.g_01561	Syak.g_02257
OG0000188	Syaq.g_01539	Syak.g_02235
OG0000189	Syaq.g_01499, Syaq.g_00122	Syak.g_02203
OG0000190	Syaq.g_01497	Syak.g_01575
OG0000191	Syaq.g_01467	Syak.g_02171
OG0000192	Syaq.g_01462	Syak.g_02165
OG0000193	Syaq.g_01423	Syak.g_02127
OG0000194	Syaq.g_01420	Syak.g_02124
OG0000195	Syaq.g_01418	Syak.g_02122
OG0000196	Syaq.g_01407	Syak.g_02111
OG0000197	Syaq.g_01406	Syak.g_02110
OG0000198	Syaq.g_01405	Syak.g_02109
OG0000199	Syaq.g_01398	Syak.g_02100
OG0000200	Syaq.g_01382	Syak.g_02083
OG0000201	Syaq.g_01365	Syak.g_02068
OG0000202	Syaq.g_01364	Syak.g_02067
OG0000203	Syaq.g_01363	Syak.g_02066
OG0000204	Syaq.g_01362	Syak.g_02065
OG0000205	Syaq.g_01355	Syak.g_02058
OG0000206	Syaq.g_01345	Syak.g_02038
OG0000207	Syaq.g_01338	Syak.g_02025
OG0000208	Syaq.g_01337	Syak.g_02024
OG0000209	Syaq.g_01310	Syak.g_01995
OG0000210	Syaq.g_01309	Syak.g_01994
OG0000211	Syaq.g_01570	Syak.g_02300
OG0000212	Syaq.g_01586	Syak.g_02311
OG0000213	Syaq.g_00729	Syak.g_01425
OG0000214	Syaq.g_00745	Syak.g_01442
OG0000215	Syaq.g_00777	Syak.g_01474
OG0000216	Syaq.g_00781	Syak.g_01478
OG0000217	Syaq.g_00844	Syak.g_01482
OG0000218	Syaq.g_00846	Syak.g_01484
OG0000219	Syaq.g_00847	Syak.g_01485
OG0000220	Syaq.g_00848	Syak.g_01486
OG0000221	Syaq.g_00856	Syak.g_01498
OG0000222	Syaq.g_00868	Syak.g_01512
OG0000223	Syaq.g_00946	Syak.g_01531
OG0000224	Syaq.g_00950	Syak.g_01532
OG0000225	Syaq.g_00543	Syak.g_01230
OG0000226	Syaq.g_00536	Syak.g_01226
OG0000227	Syaq.g_00534	Syak.g_01224
OG0000228	Syaq.g_00531	Syak.g_01216
OG0000229	Syaq.g_00501	Syak.g_01191
OG0000230	Syaq.g_00499	Syak.g_01189
OG0000231	Syaq.g_00485	Syak.g_01176
OG0000232	Syaq.g_00472	Syak.g_01156
OG0000233	Syaq.g_00464	Syak.g_01145
OG0000234	Syaq.g_00440	Syak.g_01116
OG0000235	Syaq.g_01771	Syak.g_02573
OG0000236	Syaq.g_01787	Syak.g_02589
OG0000237	Syaq.g_01805	Syak.g_02607
OG0000238	Syaq.g_01810	Syak.g_02612
OG0000239	Syaq.g_01826	Syak.g_02628
OG0000240	Syaq.g_01827	Syak.g_02629
OG0000241	Syaq.g_02074	Syak.g_00027
OG0000242	Syaq.g_01836	Syak.g_02638
OG0000243	Syaq.g_01922	Syak.g_02658
OG0000244	Syaq.g_01928	Syak.g_02665
OG0000245	Syaq.g_01930	Syak.g_02667
OG0000246	Syaq.g_01934	Syak.g_02671
OG0000247	Syaq.g_01945	Syak.g_02681
OG0000248	Syaq.g_01948	Syak.g_02684
OG0000249	Syaq.g_01950	Syak.g_02686
OG0000250	Syaq.g_01958	Syak.g_02694
OG0000251	Syaq.g_01984	Syak.g_02722
OG0000252	Syaq.g_01987	Syak.g_02725
OG0000253	Syaq.g_01989	Syak.g_02727
OG0000254	Syaq.g_02016	Syak.g_02752
OG0000255	Syaq.g_02041	Syak.g_02772
OG0000256	Syaq.g_02068	Syak.g_00020
