Orthogroup	Prbg	Prbi
OG0000000	Prbg.g_01222, Prbg.g_01227	Prbi.g_01432
OG0000000	Prbg.g_01119, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694	Prbi.g_00681
OG0000002	Prbg.g_00502	Prbi.g_01424
OG0000002	Prbg.g_01069	Prbi.g_01270
OG0000003	Prbg.g_01524	Prbi.g_01371
OG0000004	Prbg.g_00451	Prbi.g_00775, Prbi.g_00782
OG0000006	Prbg.g_00216	Prbi.g_00500
OG0000006	Prbg.g_01650	Prbi.g_01787
OG0000007	Prbg.g_00744	Prbi.g_01764
OG0000007	Prbg.g_00745	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Prbg.g_01510	Prbi.g_00827
OG0000009	Prbg.g_01032	Prbi.g_00273
OG0000010	Prbg.g_00032	Prbi.g_01156, Prbi.g_01352
OG0000012	Prbg.g_00317, Prbg.g_00324	Prbi.g_00600
OG0000014	Prbg.g_00721, Prbg.g_01569	Prbi.g_00472, Prbi.g_01374
OG0000015	Prbg.g_01578, Prbg.g_01611	Prbi.g_00406
OG0000016	Prbg.g_01540, Prbg.g_00688	Prbi.g_01435
OG0000018	Prbg.g_01024	Prbi.g_00265
OG0000019	Prbg.g_01145	Prbi.g_01742
OG0000020	Prbg.g_00464, Prbg.g_00050	Prbi.g_00398
OG0000021	Prbg.g_01632	Prbi.g_00829
OG0000023	Prbg.g_00686	Prbi.g_01338
OG0000024	Prbg.g_00086	Prbi.g_00330
OG0000025	Prbg.g_01055	Prbi.g_01122
OG0000028	Prbg.g_00591	Prbi.g_01589
OG0000029	Prbg.g_00174	Prbi.g_01702
OG0000032	Prbg.g_00550	Prbi.g_01467
OG0000033	Prbg.g_01544	Prbi.g_00013
OG0000034	Prbg.g_00569	Prbi.g_01478
OG0000035	Prbg.g_00025	Prbi.g_00936
OG0000036	Prbg.g_01639, Prbg.g_00304	Prbi.g_00587
OG0000037	Prbg.g_00706, Prbg.g_00342	Prbi.g_00625
OG0000038	Prbg.g_00682	Prbi.g_00805
OG0000039	Prbg.g_00944	Prbi.g_00190
OG0000040	Prbg.g_00013	Prbi.g_00384
OG0000042	Prbg.g_01151	Prbi.g_00745
OG0000043	Prbg.g_01251	Prbi.g_00832
OG0000045	Prbg.g_00551	Prbi.g_01461
OG0000046	Prbg.g_01642, Prbg.g_00716	Prbi.g_01780
OG0000047	Prbg.g_01847	Prbi.g_01994
OG0000048	Prbg.g_01855	Prbi.g_02001
OG0000050	Prbg.g_00842	Prbi.g_00031
OG0000051	Prbg.g_00935	Prbi.g_00181
OG0000052	Prbg.g_00388	Prbi.g_00394
OG0000053	Prbg.g_00256	Prbi.g_00542
OG0000054	Prbg.g_00359	Prbi.g_00799
OG0000055	Prbg.g_01182	Prbi.g_00869
OG0000056	Prbg.g_01542	Prbi.g_01163
OG0000057	Prbg.g_01019	Prbi.g_00261, Prbi.g_01748
