Orthogroup	Prbg	Pran
OG0000000	Prbg.g_01119, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694	Pran.g_01500
OG0000002	Prbg.g_01069	Pran.g_01395
OG0000003	Prbg.g_01524	Pran.g_00894
OG0000004	Prbg.g_00451	Pran.g_00576, Pran.g_01436, Pran.g_00895
OG0000005	Prbg.g_01567	Pran.g_01423
OG0000006	Prbg.g_00216	Pran.g_01681
OG0000006	Prbg.g_01650	Pran.g_00970
OG0000009	Prbg.g_01510	Pran.g_01363
OG0000009	Prbg.g_01032	Pran.g_01943
OG0000010	Prbg.g_00032	Pran.g_00603, Pran.g_00114
OG0000012	Prbg.g_00324	Pran.g_01580
OG0000013	Prbg.g_01589, Prbg.g_01635	Pran.g_01394
OG0000014	Prbg.g_00721, Prbg.g_01569	Pran.g_00583
OG0000015	Prbg.g_01578, Prbg.g_01611	Pran.g_01813
OG0000016	Prbg.g_01540, Prbg.g_00688	Pran.g_00845
OG0000017	Prbg.g_00612, Prbg.g_01595	Pran.g_00713
OG0000018	Prbg.g_01024	Pran.g_01951
OG0000019	Prbg.g_01145	Pran.g_01829
OG0000020	Prbg.g_00464, Prbg.g_00050	Pran.g_01772, Pran.g_01820
OG0000021	Prbg.g_01632	Pran.g_01361
OG0000023	Prbg.g_00686	Pran.g_00615
OG0000024	Prbg.g_00086	Pran.g_01888
OG0000025	Prbg.g_01055	Pran.g_00936, Pran.g_01789
OG0000028	Prbg.g_00591	Pran.g_00733
OG0000029	Prbg.g_00174	Pran.g_00614
OG0000032	Prbg.g_00550	Pran.g_00753
OG0000033	Prbg.g_01544	Pran.g_00620
OG0000034	Prbg.g_00569	Pran.g_00777
OG0000035	Prbg.g_00025	Pran.g_00415
OG0000036	Prbg.g_01639, Prbg.g_00304	Pran.g_01593
OG0000037	Prbg.g_00706, Prbg.g_00342	Pran.g_01555
OG0000038	Prbg.g_00682	Pran.g_01401
OG0000039	Prbg.g_00944	Pran.g_00266
OG0000040	Prbg.g_00013	Pran.g_01834
OG0000041	Prbg.g_01614, Prbg.g_01608	Pran.g_01778
OG0000042	Prbg.g_01151	Pran.g_01460
OG0000043	Prbg.g_01251	Pran.g_01358
OG0000044	Prbg.g_01486	Pran.g_00060
OG0000045	Prbg.g_00551	Pran.g_00807
OG0000046	Prbg.g_01642, Prbg.g_00716	Pran.g_00963
OG0000047	Prbg.g_01847	Pran.g_01160
OG0000048	Prbg.g_01855	Pran.g_01167
OG0000050	Prbg.g_00842	Pran.g_00930
OG0000051	Prbg.g_00935	Pran.g_00275
OG0000052	Prbg.g_00388	Pran.g_01824
OG0000053	Prbg.g_00256	Pran.g_01639
OG0000054	Prbg.g_00359	Pran.g_01408, Pran.g_01379
OG0000055	Prbg.g_01182	Pran.g_01321
OG0000056	Prbg.g_01542	Pran.g_00935
OG0000057	Prbg.g_01019	Pran.g_00195
OG0000058	Prbg.g_00194	Pran.g_01703
OG0000059	Prbg.g_01143	Pran.g_01480
OG0000062	Prbg.g_00749	Pran.g_00093
OG0000063	Prbg.g_01459	Pran.g_01466
OG0000065	Prbg.g_00477	Pran.g_00938, Pran.g_00876
OG0000066	Prbg.g_00549	Pran.g_00752
OG0000068	Prbg.g_01785	Pran.g_01105
OG0000071	Prbg.g_00778	Pran.g_01268
OG0000072	Prbg.g_00100	Pran.g_01872
OG0000073	Prbg.g_01386	Pran.g_01509
OG0000074	Prbg.g_01133	Pran.g_01487
OG0000075	Prbg.g_01166	Pran.g_01336
OG0000076	Prbg.g_01234	Pran.g_00568, Pran.g_00903
OG0000078	Prbg.g_00552	Pran.g_00806
OG0000079	Prbg.g_00676	Pran.g_00655
OG0000080	Prbg.g_00414	Pran.g_00575, Pran.g_00912
OG0000081	Prbg.g_01819	Pran.g_01135
OG0000083	Prbg.g_00770	Pran.g_01260
OG0000084	Prbg.g_00773	Pran.g_01263
OG0000085	Prbg.g_00851	Pran.g_00401
OG0000087	Prbg.g_00822	Pran.g_00376
OG0000088	Prbg.g_00887	Pran.g_00320
OG0000089	Prbg.g_00896	Pran.g_00312
OG0000090	Prbg.g_00913	Pran.g_00295
OG0000091	Prbg.g_00947	Pran.g_00263
OG0000092	Prbg.g_00948	Pran.g_00262
OG0000093	Prbg.g_00962	Pran.g_00248
OG0000094	Prbg.g_00981	Pran.g_00230
OG0000095	Prbg.g_00986	Pran.g_00225
OG0000096	Prbg.g_01034	Pran.g_01941
OG0000097	Prbg.g_00053	Pran.g_01920
OG0000099	Prbg.g_00074	Pran.g_01900
OG0000100	Prbg.g_00077	Pran.g_01897
OG0000101	Prbg.g_00139	Pran.g_01838
OG0000102	Prbg.g_00459	Pran.g_01812
OG0000103	Prbg.g_00195	Pran.g_01702
OG0000104	Prbg.g_00199	Pran.g_01698
OG0000105	Prbg.g_00219	Pran.g_01679
OG0000107	Prbg.g_00250	Pran.g_01645
OG0000108	Prbg.g_00260	Pran.g_01635
OG0000109	Prbg.g_00270	Pran.g_01626
OG0000110	Prbg.g_00287	Pran.g_01609
OG0000111	Prbg.g_01405	Pran.g_01527
OG0000112	Prbg.g_01404	Pran.g_01526
OG0000113	Prbg.g_01354	Pran.g_01438
OG0000114	Prbg.g_01157	Pran.g_01345
OG0000115	Prbg.g_01287	Pran.g_00487
OG0000116	Prbg.g_01291	Pran.g_00491
OG0000117	Prbg.g_01237	Pran.g_00565
OG0000118	Prbg.g_01531	Pran.g_00135
OG0000119	Prbg.g_00752	Pran.g_00090
OG0000120	Prbg.g_01480	Pran.g_00054
OG0000121	Prbg.g_01457	Pran.g_00035
OG0000122	Prbg.g_01437	Pran.g_00016
OG0000123	Prbg.g_00352	Pran.g_00003
OG0000124	Prbg.g_00687	Pran.g_00918
OG0000125	Prbg.g_00490	Pran.g_00864
OG0000126	Prbg.g_00529	Pran.g_00841
OG0000127	Prbg.g_00579	Pran.g_00746
OG0000128	Prbg.g_00592	Pran.g_00732
OG0000129	Prbg.g_00628	Pran.g_00696
OG0000130	Prbg.g_01647	Pran.g_00968
OG0000131	Prbg.g_01686	Pran.g_01006
OG0000132	Prbg.g_01689	Pran.g_01009
OG0000133	Prbg.g_01743	Pran.g_01063
OG0000134	Prbg.g_01779	Pran.g_01100
OG0000135	Prbg.g_01781	Pran.g_01102
OG0000136	Prbg.g_01831	Pran.g_01145
OG0000137	Prbg.g_01865	Pran.g_01177
OG0000138	Prbg.g_01900	Pran.g_01212
OG0000139	Prbg.g_01931	Pran.g_01239
OG0000140	Prbg.g_00768	Pran.g_01258
OG0000141	Prbg.g_00769	Pran.g_01259
OG0000142	Prbg.g_00771	Pran.g_01261
OG0000143	Prbg.g_00772	Pran.g_01262
OG0000144	Prbg.g_00774	Pran.g_01264
OG0000145	Prbg.g_00775	Pran.g_01265
OG0000146	Prbg.g_00776	Pran.g_01266
OG0000147	Prbg.g_00777	Pran.g_01267
OG0000148	Prbg.g_00779	Pran.g_01269
OG0000149	Prbg.g_00860	Pran.g_00410
OG0000150	Prbg.g_00859	Pran.g_00409
OG0000151	Prbg.g_00858	Pran.g_00408
