Orthogroup	Prbg	Praz
OG0000000	Prbg.g_01222, Prbg.g_01227	Praz.g_01146
OG0000000	Prbg.g_01119, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694	Praz.g_01652
OG0000002	Prbg.g_00502	Praz.g_01154
OG0000002	Prbg.g_01069	Praz.g_01939, Praz.g_01940
OG0000003	Prbg.g_01524	Praz.g_01200
OG0000004	Prbg.g_00451	Praz.g_01583, Praz.g_01576, Praz.g_01201
OG0000005	Prbg.g_01567	Praz.g_00894
OG0000006	Prbg.g_00216	Praz.g_01831
OG0000006	Prbg.g_01650	Praz.g_00877
OG0000007	Prbg.g_00744	Praz.g_01241
OG0000009	Prbg.g_01510	Praz.g_01532
OG0000009	Prbg.g_01032	Praz.g_00609
OG0000010	Prbg.g_00032	Praz.g_00045, Praz.g_01215
OG0000011	Prbg.g_00143	Praz.g_01921
OG0000012	Prbg.g_00317, Prbg.g_00324	Praz.g_01732
OG0000013	Prbg.g_01589, Prbg.g_01635	Praz.g_01551
OG0000014	Prbg.g_00721, Prbg.g_01569	Praz.g_01858, Praz.g_01197
OG0000015	Prbg.g_01578, Prbg.g_01611	Praz.g_00792
OG0000016	Prbg.g_01540, Prbg.g_00688	Praz.g_01143
OG0000018	Prbg.g_01024	Praz.g_00601
OG0000019	Prbg.g_01145	Praz.g_00896
OG0000020	Prbg.g_00464, Prbg.g_00050	Praz.g_00800
OG0000021	Prbg.g_01632	Praz.g_01530
OG0000023	Prbg.g_00686	Praz.g_01230
OG0000024	Prbg.g_00086	Praz.g_00663
OG0000025	Prbg.g_01055	Praz.g_00769
OG0000028	Prbg.g_00591	Praz.g_01041
OG0000029	Prbg.g_00174	Praz.g_00928
OG0000032	Prbg.g_00550	Praz.g_01116
OG0000033	Prbg.g_01544	Praz.g_00378
OG0000034	Prbg.g_00569	Praz.g_01103
OG0000035	Prbg.g_00025	Praz.g_01422
OG0000036	Prbg.g_01639, Prbg.g_00304	Praz.g_01744
OG0000037	Prbg.g_00706, Prbg.g_00342	Praz.g_01707
OG0000038	Prbg.g_00682	Praz.g_01556
OG0000039	Prbg.g_00944	Praz.g_00526
OG0000040	Prbg.g_00013	Praz.g_00814
OG0000042	Prbg.g_01151	Praz.g_01607
OG0000043	Prbg.g_01251	Praz.g_01527
OG0000045	Prbg.g_00551	Praz.g_01096
OG0000046	Prbg.g_01642, Prbg.g_00716	Praz.g_00884
OG0000047	Prbg.g_01847	Praz.g_00205
OG0000048	Prbg.g_01855	Praz.g_00198
OG0000050	Prbg.g_00842	Praz.g_00396
OG0000051	Prbg.g_00935	Praz.g_00517
OG0000052	Prbg.g_00388	Praz.g_00804
OG0000053	Prbg.g_00256	Praz.g_01789
OG0000054	Prbg.g_00359	Praz.g_01561
OG0000055	Prbg.g_01182	Praz.g_01490
OG0000056	Prbg.g_01542	Praz.g_00038
OG0000057	Prbg.g_01019	Praz.g_00597
OG0000058	Prbg.g_00194	Praz.g_01853
OG0000059	Prbg.g_01143	Praz.g_01632
OG0000062	Prbg.g_00749	Praz.g_00025
OG0000063	Prbg.g_01459	Praz.g_01237
OG0000065	Prbg.g_00477	Praz.g_01180
OG0000066	Prbg.g_00549	Praz.g_01118
OG0000067	Prbg.g_00415	Praz.g_00768
OG0000068	Prbg.g_01785	Praz.g_00263
OG0000069	Prbg.g_00630	Praz.g_01092
OG0000071	Prbg.g_00778	Praz.g_00376
OG0000072	Prbg.g_00100	Praz.g_00679
OG0000073	Prbg.g_01386	Praz.g_01661
OG0000074	Prbg.g_01133	Praz.g_01639
OG0000075	Prbg.g_01166	Praz.g_01505
OG0000076	Prbg.g_01234	Praz.g_00066
OG0000077	Prbg.g_01566	Praz.g_00893
OG0000078	Prbg.g_00552	Praz.g_01098
OG0000079	Prbg.g_00676	Praz.g_00963
OG0000080	Prbg.g_00414	Praz.g_00913
OG0000081	Prbg.g_01819	Praz.g_00232
OG0000082	Prbg.g_00419	Praz.g_00142
OG0000083	Prbg.g_00770	Praz.g_00368
OG0000084	Prbg.g_00773	Praz.g_00371
OG0000085	Prbg.g_00851	Praz.g_00388
OG0000087	Prbg.g_00822	Praz.g_00415
OG0000088	Prbg.g_00887	Praz.g_00473
OG0000089	Prbg.g_00896	Praz.g_00481
OG0000090	Prbg.g_00913	Praz.g_00499
OG0000091	Prbg.g_00947	Praz.g_00529
OG0000092	Prbg.g_00948	Praz.g_00530
OG0000093	Prbg.g_00962	Praz.g_00544
OG0000094	Prbg.g_00981	Praz.g_00562
OG0000095	Prbg.g_00986	Praz.g_00567
OG0000096	Prbg.g_01034	Praz.g_00611
OG0000097	Prbg.g_00053	Praz.g_00632
OG0000099	Prbg.g_00074	Praz.g_00651
OG0000100	Prbg.g_00077	Praz.g_00654
OG0000101	Prbg.g_00139	Praz.g_00817
OG0000102	Prbg.g_00459	Praz.g_00791
OG0000103	Prbg.g_00195	Praz.g_01852
OG0000104	Prbg.g_00199	Praz.g_01848
OG0000105	Prbg.g_00219	Praz.g_01829
OG0000106	Prbg.g_00249	Praz.g_01796
OG0000107	Prbg.g_00250	Praz.g_01795
OG0000108	Prbg.g_00260	Praz.g_01785
OG0000109	Prbg.g_00270	Praz.g_01776
OG0000110	Prbg.g_00287	Praz.g_01760
OG0000111	Prbg.g_01405	Praz.g_01679
OG0000112	Prbg.g_01404	Praz.g_01678
OG0000113	Prbg.g_01354	Praz.g_01585
OG0000114	Prbg.g_01157	Praz.g_01514
OG0000115	Prbg.g_01287	Praz.g_01350
OG0000116	Prbg.g_01291	Praz.g_01346
OG0000117	Prbg.g_01237	Praz.g_01279, Praz.g_00063
OG0000118	Prbg.g_01531	Praz.g_00114
OG0000119	Prbg.g_00752	Praz.g_00022
OG0000120	Prbg.g_01480	Praz.g_00748
OG0000121	Prbg.g_01457	Praz.g_00729
OG0000122	Prbg.g_01437	Praz.g_00710
OG0000123	Prbg.g_00352	Praz.g_00697
OG0000124	Prbg.g_00687	Praz.g_01936
OG0000125	Prbg.g_00490	Praz.g_01168
OG0000126	Prbg.g_00529	Praz.g_01139
OG0000127	Prbg.g_00579	Praz.g_01054
OG0000128	Prbg.g_00592	Praz.g_01040
OG0000129	Prbg.g_00628	Praz.g_01004
OG0000130	Prbg.g_01647	Praz.g_00879
OG0000131	Prbg.g_01686	Praz.g_00841
OG0000132	Prbg.g_01689	Praz.g_00838
OG0000133	Prbg.g_01743	Praz.g_00304
OG0000134	Prbg.g_01779	Praz.g_00268
OG0000135	Prbg.g_01781	Praz.g_00266
OG0000136	Prbg.g_01831	Praz.g_00221
OG0000137	Prbg.g_01865	Praz.g_00188
OG0000138	Prbg.g_01900	Praz.g_00152
OG0000139	Prbg.g_01931	Praz.g_00125
OG0000140	Prbg.g_00768	Praz.g_00366
OG0000141	Prbg.g_00769	Praz.g_00367
OG0000142	Prbg.g_00771	Praz.g_00369
OG0000143	Prbg.g_00772	Praz.g_00370
OG0000144	Prbg.g_00774	Praz.g_00372
OG0000145	Prbg.g_00775	Praz.g_00373
OG0000146	Prbg.g_00776	Praz.g_00374
OG0000147	Prbg.g_00777	Praz.g_00375
OG0000148	Prbg.g_00779	Praz.g_00377
OG0000149	Prbg.g_00860	Praz.g_00379
OG0000150	Prbg.g_00859	Praz.g_00380
OG0000151	Prbg.g_00858	Praz.g_00381
OG0000152	Prbg.g_00857	Praz.g_00382
OG0000153	Prbg.g_00856	Praz.g_00383
OG0000154	Prbg.g_00855	Praz.g_00384
OG0000155	Prbg.g_00854	Praz.g_00385
OG0000156	Prbg.g_00853	Praz.g_00386
OG0000157	Prbg.g_00852	Praz.g_00387
OG0000158	Prbg.g_00850	Praz.g_00389
OG0000159	Prbg.g_00849	Praz.g_00390
OG0000160	Prbg.g_00848	Praz.g_00391
OG0000161	Prbg.g_00847	Praz.g_00392
OG0000162	Prbg.g_00846	Praz.g_00393
OG0000163	Prbg.g_00844	Praz.g_00394
OG0000164	Prbg.g_00841	Praz.g_00397
OG0000165	Prbg.g_00838	Praz.g_00400
OG0000166	Prbg.g_00837	Praz.g_00401
OG0000167	Prbg.g_00836	Praz.g_00402
OG0000168	Prbg.g_00834	Praz.g_00406
OG0000169	Prbg.g_00832	Praz.g_00408
OG0000170	Prbg.g_00830	Praz.g_00409
OG0000171	Prbg.g_00829	Praz.g_00410
OG0000172	Prbg.g_00828	Praz.g_00411
OG0000173	Prbg.g_00825	Praz.g_00412
OG0000174	Prbg.g_00824	Praz.g_00413
OG0000175	Prbg.g_00823	Praz.g_00414
OG0000176	Prbg.g_00821	Praz.g_00416
OG0000177	Prbg.g_00820	Praz.g_00417
OG0000178	Prbg.g_00818	Praz.g_00418
OG0000179	Prbg.g_00806	Praz.g_00424
OG0000180	Prbg.g_00805	Praz.g_00425
OG0000181	Prbg.g_00804	Praz.g_00426
OG0000182	Prbg.g_00800	Praz.g_00429
OG0000183	Prbg.g_00799	Praz.g_00430
OG0000184	Prbg.g_00796	Praz.g_00433
OG0000185	Prbg.g_00792	Praz.g_00437
OG0000186	Prbg.g_00791	Praz.g_00438
OG0000187	Prbg.g_00017	Praz.g_00439
OG0000188	Prbg.g_00790	Praz.g_00440
OG0000189	Prbg.g_00789	Praz.g_00441
OG0000190	Prbg.g_00788	Praz.g_00442
OG0000191	Prbg.g_00787	Praz.g_00443
OG0000192	Prbg.g_00786	Praz.g_00444
OG0000193	Prbg.g_00785	Praz.g_00445
OG0000194	Prbg.g_00784	Praz.g_00446
OG0000195	Prbg.g_00782	Praz.g_00448
OG0000196	Prbg.g_00781	Praz.g_00449
OG0000197	Prbg.g_00780	Praz.g_00450
OG0000198	Prbg.g_00861	Praz.g_00451
OG0000199	Prbg.g_00864	Praz.g_00454
OG0000200	Prbg.g_00865	Praz.g_00455
OG0000201	Prbg.g_00866	Praz.g_00456
OG0000202	Prbg.g_00868	Praz.g_00457
OG0000203	Prbg.g_00869	Praz.g_00458
OG0000204	Prbg.g_00870	Praz.g_00459
OG0000205	Prbg.g_00872	Praz.g_00460
OG0000206	Prbg.g_00873	Praz.g_00461
OG0000207	Prbg.g_00874	Praz.g_00462
OG0000208	Prbg.g_00875	Praz.g_00463
OG0000209	Prbg.g_00876	Praz.g_00464
OG0000210	Prbg.g_00877	Praz.g_00466
OG0000211	Prbg.g_00879	Praz.g_00467
OG0000212	Prbg.g_00880	Praz.g_00468
OG0000213	Prbg.g_00881	Praz.g_00469
OG0000214	Prbg.g_00885	Praz.g_00471
OG0000215	Prbg.g_00886	Praz.g_00472
OG0000216	Prbg.g_00888	Praz.g_00474
OG0000217	Prbg.g_00889	Praz.g_00475
OG0000218	Prbg.g_00890	Praz.g_00476
OG0000219	Prbg.g_00891	Praz.g_00477
OG0000220	Prbg.g_00894	Praz.g_00480
OG0000221	Prbg.g_00897	Praz.g_00482
OG0000222	Prbg.g_00898	Praz.g_00483
OG0000223	Prbg.g_00899	Praz.g_00484
OG0000224	Prbg.g_00901	Praz.g_00487
OG0000225	Prbg.g_00903	Praz.g_00489
OG0000226	Prbg.g_00905	Praz.g_00490
OG0000227	Prbg.g_00906	Praz.g_00491
OG0000228	Prbg.g_00907	Praz.g_00492
OG0000229	Prbg.g_00908	Praz.g_00493
OG0000230	Prbg.g_00909	Praz.g_00494
OG0000231	Prbg.g_01349	Praz.g_00496
OG0000232	Prbg.g_00911	Praz.g_00497
OG0000233	Prbg.g_00914	Praz.g_00500
OG0000234	Prbg.g_00916	Praz.g_00502
OG0000235	Prbg.g_00922	Praz.g_00505
OG0000236	Prbg.g_00923	Praz.g_00506
OG0000237	Prbg.g_00924	Praz.g_00507
OG0000238	Prbg.g_00925	Praz.g_00508
OG0000239	Prbg.g_00926	Praz.g_00509
OG0000240	Prbg.g_00928	Praz.g_00511
OG0000241	Prbg.g_00929	Praz.g_00512
OG0000242	Prbg.g_00930	Praz.g_00513
OG0000243	Prbg.g_00931	Praz.g_00514
OG0000244	Prbg.g_00932	Praz.g_00515
OG0000245	Prbg.g_00934	Praz.g_00516
OG0000246	Prbg.g_00936	Praz.g_00518
OG0000247	Prbg.g_00937	Praz.g_00519
OG0000248	Prbg.g_00938	Praz.g_00520
OG0000249	Prbg.g_00939	Praz.g_00521
OG0000250	Prbg.g_00940	Praz.g_00522
OG0000251	Prbg.g_00941	Praz.g_00523
OG0000252	Prbg.g_00942	Praz.g_00524
OG0000253	Prbg.g_00943	Praz.g_00525
OG0000254	Prbg.g_00945	Praz.g_00527
OG0000255	Prbg.g_00946	Praz.g_00528
OG0000256	Prbg.g_00949	Praz.g_00531
OG0000257	Prbg.g_00951	Praz.g_00533
OG0000258	Prbg.g_00952	Praz.g_00534
OG0000259	Prbg.g_00953	Praz.g_00535
OG0000260	Prbg.g_00954	Praz.g_00536
OG0000261	Prbg.g_00955	Praz.g_00537
OG0000262	Prbg.g_00956	Praz.g_00538
OG0000263	Prbg.g_00957	Praz.g_00539
OG0000264	Prbg.g_00959	Praz.g_00541
OG0000265	Prbg.g_00960	Praz.g_00542
OG0000266	Prbg.g_00961	Praz.g_00543
OG0000267	Prbg.g_00963	Praz.g_00545
OG0000268	Prbg.g_00965	Praz.g_00546
OG0000269	Prbg.g_00966	Praz.g_00547
OG0000270	Prbg.g_00967	Praz.g_00548
OG0000271	Prbg.g_00968	Praz.g_00549
OG0000272	Prbg.g_00969	Praz.g_00550
OG0000273	Prbg.g_00970	Praz.g_00551
OG0000274	Prbg.g_00971	Praz.g_00552
OG0000275	Prbg.g_00972	Praz.g_00553
OG0000276	Prbg.g_00973	Praz.g_00554
OG0000277	Prbg.g_00974	Praz.g_00555
OG0000278	Prbg.g_00975	Praz.g_00556
OG0000279	Prbg.g_00976	Praz.g_00557
OG0000280	Prbg.g_00977	Praz.g_00558
OG0000281	Prbg.g_00979	Praz.g_00560
OG0000282	Prbg.g_00980	Praz.g_00561
OG0000283	Prbg.g_00983	Praz.g_00564
OG0000284	Prbg.g_00984	Praz.g_00565
OG0000285	Prbg.g_00985	Praz.g_00566
OG0000286	Prbg.g_00987	Praz.g_00568
OG0000287	Prbg.g_00989	Praz.g_00569
OG0000288	Prbg.g_00990	Praz.g_00570
OG0000289	Prbg.g_00991	Praz.g_00571
OG0000290	Prbg.g_00992	Praz.g_00572
OG0000291	Prbg.g_00993	Praz.g_00573
OG0000292	Prbg.g_00994	Praz.g_00574
OG0000293	Prbg.g_00995	Praz.g_00575
OG0000294	Prbg.g_00996	Praz.g_00576
OG0000295	Prbg.g_00997	Praz.g_00577
OG0000296	Prbg.g_00998	Praz.g_00578
OG0000297	Prbg.g_00999	Praz.g_00579
OG0000298	Prbg.g_01000	Praz.g_00580
OG0000299	Prbg.g_01001	Praz.g_00581
OG0000300	Prbg.g_01002	Praz.g_00582
OG0000301	Prbg.g_01003	Praz.g_00583
OG0000302	Prbg.g_01004	Praz.g_00584
OG0000303	Prbg.g_01005	Praz.g_00585
OG0000304	Prbg.g_01007	Praz.g_00586
OG0000305	Prbg.g_01008	Praz.g_00587
OG0000306	Prbg.g_01009	Praz.g_00588
OG0000307	Prbg.g_01011	Praz.g_00589
OG0000308	Prbg.g_01012	Praz.g_00590
OG0000309	Prbg.g_01013	Praz.g_00591
OG0000310	Prbg.g_01014	Praz.g_00592
OG0000311	Prbg.g_01015	Praz.g_00593
OG0000312	Prbg.g_01017	Praz.g_00595
OG0000313	Prbg.g_01018	Praz.g_00596
OG0000314	Prbg.g_01022	Praz.g_00599
OG0000315	Prbg.g_01023	Praz.g_00600
