Orthogroup	Prbg	Prac
OG0000000	Prbg.g_01222, Prbg.g_01227	Prac.g_00210
OG0000000	Prbg.g_01119, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694	Prac.g_00693
OG0000001	Prbg.g_01583, Prbg.g_01523, Prbg.g_01568	Prac.g_00293
OG0000002	Prbg.g_00502	Prac.g_00202
OG0000002	Prbg.g_01069	Prac.g_00924, Prac.g_00925
OG0000003	Prbg.g_01524	Prac.g_00157
OG0000004	Prbg.g_00451	Prac.g_01536, Prac.g_01529
OG0000005	Prbg.g_01567	Prac.g_00277
OG0000006	Prbg.g_00216	Prac.g_00874
OG0000006	Prbg.g_01650	Prac.g_00625
OG0000007	Prbg.g_00744	Prac.g_00904
OG0000009	Prbg.g_01510	Prac.g_01496
OG0000009	Prbg.g_01032	Prac.g_01681
OG0000010	Prbg.g_00032	Prac.g_01958, Prac.g_01035, Prac.g_00139
OG0000011	Prbg.g_00143	Prac.g_01127
OG0000012	Prbg.g_00317, Prbg.g_00324	Prac.g_00773
OG0000013	Prbg.g_01589, Prbg.g_01635	Prac.g_00898
OG0000014	Prbg.g_00721, Prbg.g_01569	Prac.g_01074
OG0000015	Prbg.g_01578, Prbg.g_01611	Prac.g_01151
OG0000016	Prbg.g_01540, Prbg.g_00688	Prac.g_00213
OG0000017	Prbg.g_00612, Prbg.g_01595	Prac.g_01901
OG0000018	Prbg.g_01024	Prac.g_01689
OG0000019	Prbg.g_01145	Prac.g_01169
OG0000020	Prbg.g_00464, Prbg.g_00050	Prac.g_01159
OG0000021	Prbg.g_01632	Prac.g_01494
OG0000023	Prbg.g_00686	Prac.g_00301
OG0000024	Prbg.g_00086	Prac.g_01625
OG0000025	Prbg.g_01055	Prac.g_01220
OG0000026	Prbg.g_00730	Prac.g_00908
OG0000028	Prbg.g_00591	Prac.g_00411
OG0000029	Prbg.g_00174	Prac.g_00300, Prac.g_00890
OG0000032	Prbg.g_00550	Prac.g_00249
OG0000033	Prbg.g_01544	Prac.g_01934
OG0000035	Prbg.g_00025	Prac.g_01399
OG0000036	Prbg.g_01639, Prbg.g_00304	Prac.g_00788
OG0000037	Prbg.g_00706, Prbg.g_00342	Prac.g_00748
OG0000038	Prbg.g_00682	Prac.g_01510
OG0000039	Prbg.g_00944	Prac.g_01764
OG0000040	Prbg.g_00013	Prac.g_01174
OG0000041	Prbg.g_01614, Prbg.g_01608	Prac.g_01119
OG0000042	Prbg.g_01151	Prac.g_01560
OG0000043	Prbg.g_01251	Prac.g_01491
OG0000044	Prbg.g_01486	Prac.g_00985
OG0000045	Prbg.g_00551	Prac.g_00258, Prac.g_00434
OG0000046	Prbg.g_01642, Prbg.g_00716	Prac.g_00632
OG0000047	Prbg.g_01847	Prac.g_00041, Prac.g_01904
OG0000048	Prbg.g_01855	Prac.g_00048
OG0000050	Prbg.g_00842	Prac.g_01916
OG0000051	Prbg.g_00935	Prac.g_01773, Prac.g_01590
OG0000052	Prbg.g_00388	Prac.g_01163
OG0000053	Prbg.g_00256	Prac.g_00833
OG0000054	Prbg.g_00359	Prac.g_01515
OG0000055	Prbg.g_01182	Prac.g_01453
OG0000056	Prbg.g_01542	Prac.g_01029
OG0000057	Prbg.g_01019	Prac.g_01693
OG0000058	Prbg.g_00194	Prac.g_01069
OG0000059	Prbg.g_01143	Prac.g_00673
OG0000062	Prbg.g_00749	Prac.g_01018
OG0000063	Prbg.g_01459	Prac.g_01955
OG0000065	Prbg.g_00477	Prac.g_00175
OG0000066	Prbg.g_00549	Prac.g_00248
OG0000067	Prbg.g_00415	Prac.g_00142
OG0000068	Prbg.g_01785	Prac.g_00548
OG0000069	Prbg.g_00630	Prac.g_00242
OG0000071	Prbg.g_00778	Prac.g_01936
OG0000072	Prbg.g_00100	Prac.g_01609
OG0000073	Prbg.g_01386	Prac.g_00702
OG0000074	Prbg.g_01133	Prac.g_00680
OG0000075	Prbg.g_01166	Prac.g_01468
OG0000076	Prbg.g_01234	Prac.g_01256
OG0000077	Prbg.g_01566	Prac.g_00276
OG0000078	Prbg.g_00552	Prac.g_00256
OG0000079	Prbg.g_00676	Prac.g_00333
OG0000080	Prbg.g_00414	Prac.g_00886
OG0000081	Prbg.g_01819	Prac.g_00015
OG0000082	Prbg.g_00419	Prac.g_00101
OG0000083	Prbg.g_00770	Prac.g_01944
OG0000084	Prbg.g_00773	Prac.g_01941
OG0000085	Prbg.g_00851	Prac.g_01924
OG0000087	Prbg.g_00822	Prac.g_01882
OG0000088	Prbg.g_00887	Prac.g_01818
OG0000089	Prbg.g_00896	Prac.g_01810
OG0000090	Prbg.g_00913	Prac.g_01792
OG0000091	Prbg.g_00947	Prac.g_01761
OG0000092	Prbg.g_00948	Prac.g_01760
OG0000093	Prbg.g_00962	Prac.g_01746
OG0000094	Prbg.g_00981	Prac.g_01728
OG0000095	Prbg.g_00986	Prac.g_01723
OG0000096	Prbg.g_01034	Prac.g_01679
OG0000097	Prbg.g_00053	Prac.g_01657
OG0000098	Prbg.g_00064	Prac.g_01647
OG0000099	Prbg.g_00074	Prac.g_01637
OG0000100	Prbg.g_00077	Prac.g_01634
OG0000101	Prbg.g_00139	Prac.g_01177
OG0000102	Prbg.g_00459	Prac.g_01150
