Orthogroup	Prbg	Prav
OG0000000	Prbg.g_01222, Prbg.g_01227	Prav.g_01466
OG0000000	Prbg.g_01119, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694	Prav.g_01276
OG0000002	Prbg.g_00502	Prav.g_01458
OG0000002	Prbg.g_01069	Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734
OG0000003	Prbg.g_01524	Prav.g_01019, Prav.g_01413
OG0000004	Prbg.g_00451	Prav.g_00330, Prav.g_00338
OG0000005	Prbg.g_01567	Prav.g_00973
OG0000006	Prbg.g_00216	Prav.g_01095
OG0000006	Prbg.g_01650	Prav.g_01761
OG0000007	Prbg.g_00744	Prav.g_01749
OG0000007	Prbg.g_00745	Prav.g_01750
OG0000009	Prbg.g_01510	Prav.g_00375
OG0000009	Prbg.g_01032	Prav.g_01896
OG0000010	Prbg.g_00032	Prav.g_01732, Prav.g_01400
OG0000012	Prbg.g_00317, Prbg.g_00324	Prav.g_01194
OG0000013	Prbg.g_01589, Prbg.g_01635	Prav.g_00961
OG0000014	Prbg.g_00721, Prbg.g_01569	Prav.g_01068, Prav.g_01416
OG0000015	Prbg.g_01578, Prbg.g_01611	Prav.g_00998
OG0000016	Prbg.g_01540, Prbg.g_00688	Prav.g_01469
OG0000018	Prbg.g_01024	Prav.g_02001
OG0000019	Prbg.g_01145	Prav.g_00984
OG0000020	Prbg.g_00464, Prbg.g_00050	Prav.g_00993
OG0000021	Prbg.g_01632	Prav.g_00377
OG0000023	Prbg.g_00686	Prav.g_01688
OG0000024	Prbg.g_00086	Prav.g_01952
OG0000025	Prbg.g_01055	Prav.g_01013
OG0000028	Prbg.g_00591	Prav.g_01578
OG0000029	Prbg.g_00174	Prav.g_01689, Prav.g_01881
OG0000033	Prbg.g_01544	Prav.g_01385
OG0000034	Prbg.g_00569	Prav.g_01533
OG0000035	Prbg.g_00025	Prav.g_01877
OG0000036	Prbg.g_01639, Prbg.g_00304	Prav.g_01182
OG0000037	Prbg.g_00706, Prbg.g_00342	Prav.g_01221
OG0000038	Prbg.g_00682	Prav.g_00360
OG0000039	Prbg.g_00944	Prav.g_00872
OG0000040	Prbg.g_00013	Prav.g_00979
OG0000042	Prbg.g_01151	Prav.g_00306
OG0000043	Prbg.g_01251	Prav.g_00381
OG0000044	Prbg.g_01486	Prav.g_00065
OG0000045	Prbg.g_00551	Prav.g_01512
OG0000046	Prbg.g_01642, Prbg.g_00716	Prav.g_01754
OG0000047	Prbg.g_01847	Prav.g_00689
OG0000048	Prbg.g_01855	Prav.g_00696
OG0000050	Prbg.g_00842	Prav.g_01324
OG0000051	Prbg.g_00935	Prav.g_00881
OG0000052	Prbg.g_00388	Prav.g_00989
OG0000053	Prbg.g_00256	Prav.g_01137
OG0000054	Prbg.g_00359	Prav.g_01325
OG0000055	Prbg.g_01182	Prav.g_00419
OG0000056	Prbg.g_01542	Prav.g_00021
OG0000057	Prbg.g_01019	Prav.g_00801
OG0000058	Prbg.g_00194	Prav.g_01073
OG0000059	Prbg.g_01143	Prav.g_01296
OG0000062	Prbg.g_00749	Prav.g_00033
OG0000063	Prbg.g_01459	Prav.g_01390
OG0000065	Prbg.g_00477	Prav.g_01438
OG0000066	Prbg.g_00549	Prav.g_01513
OG0000067	Prbg.g_00415	Prav.g_01014
OG0000068	Prbg.g_01785	Prav.g_00632
OG0000069	Prbg.g_00630	Prav.g_01499
OG0000071	Prbg.g_00778	Prav.g_00079
OG0000073	Prbg.g_01386	Prav.g_01267
OG0000074	Prbg.g_01133	Prav.g_01289
OG0000075	Prbg.g_01166	Prav.g_00404
OG0000076	Prbg.g_01234	Prav.g_00933
OG0000078	Prbg.g_00552	Prav.g_01514
OG0000079	Prbg.g_00676	Prav.g_01551
OG0000080	Prbg.g_00414	Prav.g_01705
OG0000081	Prbg.g_01819	Prav.g_00663
OG0000082	Prbg.g_00419	Prav.g_00751
OG0000083	Prbg.g_00770	Prav.g_00789
OG0000084	Prbg.g_00773	Prav.g_00792
OG0000085	Prbg.g_00851	Prav.g_00091
OG0000087	Prbg.g_00822	Prav.g_00120
OG0000088	Prbg.g_00887	Prav.g_00178
OG0000089	Prbg.g_00896	Prav.g_00186
OG0000090	Prbg.g_00913	Prav.g_00204
OG0000091	Prbg.g_00947	Prav.g_00869
OG0000092	Prbg.g_00948	Prav.g_00868
OG0000093	Prbg.g_00962	Prav.g_00854
OG0000094	Prbg.g_00981	Prav.g_00836
OG0000095	Prbg.g_00986	Prav.g_00831
OG0000096	Prbg.g_01034	Prav.g_01898
OG0000097	Prbg.g_00053	Prav.g_01920
OG0000098	Prbg.g_00064	Prav.g_01930
OG0000099	Prbg.g_00074	Prav.g_01940
OG0000100	Prbg.g_00077	Prav.g_01943
OG0000101	Prbg.g_00139	Prav.g_00976
OG0000102	Prbg.g_00459	Prav.g_00999
OG0000103	Prbg.g_00195	Prav.g_01074
OG0000104	Prbg.g_00199	Prav.g_01078
OG0000105	Prbg.g_00219	Prav.g_01097
OG0000106	Prbg.g_00249	Prav.g_01130
OG0000107	Prbg.g_00250	Prav.g_01131
OG0000108	Prbg.g_00260	Prav.g_00954, Prav.g_01141
OG0000109	Prbg.g_00270	Prav.g_01150
OG0000110	Prbg.g_00287	Prav.g_01166
OG0000111	Prbg.g_01405	Prav.g_01249
OG0000112	Prbg.g_01404	Prav.g_01250
OG0000113	Prbg.g_01354	Prav.g_00328
OG0000114	Prbg.g_01157	Prav.g_00395
OG0000115	Prbg.g_01287	Prav.g_00556
OG0000116	Prbg.g_01291	Prav.g_00560
OG0000117	Prbg.g_01237	Prav.g_00930
OG0000118	Prbg.g_01531	Prav.g_00261
OG0000119	Prbg.g_00752	Prav.g_00036
OG0000120	Prbg.g_01480	Prav.g_00071
