Orthogroup	Prae	Syaf
OG0000001	Prae.g_01353	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634
OG0000004	Prae.g_00669	Syaf.g_01455
OG0000004	Prae.g_00235	Syaf.g_02351, Syaf.g_02794
OG0000005	Prae.g_01636	Syaf.g_01017
OG0000005	Prae.g_01535	Syaf.g_01057
OG0000006	Prae.g_00244	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778
OG0000007	Prae.g_00471	Syaf.g_02702
OG0000007	Prae.g_01623	Syaf.g_01033
OG0000010	Prae.g_01048	Syaf.g_02499
OG0000011	Prae.g_01291	Syaf.g_01532
OG0000011	Prae.g_01245	Syaf.g_01483
OG0000012	Prae.g_00597	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693
OG0000013	Prae.g_00328	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061
OG0000014	Prae.g_00307	Syaf.g_00280
OG0000015	Prae.g_00769, Prae.g_01235	Syaf.g_02120, Syaf.g_02121
OG0000016	Prae.g_00013	Syaf.g_00484
OG0000017	Prae.g_00572	Syaf.g_02561, Syaf.g_02554
OG0000018	Prae.g_01144	Syaf.g_02451
OG0000019	Prae.g_00252, Prae.g_00786	Syaf.g_00193
OG0000020	Prae.g_01107	Syaf.g_02187
OG0000021	Prae.g_01600, Prae.g_00364	Syaf.g_01726, Syaf.g_02773
OG0000022	Prae.g_01125	Syaf.g_02256
OG0000023	Prae.g_00359	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Prae.g_00748, Prae.g_00649	Syaf.g_01484
OG0000025	Prae.g_00332, Prae.g_00840	Syaf.g_01385
OG0000026	Prae.g_00031, Prae.g_01056	Syaf.g_00461
OG0000027	Prae.g_00444, Prae.g_01311	Syaf.g_02284, Syaf.g_01688
OG0000028	Prae.g_00321	Syaf.g_00297
OG0000029	Prae.g_00755, Prae.g_00375	Syaf.g_01761
OG0000030	Prae.g_01825	Syaf.g_00406, Syaf.g_00407
OG0000031	Prae.g_01402	Syaf.g_01143
OG0000033	Prae.g_01396	Syaf.g_00807
OG0000034	Prae.g_01339	Syaf.g_01241, Syaf.g_00837
OG0000035	Prae.g_01459	Syaf.g_02412
OG0000037	Prae.g_00108	Syaf.g_00899
OG0000038	Prae.g_01865	Syaf.g_00642
OG0000039	Prae.g_00660	Syaf.g_01395
OG0000040	Prae.g_01143	Syaf.g_00558
OG0000041	Prae.g_01669	Syaf.g_01171, Syaf.g_01414
OG0000042	Prae.g_01822	Syaf.g_00403
OG0000045	Prae.g_00371	Syaf.g_00979
OG0000047	Prae.g_00331	Syaf.g_00030
OG0000048	Prae.g_00374	Syaf.g_00230
OG0000053	Prae.g_01479	Syaf.g_02447
OG0000054	Prae.g_00580	Syaf.g_02376
OG0000055	Prae.g_00787	Syaf.g_01402
OG0000057	Prae.g_00672	Syaf.g_01665, Syaf.g_01452
