Orthogroup	Prae	Prbf
OG0000000	Prae.g_01580	Prbf.g_00776
OG0000001	Prae.g_01353	Prbf.g_00068
OG0000002	Prae.g_01361	Prbf.g_01182, Prbf.g_01177
OG0000002	Prae.g_00652	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000004	Prae.g_00669	Prbf.g_01264
OG0000004	Prae.g_00235	Prbf.g_01570
OG0000005	Prae.g_01535	Prbf.g_00240
OG0000006	Prae.g_00244	Prbf.g_01580
OG0000007	Prae.g_00471	Prbf.g_01780
OG0000007	Prae.g_01623	Prbf.g_00693
OG0000009	Prae.g_01270	Prbf.g_00252
OG0000010	Prae.g_00448	Prbf.g_01757
OG0000010	Prae.g_01048	Prbf.g_00847, Prbf.g_01056
OG0000011	Prae.g_00398	Prbf.g_00347
OG0000012	Prae.g_00597	Prbf.g_01905, Prbf.g_00272
OG0000013	Prae.g_00328	Prbf.g_01665
OG0000014	Prae.g_00307	Prbf.g_01647
OG0000015	Prae.g_00769, Prae.g_01235	Prbf.g_00754, Prbf.g_00708
OG0000017	Prae.g_00572	Prbf.g_01880, Prbf.g_01887
OG0000018	Prae.g_00833	Prbf.g_01217
OG0000018	Prae.g_01144	Prbf.g_00896
OG0000019	Prae.g_00252	Prbf.g_01588
OG0000019	Prae.g_00786	Prbf.g_00894
OG0000021	Prae.g_01600, Prae.g_00364	Prbf.g_00265, Prbf.g_01259
OG0000022	Prae.g_00764	Prbf.g_00248
OG0000023	Prae.g_00359	Prbf.g_00287
OG0000024	Prae.g_00748	Prbf.g_01052
OG0000024	Prae.g_00649	Prbf.g_01288
OG0000025	Prae.g_00332, Prae.g_00840	Prbf.g_01209
OG0000026	Prae.g_00031, Prae.g_01056	Prbf.g_01354
OG0000027	Prae.g_00444, Prae.g_01311	Prbf.g_00817, Prbf.g_00774
OG0000029	Prae.g_00755	Prbf.g_00804, Prbf.g_00762
OG0000029	Prae.g_00375	Prbf.g_00603
OG0000030	Prae.g_01825	Prbf.g_00484
OG0000031	Prae.g_01402, Prae.g_01391	Prbf.g_00116
OG0000033	Prae.g_01396	Prbf.g_00123
OG0000034	Prae.g_01339	Prbf.g_00015
OG0000035	Prae.g_01459	Prbf.g_00157
OG0000037	Prae.g_00108	Prbf.g_01437
OG0000038	Prae.g_01865	Prbf.g_00445
OG0000039	Prae.g_00660	Prbf.g_01276
OG0000041	Prae.g_01669	Prbf.g_00646
OG0000042	Prae.g_01822	Prbf.g_00487
OG0000043	Prae.g_00876	Prbf.g_00897
OG0000048	Prae.g_00374	Prbf.g_00039, Prbf.g_01611
OG0000052	Prae.g_01416	Prbf.g_00135
OG0000053	Prae.g_01479	Prbf.g_00178, Prbf.g_00748
OG0000054	Prae.g_00580	Prbf.g_01889
OG0000055	Prae.g_00787	Prbf.g_00869, Prbf.g_00719
OG0000057	Prae.g_00672	Prbf.g_01261
OG0000058	Prae.g_01417, Prae.g_01406	Prbf.g_00117
OG0000059	Prae.g_01710	Prbf.g_00606
OG0000061	Prae.g_01163	Prbf.g_00918
OG0000062	Prae.g_01537	Prbf.g_00242
OG0000065	Prae.g_00106	Prbf.g_01435
OG0000066	Prae.g_00514	Prbf.g_01820, Prbf.g_00781
OG0000067	Prae.g_00806	Prbf.g_01245
OG0000068	Prae.g_01368	Prbf.g_00095
OG0000069	Prae.g_01573	Prbf.g_01738
OG0000070	Prae.g_00424	Prbf.g_01734
OG0000071	Prae.g_01329	Prbf.g_00026
OG0000072	Prae.g_00174	Prbf.g_01505
OG0000073	Prae.g_00473	Prbf.g_01783
OG0000074	Prae.g_00656	Prbf.g_01281, Prbf.g_00836, Prbf.g_00295
OG0000075	Prae.g_01791	Prbf.g_00522
OG0000076	Prae.g_01815	Prbf.g_00496
