Orthogroup	Prae	Syak
OG0000001	Prae.g_01353	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579
OG0000004	Prae.g_00669	Syak.g_01219, Syak.g_00720
OG0000004	Prae.g_00235	Syak.g_00003, Syak.g_02297
OG0000005	Prae.g_01636	Syak.g_02401
OG0000005	Prae.g_01535	Syak.g_00885, Syak.g_02436
OG0000006	Prae.g_00244	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prae.g_00471	Syak.g_02595
OG0000007	Prae.g_01623	Syak.g_02416
OG0000010	Prae.g_01048	Syak.g_01119
OG0000011	Prae.g_01245	Syak.g_00960
OG0000012	Prae.g_00597	Syak.g_00010
OG0000013	Prae.g_00328	Syak.g_01270, Syak.g_01275
OG0000014	Prae.g_00307	Syak.g_01505
OG0000014	Prae.g_01401	Syak.g_01582
OG0000015	Prae.g_00769, Prae.g_01235	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000016	Prae.g_00013	Syak.g_01780
OG0000017	Prae.g_00572	Syak.g_02730, Syak.g_02738
OG0000018	Prae.g_01144	Syak.g_01072
OG0000019	Prae.g_00252, Prae.g_00786	Syak.g_01413
OG0000021	Prae.g_01600, Prae.g_00364	Syak.g_00566
OG0000022	Prae.g_01125	Syak.g_00088
OG0000023	Prae.g_00359	Syak.g_00316, Syak.g_00223
OG0000025	Prae.g_00332, Prae.g_00840	Syak.g_00610
OG0000026	Prae.g_00031, Prae.g_01056	Syak.g_01757
OG0000027	Prae.g_00444, Prae.g_01311	Syak.g_00127
OG0000028	Prae.g_00321	Syak.g_01522
OG0000029	Prae.g_00755, Prae.g_00375	Syak.g_00169, Syak.g_00178
OG0000030	Prae.g_01825	Syak.g_01684, Syak.g_01685
OG0000033	Prae.g_01396, Prae.g_00172	Syak.g_02101
OG0000034	Prae.g_01339	Syak.g_00950, Syak.g_02133
OG0000035	Prae.g_01459	Syak.g_01041, Syak.g_01040
OG0000037	Prae.g_00108	Syak.g_02188
OG0000038	Prae.g_01865	Syak.g_01938, Syak.g_01936
OG0000039	Prae.g_00660	Syak.g_00772, Syak.g_01918
OG0000040	Prae.g_01143	Syak.g_01852
OG0000041	Prae.g_01669	Syak.g_02354, Syak.g_00752
OG0000042	Prae.g_01822	Syak.g_00843, Syak.g_01681
OG0000043	Prae.g_00876	Syak.g_00335
OG0000045	Prae.g_00371	Syak.g_00228
OG0000047	Prae.g_00331	Syak.g_01147
OG0000048	Prae.g_00374	Syak.g_01446
OG0000053	Prae.g_01479	Syak.g_01068
OG0000054	Prae.g_00580	Syak.g_02744, Syak.g_02321
OG0000055	Prae.g_00787	Syak.g_00766
OG0000057	Prae.g_00672	Syak.g_00724, Syak.g_01676
OG0000059	Prae.g_01710	Syak.g_01355
OG0000060	Prae.g_01238	Syak.g_01138, Syak.g_02572, Syak.g_00844
OG0000061	Prae.g_01163	Syak.g_00898
OG0000062	Prae.g_01537	Syak.g_02434
OG0000063	Prae.g_00033	Syak.g_01752
OG0000065	Prae.g_00106	Syak.g_02192, Syak.g_00282
OG0000066	Prae.g_00514	Syak.g_02653
OG0000067	Prae.g_00806	Syak.g_00434
OG0000068	Prae.g_01368	Syak.g_02565
OG0000070	Prae.g_00424	Syak.g_01174
OG0000071	Prae.g_01329	Syak.g_02322, Syak.g_00936
OG0000072	Prae.g_00174	Syak.g_02099
OG0000073	Prae.g_00473	Syak.g_02597
OG0000075	Prae.g_01791	Syak.g_01564
OG0000076	Prae.g_01815	Syak.g_01650
OG0000077	Prae.g_00078	Syak.g_02243
OG0000078	Prae.g_00242	Syak.g_02310
OG0000079	Prae.g_00255	Syak.g_01417
OG0000081	Prae.g_00505	Syak.g_00115
OG0000082	Prae.g_00559	Syak.g_02711
OG0000084	Prae.g_01455	Syak.g_01036
OG0000085	Prae.g_01616	Syak.g_02427
OG0000086	Prae.g_00088	Syak.g_02219
OG0000087	Prae.g_00139	Syak.g_02141
OG0000088	Prae.g_00169	Syak.g_02106
OG0000089	Prae.g_00355	Syak.g_01215
OG0000090	Prae.g_00508	Syak.g_02640
OG0000091	Prae.g_00616	Syak.g_00043
OG0000093	Prae.g_00933	Syak.g_00416
OG0000094	Prae.g_01021	Syak.g_00656
OG0000095	Prae.g_01040	Syak.g_00736
OG0000097	Prae.g_01204	Syak.g_00816
OG0000098	Prae.g_01350	Syak.g_00345, Syak.g_02651
OG0000099	Prae.g_01390	Syak.g_01527
OG0000100	Prae.g_01533	Syak.g_00622
OG0000101	Prae.g_01758	Syak.g_01305
OG0000102	Prae.g_01820	Syak.g_01661
OG0000103	Prae.g_01899	Syak.g_01812
OG0000104	Prae.g_01907	Syak.g_01799
OG0000105	Prae.g_01440	Syak.g_01451
OG0000106	Prae.g_00370	Syak.g_00096
OG0000107	Prae.g_00385	Syak.g_01392
OG0000108	Prae.g_00454	Syak.g_02574
OG0000109	Prae.g_00468	Syak.g_01061, Syak.g_02590
OG0000110	Prae.g_00549	Syak.g_02698
OG0000111	Prae.g_00673	Syak.g_00725
OG0000112	Prae.g_00770	Syak.g_00512
OG0000113	Prae.g_00828	Syak.g_00461
OG0000114	Prae.g_00908	Syak.g_00373, Syak.g_00065
OG0000115	Prae.g_01102	Syak.g_01066
OG0000116	Prae.g_01153	Syak.g_00911
OG0000117	Prae.g_01263	Syak.g_00846
OG0000118	Prae.g_01341	Syak.g_00954
OG0000119	Prae.g_01364	Syak.g_00917
OG0000120	Prae.g_01389	Syak.g_01526
OG0000121	Prae.g_01461	Syak.g_01044
OG0000122	Prae.g_01499	Syak.g_00081
OG0000123	Prae.g_01766	Syak.g_01299
OG0000124	Prae.g_01831	Syak.g_01692
OG0000125	Prae.g_01867	Syak.g_01934
OG0000126	Prae.g_01906	Syak.g_01801
OG0000128	Prae.g_00011	Syak.g_01782
OG0000129	Prae.g_00046	Syak.g_01947
OG0000130	Prae.g_00069	Syak.g_02255
OG0000131	Prae.g_00148	Syak.g_02128
OG0000132	Prae.g_00167	Syak.g_02108
OG0000133	Prae.g_00323	Syak.g_00507
OG0000134	Prae.g_00356	Syak.g_01212
OG0000135	Prae.g_00382	Syak.g_01897
OG0000136	Prae.g_00415	Syak.g_01186
OG0000137	Prae.g_00449	Syak.g_01118
OG0000138	Prae.g_00469	Syak.g_01062, Syak.g_02591
