Orthogroup	Prae	Syat
OG0000001	Prae.g_01353	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878
OG0000005	Prae.g_01636	Syat.g_03065
OG0000005	Prae.g_01535	Syat.g_03105
OG0000006	Prae.g_00244	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Prae.g_00471	Syat.g_03191
OG0000007	Prae.g_01623	Syat.g_03124
OG0000010	Prae.g_01048	Syat.g_01372
OG0000012	Prae.g_00597	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Prae.g_00328	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prae.g_00307	Syat.g_02104
OG0000014	Prae.g_01401	Syat.g_02250
OG0000015	Prae.g_00769, Prae.g_01235	Syat.g_00775, Syat.g_01677
OG0000016	Prae.g_00013	Syat.g_02329
OG0000017	Prae.g_00572	Syat.g_00015
OG0000018	Prae.g_01144	Syat.g_01334
OG0000019	Prae.g_00252, Prae.g_00786	Syat.g_01876
OG0000021	Prae.g_01600, Prae.g_00364	Syat.g_00964
OG0000022	Prae.g_01125	Syat.g_00210
OG0000024	Prae.g_00748, Prae.g_00649	Syat.g_03394
OG0000025	Prae.g_00332, Prae.g_00840	Syat.g_00719
OG0000026	Prae.g_00031, Prae.g_01056	Syat.g_02306
OG0000027	Prae.g_00444, Prae.g_01311	Syat.g_00850
OG0000028	Prae.g_00321	Syat.g_02126
OG0000030	Prae.g_01825	Syat.g_00307, Syat.g_00308
OG0000033	Prae.g_01396	Syat.g_02858
OG0000034	Prae.g_01339	Syat.g_01165, Syat.g_02902
OG0000035	Prae.g_01459	Syat.g_01227, Syat.g_01226
OG0000037	Prae.g_00108	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Prae.g_01865	Syat.g_02688, Syat.g_02686
OG0000039	Prae.g_00660	Syat.g_01278
OG0000040	Prae.g_01143	Syat.g_02551
OG0000041	Prae.g_01669	Syat.g_00785, Syat.g_03006
OG0000042	Prae.g_01822	Syat.g_00223, Syat.g_02222
OG0000048	Prae.g_00374	Syat.g_02046
OG0000053	Prae.g_01479	Syat.g_01330
OG0000054	Prae.g_00580	Syat.g_00987, Syat.g_03390
OG0000055	Prae.g_00787	Syat.g_00693
OG0000057	Prae.g_00672	Syat.g_00817, Syat.g_02055
OG0000058	Prae.g_01406	Syat.g_01189
OG0000059	Prae.g_01710	Syat.g_01832
OG0000060	Prae.g_01238	Syat.g_01384, Syat.g_01383, Syat.g_01047
OG0000061	Prae.g_01163	Syat.g_03260
OG0000062	Prae.g_01537	Syat.g_03107
OG0000063	Prae.g_00033	Syat.g_02303
OG0000065	Prae.g_00106	Syat.g_01571
OG0000066	Prae.g_00514	Syat.g_03283
OG0000067	Prae.g_00806	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Prae.g_01368	Syat.g_00085, Syat.g_01295
OG0000069	Prae.g_01573	Syat.g_00090, Syat.g_00879
OG0000070	Prae.g_00424	Syat.g_01032, Syat.g_01040
OG0000071	Prae.g_01329	Syat.g_01153
OG0000072	Prae.g_00174	Syat.g_02856, Syat.g_01597
OG0000073	Prae.g_00473	Syat.g_03201
OG0000075	Prae.g_01791	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prae.g_01815	Syat.g_02206
OG0000077	Prae.g_00078	Syat.g_01481
OG0000078	Prae.g_00242	Syat.g_00184
OG0000079	Prae.g_00255	Syat.g_01879
OG0000081	Prae.g_00505	Syat.g_00980
OG0000082	Prae.g_00559	Syat.g_00035
OG0000085	Prae.g_01616	Syat.g_03113
OG0000086	Prae.g_00088	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prae.g_00139	Syat.g_02912
OG0000088	Prae.g_00169	Syat.g_02862
OG0000089	Prae.g_00355	Syat.g_02953
OG0000090	Prae.g_00508	Syat.g_03270
OG0000091	Prae.g_00616	Syat.g_00939, Syat.g_00862
OG0000094	Prae.g_01021	Syat.g_00698, Syat.g_01034
OG0000095	Prae.g_01040	Syat.g_00808
OG0000097	Prae.g_01204	Syat.g_00907, Syat.g_00535
OG0000098	Prae.g_01350	Syat.g_03281
OG0000099	Prae.g_01390	Syat.g_02130
OG0000100	Prae.g_01533	Syat.g_00517
OG0000101	Prae.g_01758	Syat.g_01661
OG0000102	Prae.g_01820	Syat.g_00974
OG0000103	Prae.g_01899	Syat.g_02399
OG0000104	Prae.g_01907	Syat.g_02385
OG0000105	Prae.g_01440	Syat.g_02052
OG0000106	Prae.g_00370	Syat.g_00957
OG0000107	Prae.g_00385	Syat.g_02009, Syat.g_01862
OG0000108	Prae.g_00454	Syat.g_03170
OG0000109	Prae.g_00468	Syat.g_03187
OG0000110	Prae.g_00549	Syat.g_00049
OG0000111	Prae.g_00673	Syat.g_00816
OG0000112	Prae.g_00770	Syat.g_00593
OG0000113	Prae.g_00828	Syat.g_00509
OG0000114	Prae.g_00908	Syat.g_00426
OG0000115	Prae.g_01102	Syat.g_01328
OG0000116	Prae.g_01153	Syat.g_02641
OG0000117	Prae.g_01263	Syat.g_00224
OG0000118	Prae.g_01341	Syat.g_01168
OG0000119	Prae.g_01364	Syat.g_00309
OG0000120	Prae.g_01389	Syat.g_02132
OG0000121	Prae.g_01461	Syat.g_01223
OG0000123	Prae.g_01766	Syat.g_01653
OG0000124	Prae.g_01831	Syat.g_02231
OG0000125	Prae.g_01867	Syat.g_02684
OG0000126	Prae.g_01906	Syat.g_00976
OG0000128	Prae.g_00011	Syat.g_02331
OG0000129	Prae.g_00046	Syat.g_02693, Syat.g_02694
OG0000130	Prae.g_00069	Syat.g_01469
OG0000131	Prae.g_00148	Syat.g_02898
OG0000132	Prae.g_00167	Syat.g_02864
OG0000133	Prae.g_00323	Syat.g_00588
OG0000134	Prae.g_00356	Syat.g_02956
OG0000135	Prae.g_00382	Syat.g_02501
OG0000136	Prae.g_00415	Syat.g_01292
OG0000137	Prae.g_00449	Syat.g_01371
OG0000138	Prae.g_00469	Syat.g_03188
OG0000139	Prae.g_00512	Syat.g_03276
OG0000140	Prae.g_00513	Syat.g_03280
OG0000141	Prae.g_00581	Syat.g_03398
OG0000142	Prae.g_00609	Syat.g_00117
OG0000143	Prae.g_00613	Syat.g_00130
OG0000144	Prae.g_00626	Syat.g_00369
OG0000145	Prae.g_00766	Syat.g_03202
OG0000146	Prae.g_00771	Syat.g_00594
OG0000147	Prae.g_00772	Syat.g_00595
OG0000148	Prae.g_00822	Syat.g_00503
