Orthogroup	Prae	Prah
OG0000000	Prae.g_01310	Prah.g_01346, Prah.g_01347
OG0000000	Prae.g_01580	Prah.g_01348
OG0000000	Prae.g_01300	Prah.g_01154, Prah.g_01152
OG0000001	Prae.g_01353	Prah.g_00324, Prah.g_01343, Prah.g_01159, Prah.g_02270, Prah.g_00896
OG0000002	Prae.g_01361	Prah.g_00562
OG0000002	Prae.g_00652	Prah.g_01226
OG0000004	Prae.g_00669	Prah.g_01022
OG0000004	Prae.g_00235	Prah.g_01413
OG0000005	Prae.g_01535	Prah.g_01652
OG0000006	Prae.g_00244	Prah.g_00475, Prah.g_01767
OG0000007	Prae.g_00471	Prah.g_01546
OG0000007	Prae.g_01623	Prah.g_01676
OG0000010	Prae.g_01048	Prah.g_00311
OG0000011	Prae.g_01291	Prah.g_01084
OG0000012	Prae.g_00597	Prah.g_00524
OG0000013	Prae.g_00328	Prah.g_01956
OG0000014	Prae.g_00307	Prah.g_02171
OG0000015	Prae.g_00769, Prae.g_01235	Prah.g_01155, Prah.g_00576
OG0000016	Prae.g_00013	Prah.g_00015
OG0000017	Prae.g_00572	Prah.g_01405, Prah.g_01397
OG0000018	Prae.g_01144	Prah.g_00378
OG0000019	Prae.g_00252, Prae.g_00786	Prah.g_02086
OG0000021	Prae.g_01600, Prae.g_00364	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410
OG0000022	Prae.g_01125	Prah.g_01209
OG0000022	Prae.g_00764	Prah.g_00170
OG0000023	Prae.g_00359	Prah.g_00688
OG0000024	Prae.g_00748, Prae.g_00649	Prah.g_01043
OG0000025	Prae.g_00332, Prae.g_00840	Prah.g_00604
OG0000026	Prae.g_00031, Prae.g_01056	Prah.g_00038
OG0000028	Prae.g_00321	Prah.g_02184
OG0000029	Prae.g_00755	Prah.g_01972
OG0000030	Prae.g_01825	Prah.g_00132, Prah.g_00131
OG0000033	Prae.g_01396	Prah.g_02307
OG0000034	Prae.g_01339	Prah.g_01376
OG0000035	Prae.g_01459	Prah.g_00408
OG0000037	Prae.g_00108	Prah.g_01901
OG0000038	Prae.g_01865	Prah.g_02494, Prah.g_02496
OG0000039	Prae.g_00660	Prah.g_01758, Prah.g_02382
OG0000041	Prae.g_01669	Prah.g_01737
OG0000042	Prae.g_01822	Prah.g_00135, Prah.g_01256
OG0000047	Prae.g_00331	Prah.g_00353
OG0000048	Prae.g_00374	Prah.g_02122
OG0000050	Prae.g_01077	Prah.g_01120
OG0000053	Prae.g_01479	Prah.g_00381
OG0000054	Prae.g_00580	Prah.g_01394
OG0000055	Prae.g_00787	Prah.g_00942
OG0000057	Prae.g_00672	Prah.g_01027
OG0000059	Prae.g_01710	Prah.g_02043
OG0000060	Prae.g_01238	Prah.g_01569, Prah.g_01156
OG0000061	Prae.g_01422	Prah.g_00104
OG0000061	Prae.g_01163	Prah.g_01322
OG0000062	Prae.g_01537	Prah.g_01654
OG0000063	Prae.g_00033	Prah.g_00042
OG0000065	Prae.g_00106	Prah.g_01897
OG0000066	Prae.g_00514	Prah.g_01485
OG0000067	Prae.g_00806	Prah.g_00667, Prah.g_01826
OG0000068	Prae.g_01368	Prah.g_01576
OG0000070	Prae.g_00424	Prah.g_00252
OG0000071	Prae.g_01329	Prah.g_01364
OG0000072	Prae.g_00174	Prah.g_02309
OG0000073	Prae.g_00473	Prah.g_01544
OG0000075	Prae.g_01791	Prah.g_02232
OG0000076	Prae.g_01815	Prah.g_00150
OG0000077	Prae.g_00078	Prah.g_01850
OG0000078	Prae.g_00242	Prah.g_01773
OG0000079	Prae.g_00255	Prah.g_02090, Prah.g_01868
OG0000081	Prae.g_00505	Prah.g_01035
OG0000082	Prae.g_00559	Prah.g_01427
OG0000084	Prae.g_01455	Prah.g_00412
OG0000085	Prae.g_01616	Prah.g_01666
OG0000086	Prae.g_00088	Prah.g_01866
OG0000087	Prae.g_00139	Prah.g_02268
OG0000088	Prae.g_00169	Prah.g_02304, Prah.g_00957
OG0000089	Prae.g_00355	Prah.g_00205
OG0000090	Prae.g_00508	Prah.g_01501
OG0000091	Prae.g_00616	Prah.g_00493
OG0000093	Prae.g_00933	Prah.g_00692
OG0000094	Prae.g_01021	Prah.g_02518
OG0000095	Prae.g_01040	Prah.g_00915
OG0000097	Prae.g_01204	Prah.g_01272
OG0000098	Prae.g_01350	Prah.g_00327
OG0000099	Prae.g_01390	Prah.g_02191
OG0000100	Prae.g_01533	Prah.g_01791, Prah.g_00636
OG0000101	Prae.g_01758	Prah.g_01995
OG0000102	Prae.g_01820	Prah.g_00144
OG0000103	Prae.g_01899	Prah.g_02586
OG0000104	Prae.g_01907	Prah.g_02600
OG0000105	Prae.g_01440	Prah.g_02126
OG0000106	Prae.g_00370	Prah.g_01660
OG0000107	Prae.g_00385	Prah.g_02072
OG0000108	Prae.g_00454	Prah.g_01566
OG0000109	Prae.g_00468	Prah.g_01550
OG0000110	Prae.g_00549	Prah.g_01439
OG0000111	Prae.g_00673	Prah.g_01028
OG0000112	Prae.g_00770	Prah.g_00788
OG0000113	Prae.g_00828	Prah.g_00641
OG0000114	Prae.g_00908	Prah.g_00733
OG0000115	Prae.g_01102	Prah.g_00383
OG0000116	Prae.g_01153	Prah.g_01337
OG0000117	Prae.g_01263	Prah.g_01257
OG0000118	Prae.g_01341	Prah.g_01378
OG0000119	Prae.g_01364	Prah.g_01007, Prah.g_01048
OG0000120	Prae.g_01389	Prah.g_02192
OG0000121	Prae.g_01461	Prah.g_00406
OG0000122	Prae.g_01499	Prah.g_01203
OG0000123	Prae.g_01766	Prah.g_01987
OG0000124	Prae.g_01831	Prah.g_00125
OG0000125	Prae.g_01867	Prah.g_02498
OG0000126	Prae.g_01906	Prah.g_02598
OG0000128	Prae.g_00011	Prah.g_00013
OG0000129	Prae.g_00046	Prah.g_02486
OG0000130	Prae.g_00069	Prah.g_01838
OG0000131	Prae.g_00148	Prah.g_02282
OG0000132	Prae.g_00167	Prah.g_02302
OG0000133	Prae.g_00323	Prah.g_02187
OG0000134	Prae.g_00356	Prah.g_00208
OG0000135	Prae.g_00382	Prah.g_02538
OG0000136	Prae.g_00415	Prah.g_00235
OG0000137	Prae.g_00449	Prah.g_00312
OG0000138	Prae.g_00469	Prah.g_01549
OG0000139	Prae.g_00512	Prah.g_01495
OG0000140	Prae.g_00513	Prah.g_01489
OG0000141	Prae.g_00581	Prah.g_01393
OG0000142	Prae.g_00609	Prah.g_00501
OG0000143	Prae.g_00613	Prah.g_00497
OG0000144	Prae.g_00626	Prah.g_00473
OG0000145	Prae.g_00766	Prah.g_01543
OG0000146	Prae.g_00771	Prah.g_00787
OG0000147	Prae.g_00772	Prah.g_00786
OG0000148	Prae.g_00822	Prah.g_00649
OG0000149	Prae.g_00852	Prah.g_00591
OG0000150	Prae.g_00860	Prah.g_00568
OG0000151	Prae.g_00918	Prah.g_00718
OG0000152	Prae.g_00964	Prah.g_00796
OG0000153	Prae.g_00983	Prah.g_00826
OG0000154	Prae.g_01014	Prah.g_00852
OG0000155	Prae.g_01183	Prah.g_01291
OG0000156	Prae.g_01317	Prah.g_01349
OG0000157	Prae.g_01318	Prah.g_01350
OG0000158	Prae.g_01426	Prah.g_02242
OG0000160	Prae.g_01460	Prah.g_00407
OG0000161	Prae.g_01466	Prah.g_00399
OG0000162	Prae.g_01472	Prah.g_00391
OG0000163	Prae.g_01506	Prah.g_01619
OG0000164	Prae.g_01647	Prah.g_01705
OG0000165	Prae.g_01654	Prah.g_01716
OG0000166	Prae.g_01722	Prah.g_02033
OG0000167	Prae.g_01789	Prah.g_02230
OG0000168	Prae.g_01799	Prah.g_02243
OG0000169	Prae.g_01809	Prah.g_00163
OG0000170	Prae.g_01811	Prah.g_00155
OG0000171	Prae.g_01830	Prah.g_00126
OG0000172	Prae.g_01838	Prah.g_00084
OG0000173	Prae.g_01853	Prah.g_00061
OG0000174	Prae.g_01881	Prah.g_02541
OG0000175	Prae.g_01891	Prah.g_02575
OG0000176	Prae.g_00004	Prah.g_00005
OG0000177	Prae.g_00005	Prah.g_00006
OG0000178	Prae.g_00006	Prah.g_00007
OG0000179	Prae.g_00016	Prah.g_00022
OG0000180	Prae.g_00017	Prah.g_00023
OG0000181	Prae.g_00018	Prah.g_00024
OG0000182	Prae.g_00019	Prah.g_00025
OG0000183	Prae.g_00023	Prah.g_00029
OG0000184	Prae.g_00048	Prah.g_02478
OG0000185	Prae.g_00051	Prah.g_02458
OG0000186	Prae.g_00064	Prah.g_01830
OG0000187	Prae.g_00065	Prah.g_01833
OG0000188	Prae.g_00082	Prah.g_01860
OG0000189	Prae.g_00096	Prah.g_01884
OG0000190	Prae.g_00097	Prah.g_01886
OG0000191	Prae.g_00117	Prah.g_00188
OG0000192	Prae.g_00121	Prah.g_00176, Prah.g_00180
OG0000193	Prae.g_00149	Prah.g_02283
OG0000194	Prae.g_00152	Prah.g_02286
OG0000195	Prae.g_00154	Prah.g_02288
OG0000196	Prae.g_00164	Prah.g_02299
OG0000197	Prae.g_00165	Prah.g_02300
OG0000198	Prae.g_00166	Prah.g_02301
OG0000199	Prae.g_00173	Prah.g_02308
OG0000200	Prae.g_00187	Prah.g_02324
OG0000201	Prae.g_00195	Prah.g_02352
OG0000202	Prae.g_00196	Prah.g_02353
OG0000203	Prae.g_00197	Prah.g_02354
OG0000204	Prae.g_00198	Prah.g_02355
OG0000205	Prae.g_00205	Prah.g_02362
OG0000206	Prae.g_00210	Prah.g_02371
OG0000207	Prae.g_00212	Prah.g_02420
OG0000208	Prae.g_00213	Prah.g_02419
OG0000209	Prae.g_00222	Prah.g_02400
OG0000210	Prae.g_00223	Prah.g_02399
OG0000211	Prae.g_00236	Prah.g_01782
OG0000212	Prae.g_00243	Prah.g_01772
OG0000213	Prae.g_00260	Prah.g_02101
OG0000214	Prae.g_00270	Prah.g_02118
OG0000215	Prae.g_00293	Prah.g_02148
OG0000216	Prae.g_00295	Prah.g_02151
OG0000217	Prae.g_00298	Prah.g_02155
OG0000218	Prae.g_00300	Prah.g_02157
OG0000219	Prae.g_00301	Prah.g_02158
OG0000220	Prae.g_00302	Prah.g_02159
OG0000221	Prae.g_00303	Prah.g_02166
OG0000222	Prae.g_00311	Prah.g_02174
OG0000223	Prae.g_00324	Prah.g_02197
OG0000224	Prae.g_00326	Prah.g_02207
OG0000225	Prae.g_00345	Prah.g_01921
OG0000226	Prae.g_00349	Prah.g_01917
OG0000227	Prae.g_00351	Prah.g_01915
OG0000228	Prae.g_00354	Prah.g_00204
OG0000229	Prae.g_00410	Prah.g_00230
OG0000230	Prae.g_00412	Prah.g_00232
OG0000231	Prae.g_00423	Prah.g_00251
OG0000232	Prae.g_00432	Prah.g_00261
OG0000233	Prae.g_00437	Prah.g_00294
OG0000234	Prae.g_00450	Prah.g_00313, Prah.g_00314
