Orthogroup	Prae	Prbe
OG0000000	Prae.g_01580	Prbe.g_01119
OG0000001	Prae.g_01353	Prbe.g_00400
OG0000002	Prae.g_01361	Prbe.g_01285, Prbe.g_01290
OG0000002	Prae.g_00652	Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452
OG0000004	Prae.g_00669	Prbe.g_01203
OG0000004	Prae.g_00235	Prbe.g_01784
OG0000005	Prae.g_01535	Prbe.g_00228
OG0000006	Prae.g_00244	Prbe.g_01794
OG0000007	Prae.g_00471	Prbe.g_00636
OG0000007	Prae.g_01623	Prbe.g_00985
OG0000009	Prae.g_01270	Prbe.g_00216
OG0000010	Prae.g_00448	Prbe.g_00659
OG0000010	Prae.g_01048	Prbe.g_00096, Prbe.g_01411
OG0000011	Prae.g_00398	Prbe.g_00713
OG0000012	Prae.g_00597	Prbe.g_00511, Prbe.g_00196
OG0000013	Prae.g_00328	Prbe.g_01879
OG0000014	Prae.g_00307	Prbe.g_01861
OG0000015	Prae.g_00769, Prae.g_01235	Prbe.g_01046, Prbe.g_01000
OG0000017	Prae.g_00572	Prbe.g_00536, Prbe.g_00529
OG0000018	Prae.g_00833	Prbe.g_01250
OG0000018	Prae.g_01144	Prbe.g_01571
OG0000019	Prae.g_00252	Prbe.g_01802
OG0000019	Prae.g_00786	Prbe.g_01573
OG0000021	Prae.g_01600, Prae.g_00364	Prbe.g_00203, Prbe.g_01208
OG0000022	Prae.g_00764	Prbe.g_00220
OG0000023	Prae.g_00359	Prbe.g_00062
OG0000024	Prae.g_00748	Prbe.g_01415
OG0000024	Prae.g_00649	Prbe.g_00449
OG0000025	Prae.g_00332, Prae.g_00840	Prbe.g_01258
OG0000026	Prae.g_00031, Prae.g_01056	Prbe.g_00132
OG0000027	Prae.g_00444, Prae.g_01311	Prbe.g_00012, Prbe.g_01121
OG0000029	Prae.g_00755	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133
OG0000029	Prae.g_00375	Prbe.g_01091
OG0000030	Prae.g_01825	Prbe.g_00763
OG0000031	Prae.g_01402, Prae.g_01391	Prbe.g_00352
OG0000033	Prae.g_01396	Prbe.g_00345
OG0000034	Prae.g_01339	Prbe.g_00882
OG0000035	Prae.g_01459	Prbe.g_00311
OG0000037	Prae.g_00108	Prbe.g_01651
OG0000038	Prae.g_01865	Prbe.g_01156
OG0000039	Prae.g_00660	Prbe.g_00461
OG0000041	Prae.g_01669	Prbe.g_00938
OG0000042	Prae.g_01822	Prbe.g_00766
