	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
Praa	0.0	8.0	0.0	2.0	2.0	8.0	2.0	6.0	4.0	11.0	2.0	9.0	8.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	7.0	0.0	2.0	2.0	2.0	8.0	0.0	2.0	2.0	2.0	13.0	2.0
Prab	8.0	0.0	0.0	5.0	2.0	11.0	8.0	7.0	6.0	17.0	6.0	18.0	11.0	0.0	2.0	6.0	0.0	0.0	6.0	8.0	6.0	6.0	8.0	2.0	2.0	2.0	2.0	15.0	16.0	2.0	6.0	6.0	6.0	11.0	2.0	2.0	2.0	2.0	23.0	6.0
Prac	0.0	0.0	0.0	2.0	0.0	6.0	0.0	4.0	0.0	10.0	2.0	10.0	10.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0	0.0	2.0	2.0	2.0	10.0	0.0	4.0	4.0	4.0	12.0	2.0
Prad	2.0	4.0	2.0	0.0	2.0	11.0	2.0	7.0	0.0	11.0	9.0	15.0	14.0	0.0	4.0	9.0	2.0	2.0	2.0	7.0	2.0	4.0	2.0	0.0	2.0	2.0	2.0	11.0	13.0	0.0	9.0	9.0	9.0	14.0	0.0	2.0	2.0	2.0	19.0	9.0
Prae	2.0	2.0	0.0	3.0	0.0	11.0	2.0	9.0	0.0	9.0	6.0	9.0	9.0	0.0	0.0	6.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0	9.0	9.0	0.0	6.0	6.0	6.0	9.0	0.0	4.0	4.0	4.0	11.0	6.0
Praf	9.0	9.0	7.0	9.0	10.0	0.0	11.0	15.0	13.0	11.0	3.0	5.0	11.0	9.0	7.0	3.0	7.0	7.0	11.0	9.0	9.0	17.0	9.0	5.0	9.0	9.0	9.0	15.0	11.0	12.0	3.0	3.0	3.0	5.0	22.0	9.0	9.0	9.0	22.0	3.0
Prag	2.0	10.0	0.0	4.0	2.0	14.0	0.0	12.0	7.0	20.0	7.0	16.0	13.0	2.0	0.0	7.0	0.0	0.0	2.0	7.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0	20.0	14.0	0.0	7.0	7.0	7.0	13.0	0.0	5.0	5.0	5.0	22.0	7.0
Prah	7.0	5.0	5.0	5.0	7.0	17.0	9.0	0.0	12.0	10.0	3.0	5.0	10.0	5.0	3.0	3.0	5.0	5.0	9.0	8.0	7.0	9.0	7.0	3.0	5.0	5.0	5.0	12.0	8.0	7.0	3.0	3.0	3.0	5.0	11.0	6.0	6.0	4.0	18.0	3.0
Prai	4.0	6.0	0.0	0.0	0.0	10.0	6.0	10.0	0.0	14.0	4.0	10.0	14.0	0.0	0.0	4.0	0.0	0.0	4.0	6.0	4.0	4.0	4.0	2.0	0.0	0.0	0.0	14.0	12.0	0.0	4.0	4.0	4.0	12.0	0.0	4.0	4.0	4.0	16.0	4.0
Praj	19.0	27.0	18.0	18.0	16.0	17.0	28.0	15.0	22.0	0.0	2.0	9.0	8.0	18.0	16.0	2.0	18.0	18.0	21.0	4.0	18.0	29.0	25.0	20.0	16.0	16.0	16.0	7.0	2.0	13.0	2.0	2.0	4.0	8.0	13.0	5.0	5.0	5.0	11.0	2.0
