Species Tree Node	Duplications (all)	Duplications (50% support)
N0	209	9
N11	98	69
Praj	20	20
Prbb	15	15
Prbm	52	52
N4	22	0
N10	14	14
N18	68	38
N24	24	24
Prab	6	6
Praw	2	2
N6	55	7
Prbg	1	1
N16	16	7
Prav	14	14
Prad	17	17
N9	8	0
N17	17	8
Prae	2	2
Prag	2	2
N19	3	2
Praa	5	5
N27	2	2
N21	6	6
Pral	12	12
Pram	1	1
Prai	10	10
Prat	14	14
Praf	96	96
N25	27	26
N1	37	4
Prbc	23	23
N29	5	5
Prah	83	83
Prbi	38	38
Prbe	1	1
N12	6	1
N22	8	8
N8	4	2
N3	9	7
Prao	3	3
Prau	13	13
N30	12	8
N31	4	4
N20	2	0
Pras	6	6
Prax	7	7
N23	2	2
N2	7	0
N15	3	0
Prbn	2	2
N5	1	0
Pray	1	1
Praq	1	1
Prar	1	1
Prba	3	3
N7	2	2
Prbd	9	9
Prbl	9	9
Prbj	14	14
Prbk	9	9
N28	1	0
Prap	2	2
N32	1	1
N14	1	1
Pran	1	1
N13	1	1
