	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
Praa	0.0	12.0	5.0	4.0	2.0	32.0	5.0	20.0	11.0	29.0	16.0	17.0	13.0	11.0	1.0	17.0	6.0	5.0	7.0	19.0	9.0	8.0	5.0	5.0	2.0	3.0	7.0	30.0	40.0	1.0	16.0	17.0	15.0	13.0	8.0	12.0	12.0	12.0	33.0	18.0
Prab	12.0	0.0	11.0	13.0	8.0	35.0	8.0	25.0	7.0	26.0	17.0	15.0	10.0	2.0	9.0	17.0	10.0	12.0	20.0	19.0	19.0	15.0	8.0	19.0	6.0	8.0	11.0	30.0	33.0	11.0	16.0	17.0	15.0	11.0	16.0	13.0	13.0	13.0	36.0	18.0
Prac	7.0	12.0	0.0	8.0	3.0	36.0	6.0	22.0	11.0	30.0	17.0	16.0	14.0	11.0	3.0	18.0	1.0	1.0	6.0	19.0	9.0	6.0	5.0	7.0	4.0	3.0	7.0	33.0	41.0	4.0	17.0	18.0	16.0	14.0	15.0	14.0	14.0	14.0	35.0	19.0
Prad	3.0	9.0	7.0	0.0	3.0	35.0	4.0	24.0	13.0	29.0	16.0	12.0	11.0	8.0	3.0	16.0	6.0	6.0	7.0	18.0	7.0	8.0	4.0	5.0	1.0	2.0	5.0	31.0	37.0	2.0	15.0	16.0	14.0	11.0	9.0	17.0	17.0	17.0	34.0	17.0
Prae	4.0	13.0	3.0	7.0	0.0	31.0	7.0	24.0	15.0	28.0	14.0	17.0	13.0	12.0	2.0	15.0	4.0	4.0	7.0	19.0	9.0	10.0	6.0	6.0	3.0	4.0	5.0	29.0	34.0	1.0	14.0	15.0	13.0	13.0	6.0	13.0	13.0	13.0	39.0	16.0
Praf	7.0	12.0	10.0	6.0	8.0	0.0	9.0	32.0	10.0	13.0	15.0	13.0	12.0	14.0	5.0	15.0	10.0	10.0	10.0	12.0	16.0	13.0	10.0	14.0	5.0	6.0	8.0	12.0	15.0	5.0	14.0	16.0	14.0	12.0	12.0	16.0	18.0	17.0	18.0	16.0
Prag	4.0	9.0	4.0	4.0	2.0	33.0	0.0	24.0	10.0	28.0	16.0	14.0	12.0	9.0	2.0	16.0	5.0	5.0	6.0	16.0	10.0	9.0	1.0	4.0	2.0	2.0	4.0	29.0	35.0	1.0	15.0	16.0	14.0	12.0	6.0	12.0	13.0	13.0	39.0	17.0
Prah	9.0	13.0	11.0	9.0	10.0	41.0	9.0	0.0	10.0	16.0	15.0	12.0	10.0	14.0	8.0	15.0	12.0	11.0	12.0	12.0	16.0	14.0	10.0	16.0	8.0	9.0	10.0	18.0	20.0	8.0	14.0	16.0	14.0	10.0	17.0	12.0	13.0	12.0	22.0	16.0
Prai	13.0	12.0	12.0	13.0	10.0	33.0	9.0	20.0	0.0	28.0	19.0	23.0	12.0	13.0	6.0	19.0	11.0	14.0	17.0	18.0	17.0	15.0	11.0	15.0	10.0	12.0	14.0	30.0	36.0	10.0	18.0	18.0	17.0	13.0	18.0	13.0	13.0	13.0	35.0	20.0
Praj	9.0	10.0	13.0	14.0	10.0	31.0	7.0	23.0	9.0	0.0	15.0	12.0	10.0	10.0	7.0	16.0	12.0	14.0	16.0	22.0	20.0	16.0	8.0	13.0	6.0	6.0	8.0	9.0	11.0	10.0	15.0	17.0	14.0	10.0	21.0	13.0	14.0	14.0	20.0	17.0
Prak	14.0	13.0	16.0	13.0	9.0	38.0	11.0	23.0	14.0	25.0	0.0	10.0	5.0	13.0	6.0	1.0	14.0	15.0	19.0	14.0	20.0	17.0	11.0	13.0	8.0	8.0	10.0	27.0	34.0	10.0	1.0	1.0	1.0	4.0	21.0	11.0	12.0	12.0	30.0	1.0
