	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
Number of genes	1889	1916	1931	1957	1873	2736	1919	2558	1898	2110	1903	1864	1914	1913	1832	1907	1921	1937	1958	1852	1982	1969	1913	1938	1904	1902	1916	2150	2163	1892	1911	1906	1901	1913	2065	2668	2661	2645	2192	1910
Number of genes in orthogroups	1869	1915	1927	1933	1844	2518	1916	2381	1854	2082	1902	1799	1911	1911	1807	1907	1915	1928	1910	1794	1939	1935	1909	1907	1903	1899	1908	2112	2100	1860	1907	1906	1901	1911	1995	2655	2651	2631	2140	1908
Number of unassigned genes	20	1	4	24	29	218	3	177	44	28	1	65	3	2	25	0	6	9	48	58	43	34	4	31	1	3	8	38	63	32	4	0	0	2	70	13	10	14	52	2
Percentage of genes in orthogroups	98.9	99.9	99.8	98.8	98.5	92.0	99.8	93.1	97.7	98.7	99.9	96.5	99.8	99.9	98.6	100.0	99.7	99.5	97.5	96.9	97.8	98.3	99.8	98.4	99.9	99.8	99.6	98.2	97.1	98.3	99.8	100.0	100.0	99.9	96.6	99.5	99.6	99.5	97.6	99.9
Percentage of unassigned genes	1.1	0.1	0.2	1.2	1.5	8.0	0.2	6.9	2.3	1.3	0.1	3.5	0.2	0.1	1.4	0.0	0.3	0.5	2.5	3.1	2.2	1.7	0.2	1.6	0.1	0.2	0.4	1.8	2.9	1.7	0.2	0.0	0.0	0.1	3.4	0.5	0.4	0.5	2.4	0.1
Number of orthogroups containing species	1818	1854	1876	1866	1802	2285	1859	2207	1794	1945	1850	1748	1867	1855	1772	1854	1867	1876	1841	1740	1858	1853	1853	1848	1865	1860	1864	1976	1967	1810	1855	1853	1853	1867	1887	2555	2559	2543	1954	1854
Percentage of orthogroups containing species	42.6	43.4	43.9	43.7	42.2	53.5	43.5	51.7	42.0	45.6	43.3	40.9	43.7	43.5	41.5	43.4	43.7	43.9	43.1	40.8	43.5	43.4	43.4	43.3	43.7	43.6	43.7	46.3	46.1	42.4	43.5	43.4	43.4	43.7	44.2	59.9	59.9	59.6	45.8	43.4
Number of species-specific orthogroups	0	0	0	1	0	14	0	12	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	4	1	1	0	2	0
Number of genes in species-specific orthogroups	0	0	0	10	0	34	0	36	6	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	8	11	9	0	5	0
Percentage of genes in species-specific orthogroups	0.0	0.0	0.0	0.5	0.0	1.2	0.0	1.4	0.3	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.1	0.0	0.0	0.0	0.0	0.0	0.4	0.4	0.3	0.0	0.2	0.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	2451	2415	2393	2403	2467	1984	2410	2062	2475	2324	2419	2521	2402	2414	2497	2415	2402	2393	2428	2529	2411	2416	2416	2421	2404	2409	2405	2293	2302	2459	2414	2416	2416	2402	2382	1714	1710	1726	2315	2415
'1	1778	1811	1838	1816	1770	2150	1822	2115	1748	1884	1808	1711	1834	1814	1744	1811	1833	1839	1786	1696	1792	1793	1816	1806	1835	1829	1828	1908	1873	1775	1814	1810	1815	1833	1796	2493	2502	2488	1860	1810
'2	32	32	30	44	26	101	26	69	40	44	38	29	27	32	23	39	25	27	45	39	52	52	26	30	24	26	31	49	72	28	37	39	34	29	79	49	44	43	64	40
'3	6	8	3	4	2	17	8	11	2	6	2	6	5	6	4	2	4	5	6	3	13	3	8	8	4	3	3	8	16	4	1	2	2	4	8	6	6	5	14	2
'4	1	2	5	0	4	6	1	4	1	2	1	1	0	2	0	1	5	5	4	1	1	1	2	3	2	1	1	2	2	1	2	1	1	0	3	2	2	2	8	1
'5	1	0	0	0	0	2	1	2	2	2	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	1	2	2	1	0	0	0	0	1	2	2	1	0	0
'6	0	0	0	0	0	3	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	3	0
'7	0	0	0	1	0	3	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	2	0
'8	0	1	0	0	0	0	0	2	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1
'9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
'10	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0
