Orthogroup	Prbn	Prae
OG0000000	Prbn.g_01483, Prbn.g_01478	Prae.g_01361
OG0000000	Prbn.g_01586, Prbn.g_00879, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154	Prae.g_00652
OG0000002	Prbn.g_01213	Prae.g_01353
OG0000002	Prbn.g_01923	Prae.g_01223, Prae.g_01224, Prae.g_01236
OG0000003	Prbn.g_01151	Prae.g_01308, Prae.g_01581
OG0000004	Prbn.g_01110	Prae.g_00742
OG0000005	Prbn.g_01662	Prae.g_01580
OG0000006	Prbn.g_00617	Prae.g_00471
OG0000006	Prbn.g_01745	Prae.g_01623
OG0000009	Prbn.g_01165	Prae.g_00786
OG0000009	Prbn.g_00015	Prae.g_00252
OG0000010	Prbn.g_01049	Prae.g_01110, Prae.g_01283
OG0000012	Prbn.g_00510, Prbn.g_00517	Prae.g_00572
OG0000013	Prbn.g_01684, Prbn.g_01730	Prae.g_00769, Prae.g_01235
OG0000014	Prbn.g_01664, Prbn.g_00139	Prae.g_01311, Prae.g_00444
OG0000015	Prbn.g_01673, Prbn.g_01706	Prae.g_00381
OG0000016	Prbn.g_01135, Prbn.g_00885	Prae.g_01364
OG0000018	Prbn.g_00308	Prae.g_00244
OG0000019	Prbn.g_01560	Prae.g_01600, Prae.g_00364
OG0000020	Prbn.g_00038	Prae.g_00374
OG0000021	Prbn.g_01727	Prae.g_00788
OG0000023	Prbn.g_00887	Prae.g_01270
OG0000024	Prbn.g_00074	Prae.g_00307
OG0000028	Prbn.g_00212	Prae.g_01459
OG0000029	Prbn.g_00659	Prae.g_01573
OG0000031	Prbn.g_00809	Prae.g_01602
OG0000032	Prbn.g_00171	Prae.g_01391, Prae.g_01402
OG0000034	Prbn.g_00190, Prbn.g_00724	Prae.g_01416
OG0000035	Prbn.g_01042	Prae.g_00894
OG0000036	Prbn.g_00530, Prbn.g_01734	Prae.g_00559
OG0000037	Prbn.g_00492, Prbn.g_00867	Prae.g_00597
OG0000038	Prbn.g_00891	Prae.g_00764
OG0000039	Prbn.g_01247	Prae.g_00169
OG0000040	Prbn.g_01030	Prae.g_00359
OG0000041	Prbn.g_01709, Prbn.g_01703	Prae.g_00402
OG0000042	Prbn.g_01554	Prae.g_00711
OG0000043	Prbn.g_01454	Prae.g_00791
OG0000044	Prbn.g_01189	Prae.g_01163, Prae.g_01422
OG0000045	Prbn.g_00172	Prae.g_01406, Prae.g_01417
OG0000046	Prbn.g_00144, Prbn.g_01737	Prae.g_01616
OG0000047	Prbn.g_00996	Prae.g_01815
OG0000048	Prbn.g_00988	Prae.g_01822
OG0000050	Prbn.g_00750	Prae.g_00031
OG0000051	Prbn.g_01256	Prae.g_00160
OG0000052	Prbn.g_00829	Prae.g_00370
OG0000053	Prbn.g_01657, Prbn.g_00577	Prae.g_00514
OG0000055	Prbn.g_01523	Prae.g_00828
OG0000056	Prbn.g_01133	Prae.g_01322
OG0000057	Prbn.g_00313	Prae.g_00240
OG0000058	Prbn.g_00639	Prae.g_00449
OG0000059	Prbn.g_01562	Prae.g_00672
OG0000062	Prbn.g_01650	Prae.g_01130
OG0000063	Prbn.g_00389	Prae.g_01263
OG0000065	Prbn.g_01084	Prae.g_01329
OG0000066	Prbn.g_00170	Prae.g_01389
OG0000068	Prbn.g_01881	Prae.g_01758
OG0000071	Prbn.g_00002, Prbn.g_00003	Prae.g_00011
OG0000072	Prbn.g_00088	Prae.g_00323
OG0000073	Prbn.g_00845	Prae.g_00643
OG0000074	Prbn.g_01572	Prae.g_00665
OG0000075	Prbn.g_01539	Prae.g_00813
OG0000076	Prbn.g_01471	Prae.g_01040
OG0000078	Prbn.g_00173	Prae.g_01390
OG0000079	Prbn.g_00897	Prae.g_01537
OG0000080	Prbn.g_00803	Prae.g_01588
OG0000081	Prbn.g_01915	Prae.g_01789
OG0000083	Prbn.g_00011	Prae.g_00003
OG0000084	Prbn.g_00008	Prae.g_00006
OG0000085	Prbn.g_00759	Prae.g_00023
OG0000087	Prbn.g_00730	Prae.g_00051
OG0000088	Prbn.g_01304	Prae.g_00112
OG0000089	Prbn.g_01295	Prae.g_00121
OG0000090	Prbn.g_01278	Prae.g_00139
OG0000091	Prbn.g_01244	Prae.g_00172
OG0000092	Prbn.g_00384, Prbn.g_01243	Prae.g_00173
OG0000093	Prbn.g_00370	Prae.g_00187
OG0000094	Prbn.g_00351	Prae.g_00205
OG0000095	Prbn.g_00346	Prae.g_00210
OG0000096	Prbn.g_00017	Prae.g_00254
OG0000097	Prbn.g_00041	Prae.g_01440
OG0000099	Prbn.g_00062	Prae.g_00295
OG0000100	Prbn.g_00065	Prae.g_00298
OG0000101	Prbn.g_00694	Prae.g_00356
OG0000102	Prbn.g_01102	Prae.g_00382
OG0000103	Prbn.g_00638	Prae.g_00450
OG0000104	Prbn.g_00634	Prae.g_00454
OG0000105	Prbn.g_00614	Prae.g_00473
OG0000106	Prbn.g_00584	Prae.g_00506
OG0000107	Prbn.g_00583	Prae.g_00508
OG0000108	Prbn.g_00573	Prae.g_00518
OG0000109	Prbn.g_00564	Prae.g_00527
OG0000110	Prbn.g_00547	Prae.g_00543
OG0000111	Prbn.g_00443	Prae.g_00625
OG0000112	Prbn.g_00444	Prae.g_00626
OG0000113	Prbn.g_01351	Prae.g_00733
OG0000114	Prbn.g_01548	Prae.g_00804
OG0000115	Prbn.g_01418	Prae.g_00964
OG0000116	Prbn.g_01414	Prae.g_00968
OG0000117	Prbn.g_01468	Prae.g_01037
OG0000118	Prbn.g_01144	Prae.g_01090
OG0000119	Prbn.g_01653	Prae.g_01133
OG0000120	Prbn.g_01195	Prae.g_01169
OG0000121	Prbn.g_00391	Prae.g_01188
OG0000122	Prbn.g_00411	Prae.g_01207
OG0000123	Prbn.g_00482	Prae.g_01220
OG0000124	Prbn.g_00886	Prae.g_01434
OG0000125	Prbn.g_01071	Prae.g_01341
OG0000126	Prbn.g_01240	Prae.g_01368
OG0000127	Prbn.g_00200	Prae.g_01446
OG0000128	Prbn.g_00213	Prae.g_01460
OG0000129	Prbn.g_00249	Prae.g_01496
OG0000130	Prbn.g_01742	Prae.g_01621
OG0000131	Prbn.g_01782	Prae.g_01659
OG0000132	Prbn.g_01785	Prae.g_01662
OG0000133	Prbn.g_01839	Prae.g_01717
OG0000134	Prbn.g_01875	Prae.g_01753
OG0000135	Prbn.g_01877	Prae.g_01755
OG0000136	Prbn.g_01012	Prae.g_01800
OG0000137	Prbn.g_00978	Prae.g_01832
OG0000138	Prbn.g_00944	Prae.g_01867
OG0000139	Prbn.g_00913	Prae.g_01894
OG0000140	Prbn.g_00301	Prae.g_00001
OG0000141	Prbn.g_00302	Prae.g_00002
OG0000142	Prbn.g_00010	Prae.g_00004
OG0000143	Prbn.g_00009	Prae.g_00005
OG0000144	Prbn.g_00007	Prae.g_00007
OG0000145	Prbn.g_00006	Prae.g_00008
OG0000146	Prbn.g_00005	Prae.g_00009
