Orthogroup	Prbn	Prad
OG0000000	Prbn.g_01483, Prbn.g_01478	Prad.g_00601
OG0000000	Prbn.g_01586, Prbn.g_00879, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154	Prad.g_01252
OG0000001	Prbn.g_01678, Prbn.g_01663, Prbn.g_01152	Prad.g_01297
OG0000002	Prbn.g_01213	Prad.g_00609
OG0000002	Prbn.g_01923	Prad.g_01434, Prad.g_01994
OG0000003	Prbn.g_01151	Prad.g_00350, Prad.g_00389
OG0000004	Prbn.g_01110	Prad.g_01082
OG0000005	Prbn.g_01662	Prad.g_00392, Prad.g_01982
OG0000006	Prbn.g_00617	Prad.g_00132
OG0000006	Prbn.g_01745	Prad.g_00941
OG0000009	Prbn.g_01165	Prad.g_01125
OG0000009	Prbn.g_00015	Prad.g_01742
OG0000010	Prbn.g_01049	Prad.g_00650, Prad.g_00330
OG0000011	Prbn.g_00690	Prad.g_00683
OG0000012	Prbn.g_00510, Prbn.g_00517	Prad.g_01387
OG0000013	Prbn.g_01684, Prbn.g_01730	Prad.g_01108
OG0000014	Prbn.g_01664, Prbn.g_00139	Prad.g_00353, Prad.g_01298
OG0000015	Prbn.g_01673, Prbn.g_01706	Prad.g_00951, Prad.g_00728
OG0000016	Prbn.g_01135, Prbn.g_00885	Prad.g_00598
OG0000018	Prbn.g_00308	Prad.g_01750
OG0000019	Prbn.g_01560	Prad.g_01981, Prad.g_00745
OG0000020	Prbn.g_00038	Prad.g_00735
OG0000021	Prbn.g_01727	Prad.g_01127
OG0000023	Prbn.g_00887	Prad.g_00317
OG0000024	Prbn.g_00074	Prad.g_01685
OG0000026	Prbn.g_00130	Prad.g_00081
OG0000028	Prbn.g_00212	Prad.g_00515
OG0000029	Prbn.g_00659	Prad.g_00400, Prad.g_00952
OG0000034	Prbn.g_00724	Prad.g_00571
OG0000035	Prbn.g_01042	Prad.g_00258
OG0000036	Prbn.g_00530, Prbn.g_01734	Prad.g_01374
OG0000037	Prbn.g_00492, Prbn.g_00867	Prad.g_01412
OG0000038	Prbn.g_00891	Prad.g_01105
OG0000039	Prbn.g_01247	Prad.g_01825
OG0000040	Prbn.g_01030	Prad.g_00751
OG0000041	Prbn.g_01709, Prbn.g_01703	Prad.g_00697
OG0000042	Prbn.g_01554	Prad.g_01049
OG0000043	Prbn.g_01454	Prad.g_01130
OG0000044	Prbn.g_01189	Prad.g_01496
OG0000045	Prbn.g_00172	Prad.g_00565
OG0000046	Prbn.g_00144, Prbn.g_01737	Prad.g_00948
OG0000047	Prbn.g_00996	Prad.g_01631
OG0000048	Prbn.g_00988	Prad.g_01624
OG0000050	Prbn.g_00750	Prad.g_01955
OG0000051	Prbn.g_01256	Prad.g_01834
OG0000052	Prbn.g_00829	Prad.g_00739
OG0000053	Prbn.g_01657, Prbn.g_00577	Prad.g_00090
OG0000055	Prbn.g_01523	Prad.g_01168
