Orthogroup	Prae	Praz
OG0000000	Prae.g_01361	Praz.g_01146
OG0000000	Prae.g_00652	Praz.g_01652
OG0000001	Prae.g_01222	Praz.g_00694
OG0000001	Prae.g_01222	Praz.g_00922
OG0000001	Prae.g_01579	Praz.g_00694
OG0000001	Prae.g_01579	Praz.g_00922
OG0000002	Prae.g_01353	Praz.g_01154
OG0000002	Prae.g_01223, Prae.g_01224	Praz.g_01939, Praz.g_01940
OG0000003	Prae.g_01581	Praz.g_00920
OG0000003	Prae.g_01308	Praz.g_01200
OG0000004	Prae.g_00735	Praz.g_01583
OG0000004	Prae.g_00742	Praz.g_01576
OG0000004	Prae.g_01297	Praz.g_01201
OG0000005	Prae.g_01580	Praz.g_00921
OG0000006	Prae.g_00471	Praz.g_01831
OG0000006	Prae.g_01623	Praz.g_00877
OG0000007	Prae.g_00646	Praz.g_01658
OG0000008	Prae.g_00383	Praz.g_00790
OG0000008	Prae.g_00997	Praz.g_01317
OG0000008	Prae.g_01264	Praz.g_00767
OG0000009	Prae.g_00786	Praz.g_01532
OG0000009	Prae.g_00252	Praz.g_00609
OG0000010	Prae.g_01110	Praz.g_00045
OG0000010	Prae.g_01283	Praz.g_01215
OG0000011	Prae.g_00331	Praz.g_00687
OG0000012	Prae.g_00572	Praz.g_01732
OG0000013	Prae.g_01235, Prae.g_00769	Praz.g_01551
OG0000014	Prae.g_00444	Praz.g_01858
OG0000014	Prae.g_01311	Praz.g_01197
OG0000015	Prae.g_00381	Praz.g_00792
OG0000016	Prae.g_01364	Praz.g_01143
OG0000017	Prae.g_01479	Praz.g_01021
OG0000018	Prae.g_00244	Praz.g_00601
OG0000019	Prae.g_00364	Praz.g_00810
OG0000019	Prae.g_01600	Praz.g_00896
OG0000020	Prae.g_00374	Praz.g_00800
OG0000021	Prae.g_00788	Praz.g_01530
OG0000022	Prae.g_01310	Praz.g_01198
OG0000023	Prae.g_01270	Praz.g_01230
OG0000024	Prae.g_00307	Praz.g_00663
OG0000025	Prae.g_01077	Praz.g_00101
OG0000026	Prae.g_00033	Praz.g_00398
OG0000027	Prae.g_00738	Praz.g_01580
OG0000027	Prae.g_01546	Praz.g_00954
OG0000028	Prae.g_01459	Praz.g_01041
OG0000029	Prae.g_01573	Praz.g_00928
OG0000030	Prae.g_00040, Prae.g_00039	Praz.g_00404
OG0000031	Prae.g_01294	Praz.g_01204
OG0000032	Prae.g_01391, Prae.g_01402	Praz.g_01116
OG0000033	Prae.g_00013	Praz.g_00378
OG0000034	Prae.g_01416	Praz.g_01103
OG0000035	Prae.g_00894	Praz.g_01422
OG0000036	Prae.g_00559	Praz.g_01744
OG0000037	Prae.g_00597	Praz.g_01707
OG0000038	Prae.g_00764	Praz.g_01556
OG0000039	Prae.g_00169	Praz.g_00526
OG0000040	Prae.g_00359	Praz.g_00814
OG0000041	Prae.g_00402	Praz.g_01908
OG0000042	Prae.g_00711	Praz.g_01607
OG0000043	Prae.g_00791	Praz.g_01527
OG0000044	Prae.g_01163	Praz.g_00755
OG0000045	Prae.g_01417, Prae.g_01406	Praz.g_01096
OG0000046	Prae.g_01616	Praz.g_00884
OG0000047	Prae.g_01815	Praz.g_00205
OG0000048	Prae.g_01822	Praz.g_00198
OG0000050	Prae.g_00031	Praz.g_00396
OG0000051	Prae.g_00160	Praz.g_00517
OG0000052	Prae.g_00370	Praz.g_00804
OG0000053	Prae.g_00514	Praz.g_01789
OG0000054	Prae.g_00758	Praz.g_01561
OG0000055	Prae.g_00828	Praz.g_01490
OG0000056	Prae.g_01322	Praz.g_00038
OG0000058	Prae.g_00449	Praz.g_01853
OG0000059	Prae.g_00672	Praz.g_01632
OG0000060	Prae.g_00740	Praz.g_01578
OG0000061	Prae.g_00984	Praz.g_01330
OG0000062	Prae.g_01130	Praz.g_00025
OG0000063	Prae.g_01263	Praz.g_01237
OG0000064	Prae.g_01272	Praz.g_01227
OG0000065	Prae.g_01329	Praz.g_01180
OG0000066	Prae.g_01389	Praz.g_01118
OG0000067	Prae.g_01245	Praz.g_01240
OG0000068	Prae.g_01758	Praz.g_00263
OG0000071	Prae.g_00011	Praz.g_00376
OG0000072	Prae.g_00323	Praz.g_00679
OG0000073	Prae.g_00643	Praz.g_01661
OG0000074	Prae.g_00665	Praz.g_01639
OG0000075	Prae.g_00813	Praz.g_01505
OG0000076	Prae.g_01040	Praz.g_00066
OG0000078	Prae.g_01390	Praz.g_01098
OG0000079	Prae.g_01537	Praz.g_00963
