Orthogroup	Prae	Prar
OG0000000	Prae.g_01361	Prar.g_00918
OG0000000	Prae.g_00652	Prar.g_01508
OG0000001	Prae.g_01222	Prar.g_01204
OG0000001	Prae.g_01579	Prar.g_01204
OG0000001	Prae.g_01300	Prar.g_00730
OG0000002	Prae.g_01353	Prar.g_00926
OG0000002	Prae.g_01223, Prae.g_01224	Prar.g_01202
OG0000003	Prae.g_01308	Prar.g_00973
OG0000004	Prae.g_00735	Prar.g_01623
OG0000004	Prae.g_00742	Prar.g_01630
OG0000005	Prae.g_01580	Prar.g_00729
OG0000006	Prae.g_00471	Prar.g_01328
OG0000006	Prae.g_01623	Prar.g_01143
OG0000007	Prae.g_00646	Prar.g_01502
OG0000008	Prae.g_00383	Prar.g_00445
OG0000008	Prae.g_01264	Prar.g_01002
OG0000009	Prae.g_00786	Prar.g_01663
OG0000009	Prae.g_00252	Prar.g_00078
OG0000010	Prae.g_01110	Prar.g_01313
OG0000010	Prae.g_01283	Prar.g_00991
OG0000011	Prae.g_00331	Prar.g_00257
OG0000012	Prae.g_00572	Prar.g_01428
OG0000013	Prae.g_01235, Prae.g_00769	Prar.g_01179
OG0000014	Prae.g_00444, Prae.g_01311	Prar.g_00520
OG0000015	Prae.g_00381	Prar.g_00443
OG0000016	Prae.g_01364	Prar.g_00915
OG0000017	Prae.g_01479	Prar.g_00827
OG0000018	Prae.g_00244	Prar.g_00086
OG0000019	Prae.g_00364, Prae.g_01600	Prar.g_00425
OG0000020	Prae.g_00374	Prar.g_00435
OG0000021	Prae.g_00788	Prar.g_01665
OG0000022	Prae.g_01310	Prar.g_00971
OG0000023	Prae.g_01572, Prae.g_01270	Prar.g_00737
OG0000024	Prae.g_00307, Prae.g_01401	Prar.g_00281
OG0000025	Prae.g_01077	Prar.g_01940
OG0000026	Prae.g_00033	Prar.g_00004
OG0000027	Prae.g_00738	Prar.g_01626
OG0000027	Prae.g_01546	Prar.g_00761
OG0000028	Prae.g_01459	Prar.g_00339
OG0000029	Prae.g_01573	Prar.g_00736, Prar.g_01170
OG0000030	Prae.g_00040, Prae.g_00039	Prar.g_00593
OG0000032	Prae.g_01391, Prae.g_01402	Prar.g_00879
OG0000033	Prae.g_00013	Prar.g_00025
OG0000035	Prae.g_00894	Prar.g_01761
OG0000036	Prae.g_00559	Prar.g_01414
OG0000037	Prae.g_00597	Prar.g_01453
OG0000038	Prae.g_00764	Prar.g_01649
OG0000039	Prae.g_00169	Prar.g_00161
OG0000040	Prae.g_00359	Prar.g_00420
OG0000041	Prae.g_00402	Prar.g_00476
