Orthogroup	Prax	Prbj
OG0000000	Prax.g_01917	Prbj.g_00166, Prbj.g_00165
OG0000000	Prax.g_01608, Prax.g_00496	Prbj.g_00164
OG0000001	Prax.g_01878	Prbj.g_00672, Prbj.g_00169, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690
OG0000002	Prax.g_01870	Prbj.g_02517
OG0000002	Prax.g_00964	Prbj.g_00030
OG0000004	Prax.g_00947	Prbj.g_00754
OG0000004	Prax.g_00986	Prbj.g_01777
OG0000005	Prax.g_01652	Prbj.g_00883
OG0000006	Prax.g_01972	Prbj.g_02699
OG0000007	Prax.g_00704	Prbj.g_01610
OG0000007	Prax.g_01559	Prbj.g_00857
OG0000010	Prax.g_01212	Prbj.g_00129
OG0000011	Prax.g_01930, Prax.g_00460	Prbj.g_00897
OG0000012	Prax.g_00082	Prbj.g_02552
OG0000013	Prax.g_00846	Prbj.g_00359
OG0000014	Prax.g_00869	Prbj.g_01442
OG0000015	Prax.g_00523, Prax.g_00410	Prbj.g_02502
OG0000017	Prax.g_00057	Prbj.g_01769, Prbj.g_01761
OG0000018	Prax.g_00181	Prbj.g_00641
OG0000019	Prax.g_00926, Prax.g_00393	Prbj.g_00025, Prbj.g_01349
OG0000021	Prax.g_01587, Prax.g_00808	Prbj.g_01121, Prbj.g_01774
OG0000022	Prax.g_00157	Prbj.g_00050
OG0000022	Prax.g_00415	Prbj.g_01572
OG0000023	Prax.g_00813	Prbj.g_02392
OG0000024	Prax.g_00432, Prax.g_00967	Prbj.g_00773
OG0000025	Prax.g_00842, Prax.g_00338	Prbj.g_02475
OG0000026	Prax.g_00458, Prax.g_00282, Prax.g_01220	Prbj.g_01204
OG0000028	Prax.g_00855	Prbj.g_01457
OG0000029	Prax.g_00425	Prbj.g_00378
OG0000030	Prax.g_01404	Prbj.g_01288, Prbj.g_01287
OG0000031	Prax.g_01831	Prbj.g_01522, Prbj.g_01527
OG0000032	Prax.g_01838	Prbj.g_01468
OG0000034	Prax.g_01889	Prbj.g_01740
OG0000035	Prax.g_01728, Prax.g_01733	Prbj.g_01056
OG0000037	Prax.g_01110	Prbj.g_00624
OG0000038	Prax.g_01445	Prbj.g_01959, Prbj.g_01961
OG0000039	Prax.g_00956	Prbj.g_00429, Prbj.g_00278
OG0000041	Prax.g_01512	Prbj.g_00450
OG0000042	Prax.g_01401	Prbj.g_01808, Prbj.g_00001
