Orthogroup	Prax	Praw
OG0000000	Prax.g_01917	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prax.g_01608	Praw.g_00455
OG0000000	Prax.g_00496	Praw.g_00893, Praw.g_00974
OG0000000	Prax.g_00259	Praw.g_00294
OG0000000	Prax.g_01609	Praw.g_00294
OG0000000	Prax.g_00259	Praw.g_00454
OG0000000	Prax.g_01609	Praw.g_00454
OG0000000	Prax.g_00259	Praw.g_00496
OG0000000	Prax.g_01609	Praw.g_00496
OG0000000	Prax.g_01920	Praw.g_00472
OG0000000	Prax.g_01919	Praw.g_00959
OG0000000	Prax.g_01606	Praw.g_00495, Praw.g_00457
OG0000001	Prax.g_01878	Praw.g_01000
OG0000001	Prax.g_00522	Praw.g_01739
OG0000002	Prax.g_01870	Praw.g_01009
OG0000002	Prax.g_00964	Praw.g_01844
OG0000004	Prax.g_00947	Praw.g_01827
OG0000004	Prax.g_00986	Praw.g_01203
OG0000005	Prax.g_01546	Praw.g_00528
OG0000005	Prax.g_01652	Praw.g_00413
OG0000006	Prax.g_01972	Praw.g_01950
OG0000007	Prax.g_00704	Praw.g_00651
OG0000007	Prax.g_01559	Praw.g_00515
OG0000008	Prax.g_00970	Praw.g_01850
OG0000009	Prax.g_01617	Praw.g_00447
OG0000010	Prax.g_00728	Praw.g_00673
OG0000010	Prax.g_01212	Praw.g_01460
OG0000011	Prax.g_01930	Praw.g_00952
OG0000012	Prax.g_00082	Praw.g_00159
OG0000013	Prax.g_00846	Praw.g_00807
OG0000014	Prax.g_00869	Praw.g_00828
OG0000015	Prax.g_00523	Praw.g_01738
OG0000017	Prax.g_00057	Praw.g_01944
OG0000018	Prax.g_00346	Praw.g_01670
OG0000018	Prax.g_00181	Praw.g_00215
OG0000019	Prax.g_00926	Praw.g_00884
OG0000019	Prax.g_00393	Praw.g_01717
OG0000020	Prax.g_00138	Praw.g_00181
OG0000021	Prax.g_01587	Praw.g_00479
OG0000021	Prax.g_00808	Praw.g_00767
OG0000022	Prax.g_00157	Praw.g_00197
OG0000022	Prax.g_00415	Praw.g_01746
OG0000023	Prax.g_00813	Praw.g_00772
OG0000024	Prax.g_00432	Praw.g_01763
OG0000024	Prax.g_00967	Praw.g_01847
OG0000025	Prax.g_00842	Praw.g_00803
OG0000025	Prax.g_00338	Praw.g_01664
OG0000026	Prax.g_00282	Praw.g_01397
OG0000026	Prax.g_01220	Praw.g_01453
OG0000027	Prax.g_01916	Praw.g_00962
OG0000028	Prax.g_00855	Praw.g_00814
OG0000029	Prax.g_00425	Praw.g_01755
OG0000030	Prax.g_01404	Praw.g_00029
OG0000031	Prax.g_01831	Praw.g_01073
OG0000032	Prax.g_01838	Praw.g_01043
OG0000033	Prax.g_01049	Praw.g_01266
OG0000034	Prax.g_01889	Praw.g_00991
OG0000035	Prax.g_01728	Praw.g_01081
OG0000035	Prax.g_01733	Praw.g_01083
OG0000037	Prax.g_01110	Praw.g_01326
OG0000038	Prax.g_01445	Praw.g_01182
OG0000039	Prax.g_00956	Praw.g_01836
OG0000040	Prax.g_01591	Praw.g_00476
OG0000040	Prax.g_00180	Praw.g_00214
OG0000041	Prax.g_01512	Praw.g_00562
OG0000042	Prax.g_01401	Praw.g_00032
OG0000043	Prax.g_00301, Prax.g_00501, Prax.g_00530	Praw.g_01627
OG0000045	Prax.g_00802	Praw.g_00761
OG0000047	Prax.g_00843	Praw.g_00804
OG0000048	Prax.g_00512	Praw.g_00504
OG0000048	Prax.g_00799	Praw.g_00758
OG0000049	Prax.g_00791	Praw.g_00750
OG0000049	Prax.g_01958	Praw.g_00928
OG0000050	Prax.g_01240	Praw.g_01432
OG0000051	Prax.g_01927	Praw.g_00955
OG0000053	Prax.g_01708	Praw.g_00357
OG0000054	Prax.g_00065	Praw.g_00142
OG0000055	Prax.g_00392	Praw.g_01716
OG0000057	Prax.g_00944	Praw.g_01824
OG0000058	Prax.g_01823	Praw.g_01055
