Orthogroup	Prax	Syaq
OG0000001	Prax.g_01878	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115, Syaq.g_01434, Syaq.g_02178, Syaq.g_02413
OG0000004	Prax.g_00947	Syaq.g_02603
OG0000004	Prax.g_00986	Syaq.g_02042, Syaq.g_01567
OG0000005	Prax.g_01546	Syaq.g_01658
OG0000005	Prax.g_01652	Syaq.g_01692
OG0000006	Prax.g_01972	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prax.g_00704	Syaq.g_01793
OG0000007	Prax.g_01559	Syaq.g_01673
OG0000010	Prax.g_01212	Syaq.g_00443
OG0000011	Prax.g_00454	Syaq.g_01038
OG0000012	Prax.g_00082	Syaq.g_02059, Syaq.g_00077
OG0000013	Prax.g_00846	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prax.g_00869	Syaq.g_00862
OG0000015	Prax.g_00523, Prax.g_00410	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255
OG0000017	Prax.g_00057	Syaq.g_01992, Syaq.g_01999
OG0000018	Prax.g_00181	Syaq.g_00401
OG0000019	Prax.g_00926, Prax.g_00393	Syaq.g_00717
OG0000022	Prax.g_00157	Syaq.g_02126
OG0000023	Prax.g_00813	Syaq.g_02540
OG0000025	Prax.g_00842, Prax.g_00338	Syaq.g_02381
OG0000026	Prax.g_00458, Prax.g_00282, Prax.g_01220	Syaq.g_01114
OG0000028	Prax.g_00855	Syaq.g_00878
OG0000030	Prax.g_01404	Syaq.g_01047, Syaq.g_01048
OG0000031	Prax.g_01831	Syaq.g_01009
OG0000034	Prax.g_01889	Syaq.g_00312, Syaq.g_01431
OG0000035	Prax.g_01728, Prax.g_01733	Syaq.g_00372, Syaq.g_00371
OG0000037	Prax.g_01110	Syaq.g_01483
OG0000038	Prax.g_01445	Syaq.g_01260, Syaq.g_01258
OG0000039	Prax.g_00956	Syaq.g_01601, Syaq.g_01241
OG0000041	Prax.g_01512	Syaq.g_02688, Syaq.g_01612
OG0000042	Prax.g_01401	Syaq.g_00200, Syaq.g_01044
OG0000045	Prax.g_00802	Syaq.g_02047
OG0000048	Prax.g_00173, Prax.g_00512, Prax.g_00799	Syaq.g_00749
OG0000053	Prax.g_01708	Syaq.g_00397
OG0000054	Prax.g_00065	Syaq.g_02005
OG0000055	Prax.g_00392	Syaq.g_02700
OG0000057	Prax.g_00944	Syaq.g_02541, Syaq.g_02605
OG0000059	Prax.g_01286	Syaq.g_00657
OG0000060	Prax.g_00517	Syaq.g_00456, Syaq.g_01770, Syaq.g_00201
OG0000061	Prax.g_00200	Syaq.g_00249
OG0000062	Prax.g_01650	Syaq.g_01690
OG0000063	Prax.g_00280	Syaq.g_01110
OG0000065	Prax.g_01112	Syaq.g_01487, Syaq.g_01908
OG0000066	Prax.g_00662	Syaq.g_01851
OG0000067	Prax.g_00373	Syaq.g_02340, Syaq.g_02560
OG0000068	Prax.g_01863	Syaq.g_01763
OG0000070	Prax.g_00750	Syaq.g_00484
OG0000071	Prax.g_01899	Syaq.g_00297
OG0000072	Prax.g_01047	Syaq.g_01397
OG0000073	Prax.g_00702	Syaq.g_01795
OG0000075	Prax.g_01370	Syaq.g_00986
OG0000076	Prax.g_01394	Syaq.g_01028
OG0000077	Prax.g_00649	Syaq.g_01547
OG0000078	Prax.g_00979	Syaq.g_01585
OG0000079	Prax.g_00923	Syaq.g_00721
OG0000081	Prax.g_00670	Syaq.g_01893
OG0000082	Prax.g_00045	Syaq.g_01975
OG0000084	Prax.g_01737	Syaq.g_00367
OG0000085	Prax.g_01566	Syaq.g_01683
OG0000086	Prax.g_00659	Syaq.g_01525
OG0000087	Prax.g_01079	Syaq.g_01438
OG0000088	Prax.g_01052	Syaq.g_01402
OG0000089	Prax.g_00817	Syaq.g_00529
OG0000090	Prax.g_00668	Syaq.g_01838
OG0000091	Prax.g_00101	Syaq.g_02090
OG0000093	Prax.g_00588	Syaq.g_02323
OG0000094	Prax.g_01185	Syaq.g_00056, Syaq.g_02554
OG0000095	Prax.g_01204	Syaq.g_02679
OG0000097	Prax.g_00241	Syaq.g_00167
OG0000098	Prax.g_01881	Syaq.g_02221, Syaq.g_01849
OG0000099	Prax.g_01825	Syaq.g_00882
OG0000100	Prax.g_01654	Syaq.g_02371
OG0000101	Prax.g_01338	Syaq.g_00607
OG0000102	Prax.g_01399	Syaq.g_01033
OG0000103	Prax.g_01478	Syaq.g_01170
OG0000104	Prax.g_01486	Syaq.g_01154
OG0000105	Prax.g_00901	Syaq.g_00754
OG0000106	Prax.g_00803	Syaq.g_01863
OG0000107	Prax.g_00790	Syaq.g_00694
OG0000108	Prax.g_00722	Syaq.g_01772
OG0000109	Prax.g_00707	Syaq.g_01788
OG0000110	Prax.g_00035	Syaq.g_01962
OG0000111	Prax.g_00943	Syaq.g_02606
OG0000112	Prax.g_00409	Syaq.g_02476
OG0000114	Prax.g_00561	Syaq.g_02269
OG0000115	Prax.g_00132	Syaq.g_00395
OG0000116	Prax.g_00190	Syaq.g_00263
OG0000117	Prax.g_01959	Syaq.g_00203
OG0000118	Prax.g_01887	Syaq.g_00325, Syaq.g_00316
OG0000120	Prax.g_01832	Syaq.g_00883
OG0000121	Prax.g_01726	Syaq.g_00375
OG0000122	Prax.g_01688	Syaq.g_02118
OG0000123	Prax.g_01345	Syaq.g_00599
OG0000124	Prax.g_01410	Syaq.g_01055
OG0000125	Prax.g_01447	Syaq.g_01256
OG0000126	Prax.g_01485	Syaq.g_01156
OG0000128	Prax.g_01974	Syaq.g_01138
OG0000129	Prax.g_00269	Syaq.g_01269
OG0000130	Prax.g_00640	Syaq.g_01559
OG0000131	Prax.g_01073	Syaq.g_01427, Syaq.g_01424
OG0000132	Prax.g_01054	Syaq.g_01036, Syaq.g_01404
OG0000133	Prax.g_00853, Prax.g_00852, Prax.g_01783	Syaq.g_02481
OG0000134	Prax.g_00816, Prax.g_01573	Syaq.g_00526
OG0000135	Prax.g_00792	Syaq.g_01227
OG0000136	Prax.g_00759	Syaq.g_00496
OG0000137	Prax.g_00727	Syaq.g_00442
OG0000138	Prax.g_00706	Syaq.g_01789
OG0000139	Prax.g_00664	Syaq.g_01844
OG0000140	Prax.g_00663	Syaq.g_01848
OG0000141	Prax.g_00066	Syaq.g_02010
OG0000142	Prax.g_00094	Syaq.g_02082
OG0000143	Prax.g_00098	Syaq.g_02086
OG0000144	Prax.g_00111	Syaq.g_02152
OG0000145	Prax.g_00413	Syaq.g_01796
OG0000146	Prax.g_00408	Syaq.g_02475
OG0000147	Prax.g_00407	Syaq.g_02474
OG0000148	Prax.g_00357	Syaq.g_02359
OG0000149	Prax.g_00326	Syaq.g_02395
OG0000150	Prax.g_00318	Syaq.g_02011
OG0000151	Prax.g_00571	Syaq.g_02283
OG0000152	Prax.g_01129	Syaq.g_02485
OG0000153	Prax.g_01148	Syaq.g_02518
OG0000154	Prax.g_01178	Syaq.g_00066
OG0000155	Prax.g_00220	Syaq.g_00212
OG0000156	Prax.g_01910	Syaq.g_00281
OG0000157	Prax.g_01909	Syaq.g_00282
OG0000158	Prax.g_01780	Syaq.g_01003
OG0000160	Prax.g_01727	Syaq.g_00374
OG0000161	Prax.g_01721	Syaq.g_00382
OG0000162	Prax.g_01715	Syaq.g_00389
OG0000163	Prax.g_01681	Syaq.g_02373, Syaq.g_01730
OG0000164	Prax.g_01535	Syaq.g_01642
OG0000165	Prax.g_01528	Syaq.g_01630
OG0000166	Prax.g_01302	Syaq.g_00647
OG0000167	Prax.g_01368	Syaq.g_00983
OG0000168	Prax.g_01378	Syaq.g_01004
OG0000169	Prax.g_01388	Syaq.g_01016
OG0000170	Prax.g_01390	Syaq.g_01023
OG0000171	Prax.g_01409	Syaq.g_01052
OG0000172	Prax.g_01418	Syaq.g_01074
OG0000173	Prax.g_01433	Syaq.g_01092
OG0000174	Prax.g_01460	Syaq.g_01224
OG0000175	Prax.g_01470	Syaq.g_01183
OG0000176	Prax.g_01494	Syaq.g_01146
OG0000177	Prax.g_01495	Syaq.g_01145
OG0000178	Prax.g_01496	Syaq.g_01144
OG0000179	Prax.g_00297	Syaq.g_01129
OG0000180	Prax.g_00296	Syaq.g_01128
OG0000181	Prax.g_00295	Syaq.g_01127
OG0000182	Prax.g_00294	Syaq.g_01126
OG0000183	Prax.g_00290	Syaq.g_01122
OG0000184	Prax.g_00621	Syaq.g_01277
OG0000185	Prax.g_00624	Syaq.g_01290
OG0000186	Prax.g_00635	Syaq.g_01563
OG0000187	Prax.g_00636	Syaq.g_01561
OG0000188	Prax.g_00653	Syaq.g_01539
OG0000189	Prax.g_01122	Syaq.g_01499, Syaq.g_00122
OG0000190	Prax.g_01121	Syaq.g_01497
OG0000191	Prax.g_01101	Syaq.g_01467
OG0000192	Prax.g_01097	Syaq.g_01462
OG0000193	Prax.g_01072	Syaq.g_01423
OG0000194	Prax.g_01069	Syaq.g_01420
OG0000195	Prax.g_01067	Syaq.g_01418
OG0000196	Prax.g_01057	Syaq.g_01407
OG0000197	Prax.g_01056	Syaq.g_01406
OG0000198	Prax.g_01055	Syaq.g_01405
OG0000199	Prax.g_01048	Syaq.g_01398
OG0000200	Prax.g_01034	Syaq.g_01382
OG0000201	Prax.g_01026	Syaq.g_01365
OG0000202	Prax.g_01025	Syaq.g_01364
OG0000203	Prax.g_01024	Syaq.g_01363
OG0000204	Prax.g_01023	Syaq.g_01362
OG0000205	Prax.g_01016	Syaq.g_01355
OG0000206	Prax.g_01011	Syaq.g_01345
OG0000207	Prax.g_01009	Syaq.g_01338
OG0000208	Prax.g_01008	Syaq.g_01337
OG0000209	Prax.g_00999	Syaq.g_01310
OG0000210	Prax.g_00998	Syaq.g_01309
OG0000211	Prax.g_00985	Syaq.g_01570
OG0000212	Prax.g_00978	Syaq.g_01586
