Orthogroup	Prax	Praq
OG0000000	Prax.g_01917	Praq.g_00117
OG0000000	Prax.g_01608	Praq.g_00026
OG0000000	Prax.g_00259	Praq.g_00025
OG0000000	Prax.g_01609	Praq.g_00025
OG0000000	Prax.g_00259	Praq.g_01392
OG0000000	Prax.g_01609	Praq.g_01392
OG0000000	Prax.g_01919	Praq.g_00028
OG0000001	Prax.g_01878	Praq.g_00160
OG0000002	Prax.g_01870	Praq.g_00168
OG0000002	Prax.g_00964	Praq.g_00807
OG0000004	Prax.g_00947	Praq.g_00824
OG0000004	Prax.g_00986	Praq.g_01770
OG0000005	Prax.g_01546	Praq.g_00484
OG0000005	Prax.g_01652	Praq.g_00370
OG0000006	Prax.g_01972	Praq.g_01761
OG0000007	Prax.g_00704	Praq.g_01105
OG0000007	Prax.g_01559	Praq.g_00497
OG0000008	Prax.g_00970	Praq.g_00801
OG0000009	Prax.g_01617	Praq.g_00017
OG0000010	Prax.g_00728	Praq.g_00525
OG0000010	Prax.g_01212	Praq.g_01626
OG0000011	Prax.g_01930	Praq.g_00110
OG0000011	Prax.g_00454	Praq.g_00100
OG0000012	Prax.g_00082	Praq.g_00979
OG0000013	Prax.g_00846	Praq.g_01675
OG0000014	Prax.g_00869	Praq.g_01696
OG0000015	Prax.g_00523, Prax.g_00410	Praq.g_00065
OG0000017	Prax.g_00057	Praq.g_01004
OG0000018	Prax.g_00346	Praq.g_01425
OG0000018	Prax.g_00181	Praq.g_01314
OG0000019	Prax.g_00926	Praq.g_01753
OG0000019	Prax.g_00393	Praq.g_00649
OG0000020	Prax.g_00138	Praq.g_01281
OG0000021	Prax.g_00808	Praq.g_01179
OG0000022	Prax.g_00157	Praq.g_01296
OG0000022	Prax.g_00415	Praq.g_00635
OG0000023	Prax.g_00813	Praq.g_01184
OG0000024	Prax.g_00432	Praq.g_00618
OG0000024	Prax.g_00967	Praq.g_00804
OG0000025	Prax.g_00842	Praq.g_01671
OG0000025	Prax.g_00338	Praq.g_01432
OG0000026	Prax.g_00282	Praq.g_01234
